Time;Numeric;Experimental
0;4,18298;4,10703
2;4,04450267;4,00014
4;3,97785947;3,95674
6;3,94090228;3,92848
8;3,91674837;3,907
10;3,89857465;3,88926
12;3,88357023;3,87517
14;3,87053046;3,86252
16;3,85889918;3,85177
18;3,8483867;3,84209
20;3,838817;3,83308
22;3,8300661;3,82486
24;3,82203672;3,81738
26;3,81464764;3,81071
28;3,80782876;3,80455
30;3,80151864;3,79858
32;3,79566303;3,7929
34;3,79021392;3,78767
36;3,78512868;3,78285
38;3,78036949;3,77852
40;3,77590274;3,77417
42;3,77169859;3,77
44;3,76773052;3,76606
46;3,76397495;3,76243
48;3,76041092;3,75889
50;3,75701981;3,75562
52;3,75378506;3,75229
54;3,75069192;3,74923
56;3,74772728;3,74661
58;3,74487947;3,74377
60;3,74213809;3,74127
62;3,7394939;3,73859
64;3,73693864;3,73598
66;3,73446496;3,73337
68;3,73206631;3,7309
70;3,72973683;3,72857
72;3,72747129;3,72635
74;3,72526503;3,72421
76;3,72311387;3,72213
78;3,72101407;3,72002
80;3,71896229;3,71801
82;3,71695552;3,71596
84;3,71499107;3,71387
86;3,71306652;3,71164
88;3,7111797;3,70985
90;3,70932863;3,70801
92;3,70751155;3,70599
94;3,70572687;3,70425
96;3,70397312;3,70246
98;3,70224901;3,70042
100;3,70055334;3,69883
102;3,69888501;3,69733
104;3,69724305;3,69558
106;3,69562655;3,69402
108;3,69403467;3,69228
110;3,69246666;3,69077
112;3,69092181;3,68931
114;3,68939948;3,68775
116;3,68789906;3,6865
118;3,68641999;3,68518
120;3,68496177;3,68369
122;3,6835239;3,68263
124;3,68210592;3,68141
126;3,68070742;3,68013
128;3,679328;3,67885
130;3,67796726;3,6775
132;3,67662486;3,67643
134;3,67530045;3,67493
136;3,67399371;3,67367
138;3,67270433;3,67243
140;3,67143201;3,6711
142;3,67017647;3,66961
144;3,66893743;3,66846
146;3,66771464;3,66718
148;3,66650784;3,66576
150;3,66531677;3,66469
152;3,66414122;3,66336
154;3,66298094;3,66196
156;3,66183572;3,66087
158;3,66070532;3,65981
160;3,65958955;3,65876
162;3,6584882;3,65763
164;3,65740106;3,65653
166;3,65632793;3,65546
168;3,65526863;3,65418
170;3,65422296;3,65328
172;3,65319074;3,6523
174;3,65217179;3,65155
176;3,65116593;3,65042
178;3,65017298;3,64948
