Time;Numerical;Experimental
0;0,93062;0,91316
2;0,89683522;0,88778
4;0,88293455;0,87938
6;0,87601621;0,8739
8;0,87168679;0,8701
10;0,86843373;0,86693
12;0,86572191;0,86415
14;0,86334958;0,86188
16;0,86123019;0,85982
18;0,85931834;0,85823
20;0,85758451;0,8564
22;0,8560062;0,85485
24;0,85456479;0,85381
26;0,85324432;0,85277
28;0,85203083;0,85151
30;0,85091211;0,85075
32;0,8498774;0,84948
34;0,84891723;0,84876
36;0,84802326;0,84774
38;0,84718816;0,84698
40;0,84640546;0,84617
42;0,84566944;0,8455
44;0,8449751;0,84471
46;0,84431799;0,84421
48;0,84369422;0,84358
50;0,84310033;0,8429
52;0,8425333;0,84217
54;0,84199045;0,84153
56;0,84146941;0,84139
58;0,84096808;0,84057
60;0,84048464;0,84011
62;0,84001744;0,83979
64;0,83956506;0,83965
66;0,83912621;0,83902
68;0,83869976;0,83855
70;0,83828473;0,83806
72;0,83788023;0,83787
74;0,83748547;0,8374
76;0,83709976;0,83696
78;0,83672248;0,83645
80;0,83635307;0,83627
82;0,83599106;0,83561
84;0,835636;0,83519
86;0,83528751;0,83525
88;0,83494523;0,83505
90;0,83460886;0,83446
92;0,83427811;0,83414
94;0,83395273;0,83383
96;0,83363251;0,83339
98;0,83331722;0,83311
100;0,8330067;0,83264
102;0,83270076;0,83238
104;0,83239927;0,83208
106;0,83210207;0,83169
108;0,83180905;0,83122
110;0,83152008;0,83108
112;0,83123506;0,83089
114;0,83095388;0,83042
116;0,83067647;0,83028
118;0,83040273;0,83014
120;0,83013258;0,82995
122;0,82986594;0,82954
124;0,82960276;0,82943
126;0,82934296;0,8291
128;0,82908648;0,82883
130;0,82883326;0,8287
132;0,82858325;0,82846
134;0,82833639;0,82812
136;0,82809263;0,82793
138;0,82785192;0,82788
140;0,82761422;0,82757
142;0,82737948;0,82723
144;0,82714766;0,82725
146;0,82691872;0,82681
148;0,8266926;0,82679
150;0,82646929;0,8266
152;0,82624872;0,82616
154;0,82603088;0,82591
156;0,82581572;0,82563
158;0,8256032;0,82556
160;0,8253933;0,8254
162;0,82518597;0,82533
164;0,82498118;0,82494
166;0,82477891;0,82464
168;0,82457911;0,82463
170;0,82438176;0,82421
172;0,82418683;0,8242
174;0,82399428;0,82388
176;0,82380409;0,8237
178;0,82361622;0,82356
180;0,82343064;0,82345
182;0,82324734;0,8231
184;0,82306627;0,82295
186;0,82288742;0,82277
188;0,82271075;0,82257
190;0,82253624;0,82249
192;0,82236385;0,82249
194;0,82219357;0,82227
196;0,82202537;0,82203
198;0,82185923;0,82183
200;0,8216951;0,82169
202;0,82153299;0,82172
204;0,82137285;0,82149
206;0,82121466;0,82141
208;0,8210584;0,82127
210;0,82090405;0,82101
212;0,82075159;0,82083
214;0,82060098;0,82081
216;0,82045221;0,8207
218;0,82030525;0,82062
220;0,82016008;0,82022
222;0,82001669;0,81998
224;0,81987504;0,81972
226;0,81973513;0,81968
228;0,81959691;0,81964
230;0,81946039;0,81961
232;0,81932553;0,81941
234;0,81919231;0,81914
236;0,81906072;0,81898
238;0,81893073;0,81902
240;0,81880233;0,81868
242;0,81867549;0,81899
244;0,8185502;0,81844
246;0,81842644;0,81854
248;0,81830418;0,81831
250;0,81818342;0,81825
252;0,81806413;0,81792
254;0,81794629;0,81792
256;0,8178299;0,81784
258;0,81771492;0,8177
260;0,81760134;0,81754
262;0,81748915;0,8175
264;0,81737832;0,81719
266;0,81726885;0,81714
