Time,Stress
0,2.48348
0.1,2.47713
0.2,2.46884
0.3,2.4624
0.4,2.45497
0.5,2.44882
0.6,2.44387
0.7,2.43833
0.8,2.43357
0.9,2.42858
1,2.4243
1.1,2.42084
1.2,2.41729
1.3,2.4139
1.4,2.41052
1.5,2.40709
1.6,2.4027
1.7,2.4005
1.8,2.39765
1.9,2.39445
2,2.39147
2.1,2.38922
2.2,2.38599
2.3,2.38365
2.4,2.38105
2.5,2.378
2.6,2.37513
2.7,2.37319
2.8,2.37046
2.9,2.36904
3,2.36562
3.1,2.36402
3.2,2.36246
3.3,2.35957
3.4,2.35753
3.5,2.35573
3.6,2.35273
3.7,2.3517
3.8,2.34857
3.9,2.34719
4,2.34412
4.1,2.34313
4.2,2.34139
4.3,2.33979
4.4,2.33792
4.5,2.33549
4.6,2.33382
4.7,2.33217
4.8,2.33095
4.9,2.32864
5,2.32697
5.1,2.32502
5.2,2.32441
5.3,2.32213
5.4,2.32068
5.5,2.31822
5.6,2.31764
5.7,2.31618
5.8,2.314
5.9,2.31305
6,2.31129
6.1,2.30927
6.2,2.3087
6.3,2.30684
6.4,2.3061
6.5,2.30441
6.6,2.30242
6.7,2.30203
6.8,2.2999
6.9,2.29899
7,2.29777
7.1,2.29601
7.2,2.29463
7.3,2.29358
7.4,2.29254
7.5,2.29105
7.6,2.29
7.7,2.28862
7.8,2.28703
7.9,2.28658
8,2.28503
8.1,2.28359
8.2,2.2834
8.3,2.28186
8.4,2.28104
8.5,2.27983
8.6,2.27769
8.7,2.27734
8.8,2.27587
8.9,2.27556
9,2.27312
9.1,2.27253
9.2,2.27202
9.3,2.27094
9.4,2.26949
9.5,2.26861
9.6,2.26709
9.7,2.26663
9.8,2.26547
9.9,2.26442
10,2.26332
10.1,2.26212
10.2,2.2618
10.3,2.26143
10.4,2.26025
10.5,2.25824
10.6,2.25703
10.7,2.25613
10.8,2.25583
10.9,2.25407
11,2.25364
11.1,2.25322
11.2,2.25196
11.3,2.25048
11.4,2.24967
11.5,2.2493
11.6,2.24831
11.7,2.24833
11.8,2.24607
11.9,2.24536
12,2.244
12.1,2.24343
12.2,2.24274
12.3,2.2417
12.4,2.24054
12.5,2.24
12.6,2.23906
12.7,2.23818
12.8,2.23758
12.9,2.23687
13,2.23481
13.1,2.23507
13.2,2.23349
13.3,2.23299
13.4,2.23194
13.5,2.23125
13.6,2.22974
13.7,2.22956
13.8,2.22877
13.9,2.22784
14,2.22688
14.1,2.22591
14.2,2.22512
14.3,2.22364
14.4,2.22175
14.5,2.22296
14.6,2.22143
14.7,2.21992
14.8,2.21963
14.9,2.21876
15,2.21714
15.1,2.21706
15.2,2.21625
15.3,2.21477
15.4,2.21406
15.5,2.2137
15.6,2.21303
15.7,2.21124
15.8,2.21133
15.9,2.21009
16,2.20914
16.1,2.20794
16.2,2.20769
16.3,2.20611
16.4,2.20574
16.5,2.20576
16.6,2.20411
16.7,2.20331
16.8,2.20381
16.9,2.20169
17,2.2009
17.1,2.20126
17.2,2.19935
17.3,2.19851
17.4,2.19817
17.5,2.19725
17.6,2.19621
17.7,2.19429
17.8,2.19327
17.9,2.19295
18,2.19204
18.1,2.19149
18.2,2.1896
18.3,2.18952
18.4,2.18865
18.5,2.1876
18.6,2.18701
18.7,2.18588
18.8,2.18475
18.9,2.18453
19,2.18248
19.1,2.18242
19.2,2.18116
19.3,2.18017
19.4,2.17933
19.5,2.1783
19.6,2.17695
19.7,2.17669
19.8,2.17525
19.9,2.17464
20,2.17357
20.1,2.17293
20.2,2.17128
20.3,2.17123
20.4,2.16949
20.5,2.16789
20.6,2.16723
20.7,2.16592
20.8,2.16483
20.9,2.16369
21,2.16309
21.1,2.16193
21.2,2.16054
21.3,2.15882
21.4,2.15695
21.5,2.15574
21.6,2.15358
21.7,2.15327
21.8,2.15092
21.9,2.14962
22,2.14714
22.1,2.14243
22.2,2.13626
22.3,2.13217
22.4,2.12816
22.5,2.12165
22.6,2.11515
22.7,2.11132
22.8,2.10852
22.9,2.10597
23,2.10215
23.1,2.0996
23.2,2.09742
23.3,2.09536
23.4,2.09284
23.5,2.09212
23.6,2.08961
23.7,2.08746
23.8,2.08557
23.9,2.08453
24,2.08285
24.1,2.08153
24.2,2.08068
24.3,2.07884
24.4,2.0773
24.5,2.0769
24.6,2.07479
24.7,2.07465
24.8,2.07287
24.9,2.07272
25,2.07175
25.1,2.07047
25.2,2.06876
25.3,2.06855
25.4,2.06669
