Time;Stress
0;2,48348
2;2,39147
4;2,34412
6;2,31129
8;2,28503
10;2,26332
12;2,244
14;2,22688
16;2,20914
18;2,19204
20;2,17357
22;2,14714
24;2,08285
26;2,06135
28;2,04301
30;2,02983
32;2,01865
34;2,00875
36;2,00004
38;1,99165
40;1,98413
42;1,97584
44;1,96881
46;1,96307
48;1,95665
50;1,95086
52;1,94503
54;1,93927
56;1,93439
58;1,92999
60;1,92566
62;1,92031
64;1,91595
66;1,91176
68;1,90856
70;1,90344
72;1,89976
74;1,89653
76;1,89269
78;1,88849
80;1,88558
82;1,8826
84;1,8797
86;1,87541
88;1,87302
90;1,86984
92;1,86735
94;1,86444
96;1,86183
98;1,85889
99,999;1,85669
