Time,Stress
0,2.02609
5,1.94072
10,1.90964
15,1.88963
20,1.87331
25,1.86121
30,1.84993
35,1.84163
40,1.83241
45,1.8256
50,1.81855
55,1.81231
60,1.8065
65,1.80138
70,1.79681
75,1.79064
80,1.787
85,1.78136
90,1.77741
95,1.77431
100,1.77006
105,1.76583
110,1.76288
115,1.7595
120,1.75694
125,1.75318
130,1.74953
135,1.74661
140,1.74444
145,1.7401
150,1.73719
155,1.73488
160,1.73281
165,1.73017
170,1.7277
175,1.72608
180,1.723
185,1.72007
190,1.71941
195,1.71685
200,1.71476
205,1.71265
210,1.70982
215,1.70761
220,1.70517
225,1.70436
230,1.7012
235,1.69978
240,1.69731
245,1.69643
250,1.69432
255,1.69266
260,1.69001
265,1.68903
270,1.68604
275,1.68601
280,1.68335
285,1.68188
290,1.68083
295,1.67899
300,1.67757
305,1.67522
310,1.67419
315,1.67297
320,1.67088
325,1.67026
330,1.66893
335,1.66723
340,1.66602
