Time,Stress
0,2.02609
0.1,2.02253
0.2,2.01682
0.3,2.01156
0.4,2.00862
0.5,2.00428
0.6,2.00112
0.7,1.99793
0.8,1.99458
0.9,1.99265
1,1.9905
1.1,1.98769
1.2,1.98609
1.3,1.98459
1.4,1.98277
1.5,1.98051
1.6,1.9796
1.7,1.97662
1.8,1.97563
1.9,1.9736
2,1.97254
2.1,1.97123
2.2,1.96948
2.3,1.96842
2.4,1.96717
2.5,1.96526
2.6,1.96449
2.7,1.96275
2.8,1.96199
2.9,1.96077
3,1.95968
3.1,1.95824
3.2,1.95727
3.3,1.95684
3.4,1.95605
3.5,1.9542
3.6,1.95275
3.7,1.95212
3.8,1.95116
3.9,1.94987
4,1.94908
4.1,1.94838
4.2,1.94715
4.3,1.94634
4.4,1.94516
4.5,1.9445
4.6,1.94386
4.7,1.94321
4.8,1.94217
4.9,1.94082
5,1.94072
5.1,1.93917
5.2,1.93896
5.3,1.938
5.4,1.93744
5.5,1.93632
5.6,1.93559
5.7,1.93493
5.8,1.93379
5.9,1.93391
6,1.9323
6.1,1.93178
6.2,1.93135
6.3,1.92976
6.4,1.93033
6.5,1.92942
6.6,1.92892
6.7,1.92818
6.8,1.92718
6.9,1.92617
7,1.92646
7.1,1.92567
7.2,1.9253
7.3,1.92486
7.4,1.92346
7.5,1.92358
7.6,1.92241
7.7,1.92278
7.8,1.92148
7.9,1.92064
8,1.91977
8.1,1.91979
8.2,1.91865
8.3,1.91859
8.4,1.9185
8.5,1.91749
8.6,1.91679
8.7,1.91591
8.8,1.91593
8.9,1.91597
9,1.91535
9.1,1.91399
9.2,1.91317
9.3,1.91376
9.4,1.91329
9.5,1.91224
9.6,1.9124
9.7,1.91179
9.8,1.91057
9.9,1.91054
10,1.90964
10.1,1.9089
10.2,1.90891
10.3,1.9081
10.4,1.90876
10.5,1.90714
10.6,1.90727
10.7,1.90671
10.8,1.90636
10.9,1.90551
11,1.90474
11.1,1.90401
11.2,1.90464
11.3,1.90406
11.4,1.90298
11.5,1.90327
11.6,1.9016
11.7,1.90244
11.8,1.90182
11.9,1.90108
12,1.90231
12.1,1.90049
12.2,1.90036
12.3,1.89895
12.4,1.89924
12.5,1.89849
12.6,1.89779
12.7,1.89773
12.8,1.89752
12.9,1.89766
13,1.89637
13.1,1.89666
13.2,1.8959
13.3,1.8954
13.4,1.89512
13.5,1.89488
13.6,1.89481
13.7,1.89401
13.8,1.89386
13.9,1.89341
14,1.89304
14.1,1.89269
14.2,1.89167
14.3,1.8916
14.4,1.89191
14.5,1.89143
14.6,1.89067
14.7,1.89085
14.8,1.88967
14.9,1.88981
15,1.88963
15.1,1.88836
15.2,1.88917
15.3,1.88887
15.4,1.88739
15.5,1.88809
15.6,1.88772
15.7,1.88751
15.8,1.88643
15.9,1.88616
16,1.88627
16.1,1.88572
16.2,1.88497
16.3,1.88501
16.4,1.88376
16.5,1.88498
16.6,1.88363
16.7,1.88405
16.8,1.88363
16.9,1.88309
17,1.88274
17.1,1.88299
17.2,1.88181
17.3,1.88182
17.4,1.8806
17.5,1.88118
17.6,1.88161
17.7,1.88075
17.8,1.88035
17.9,1.87995
18,1.87928
18.1,1.879
18.2,1.87902
18.3,1.87832
18.4,1.87855
