Time,Stress
0,4.41357
0.1,4.39679
0.2,4.38148
0.3,4.36947
0.4,4.35903
0.5,4.34997
0.6,4.3413
0.7,4.33396
0.8,4.327
0.9,4.32015
1,4.31413
1.1,4.30842
1.2,4.30313
1.3,4.29816
1.4,4.29314
1.5,4.28843
1.6,4.28401
1.7,4.2797
1.8,4.27578
1.9,4.27187
2,4.26789
2.1,4.26419
2.2,4.26053
2.3,4.2571
2.4,4.25366
2.5,4.2502
2.6,4.24713
2.7,4.24405
2.8,4.24085
2.9,4.23799
3,4.23503
3.1,4.23214
3.2,4.22953
3.3,4.227
3.4,4.22398
3.5,4.22147
3.6,4.21902
3.7,4.21642
3.8,4.21408
3.9,4.21178
4,4.20936
4.1,4.20713
4.2,4.20493
4.3,4.20241
4.4,4.20034
4.5,4.19844
4.6,4.19623
4.7,4.1942
4.8,4.19209
4.9,4.19013
5,4.18808
5.1,4.18624
5.2,4.18429
5.3,4.18238
5.4,4.18064
5.5,4.17883
5.6,4.17686
5.7,4.17531
5.8,4.17353
5.9,4.17174
6,4.17022
6.1,4.16837
6.2,4.16672
6.3,4.16533
6.4,4.16354
6.5,4.16199
6.6,4.16026
6.7,4.15876
6.8,4.15715
6.9,4.15536
7,4.15408
7.1,4.15251
7.2,4.15096
7.3,4.14983
7.4,4.14806
7.5,4.14685
7.6,4.14546
7.7,4.14413
7.8,4.14261
7.9,4.14136
8,4.13984
8.1,4.1387
8.2,4.13729
8.3,4.13599
8.4,4.13482
8.5,4.13345
8.6,4.13218
8.7,4.13099
8.8,4.1297
8.9,4.12869
9,4.12722
9.1,4.12589
9.2,4.12473
9.3,4.1233
9.4,4.1222
9.5,4.12091
9.6,4.11981
9.7,4.11873
9.8,4.11756
9.9,4.1165
10,4.11549
10.1,4.11426
10.2,4.11312
10.3,4.11199
10.4,4.11095
10.5,4.10996
10.6,4.1088
10.7,4.10779
10.8,4.10675
10.9,4.10594
11,4.10474
11.1,4.10386
11.2,4.10269
11.3,4.10178
11.4,4.10086
11.5,4.09978
11.6,4.09887
11.7,4.09784
11.8,4.09696
11.9,4.09596
12,4.09505
12.1,4.09406
12.2,4.09311
12.3,4.09209
12.4,4.09111
12.5,4.09031
12.6,4.08913
12.7,4.0885
12.8,4.08761
12.9,4.0867
13,4.0858
13.1,4.08495
13.2,4.08408
13.3,4.0832
13.4,4.08237
13.5,4.08154
13.6,4.08068
13.7,4.07976
13.8,4.07896
13.9,4.07836
14,4.07733
14.1,4.07658
14.2,4.0757
14.3,4.07509
14.4,4.0742
14.5,4.07334
14.6,4.07278
14.7,4.07193
14.8,4.07104
14.9,4.07018
15,4.06948
15.1,4.06854
15.2,4.06765
15.3,4.06715
15.4,4.06629
15.5,4.06564
15.6,4.06486
15.7,4.06393
15.8,4.06324
15.9,4.06245
16,4.06181
16.1,4.06098
16.2,4.06024
16.3,4.05956
16.4,4.05892
16.5,4.05805
16.6,4.05741
16.7,4.05661
16.8,4.05606
16.9,4.05526
17,4.05457
17.1,4.05364
17.2,4.05301
17.3,4.05225
17.4,4.05192
17.5,4.05129
17.6,4.05044
17.7,4.0499
17.8,4.04918
17.9,4.0487
18,4.04792
18.1,4.0473
18.2,4.04661
18.3,4.04613
18.4,4.04533
18.5,4.04464
18.6,4.04414
18.7,4.04357
18.8,4.04293
18.9,4.04222
19,4.04161
19.1,4.04101
19.2,4.04048
19.3,4.03976
19.4,4.03916
19.5,4.03853
19.6,4.03803
19.7,4.03748
19.8,4.03681
19.9,4.03621
20,4.03574
20.1,4.03509
20.2,4.03463
20.3,4.03407
20.4,4.03327
20.5,4.03273
20.6,4.03196
20.7,4.03153
20.8,4.03077
20.9,4.03002
21,4.02961
21.1,4.02915
21.2,4.02855
21.3,4.02798
21.4,4.02727
21.5,4.0265
21.6,4.02607
21.7,4.02556
21.8,4.02487
21.9,4.02437
22,4.02388
22.1,4.02331
22.2,4.02278
22.3,4.02214
22.4,4.02166
22.5,4.02116
22.6,4.02062
22.7,4.02001
22.8,4.01969
22.9,4.01903
23,4.01856
23.1,4.01793
23.2,4.01724
23.3,4.01691
23.4,4.01637
23.5,4.01587
23.6,4.01536
23.7,4.01475
23.8,4.01424
23.9,4.01391
24,4.01329
24.1,4.01291
24.2,4.0124
24.3,4.01182
24.4,4.01164
24.5,4.01097
24.6,4.01053
24.7,4.01004
24.8,4.00948
24.9,4.00903
25,4.00855
25.1,4.00798
25.2,4.00768
25.3,4.00704
25.4,4.00657
25.5,4.00621
25.6,4.00568
25.7,4.00516
25.8,4.00482
25.9,4.00432
26,4.00372
26.1,4.00334
26.2,4.00282
26.3,4.00234
26.4,4.00192
26.5,4.00135
26.6,4.00101
26.7,4.00047
26.8,4.00016
26.9,3.9997
27,3.99914
27.1,3.99879
27.2,3.99823
27.3,3.99785
27.4,3.9974
27.5,3.99679
27.6,3.9965
27.7,3.99602
27.8,3.99584
27.9,3.99506
28,3.99492
28.1,3.9944
28.2,3.9939
28.3,3.99344
28.4,3.99288
28.5,3.99244
28.6,3.99213
28.7,3.99157
28.8,3.9911
28.9,3.99067
29,3.99032
29.1,3.98996
29.2,3.98943
29.3,3.98914
29.4,3.98874
29.5,3.98832
29.6,3.988
29.7,3.98764
29.8,3.98715
29.9,3.98691
30,3.98628
30.1,3.98599
30.2,3.98543
30.3,3.98509
30.4,3.98495
30.5,3.98442
30.6,3.98398
30.7,3.98374
30.8,3.98336
30.9,3.98287
31,3.98262
31.1,3.9821
