Time,Stress
0,4.10703
0.1,4.09552
0.2,4.08415
0.3,4.07556
0.4,4.06787
0.5,4.06107
0.6,4.05471
0.7,4.04901
0.8,4.04391
0.9,4.03882
1,4.03421
1.1,4.03009
1.2,4.0261
1.3,4.02222
1.4,4.01855
1.5,4.01525
1.6,4.01216
1.7,4.00885
1.8,4.00593
1.9,4.00286
2,4.00014
2.1,3.99741
2.2,3.99461
2.3,3.99191
2.4,3.98948
2.5,3.98698
2.6,3.98472
2.7,3.98246
2.8,3.98007
2.9,3.97788
3,3.97576
3.1,3.97374
3.2,3.97178
3.3,3.96989
3.4,3.96771
3.5,3.9659
3.6,3.96403
3.7,3.96198
3.8,3.96054
3.9,3.95862
4,3.95674
4.1,3.95525
4.2,3.95355
4.3,3.95197
4.4,3.95049
4.5,3.94885
4.6,3.94742
4.7,3.94579
4.8,3.94449
4.9,3.94288
5,3.94168
5.1,3.94003
5.2,3.93893
5.3,3.93748
5.4,3.93606
5.5,3.93492
5.6,3.9337
5.7,3.93236
5.8,3.93097
5.9,3.92975
6,3.92848
6.1,3.92718
6.2,3.92605
6.3,3.92488
6.4,3.92371
6.5,3.9225
6.6,3.9216
6.7,3.92029
6.8,3.91929
6.9,3.91798
7,3.91701
7.1,3.91593
7.2,3.91497
7.3,3.91401
7.4,3.91296
7.5,3.91177
7.6,3.91086
7.7,3.90981
7.8,3.90879
7.9,3.90797
8,3.907
8.1,3.9061
8.2,3.90518
8.3,3.90427
8.4,3.90341
8.5,3.90223
8.6,3.90133
8.7,3.90045
8.8,3.89981
8.9,3.89887
9,3.89783
9.1,3.89681
9.2,3.89608
9.3,3.89521
9.4,3.8941
9.5,3.89348
9.6,3.89249
9.7,3.89194
9.8,3.89113
9.9,3.89042
10,3.88926
10.1,3.88876
10.2,3.88793
10.3,3.88722
10.4,3.88638
10.5,3.88564
10.6,3.88488
10.7,3.88404
10.8,3.88335
10.9,3.88266
11,3.88188
11.1,3.88121
11.2,3.88065
11.3,3.87987
11.4,3.87916
11.5,3.87842
11.6,3.87768
11.7,3.87709
11.8,3.87648
11.9,3.87581
12,3.87517
12.1,3.87432
12.2,3.87362
12.3,3.87315
12.4,3.87259
12.5,3.87192
12.6,3.87104
12.7,3.87038
12.8,3.86974
12.9,3.86926
13,3.86859
13.1,3.86789
13.2,3.86723
13.3,3.8668
13.4,3.8661
13.5,3.86541
13.6,3.86484
13.7,3.86422
13.8,3.86373
13.9,3.86308
14,3.86252
14.1,3.862
14.2,3.86125
14.3,3.86087
14.4,3.86026
14.5,3.85962
14.6,3.85911
14.7,3.85856
14.8,3.85811
14.9,3.85749
15,3.85702
15.1,3.85633
15.2,3.85569
15.3,3.85538
15.4,3.8547
15.5,3.85436
15.6,3.85347
15.7,3.85315
15.8,3.85268
15.9,3.85223
16,3.85177
16.1,3.85133
16.2,3.85059
16.3,3.85016
16.4,3.84964
16.5,3.8491
16.6,3.84864
16.7,3.84811
16.8,3.84764
16.9,3.8474
17,3.84671
17.1,3.84617
17.2,3.84581
17.3,3.84518
17.4,3.84485
17.5,3.84428
17.6,3.84404
17.7,3.84337
17.8,3.84298
17.9,3.84245
18,3.84209
18.1,3.84165
18.2,3.84109
18.3,3.8406
18.4,3.8402
18.5,3.83967
18.6,3.83939
18.7,3.83879
18.8,3.83833
18.9,3.8378
19,3.83747
19.1,3.83711
19.2,3.83647
19.3,3.83595
19.4,3.83559
19.5,3.83511
19.6,3.83472
19.7,3.83427
19.8,3.83376
19.9,3.83344
20,3.83308
20.1,3.83246
20.2,3.83211
20.3,3.83175
20.4,3.83133
20.5,3.83085
20.6,3.83042
20.7,3.83003
20.8,3.82976
20.9,3.82935
21,3.82867
21.1,3.82839
21.2,3.82792
21.3,3.82755
21.4,3.82722
21.5,3.82666
21.6,3.82639
21.7,3.82597
21.8,3.82571
21.9,3.82527
22,3.82486
22.1,3.82454
22.2,3.8243
22.3,3.82376
22.4,3.82343
22.5,3.82294
22.6,3.8227
22.7,3.82221
22.8,3.82186
22.9,3.82152
23,3.82086
23.1,3.8207
23.2,3.82032
23.3,3.81994
23.4,3.8196
23.5,3.81919
23.6,3.81891
23.7,3.81845
23.8,3.81827
23.9,3.8177
24,3.81738
24.1,3.81713
24.2,3.81676
24.3,3.81645
24.4,3.81618
24.5,3.8159
24.6,3.81524
24.7,3.81498
24.8,3.8147
24.9,3.81429
25,3.81404
25.1,3.81366
25.2,3.81339
25.3,3.81292
25.4,3.8127
25.5,3.81234
25.6,3.81195
25.7,3.81165
25.8,3.8115
25.9,3.81108
26,3.81071
26.1,3.81052
26.2,3.8101
26.3,3.80983
26.4,3.80932
26.5,3.8092
26.6,3.80888
26.7,3.80858
26.8,3.80812
26.9,3.80799
27,3.80782
27.1,3.80733
27.2,3.807
27.3,3.80656
27.4,3.80635
27.5,3.80604
27.6,3.80582
27.7,3.8055
27.8,3.80499
27.9,3.80485
28,3.80455
28.1,3.80424
28.2,3.80412
28.3,3.80382
28.4,3.80348
28.5,3.80299
28.6,3.80284
28.7,3.80256
28.8,3.80226
28.9,3.80172
29,3.80154
29.1,3.80112
29.2,3.80103
29.3,3.80069
29.4,3.80039
29.5,3.80007
29.6,3.79987
29.7,3.7994
29.8,3.79916
29.9,3.79888
30,3.79858
30.1,3.79828
30.2,3.79797
30.3,3.79752
30.4,3.79747
30.5,3.797
30.6,3.79683
30.7,3.79655
30.8,3.79619
30.9,3.79601
31,3.79546
31.1,3.79552
31.2,3.7951
31.3,3.79481
31.4,3.79456
31.5,3.79424
31.6,3.79395
31.7,3.7938
31.8,3.79335
31.9,3.79319
32,3.7929
32.1,3.79277
32.2,3.79243
32.3,3.79214
32.4,3.7918
32.5,3.79154
32.6,3.79139
32.7,3.79106
32.8,3.79079
32.9,3.79053
33,3.79027
33.1,3.79007
33.2,3.78985
33.3,3.78956
33.4,3.78927
33.5,3.78897
33.6,3.78885
33.7,3.78861
33.8,3.78834
33.9,3.78814
34,3.78767
34.1,3.78775
34.2,3.78729
34.3,3.78708
34.4,3.78674
34.5,3.7866
34.6,3.78644
34.7,3.78612
34.8,3.7859
34.9,3.7857
35,3.78521
35.1,3.78498
35.2,3.78482
35.3,3.7846
35.4,3.7843
35.5,3.78396
35.6,3.78406
35.7,3.78361
35.8,3.78337
35.9,3.78334
36,3.78285
36.1,3.78274
36.2,3.78255
36.3,3.7823
36.4,3.78216
36.5,3.78178
36.6,3.78169
36.7,3.78151
36.8,3.78122
36.9,3.78101
37,3.78081
37.1,3.78047
37.2,3.78031
37.3,3.77977
37.4,3.77972
37.5,3.77958
37.6,3.77944
37.7,3.77921
37.8,3.77903
37.9,3.77881
38,3.77852
38.1,3.77815
38.2,3.77829
38.3,3.77805
38.4,3.77763
38.5,3.7774
38.6,3.77719
38.7,3.77677
38.8,3.77681
38.9,3.77657
39,3.7764
39.1,3.77619
39.2,3.77575
39.3,3.7756
39.4,3.77547
39.5,3.77554
39.6,3.77519
39.7,3.77497
39.8,3.77466
39.9,3.77456
40,3.77417
40.1,3.77399
40.2,3.77392
40.3,3.77367
40.4,3.77338
40.5,3.77305
40.6,3.77297
40.7,3.77266
40.8,3.77246
40.9,3.77224
41,3.77214
41.1,3.77188
41.2,3.77174
41.3,3.77146
41.4,3.77127
41.5,3.77102
41.6,3.77089
41.7,3.77061
41.8,3.7706
41.9,3.77005
42,3.77
42.1,3.76975
42.2,3.76954
42.3,3.76914
42.4,3.76923
42.5,3.76892
42.6,3.76867
42.7,3.7685
42.8,3.76823
42.9,3.76812
43,3.76788
43.1,3.76778
43.2,3.76751
43.3,3.76747
43.4,3.76722
43.5,3.76687
43.6,3.76674
43.7,3.76666
43.8,3.76647
43.9,3.76632
44,3.76606
44.1,3.76583
44.2,3.76568
44.3,3.76537
44.4,3.76527
44.5,3.76523
44.6,3.76491
44.7,3.76463
44.8,3.76468
44.9,3.76456
45,3.76415
45.1,3.76406
45.2,3.76382
45.3,3.76355
45.4,3.76359
45.5,3.76327
45.6,3.76312
45.7,3.76286
45.8,3.76275
45.9,3.76263
46,3.76243
46.1,3.76203
46.2,3.76191
46.3,3.7616
46.4,3.76154
46.5,3.76148
46.6,3.76124
46.7,3.76107
46.8,3.76104
46.9,3.76086
47,3.76079
47.1,3.76059
47.2,3.76035
47.3,3.76014
47.4,3.75992
47.5,3.75966
47.6,3.75959
47.7,3.75944
47.8,3.7592
47.9,3.75905
48,3.75889
48.1,3.75864
48.2,3.75871
48.3,3.75835
48.4,3.75823
48.5,3.75815
48.6,3.75787
48.7,3.75786
48.8,3.75758
48.9,3.7574
49,3.75723
49.1,3.75721
49.2,3.75672
49.3,3.75678
49.4,3.7563
49.5,3.75631
49.6,3.75642
49.7,3.75612
49.8,3.75592
49.9,3.75587
50,3.75562
50.1,3.75558
50.2,3.75523
50.3,3.75514
50.4,3.75499
50.5,3.75479
50.6,3.75459
50.7,3.75436
50.8,3.75432
50.9,3.75428
51,3.754
51.1,3.75409
51.2,3.75382
51.3,3.75363
51.4,3.75343
51.5,3.75336
51.6,3.75317
51.7,3.7528
51.8,3.75262
51.9,3.75265
52,3.75229
52.1,3.75213
52.2,3.75208
52.3,3.75191
52.4,3.75174
52.5,3.75155
52.6,3.75127
52.7,3.75123
52.8,3.75107
52.9,3.75104
53,3.75088
53.1,3.75054
53.2,3.75052
53.3,3.75048
53.4,3.75012
53.5,3.75008
53.6,3.74995
53.7,3.74978
53.8,3.74948
53.9,3.74945
54,3.74923
54.1,3.74912
54.2,3.749
54.3,3.74877
54.4,3.74864
54.5,3.7485
54.6,3.74845
54.7,3.74824
54.8,3.74813
54.9,3.74802
55,3.74794
55.1,3.74788
55.2,3.74758
55.3,3.74741
55.4,3.74731
55.5,3.747
55.6,3.747
55.7,3.74691
55.8,3.74698
55.9,3.74678
56,3.74661
56.1,3.74651
56.2,3.74622
56.3,3.74598
56.4,3.74604
56.5,3.74586
56.6,3.74558
56.7,3.74563
56.8,3.74545
56.9,3.74526
57,3.74515
57.1,3.74511
57.2,3.74505
57.3,3.7449
57.4,3.7446
57.5,3.74436
57.6,3.74433
57.7,3.74426
57.8,3.74408
57.9,3.7439
58,3.74377
58.1,3.74364
58.2,3.74346
58.3,3.74345
58.4,3.74328
58.5,3.74303
58.6,3.74284
58.7,3.74284
58.8,3.74259
58.9,3.74261
59,3.74241
59.1,3.74223
59.2,3.74193
59.3,3.74198
59.4,3.74195
59.5,3.74171
59.6,3.74158
59.7,3.74144
59.8,3.74132
59.9,3.74128
60,3.74127
60.1,3.74089
60.2,3.74099
60.3,3.74082
60.4,3.74066
60.5,3.74044
60.6,3.74031
60.7,3.74012
60.8,3.74002
60.9,3.73989
61,3.73982
61.1,3.73962
61.2,3.73956
61.3,3.73932
61.4,3.73927
61.5,3.73917
61.6,3.739
61.7,3.73904
61.8,3.73884
61.9,3.73848
62,3.73859
62.1,3.73835
62.2,3.73821
62.3,3.73797
62.4,3.73807
62.5,3.73795
62.6,3.73771
62.7,3.73757
62.8,3.7376
62.9,3.73734
63,3.73717
63.1,3.73715
63.2,3.73689
63.3,3.73687
63.4,3.73661
63.5,3.73661
