Time,Stress
0,0.91316
0.1,0.90966
0.2,0.90674
0.3,0.9043
0.4,0.90231
0.5,0.90083
0.6,0.8993
0.7,0.89797
0.8,0.89694
0.9,0.89586
1,0.89481
1.1,0.89389
1.2,0.89303
1.3,0.89228
1.4,0.89157
1.5,0.89099
1.6,0.89018
1.7,0.88954
1.8,0.88902
1.9,0.88835
2,0.88778
2.1,0.88711
2.2,0.88662
2.3,0.88631
2.4,0.88571
2.5,0.88529
2.6,0.88487
2.7,0.88447
2.8,0.88371
2.9,0.8834
3,0.88323
3.1,0.88277
3.2,0.8824
3.3,0.88201
3.4,0.88168
3.5,0.88119
3.6,0.88091
3.7,0.88044
3.8,0.88016
3.9,0.87971
4,0.87938
4.1,0.87934
4.2,0.8788
4.3,0.87863
4.4,0.87819
4.5,0.87794
4.6,0.87767
4.7,0.87734
4.8,0.87719
4.9,0.87666
5,0.87656
5.1,0.8762
5.2,0.87605
5.3,0.8757
5.4,0.87557
5.5,0.87512
5.6,0.87501
5.7,0.87457
5.8,0.87445
5.9,0.87444
6,0.8739
6.1,0.87382
6.2,0.87358
6.3,0.87323
6.4,0.87326
6.5,0.8729
6.6,0.87261
6.7,0.87276
6.8,0.8722
6.9,0.87222
7,0.8719
7.1,0.87157
7.2,0.8714
7.3,0.87128
7.4,0.8713
7.5,0.8708
7.6,0.87072
7.7,0.87036
7.8,0.87038
7.9,0.87012
8,0.8701
8.1,0.86989
8.2,0.86958
8.3,0.86947
8.4,0.86924
8.5,0.86924
8.6,0.86907
8.7,0.86883
8.8,0.86874
8.9,0.86855
9,0.8683
9.1,0.86811
9.2,0.86807
9.3,0.86774
9.4,0.86777
9.5,0.86767
9.6,0.86732
9.7,0.86691
9.8,0.86713
9.9,0.8671
10,0.86693
10.1,0.86651
10.2,0.86647
10.3,0.86612
10.4,0.86605
10.5,0.86594
10.6,0.86572
10.7,0.8657
10.8,0.86563
10.9,0.86555
11,0.8653
11.1,0.86526
11.2,0.86504
11.3,0.86493
11.4,0.865
11.5,0.86479
11.6,0.86458
11.7,0.86455
11.8,0.86435
11.9,0.86428
12,0.86415
12.1,0.86403
12.2,0.86371
12.3,0.86364
12.4,0.86356
12.5,0.86338
12.6,0.86328
12.7,0.86305
12.8,0.86312
12.9,0.86274
13,0.863
13.1,0.86272
13.2,0.86249
13.3,0.86263
13.4,0.86234
13.5,0.86218
13.6,0.86229
13.7,0.86197
13.8,0.86193
13.9,0.86189
14,0.86188
14.1,0.86173
14.2,0.86171
14.3,0.86125
14.4,0.86137
14.5,0.86132
14.6,0.86131
14.7,0.86113
14.8,0.86109
14.9,0.8609
15,0.86079
15.1,0.86056
15.2,0.86028
15.3,0.86058
15.4,0.86018
15.5,0.86019
15.6,0.86009
15.7,0.86002
15.8,0.85995
15.9,0.85982
16,0.85982
16.1,0.85973
16.2,0.85974
16.3,0.85954
16.4,0.85943
16.5,0.85943
16.6,0.85918
16.7,0.85929
16.8,0.85899
16.9,0.85909
17,0.85903
17.1,0.85893
17.2,0.85881
17.3,0.85865
17.4,0.85857
17.5,0.85855
17.6,0.85842
17.7,0.85848
17.8,0.85824
17.9,0.85826
18,0.85823
18.1,0.85794
18.2,0.85776
18.3,0.858
18.4,0.85774
18.5,0.85763
18.6,0.85744
18.7,0.85746
18.8,0.85731
18.9,0.85725
19,0.85711
19.1,0.85725
19.2,0.85703
19.3,0.85694
19.4,0.85717
19.5,0.85666
19.6,0.85664
19.7,0.85679
19.8,0.85642
19.9,0.85658
20,0.8564
20.1,0.85637
20.2,0.85627
20.3,0.8563
20.4,0.85623
20.5,0.85606
20.6,0.85605
20.7,0.8558
20.8,0.85572
20.9,0.85578
21,0.85566
21.1,0.85586
21.2,0.85531
21.3,0.85523
21.4,0.85536
21.5,0.85519
21.6,0.85524
21.7,0.85536
21.8,0.8551
21.9,0.85504
22,0.85485
22.1,0.85493
22.2,0.85496
22.3,0.85489
22.4,0.85482
22.5,0.85479
22.6,0.85453
22.7,0.85458
22.8,0.85446
22.9,0.85464
23,0.85457
23.1,0.85434
23.2,0.85416
23.3,0.85428
23.4,0.85418
23.5,0.85412
23.6,0.85409
23.7,0.85403
23.8,0.854
23.9,0.85378
24,0.85381
24.1,0.85345
24.2,0.85373
24.3,0.85376
24.4,0.85348
24.5,0.85358
24.6,0.85357
24.7,0.85336
24.8,0.85354
24.9,0.85328
