Time,Stress
0,0.91316
5,0.87656
10,0.86693
15,0.86079
20,0.8564
25,0.85318
30,0.85075
35,0.8481
40,0.84617
45,0.84442
50,0.8429
55,0.84116
60,0.84011
65,0.83934
70,0.83806
75,0.837
80,0.83627
85,0.83507
90,0.83446
95,0.83353
100,0.83264
105,0.83195
110,0.83108
115,0.83038
120,0.82995
125,0.82932
130,0.8287
135,0.82801
140,0.82757
145,0.82679
150,0.8266
155,0.82584
160,0.8254
165,0.82483
170,0.82421
175,0.82399
180,0.82345
185,0.8228
190,0.82249
195,0.8222
200,0.82169
205,0.82145
210,0.82101
215,0.82078
220,0.82022
225,0.8198
230,0.81961
235,0.81939
240,0.81868
245,0.81858
250,0.81825
255,0.81774
260,0.81754
265,0.81721
270,0.81685
275,0.81656
280,0.81633
285,0.81602
290,0.81586
