Time,Stress
0.03,0.57795
0.0302,0.58969
0.03039,0.60116
0.03059,0.61281
0.03079,0.62388
0.03099,0.6334
0.03118,0.64476
0.03138,0.65511
0.03158,0.66541
0.03178,0.67627
0.03197,0.68579
0.03217,0.69772
0.03237,0.70785
0.03257,0.71727
0.03276,0.72749
0.03296,0.73851
0.03316,0.74671
0.03336,0.75786
0.03355,0.76809
0.03375,0.77654
0.03395,0.78734
0.03414,0.79604
0.03434,0.80638
0.03454,0.81673
0.03474,0.82543
0.03493,0.8363
0.03513,0.84543
0.03533,0.85477
0.03553,0.86662
0.03572,0.8738
0.03592,0.88477
0.03612,0.89355
0.03632,0.90372
0.03651,0.91409
0.03671,0.92248
0.03691,0.93071
0.03711,0.94241
0.0373,0.95185
0.0375,0.96011
0.0377,0.97137
0.03789,0.98038
0.03809,0.99008
0.03829,0.99983
0.03849,1.00955
0.03868,1.01947
0.03888,1.02939
0.03908,1.03776
0.03928,1.04844
0.03947,1.05732
0.03967,1.0673
0.03987,1.07738
0.04007,1.08622
0.04026,1.09596
0.04046,1.10685
0.04066,1.1151
0.04086,1.12498
0.04105,1.13471
0.04125,1.14412
0.04145,1.15469
0.04164,1.16325
0.04184,1.17296
0.04204,1.18368
0.04224,1.19288
0.04243,1.20213
0.04263,1.2119
0.04283,1.22217
0.04303,1.23215
0.04322,1.23958
0.04342,1.25035
0.04362,1.2604
0.04382,1.26965
0.04401,1.27951
0.04421,1.28998
0.04441,1.29822
0.04461,1.30976
0.0448,1.31857
0.045,1.32838
0.0452,1.33975
0.04539,1.34805
0.04559,1.35751
0.04579,1.36811
0.04599,1.37791
0.04618,1.38702
0.04638,1.39653
0.04658,1.40662
0.04678,1.41771
0.04697,1.42593
0.04717,1.4363
0.04737,1.44642
0.04757,1.45548
0.04776,1.46569
0.04796,1.47644
0.04816,1.48402
0.04836,1.49507
0.04855,1.50532
0.04875,1.51451
0.04895,1.52514
0.04914,1.53381
0.04934,1.54446
0.04954,1.55546
0.04974,1.56387
0.04993,1.57311
0.05013,1.58381
0.05033,1.59383
0.05053,1.60277
0.05072,1.61184
0.05092,1.62373
0.05112,1.63327
0.05132,1.64245
0.05151,1.65201
0.05171,1.66405
0.05191,1.67091
0.05211,1.68236
0.0523,1.69173
0.0525,1.70122
0.0527,1.71155
0.05289,1.72037
0.05309,1.72922
0.05329,1.73941
0.05349,1.74874
0.05368,1.75875
0.05388,1.76807
0.05408,1.77821
0.05428,1.78754
0.05447,1.79699
0.05467,1.80755
0.05487,1.8167
0.05507,1.82589
0.05526,1.83596
0.05546,1.84799
0.05566,1.85394
0.05586,1.86493
0.05605,1.87608
0.05625,1.88393
0.05645,1.89454
0.05664,1.90353
0.05684,1.9128
0.05704,1.92267
0.05724,1.93238
0.05743,1.94282
0.05763,1.95216
0.05783,1.96107
0.05803,1.97162
0.05822,1.98041
0.05842,1.99143
0.05862,2.00068
0.05882,2.0093
0.05901,2.01919
0.05921,2.02586
