Time,Stress
0.03,0.34043
0.0302,0.34973
0.0304,0.35738
0.0306,0.36468
0.03079,0.37174
0.03099,0.37927
0.03119,0.38644
0.03139,0.39279
0.03159,0.40074
0.03179,0.40743
0.03199,0.4138
0.03219,0.42106
0.03238,0.42866
0.03258,0.43465
0.03278,0.4418
0.03298,0.44896
0.03318,0.45531
0.03338,0.46209
0.03358,0.46948
0.03377,0.47589
0.03397,0.48272
0.03417,0.48983
0.03437,0.4967
0.03457,0.50309
0.03477,0.51054
0.03497,0.51732
0.03517,0.52419
0.03536,0.5306
0.03556,0.53882
0.03576,0.54502
0.03596,0.55156
0.03616,0.55883
0.03636,0.56621
0.03656,0.57243
0.03675,0.5802
0.03695,0.58706
0.03715,0.59353
0.03735,0.60109
0.03755,0.60834
0.03775,0.61501
0.03795,0.62287
0.03815,0.63006
0.03834,0.63644
0.03854,0.64459
0.03874,0.6517
0.03894,0.65824
0.03914,0.66646
0.03934,0.67379
0.03954,0.67999
0.03974,0.68824
0.03993,0.69564
0.04013,0.70244
0.04033,0.71048
0.04053,0.71807
0.04073,0.7249
0.04093,0.73304
0.04113,0.74081
0.04132,0.74752
0.04152,0.75578
0.04172,0.76381
0.04192,0.77022
0.04212,0.77835
0.04232,0.78655
0.04252,0.794
0.04272,0.80148
0.04291,0.80987
0.04311,0.81715
0.04331,0.82494
0.04351,0.83295
0.04371,0.84153
0.04391,0.84889
0.04411,0.85679
0.0443,0.86496
0.0445,0.87316
0.0447,0.88072
0.0449,0.88934
0.0451,0.89748
0.0453,0.90496
0.0455,0.91371
0.0457,0.92177
0.04589,0.92962
0.04609,0.93842
0.04629,0.94661
0.04649,0.95435
0.04669,0.96294
0.04689,0.97168
0.04709,0.97956
0.04728,0.98886
0.04748,0.99665
0.04768,1.00526
0.04788,1.01397
0.04808,1.02205
0.04828,1.02988
0.04848,1.03947
0.04868,1.04851
0.04887,1.05533
0.04907,1.06532
0.04927,1.07404
0.04947,1.0818
0.04967,1.09075
0.04987,1.10118
0.05007,1.10832
0.05026,1.11724
0.05046,1.12625
0.05066,1.13475
0.05086,1.14358
0.05106,1.15288
0.05126,1.16123
0.05146,1.1701
0.05166,1.17896
0.05185,1.18788
0.05205,1.19686
0.05225,1.20587
0.05245,1.21465
0.05265,1.22397
0.05285,1.23229
0.05305,1.24204
0.05325,1.25085
0.05344,1.25966
0.05364,1.26825
0.05384,1.27835
0.05404,1.28635
0.05424,1.2957
0.05444,1.30428
0.05464,1.3132
0.05483,1.32273
0.05503,1.33066
0.05523,1.33992
0.05543,1.34956
0.05563,1.35835
0.05583,1.36609
0.05603,1.37713
0.05623,1.38542
0.05642,1.39337
0.05662,1.4034
0.05682,1.41289
0.05702,1.42062
0.05722,1.43021
0.05742,1.43981
0.05762,1.44799
0.05781,1.45764
0.05801,1.46754
0.05821,1.47553
0.05841,1.48553
0.05861,1.49502
0.05881,1.50362
0.05901,1.51277
0.05921,1.52356
0.0594,1.53138
0.0596,1.5374
0.0598,1.53748
0.06,1.53757
