Time,Stress
1.99E-04,0.12005
3.97E-04,0.1256
5.96E-04,0.12966
7.95E-04,0.13342
9.93E-04,0.13745
0.00119,0.1408
0.00139,0.14449
0.00159,0.14788
0.00179,0.15188
0.00199,0.15511
0.00219,0.15847
0.00238,0.16213
0.00258,0.16513
0.00278,0.16854
0.00298,0.17176
0.00318,0.17473
0.00338,0.17836
0.00358,0.18183
0.00377,0.18476
0.00397,0.18794
0.00417,0.19128
0.00437,0.19456
0.00457,0.19769
0.00477,0.20107
0.00497,0.20389
0.00517,0.20712
0.00536,0.21022
0.00556,0.213
0.00576,0.2166
0.00596,0.2193
0.00616,0.22236
0.00636,0.22557
0.00656,0.22828
0.00675,0.23137
0.00695,0.23483
0.00715,0.23749
0.00735,0.2405
0.00755,0.24341
0.00775,0.24693
0.00795,0.24959
0.00815,0.25283
0.00834,0.25571
0.00854,0.25833
0.00874,0.26189
0.00894,0.26464
0.00914,0.26759
0.00934,0.27051
0.00954,0.27345
0.00974,0.27638
0.00993,0.27939
0.01013,0.28251
0.01033,0.2857
0.01053,0.28832
0.01073,0.29172
0.01093,0.29487
0.01113,0.29778
0.01132,0.30089
0.01152,0.30339
0.01172,0.30665
0.01192,0.30967
0.01212,0.31302
0.01232,0.31575
0.01252,0.31846
0.01272,0.32178
0.01291,0.3245
0.01311,0.32759
0.01331,0.33088
0.01351,0.33362
0.01371,0.33711
0.01391,0.34029
0.01411,0.34337
0.0143,0.34642
0.0145,0.34917
0.0147,0.3525
0.0149,0.3553
0.0151,0.35872
0.0153,0.36172
0.0155,0.36455
0.0157,0.3678
0.01589,0.37076
0.01609,0.37428
0.01629,0.37739
0.01649,0.3803
0.01669,0.38379
0.01689,0.38685
0.01709,0.38996
0.01728,0.39367
0.01748,0.39591
0.01768,0.39926
0.01788,0.40235
0.01808,0.4058
0.01828,0.409
0.01848,0.4117
0.01868,0.41471
0.01887,0.41776
0.01907,0.42151
0.01927,0.42453
0.01947,0.42692
0.01967,0.43031
0.01987,0.43302
0.02007,0.43601
0.02026,0.43919
0.02046,0.44131
0.02066,0.44457
0.02086,0.44728
0.02106,0.4503
0.02126,0.45323
0.02146,0.45548
0.02166,0.45869
0.02185,0.46153
0.02205,0.46462
0.02225,0.467
0.02245,0.47006
0.02265,0.4722
0.02285,0.47464
0.02305,0.47729
0.02325,0.4794
0.02344,0.48082
0.02364,0.4835
0.02384,0.48496
0.02404,0.48687
0.02424,0.48867
0.02444,0.48928
0.02464,0.49139
0.02483,0.49353
0.02503,0.49596
0.02523,0.49785
0.02543,0.49947
0.02563,0.50107
0.02583,0.50187
0.02603,0.50246
0.02623,0.50093
0.02642,0.50173
0.02662,0.50424
0.02682,0.50677
0.02702,0.51021
0.02722,0.51252
0.02742,0.51505
0.02762,0.51848
0.02781,0.51975
0.02801,0.52276
0.02821,0.52574
0.02841,0.52821
0.02861,0.5306
0.02881,0.53357
0.02901,0.53618
0.02921,0.53882
0.0294,0.54214
0.0296,0.54467
0.0298,0.5468
0.03,0.54999
0.0302,0.55259
0.0304,0.55481
0.0306,0.55756
0.03079,0.55978
0.03099,0.56238
0.03119,0.5648
0.03139,0.56697
0.03159,0.56921
0.03179,0.57152
0.03199,0.57425
0.03219,0.57698
0.03238,0.57958
0.03258,0.58213
0.03278,0.58431
0.03298,0.58694
0.03318,0.58898
0.03338,0.59139
0.03358,0.59365
0.03377,0.59528
0.03397,0.59789
0.03417,0.60013
0.03437,0.6026
0.03457,0.6051
0.03477,0.60706
0.03497,0.60992
0.03517,0.61257
0.03536,0.61562
0.03556,0.61767
0.03576,0.62009
0.03596,0.62281
