Time,Stress
0,4.41357
2,4.26789
4,4.20936
6,4.17022
8,4.13984
10,4.11549
12,4.09505
14,4.07733
16,4.06181
18,4.04792
20,4.03574
22,4.02388
24,4.01329
26,4.00372
28,3.99492
30,3.98628
32,3.97865
34,3.97163
36,3.96451
38,3.9581
40,3.95227
42,3.94647
44,3.94077
46,3.9356
48,3.9305
50,3.92565
52,3.92097
54,3.91664
56,3.91218
58,3.90792
60,3.904
62,3.89983
64,3.8961
66,3.89254
68,3.88932
70,3.88623
72,3.88293
74,3.87987
76,3.87698
78,3.87458
80,3.87159
82,3.86877
84,3.86629
86,3.86355
88,3.86106
90,3.85841
92,3.85585
94,3.85317
96,3.85054
98,3.84816
99.999,3.84618
