Time,Stress
0,4.10703
5,3.94168
10,3.88926
15,3.85702
20,3.83308
25,3.81404
30,3.79858
35,3.78521
40,3.77417
45,3.76415
50,3.75562
55,3.74794
60,3.74127
65,3.73454
70,3.72857
75,3.72304
80,3.71801
85,3.71293
90,3.70801
95,3.70335
100,3.69883
105,3.69473
110,3.69077
115,3.68692
120,3.68369
125,3.68073
130,3.6775
135,3.67413
140,3.6711
145,3.66775
150,3.66469
155,3.6615
160,3.65876
165,3.65596
170,3.65328
175,3.65117
180,3.64828
185,3.64603
190,3.6439
195,3.64178
200,3.63985
205,3.63818
210,3.63579
215,3.63379
220,3.63232
225,3.63045
230,3.62866
235,3.62694
240,3.62522
245,3.62345
250,3.62194
255,3.62011
260,3.61842
265,3.61655
270,3.61555
275,3.61383
280,3.61324
285,3.61203
290,3.61119
295,3.61021
300,3.6084
305,3.60705
310,3.60539
315,3.60412
320,3.60221
