Time,Stress
0,0.97689
0.1,0.97245
0.2,0.96886
0.3,0.96605
0.4,0.96357
0.5,0.96163
0.6,0.95968
0.7,0.95815
0.8,0.95661
0.9,0.95527
1,0.95386
1.1,0.95276
1.2,0.95171
1.3,0.95055
1.4,0.94969
1.5,0.9486
1.6,0.94787
1.7,0.94678
1.8,0.9461
1.9,0.94514
2,0.94449
2.1,0.94372
2.2,0.94306
2.3,0.9423
2.4,0.94178
2.5,0.94088
2.6,0.94046
2.7,0.93976
2.8,0.9392
2.9,0.93857
3,0.93801
3.1,0.93727
3.2,0.93672
3.3,0.93627
3.4,0.9358
3.5,0.93554
3.6,0.93458
3.7,0.93441
3.8,0.93384
3.9,0.93336
4,0.93281
4.1,0.93251
4.2,0.93188
4.3,0.93154
4.4,0.93104
4.5,0.93061
4.6,0.93033
4.7,0.92986
4.8,0.92958
4.9,0.92897
5,0.92874
5.1,0.92845
5.2,0.92817
5.3,0.92748
5.4,0.9273
5.5,0.92696
5.6,0.92653
5.7,0.92616
5.8,0.92588
5.9,0.92564
6,0.9252
6.1,0.92495
6.2,0.9246
6.3,0.92428
6.4,0.92388
6.5,0.92346
6.6,0.92331
6.7,0.92292
6.8,0.92283
6.9,0.92246
7,0.92212
7.1,0.92186
7.2,0.9217
7.3,0.92119
7.4,0.921
7.5,0.92068
7.6,0.92055
7.7,0.9203
7.8,0.91988
7.9,0.91977
8,0.91944
8.1,0.91894
8.2,0.91877
8.3,0.91844
8.4,0.91822
8.5,0.91812
8.6,0.91794
8.7,0.91769
8.8,0.91738
8.9,0.91697
9,0.91682
9.1,0.91656
9.2,0.91619
9.3,0.91592
9.4,0.91594
9.5,0.91571
9.6,0.91534
9.7,0.9154
9.8,0.91504
9.9,0.9147
10,0.91454
10.1,0.91449
10.2,0.91405
10.3,0.91383
10.4,0.91381
10.5,0.9135
10.6,0.91343
10.7,0.91298
10.8,0.91285
10.9,0.91268
11,0.91242
11.1,0.91221
11.2,0.91202
11.3,0.91206
11.4,0.91175
11.5,0.91176
11.6,0.91147
11.7,0.91126
11.8,0.91097
11.9,0.91062
12,0.91048
12.1,0.91046
12.2,0.91035
12.3,0.91012
12.4,0.90972
12.5,0.90972
12.6,0.9096
12.7,0.9095
12.8,0.90921
12.9,0.90907
13,0.9088
13.1,0.90862
13.2,0.90836
13.3,0.90838
13.4,0.90827
13.5,0.90813
13.6,0.90785
13.7,0.90778
13.8,0.9075
13.9,0.90735
14,0.90711
14.1,0.90706
14.2,0.90691
14.3,0.90692
14.4,0.90648
14.5,0.9066
14.6,0.90619
14.7,0.90601
14.8,0.90603
14.9,0.90582
15,0.90572
15.1,0.90528
15.2,0.90535
15.3,0.90521
15.4,0.90541
15.5,0.90502
15.6,0.90475
15.7,0.90485
15.8,0.90462
15.9,0.90448
16,0.90438
16.1,0.90428
16.2,0.90415
16.3,0.90385
16.4,0.90392
16.5,0.90363
16.6,0.90361
16.7,0.90344
16.8,0.9031
16.9,0.90337
17,0.90289
17.1,0.90272
17.2,0.90276
17.3,0.90247
17.4,0.90244
17.5,0.9024
17.6,0.90199
17.7,0.90217
17.8,0.90192
17.9,0.90152
18,0.90167
18.1,0.90156
18.2,0.90138
18.3,0.90105
18.4,0.90092
18.5,0.90092
18.6,0.90069
18.7,0.90076
18.8,0.90068
18.9,0.90041
19,0.90049
19.1,0.90023
19.2,0.90019
19.3,0.89986
19.4,0.9
19.5,0.89972
19.6,0.89962
19.7,0.89954
19.8,0.89955
19.9,0.89952
20,0.89925
20.1,0.89917
20.2,0.89918
20.3,0.89893
20.4,0.89873
20.5,0.8985
20.6,0.89878
20.7,0.89846
20.8,0.89861
20.9,0.89843
21,0.89828
21.1,0.89805
21.2,0.89813
21.3,0.89805
21.4,0.89782
21.5,0.89774
21.6,0.89775
21.7,0.89749
21.8,0.89738
21.9,0.89726
22,0.89709
22.1,0.89696
22.2,0.8969
22.3,0.8968
22.4,0.89673
22.5,0.89665
22.6,0.8967
22.7,0.89634
22.8,0.89625
22.9,0.89633
23,0.8961
23.1,0.89614
23.2,0.89627
23.3,0.89611
23.4,0.89585
23.5,0.8957
23.6,0.89565
23.7,0.89536
23.8,0.89547
23.9,0.89529
24,0.89512
24.1,0.89497
24.2,0.89503
24.3,0.8951
24.4,0.89492
24.5,0.89488
24.6,0.89467
24.7,0.89449
24.8,0.89465
24.9,0.89467
25,0.89455
25.1,0.8943
25.2,0.8944
25.3,0.89413
25.4,0.89402
25.5,0.89419
25.6,0.89378
25.7,0.89389
25.8,0.89374
25.9,0.89374
26,0.89345
26.1,0.89338
26.2,0.89337
26.3,0.89324
26.4,0.89308
26.5,0.89322
26.6,0.89319
26.7,0.8929
26.8,0.89289
26.9,0.89284
27,0.89279
27.1,0.89277
27.2,0.89281
27.3,0.89262
27.4,0.89255
27.5,0.89248
27.6,0.89228
27.7,0.89229
27.8,0.89208
27.9,0.89204
28,0.89203
28.1,0.89198
28.2,0.89185
28.3,0.89188
28.4,0.892
28.5,0.89158
28.6,0.89164
28.7,0.89161
28.8,0.89164
28.9,0.89154
29,0.89138
29.1,0.89117
29.2,0.89124
29.3,0.89107
29.4,0.89115
29.5,0.89094
29.6,0.891
29.7,0.89108
29.8,0.8909
29.9,0.8909
30,0.89064
30.1,0.89082
30.2,0.89063
30.3,0.8906
30.4,0.89051
30.5,0.89036
30.6,0.89048
30.7,0.89043
30.8,0.89017
30.9,0.89015
31,0.88995
31.1,0.88999
31.2,0.8899
31.3,0.8898
31.4,0.8898
31.5,0.88981
31.6,0.88964
31.7,0.88961
31.8,0.88963
31.9,0.8895
32,0.8894
32.1,0.88924
32.2,0.88911
32.3,0.88897
32.4,0.88894
32.5,0.88908
32.6,0.88859
32.7,0.88864
32.8,0.88862
32.9,0.88846
33,0.88849
33.1,0.88835
33.2,0.88806
33.3,0.88817
33.4,0.88818
33.5,0.88819
33.6,0.88815
33.7,0.88794
33.8,0.88796
33.9,0.88787
34,0.88781
34.1,0.88793
