Time,Stress
0,1.6548
0.1,1.65089
0.2,1.6461
0.3,1.64213
0.4,1.63866
0.5,1.63533
0.6,1.63224
0.7,1.62952
0.8,1.62709
0.9,1.625
1,1.62299
1.1,1.62113
1.2,1.61941
1.3,1.61776
1.4,1.61614
1.5,1.61462
1.6,1.61316
1.7,1.6118
1.8,1.61041
1.9,1.60917
2,1.60795
2.1,1.60682
2.2,1.60568
2.3,1.60455
2.4,1.60341
2.5,1.60235
2.6,1.6013
2.7,1.60025
2.8,1.59923
2.9,1.59832
3,1.59736
3.1,1.59645
3.2,1.59552
3.3,1.59467
3.4,1.59378
3.5,1.59295
3.6,1.59208
3.7,1.59136
3.8,1.59053
3.9,1.58978
4,1.58902
4.1,1.58827
4.2,1.58753
4.3,1.58677
4.4,1.58614
4.5,1.58549
4.6,1.58478
4.7,1.58411
4.8,1.58345
4.9,1.58281
5,1.58214
5.1,1.5815
5.2,1.58095
5.3,1.5803
5.4,1.57969
5.5,1.57912
5.6,1.57854
5.7,1.57796
5.8,1.57735
5.9,1.57684
6,1.57628
6.1,1.57574
6.2,1.57523
6.3,1.57474
6.4,1.57417
6.5,1.57368
6.6,1.57317
6.7,1.57271
6.8,1.57218
6.9,1.5717
7,1.57128
7.1,1.57069
7.2,1.57027
7.3,1.56986
7.4,1.56938
7.5,1.56892
7.6,1.56843
7.7,1.56802
7.8,1.5676
7.9,1.56714
8,1.56669
8.1,1.56622
8.2,1.5658
8.3,1.56538
8.4,1.56497
8.5,1.5646
8.6,1.56417
8.7,1.56373
8.8,1.56331
8.9,1.56292
9,1.56248
9.1,1.56216
9.2,1.56172
9.3,1.56136
9.4,1.56102
9.5,1.56061
9.6,1.56022
9.7,1.55988
9.8,1.5595
9.9,1.55912
10,1.55878
10.1,1.5584
10.2,1.55809
10.3,1.55765
10.4,1.55736
10.5,1.55704
10.6,1.55667
10.7,1.55633
10.8,1.55599
10.9,1.55559
11,1.55529
11.1,1.55498
11.2,1.55467
11.3,1.55431
11.4,1.55404
11.5,1.55371
11.6,1.55332
11.7,1.55305
11.8,1.55267
11.9,1.55243
12,1.55209
12.1,1.55181
12.2,1.55152
12.3,1.55123
12.4,1.55094
12.5,1.55065
12.6,1.55033
12.7,1.55006
12.8,1.54972
12.9,1.54949
13,1.54919
13.1,1.54886
13.2,1.54864
13.3,1.5483
13.4,1.54807
13.5,1.54777
13.6,1.54746
13.7,1.54717
13.8,1.54691
13.9,1.54661
14,1.5464
14.1,1.54609
14.2,1.54584
14.3,1.54562
14.4,1.54535
14.5,1.54501
14.6,1.5448
