Time,Stress
0,1.6548
2,1.60795
4,1.58902
6,1.57628
8,1.56669
10,1.55878
12,1.55209
14,1.5464
16,1.54136
18,1.53687
20,1.53285
22,1.5291
24,1.52562
26,1.52251
28,1.51959
30,1.51673
32,1.51409
34,1.51163
36,1.50925
38,1.507
40,1.50489
42,1.50286
44,1.50094
46,1.49905
48,1.49736
50,1.49568
52,1.49411
54,1.4926
56,1.49115
58,1.48972
60,1.48832
62,1.48696
64,1.48572
66,1.48442
68,1.48325
70,1.48206
72,1.48093
74,1.47981
76,1.47872
78,1.47777
80,1.47678
82,1.47587
84,1.47488
86,1.47399
88,1.47305
90,1.47229
92,1.47134
94,1.47062
96,1.46981
98,1.46902
99.999,1.46821
