Time,Stress
0,1.53757
0.1,1.5358
0.2,1.53276
0.3,1.53035
0.4,1.52831
0.5,1.52623
0.6,1.52441
0.7,1.52265
0.8,1.52119
0.9,1.51994
1,1.51879
1.1,1.51772
1.2,1.51674
1.3,1.51575
1.4,1.51484
1.5,1.51388
1.6,1.51307
1.7,1.51227
1.8,1.51144
1.9,1.5107
2,1.50996
2.1,1.50926
2.2,1.50852
2.3,1.50786
2.4,1.50717
2.5,1.50656
2.6,1.50591
2.7,1.50537
2.8,1.50474
2.9,1.50414
3,1.50357
3.1,1.50305
3.2,1.50249
3.3,1.50201
3.4,1.50143
3.5,1.50094
3.6,1.50042
3.7,1.49997
3.8,1.49944
3.9,1.49902
4,1.49857
4.1,1.49803
4.2,1.49765
4.3,1.49723
4.4,1.49683
4.5,1.49642
4.6,1.49597
4.7,1.4955
4.8,1.4951
4.9,1.49476
5,1.49435
5.1,1.49396
5.2,1.49363
5.3,1.49319
5.4,1.49284
5.5,1.49249
5.6,1.4921
5.7,1.49172
5.8,1.49139
5.9,1.491
6,1.49074
6.1,1.49038
6.2,1.49004
6.3,1.48971
6.4,1.48943
6.5,1.48911
6.6,1.48876
6.7,1.48847
6.8,1.48819
6.9,1.48788
7,1.48756
7.1,1.48724
7.2,1.48698
7.3,1.48669
7.4,1.48636
7.5,1.48609
7.6,1.48577
7.7,1.48547
7.8,1.4852
7.9,1.48494
8,1.48462
8.1,1.48443
8.2,1.48409
8.3,1.48383
8.4,1.48358
8.5,1.48334
8.6,1.48309
8.7,1.48285
8.8,1.48261
8.9,1.48229
9,1.48207
9.1,1.48182
9.2,1.48158
9.3,1.48137
9.4,1.4811
9.5,1.48085
9.6,1.48061
9.7,1.48042
9.8,1.48013
9.9,1.47992
10,1.47969
10.1,1.47947
10.2,1.47927
10.3,1.47897
10.4,1.47875
10.5,1.47857
10.6,1.47833
10.7,1.4782
10.8,1.47799
10.9,1.4777
11,1.47752
11.1,1.47729
11.2,1.4771
11.3,1.47693
11.4,1.47667
11.5,1.47648
11.6,1.47627
11.7,1.47606
11.8,1.4759
11.9,1.47569
12,1.47541
12.1,1.47527
12.2,1.47509
12.3,1.47489
12.4,1.47468
12.5,1.47453
12.6,1.47432
12.7,1.47413
12.8,1.47398
12.9,1.4738
13,1.4736
13.1,1.47341
13.2,1.47321
13.3,1.47299
13.4,1.4728
13.5,1.47268
13.6,1.47251
13.7,1.47239
13.8,1.47216
13.9,1.47199
14,1.4718
14.1,1.47163
14.2,1.47147
14.3,1.47129
14.4,1.47108
14.5,1.47097
14.6,1.47081
14.7,1.47061
14.8,1.47048
14.9,1.47033
15,1.47017
15.1,1.47001
15.2,1.46985
15.3,1.4697
15.4,1.46946
15.5,1.4693
15.6,1.4692
15.7,1.46903
15.8,1.46891
15.9,1.46876
16,1.46861
16.1,1.46847
16.2,1.46835
16.3,1.46812
16.4,1.46797
16.5,1.46782
16.6,1.46766
16.7,1.46749
16.8,1.46741
16.9,1.46723
17,1.46708
17.1,1.46694
17.2,1.46683
17.3,1.4667
17.4,1.46647
17.5,1.46636
17.6,1.46624
17.7,1.46607
17.8,1.46594
17.9,1.46583
18,1.46572
18.1,1.4656
18.2,1.46542
18.3,1.46528
18.4,1.46517
18.5,1.465
18.6,1.46489
18.7,1.46478
18.8,1.46459
18.9,1.46445
19,1.46431
19.1,1.46416
19.2,1.46408
19.3,1.46396
19.4,1.46377
19.5,1.46361
19.6,1.46357
19.7,1.4634
19.8,1.46332
19.9,1.46318
20,1.46311
20.1,1.46296
20.2,1.46278
20.3,1.46271
20.4,1.46254
20.5,1.46245
20.6,1.46233
20.7,1.4622
20.8,1.46209
20.9,1.46194
21,1.46185
21.1,1.46171
21.2,1.4616
21.3,1.46147
21.4,1.46138
21.5,1.46121
21.6,1.46108
21.7,1.46102
21.8,1.4609
21.9,1.4608
22,1.46062
22.1,1.46058
22.2,1.46042
22.3,1.46031
22.4,1.46022
22.5,1.46007
22.6,1.45999
22.7,1.45986
22.8,1.45976
22.9,1.45972
23,1.45958
23.1,1.45951
23.2,1.45937
23.3,1.45923
23.4,1.45912
23.5,1.459
23.6,1.45887
23.7,1.45884
23.8,1.4587
23.9,1.45861
24,1.45853
24.1,1.45844
24.2,1.45833
24.3,1.45823
24.4,1.45806
24.5,1.45799
24.6,1.4579
24.7,1.45775
24.8,1.4577
24.9,1.45764
25,1.45748
25.1,1.45742
25.2,1.45728
25.3,1.45713
25.4,1.4571
25.5,1.45703
25.6,1.45694
25.7,1.45682
25.8,1.45673
25.9,1.45664
