Time,Stress
0,1.53757
5,1.49435
10,1.47969
15,1.47017
20,1.46311
25,1.45748
30,1.45298
35,1.4492
40,1.44578
45,1.44287
50,1.44019
55,1.43774
60,1.43555
65,1.43347
70,1.43156
75,1.42979
80,1.42812
85,1.42656
90,1.42498
95,1.4236
100,1.42217
105,1.42081
110,1.41942
115,1.4183
120,1.41715
125,1.41606
130,1.41505
135,1.41399
140,1.41288
145,1.41191
150,1.41095
155,1.40989
160,1.40902
165,1.40831
170,1.40742
175,1.4065
180,1.40566
185,1.40496
190,1.40421
195,1.40358
200,1.40294
205,1.40232
210,1.40167
215,1.40092
220,1.40047
225,1.39997
230,1.39944
235,1.39894
240,1.39848
245,1.39795
250,1.39738
255,1.39693
260,1.3964
265,1.3959
270,1.39537
275,1.39482
