Time;Stress
0;2,4645
1;2,4429028
2;2,4220655
3;2,40196135
4;2,38256457
5;2,36385026
6;2,34579441
7;2,32837386
8;2,31156625
9;2,29535001
10;2,27970434
11;2,26460917
12;2,25004511
13;2,23599349
14;2,22243628
15;2,20935607
16;2,19673609
17;2,18456014
18;2,17281261
19;2,16147841
20;2,150543
21;2,13999235
22;2,12981293
23;2,11999167
24;2,11051597
25;2,10137367
26;2,09255304
27;2,08404277
28;2,07583192
29;2,06790998
30;2,06026677
31;2,05289248
32;2,04577766
33;2,03891318
34;2,03229021
35;2,02590028
36;2,01973518
37;2,01378699
38;2,00804809
39;2,00251112
40;1,99716896
41;1,99201476
42;1,98704192
43;1,98224404
44;1,97761498
45;1,97314879
46;1,96883974
47;1,96468231
48;1,96067115
49;1,95680113
50;1,95306727
51;1,94946479
52;1,94598906
53;1,94263562
54;1,93940018
55;1,93627857
56;1,9332668
57;1,93036099
58;1,92755743
59;1,92485251
60;1,92224276
61;1,91972483
62;1,9172955
63;1,91495164
64;1,91269026
65;1,91050843
66;1,90840338
67;1,90637239
68;1,90441286
69;1,90252228
70;1,90069822
71;1,89893834
72;1,89724037
73;1,89560215
74;1,89402158
75;1,89249661
76;1,8910253
77;1,88960576
78;1,88823616
79;1,88691475
80;1,88563984
81;1,88440978
82;1,88322301
83;1,88207799
84;1,88097325
85;1,87990739
86;1,87887903
87;1,87788685
88;1,87692958
89;1,876006
90;1,8751149
91;1,87425517
92;1,87342568
93;1,87262538
94;1,87185323
95;1,87110826
96;1,87038949
97;1,86969602
98;1,86902694
99;1,86838141
100;1,86775859
101;1,86715768
102;1,86657792
103;1,86601855
104;1,86547887
105;1,86495817
106;1,8644558
107;1,8639711
108;1,86350345
109;1,86305226
110;1,86261695
111;1,86219695
112;1,86179173
113;1,86140076
114;1,86102355
115;1,86065962
116;1,86030849
117;1,85996971
118;1,85964285
119;1,8593275
120;1,85902324
121;1,85872968
122;1,85844646
123;1,85817319
124;1,85790955
125;1,85765518
126;1,85740976
127;1,85717297
128;1,85694452
129;1,8567241
130;1,85651144
131;1,85630626
132;1,85610831
133;1,85591731
134;1,85573304
135;1,85555525
136;1,85538371
137;1,85521821
138;1,85505854
139;1,85490448
140;1,85475584
141;1,85461244
142;1,85447407
143;1,85434058
144;1,85421178
145;1,85408752
146;1,85396763
147;1,85385195
148;1,85374035
149;1,85363267
150;1,85352878
151;1,85342855
152;1,85333184
153;1,85323854
154;1,85314851
155;1,85306166
156;1,85297786
157;1,85289701
158;1,85281901
159;1,85274375
160;1,85267113
161;1,85260108
162;1,85253348
163;1,85246827
164;1,85240535
165;1,85234464
166;1,85228607
167;1,85222956
168;1,85217504
169;1,85212244
170;1,85207169
171;1,85202272
172;1,85197548
173;1,8519299
174;1,85188592
175;1,85184349
176;1,85180255
177;1,85176306
178;1,85172495
179;1,85168818
180;1,85165271
181;1,85161849
182;1,85158547
183;1,85155361
184;1,85152287
185;1,85149321
186;1,8514646
187;1,85143699
188;1,85141036
189;1,85138466
190;1,85135987
191;1,85133595
192;1,85131287
193;1,8512906
194;1,85126912
195;1,85124839
196;1,85122839
197;1,8512091
198;1,85119048
199;1,85117252
200;1,85115519
201;1,85113847
202;1,85112234
203;1,85110678
204;1,85109176
205;1,85107727
206;1,85106329
207;1,85104981
208;1,8510368
209;1,85102424
210;1,85101213
211;1,85100044
212;1,85098917
213;1,85097829
214;1,8509678
215;1,85095767
216;1,8509479
217;1,85093847
218;1,85092938
219;1,85092061
220;1,85091214
221;1,85090397
222;1,85089609
223;1,85088849
224;1,85088115
225;1,85087408
226;1,85086725
227;1,85086066
228;1,8508543
229;1,85084817
230;1,85084225
231;1,85083654
232;1,85083104
233;1,85082572
234;1,85082059
235;1,85081565
236;1,85081088
237;1,85080627
238;1,85080183
239;1,85079754
240;1,85079341
241;1,85078942
242;1,85078557
243;1,85078185
244;1,85077827
245;1,85077481
246;1,85077147
247;1,85076826
248;1,85076515
249;1,85076215
250;1,85075926
251;1,85075648
252;1,85075378
253;1,85075119
254;1,85074868
255;1,85074627
256;1,85074394
257;1,85074169
258;1,85073952
259;1,85073742
260;1,8507354
261;1,85073345
262;1,85073157
263;1,85072976
264;1,85072801
265;1,85072632
266;1,85072469
267;1,85072311
268;1,8507216
269;1,85072013
270;1,85071872
271;1,85071736
272;1,85071605
273;1,85071478
274;1,85071355
275;1,85071237
276;1,85071123
277;1,85071013
278;1,85070907
279;1,85070805
280;1,85070706
281;1,85070611
282;1,85070519
283;1,85070431
284;1,85070345
285;1,85070263
286;1,85070183
287;1,85070106
288;1,85070032
289;1,85069961
290;1,85069892
291;1,85069825
292;1,85069761
293;1,85069699
294;1,85069639
295;1,85069581
296;1,85069526
297;1,85069472
298;1,8506942
299;1,8506937
300;1,85069322
301;1,85069276
302;1,85069231
303;1,85069187
304;1,85069146
305;1,85069105
306;1,85069066
307;1,85069029
308;1,85068993
309;1,85068958
310;1,85068924
311;1,85068892
312;1,8506886
313;1,8506883
314;1,85068801
315;1,85068773
316;1,85068745
317;1,85068719
318;1,85068694
319;1,85068669
320;1,85068646
321;1,85068623
322;1,85068601
323;1,8506858
324;1,8506856
325;1,8506854
326;1,85068521
327;1,85068503
328;1,85068485
329;1,85068468
330;1,85068451
331;1,85068436
332;1,8506842
333;1,85068405
334;1,85068391
335;1,85068377
336;1,85068364
337;1,85068351
338;1,85068339
339;1,85068327
340;1,85068316
341;1,85068304
342;1,85068294
343;1,85068283
344;1,85068273
345;1,85068264
346;1,85068255
347;1,85068246
348;1,85068237
349;1,85068229
350;1,85068221
351;1,85068213
352;1,85068205
353;1,85068198
354;1,85068191
355;1,85068184
356;1,85068178
357;1,85068172
358;1,85068166
359;1,8506816
360;1,85068154
361;1,85068149
362;1,85068143
363;1,85068138
364;1,85068134
365;1,85068129
366;1,85068124
367;1,8506812
368;1,85068116
369;1,85068112
370;1,85068108
371;1,85068104
372;1,850681
373;1,85068097
374;1,85068093
375;1,8506809
376;1,85068087
377;1,85068084
378;1,85068081
379;1,85068078
380;1,85068075
381;1,85068073
382;1,8506807
383;1,85068068
384;1,85068065
385;1,85068063
386;1,85068061
387;1,85068059
388;1,85068057
389;1,85068055
390;1,85068053
391;1,85068051
392;1,85068049
393;1,85068047
394;1,85068046
395;1,85068044
396;1,85068042
397;1,85068041
398;1,8506804
399;1,85068038
400;1,85068037
401;1,85068035
402;1,85068034
403;1,85068033
404;1,85068032
405;1,85068031
406;1,8506803
407;1,85068029
408;1,85068028
409;1,85068027
410;1,85068026
411;1,85068025
412;1,85068024
413;1,85068023
414;1,85068022
415;1,85068021
416;1,85068021
417;1,8506802
418;1,85068019
419;1,85068019
420;1,85068018
421;1,85068017
422;1,85068017
423;1,85068016
424;1,85068016
