Time;Stress
0;2,00147
2;1,96702204
4;1,94432301
6;1,92841215
8;1,91649076
10;1,90697495
12;1,89896378
14;1,89194056
16;1,88560516
18;1,87977971
20;1,8743557
22;1,86926418
24;1,86445899
26;1,85990731
28;1,8555843
30;1,8514701
32;1,84754802
34;1,84380362
36;1,84022402
38;1,83679763
40;1,83351384
42;1,83036294
44;1,82733596
46;1,82442462
48;1,82162124
50;1,81891873
52;1,8163105
54;1,81379044
56;1,8113529
58;1,80899262
60;1,80670472
62;1,80448468
64;1,8023283
66;1,80023169
68;1,79819122
70;1,79620353
72;1,79426552
74;1,79237427
76;1,79052711
78;1,78872153
80;1,7869552
82;1,78522598
84;1,78353185
86;1,78187095
88;1,78024156
90;1,77864205
92;1,77707093
94;1,7755268
96;1,77400837
98;1,77251443
100;1,77104385
102;1,76959558
104;1,76816866
106;1,76676216
108;1,76537524
110;1,76400711
112;1,76265703
114;1,76132432
116;1,76000832
118;1,75870844
120;1,75742411
122;1,75615482
124;1,75490006
126;1,75365937
128;1,75243234
130;1,75121854
132;1,7500176
134;1,74882917
136;1,7476529
138;1,74648849
140;1,74533564
142;1,74419407
144;1,74306352
146;1,74194373
148;1,74083448
150;1,73973554
152;1,73864671
154;1,73756778
156;1,73649857
158;1,7354389
160;1,7343886
162;1,73334751
164;1,73231548
166;1,73129236
168;1,730278
170;1,72927229
172;1,72827509
174;1,72728627
176;1,72630573
178;1,72533335
180;1,72436902
182;1,72341264
184;1,72246411
186;1,72152333
188;1,72059021
190;1,71966466
192;1,7187466
194;1,71783594
196;1,71693259
198;1,71603648
200;1,71514754
202;1,71426569
204;1,71339085
206;1,71252296
208;1,71166194
210;1,71080773
212;1,70996027
214;1,70911948
216;1,70828531
218;1,7074577
220;1,70663658
222;1,70582189
224;1,70501358
226;1,7042116
228;1,70341587
230;1,70262636
232;1,701843
234;1,70106575
236;1,70029454
238;1,69952933
240;1,69877007
242;1,69801671
244;1,6972692
246;1,69652749
248;1,69579153
250;1,69506127
252;1,69433667
254;1,69361768
256;1,69290426
258;1,69219636
260;1,69149393
262;1,69079694
264;1,69010533
266;1,68941907
268;1,68873811
270;1,68806242
272;1,68739193
274;1,68672663
276;1,68606646
278;1,68541139
280;1,68476137
282;1,68411636
284;1,68347633
286;1,68284124
288;1,68221105
290;1,68158571
292;1,6809652
294;1,68034947
296;1,67973848
298;1,67913221
300;1,6785306
302;1,67793363
304;1,67734127
306;1,67675346
308;1,67617019
310;1,67559141
312;1,67501709
314;1,67444719
316;1,67388168
318;1,67332052
320;1,67276369
322;1,67221115
324;1,67166286
326;1,6711188
328;1,67057892
330;1,6700432
332;1,66951161
334;1,66898411
336;1,66846067
338;1,66794126
340;1,66742585
342;1,66691441
344;1,66640691
346;1,66590331
348;1,66540359
350;1,66490772
352;1,66441567
354;1,6639274
356;1,66344289
358;1,66296212
360;1,66248504
