Time;Stress
0;4,41433
1;4,32179585
2;4,26944247
3;4,235414
4;4,21024782
5;4,18978922
6;4,17216341
7;4,15648077
8;4,14228251
9;4,12930278
10;4,11736605
11;4,10634232
12;4,09612728
13;4,08663307
14;4,07778371
15;4,06951263
16;4,06176107
17;4,05447702
18;4,04761434
19;4,04113207
20;4,0349938
21;4,02916716
22;4,02362337
23;4,0183368
24;4,01328466
25;4,00844661
26;4,00380454
27;3,99934231
28;3,99504549
29;3,99090121
30;3,98689794
31;3,98302539
32;3,97927434
33;3,97563651
34;3,97210446
35;3,96867154
36;3,96533173
37;3,96207962
38;3,95891033
39;3,95581943
40;3,95280292
41;3,94985717
42;3,94697889
43;3,94416507
44;3,94141295
45;3,93872002
46;3,93608398
47;3,93350272
48;3,93097426
49;3,92849682
50;3,92606871
51;3,92368838
52;3,92135438
53;3,91906536
54;3,91682005
55;3,91461725
56;3,91245586
57;3,91033481
58;3,90825309
59;3,90620977
60;3,90420393
61;3,90223472
62;3,90030131
63;3,89840292
64;3,89653879
65;3,89470819
66;3,89291044
67;3,89114484
68;3,88941077
69;3,88770758
70;3,88603466
71;3,88439144
72;3,88277732
73;3,88119177
74;3,87963423
75;3,87810419
76;3,87660112
77;3,87512452
78;3,87367392
79;3,87224882
80;3,87084877
81;3,8694733
82;3,86812198
83;3,86679437
84;3,86549004
85;3,86420856
86;3,86294955
87;3,86171258
88;3,86049728
89;3,85930325
90;3,85813011
91;3,85697751
92;3,85584506
93;3,85473243
94;3,85363925
95;3,85256519
96;3,8515099
97;3,85047306
98;3,84945434
99;3,84845343
100;3,84747001
101;3,84650377
102;3,84555442
103;3,84462165
104;3,84370518
105;3,84280472
106;3,84191999
107;3,84105072
108;3,84019662
109;3,83935745
110;3,83853294
111;3,83772282
112;3,83692686
113;3,83614479
114;3,83537639
115;3,8346214
116;3,8338796
117;3,83315076
118;3,83243464
119;3,83173103
120;3,8310397
121;3,83036045
122;3,82969306
123;3,82903732
124;3,82839304
125;3,82776
126;3,82713802
127;3,82652691
128;3,82592646
129;3,8253365
130;3,82475684
131;3,8241873
132;3,82362771
133;3,82307788
134;3,82253766
135;3,82200688
136;3,82148536
137;3,82097295
138;3,82046948
139;3,81997481
140;3,81948877
141;3,81901122
142;3,81854201
143;3,818081
144;3,81762803
145;3,81718297
146;3,81674569
147;3,81631604
148;3,81589389
149;3,81547911
150;3,81507158
151;3,81467116
152;3,81427774
153;3,81389118
154;3,81351137
155;3,8131382
156;3,81277154
157;3,81241129
158;3,81205732
159;3,81170954
160;3,81136782
161;3,81103208
162;3,8107022
163;3,81037808
164;3,81005961
165;3,80974671
166;3,80943927
167;3,8091372
168;3,80884041
169;3,8085488
170;3,80826228
171;3,80798076
172;3,80770416
173;3,80743238
174;3,80716536
175;3,80690299
176;3,80664521
177;3,80639193
178;3,80614307
179;3,80589856
180;3,80565831
181;3,80542227
182;3,80519034
183;3,80496246
184;3,80473856
185;3,80451858
186;3,80430243
187;3,80409005
188;3,80388139
189;3,80367637
190;3,80347493
191;3,803277
192;3,80308254
193;3,80289146
194;3,80270373
195;3,80251927
196;3,80233803
197;3,80215996
198;3,801985
199;3,80181309
200;3,80164419
201;3,80147823
202;3,80131517
203;3,80115496
204;3,80099755
205;3,80084288
206;3,80069092
207;3,80054161
208;3,8003949
209;3,80025076
210;3,80010914
211;3,79996998
212;3,79983326
213;3,79969893
214;3,79956694
215;3,79943725
216;3,79930983
217;3,79918464
218;3,79906163
219;3,79894077
220;3,79882201
221;3,79870534
222;3,7985907
223;3,79847806
224;3,79836739
225;3,79825865
226;3,79815181
227;3,79804683
228;3,79794369
229;3,79784235
230;3,79774278
231;3,79764495
232;3,79754882
233;3,79745438
234;3,79736158
235;3,79727041
236;3,79718082
237;3,7970928
238;3,79700632
239;3,79692135
240;3,79683786
241;3,79675583
242;3,79667523
243;3,79659604
244;3,79651823
245;3,79644178
246;3,79636666
247;3,79629286
248;3,79622034
249;3,7961491
250;3,79607909
251;3,79601031
252;3,79594273
253;3,79587633
254;3,79581109
255;3,79574698
256;3,795684
257;3,79562212
258;3,79556131
259;3,79550157
260;3,79544288
261;3,7953852
262;3,79532854
263;3,79527286
264;3,79521816
265;3,79516441
266;3,7951116
267;3,79505971
268;3,79500873
269;3,79495864
270;3,79490942
271;3,79486106
272;3,79481355
273;3,79476686
274;3,79472099
275;3,79467593
276;3,79463165
277;3,79458814
278;3,79454539
279;3,79450339
280;3,79446212
281;3,79442157
282;3,79438173
283;3,79434259
284;3,79430413
285;3,79426634
286;3,79422921
287;3,79419273
288;3,79415689
289;3,79412167
290;3,79408707
291;3,79405307
292;3,79401966
293;3,79398684
294;3,79395459
295;3,79392291
296;3,79389178
297;3,79386119
298;3,79383113
299;3,7938016
300;3,79377259
301;3,79374408
302;3,79371607
303;3,79368855
304;3,79366151
305;3,79363494
306;3,79360884
307;3,79358319
308;3,79355799
309;3,79353323
310;3,79350891
311;3,793485
312;3,79346152
313;3,79343844
314;3,79341577
315;3,79339349
316;3,7933716
317;3,7933501
318;3,79332897
319;3,79330821
320;3,79328781
321;3,79326777
322;3,79324807
323;3,79322873
324;3,79320971
325;3,79319104
326;3,79317268
327;3,79315465
328;3,79313693
329;3,79311953
330;3,79310242
331;3,79308562
332;3,79306911
333;3,79305288
334;3,79303694
335;3,79302128
336;3,79300589
337;3,79299077
338;3,79297592
339;3,79296132
340;3,79294698
341;3,79293289
342;3,79291904
343;3,79290544
344;3,79289207
345;3,79287894
346;3,79286604
347;3,79285336
348;3,7928409
349;3,79282867
350;3,79281664
351;3,79280483
352;3,79279322
353;3,79278181
354;3,7927706
355;3,79275959
356;3,79274877
357;3,79273814
358;3,7927277
359;3,79271744
360;3,79270735
361;3,79269745
362;3,79268771
363;3,79267815
364;3,79266875
365;3,79265952
366;3,79265045
367;3,79264154
368;3,79263278
369;3,79262417
370;3,79261572
371;3,79260741
372;3,79259925
373;3,79259123
374;3,79258335
375;3,79257561
376;3,792568
377;3,79256053
378;3,79255319
379;3,79254597
380;3,79253888
381;3,79253192
382;3,79252508
383;3,79251835
384;3,79251175
385;3,79250525
386;3,79249888
387;3,79249261
388;3,79248645
389;3,7924804
390;3,79247446
391;3,79246862
392;3,79246288
393;3,79245724
394;3,7924517
395;3,79244626
396;3,79244091
397;3,79243566
398;3,7924305
399;3,79242542
400;3,79242044
401;3,79241554
402;3,79241073
403;3,792406
404;3,79240136
405;3,7923968
406;3,79239231
407;3,79238791
408;3,79238358
409;3,79237932
410;3,79237514
411;3,79237104
412;3,792367
413;3,79236304
414;3,79235915
415;3,79235532
416;3,79235156
417;3,79234787
418;3,79234424
419;3,79234067
420;3,79233717
421;3,79233372
422;3,79233034
423;3,79232702
424;3,79232375
425;3,79232054
426;3,79231739
427;3,79231429
428;3,79231125
429;3,79230826
430;3,79230532
431;3,79230243
432;3,7922996
433;3,79229681
434;3,79229407
435;3,79229138
436;3,79228874
437;3,79228614
438;3,79228359
439;3,79228108
440;3,79227862
441;3,7922762
442;3,79227382
443;3,79227148
444;3,79226919
445;3,79226693
446;3,79226472
447;3,79226254
448;3,7922604
449;3,7922583
450;3,79225623
451;3,7922542
452;3,79225221
453;3,79225025
454;3,79224832
455;3,79224643
456;3,79224457
457;3,79224275
458;3,79224095
459;3,79223919
460;3,79223746
461;3,79223576
462;3,79223408
463;3,79223244
464;3,79223083
465;3,79222924
466;3,79222768
467;3,79222615
468;3,79222465
469;3,79222317
470;3,79222172
471;3,79222029
472;3,79221889
473;3,79221751
474;3,79221616
475;3,79221483
476;3,79221352
477;3,79221224
478;3,79221098
479;3,79220974
480;3,79220852
481;3,79220732
482;3,79220615
483;3,79220499
484;3,79220386
485;3,79220274
486;3,79220165
487;3,79220057
488;3,79219951
489;3,79219847
490;3,79219745
491;3,79219645
492;3,79219546
493;3,79219449
494;3,79219354
495;3,79219261
496;3,79219169
497;3,79219079
498;3,7921899
499;3,79218903
500;3,79218817
501;3,79218733
502;3,79218651
503;3,79218569
504;3,7921849
505;3,79218411
506;3,79218334
507;3,79218258
508;3,79218184
509;3,79218111
510;3,79218039
511;3,79217969
512;3,79217899
513;3,79217831
514;3,79217764
515;3,79217699
516;3,79217634
517;3,79217571
518;3,79217508
519;3,79217447
520;3,79217387
521;3,79217328
522;3,7921727
523;3,79217212
524;3,79217156
525;3,79217101
526;3,79217047
527;3,79216994
528;3,79216942
529;3,7921689
530;3,7921684
531;3,7921679
532;3,79216742
533;3,79216694
534;3,79216647
535;3,792166
536;3,79216555
537;3,7921651
538;3,79216467
539;3,79216423
540;3,79216381
541;3,7921634
542;3,79216299
543;3,79216259
544;3,79216219
545;3,7921618
546;3,79216142
547;3,79216105
548;3,79216068
549;3,79216032
550;3,79215997
551;3,79215962
552;3,79215927
553;3,79215894
554;3,79215861
555;3,79215828
556;3,79215796
557;3,79215765
558;3,79215734
559;3,79215704
560;3,79215674
561;3,79215645
562;3,79215616
563;3,79215588
564;3,7921556
565;3,79215533
566;3,79215506
567;3,7921548
568;3,79215454
569;3,79215429
570;3,79215404
571;3,79215379
572;3,79215355
573;3,79215331
574;3,79215308
575;3,79215285
576;3,79215263
577;3,79215241
578;3,79215219
579;3,79215198
580;3,79215177
581;3,79215156
582;3,79215136
583;3,79215116
584;3,79215097
585;3,79215078
586;3,79215059
587;3,7921504
588;3,79215022
589;3,79215004
590;3,79214987
591;3,7921497
592;3,79214953
593;3,79214936
594;3,7921492
595;3,79214904
596;3,79214888
597;3,79214872
598;3,79214857
599;3,79214842
600;3,79214827
601;3,79214813
602;3,79214799
603;3,79214785
604;3,79214771
605;3,79214758
606;3,79214744
607;3,79214731
608;3,79214719
609;3,79214706
610;3,79214694
611;3,79214682
612;3,7921467
613;3,79214658
614;3,79214647
615;3,79214635
616;3,79214624
617;3,79214613
618;3,79214603
619;3,79214592
620;3,79214582
621;3,79214572
622;3,79214562
623;3,79214552
624;3,79214542
625;3,79214533
626;3,79214523
627;3,79214514
628;3,79214505
629;3,79214496
630;3,79214488
631;3,79214479
632;3,79214471
633;3,79214463
634;3,79214455
635;3,79214447
636;3,79214439
637;3,79214431
638;3,79214424
639;3,79214416
640;3,79214409
641;3,79214402
642;3,79214395
643;3,79214388
644;3,79214381
645;3,79214375
646;3,79214368
647;3,79214362
648;3,79214355
649;3,79214349
650;3,79214343
651;3,79214337
652;3,79214331
653;3,79214325
654;3,7921432
655;3,79214314
656;3,79214309
657;3,79214303
658;3,79214298
659;3,79214293
660;3,79214288
661;3,79214283
662;3,79214278
663;3,79214273
664;3,79214268
665;3,79214263
666;3,79214259
667;3,79214254
668;3,7921425
669;3,79214245
670;3,79214241
671;3,79214237
672;3,79214233
673;3,79214229
674;3,79214225
675;3,79214221
676;3,79214217
677;3,79214213
678;3,79214209
679;3,79214206
680;3,79214202
681;3,79214199
682;3,79214195
683;3,79214192
684;3,79214188
685;3,79214185
686;3,79214182
687;3,79214179
688;3,79214176
689;3,79214173
690;3,7921417
691;3,79214167
692;3,79214164
693;3,79214161
694;3,79214158
695;3,79214155
696;3,79214153
697;3,7921415
698;3,79214147
699;3,79214145
700;3,79214142
701;3,7921414
702;3,79214137
703;3,79214135
704;3,79214132
705;3,7921413
706;3,79214128
707;3,79214126
708;3,79214123
709;3,79214121
710;3,79214119
711;3,79214117
712;3,79214115
713;3,79214113
714;3,79214111
715;3,79214109
716;3,79214107
717;3,79214105
718;3,79214104
719;3,79214102
720;3,792141
721;3,79214098
722;3,79214096
723;3,79214095
724;3,79214093
725;3,79214092
726;3,7921409
727;3,79214088
728;3,79214087
729;3,79214085
730;3,79214084
731;3,79214082
732;3,79214081
733;3,79214079
734;3,79214078
735;3,79214077
736;3,79214075
737;3,79214074
738;3,79214073
739;3,79214072
740;3,7921407
741;3,79214069
742;3,79214068
743;3,79214067
