Time;Stress
0;0,98358
1;0,95832275
2;0,94618405
3;0,93905077
4;0,93397766
5;0,9298781
6;0,92633595
7;0,9231787
8;0,92032397
9;0,91772406
10;0,91534578
11;0,91316304
12;0,91115388
13;0,90929929
14;0,90758257
15;0,905989
16;0,90450555
17;0,90312068
18;0,90182419
19;0,90060701
20;0,89946112
21;0,8983794
22;0,89735554
23;0,89638394
24;0,89545962
25;0,89457817
26;0,89373568
27;0,89292865
28;0,89215398
29;0,89140893
30;0,89069104
31;0,88999812
32;0,88932822
33;0,88867961
34;0,88805073
35;0,88744019
36;0,88684676
37;0,88626932
38;0,88570686
39;0,88515851
40;0,88462344
41;0,88410094
42;0,88359034
43;0,88309106
44;0,88260256
45;0,88212435
46;0,88165599
47;0,88119707
48;0,88074723
49;0,88030612
50;0,87987344
51;0,87944889
52;0,87903223
53;0,87862319
54;0,87822156
55;0,87782713
56;0,87743969
57;0,87705905
58;0,87668506
59;0,87631754
60;0,87595634
61;0,87560132
62;0,87525233
63;0,87490924
64;0,87457193
65;0,87424028
66;0,87391417
67;0,87359349
68;0,87327814
69;0,87296801
70;0,872663
71;0,87236303
72;0,87206798
73;0,87177779
74;0,87149235
75;0,87121158
76;0,87093541
77;0,87066375
78;0,87039652
79;0,87013364
80;0,86987505
81;0,86962067
82;0,86937042
83;0,86912424
84;0,86888206
85;0,86864381
86;0,86840943
87;0,86817885
88;0,867952
89;0,86772884
90;0,86750929
91;0,8672933
92;0,86708081
93;0,86687176
94;0,86666609
95;0,86646375
96;0,86626469
97;0,86606885
98;0,86587618
99;0,86568663
100;0,86550014
101;0,86531667
102;0,86513616
103;0,86495858
104;0,86478387
105;0,86461198
106;0,86444287
107;0,8642765
108;0,86411282
109;0,86395178
110;0,86379335
111;0,86363748
112;0,86348413
113;0,86333326
114;0,86318482
115;0,86303879
116;0,86289512
117;0,86275377
118;0,8626147
119;0,86247789
120;0,86234328
121;0,86221085
122;0,86208056
123;0,86195238
124;0,86182627
125;0,8617022
126;0,86158013
127;0,86146003
128;0,86134188
129;0,86122564
130;0,86111127
131;0,86099876
132;0,86088806
133;0,86077915
134;0,86067201
135;0,86056659
136;0,86046288
137;0,86036085
138;0,86026046
139;0,8601617
140;0,86006453
141;0,85996893
142;0,85987488
143;0,85978235
144;0,85969131
145;0,85960175
146;0,85951363
147;0,85942694
148;0,85934165
149;0,85925774
150;0,85917518
151;0,85909396
152;0,85901405
153;0,85893543
154;0,85885808
155;0,85878199
156;0,85870712
157;0,85863346
158;0,858561
159;0,8584897
160;0,85841956
161;0,85835055
162;0,85828266
163;0,85821586
164;0,85815014
165;0,85808549
166;0,85802188
167;0,8579593
168;0,85789773
169;0,85783716
170;0,85777756
171;0,85771893
172;0,85766124
173;0,85760449
174;0,85754866
175;0,85749372
176;0,85743968
177;0,85738651
178;0,8573342
179;0,85728273
180;0,8572321
181;0,85718228
182;0,85713327
183;0,85708505
184;0,85703761
185;0,85699094
186;0,85694502
187;0,85689984
188;0,8568554
189;0,85681167
190;0,85676865
191;0,85672633
192;0,85668468
193;0,85664372
194;0,85660341
195;0,85656376
196;0,85652474
197;0,85648636
198;0,8564486
199;0,85641145
200;0,85637489
201;0,85633893
202;0,85630355
203;0,85626874
204;0,8562345
205;0,85620081
206;0,85616766
207;0,85613505
208;0,85610296
