Time;Stress
0;1,65034
1;1,62185942
2;1,60605913
3;1,59570196
4;1,587885
5;1,58141765
6;1,57578913
7;1,57076148
8;1,56620874
9;1,56205312
10;1,55823934
11;1,55472408
12;1,55147144
13;1,54845079
14;1,54563568
15;1,54300308
16;1,54053287
17;1,53820748
18;1,53601151
19;1,53393149
20;1,5319556
21;1,53007349
22;1,52827605
23;1,52655531
24;1,52490425
25;1,5233167
26;1,52178722
27;1,52031103
28;1,51888389
29;1,51750208
30;1,5161623
31;1,51486161
32;1,51359741
33;1,51236741
34;1,51116953
35;1,51000196
36;1,50886303
37;1,50775128
38;1,50666538
39;1,50560414
40;1,50456647
41;1,5035514
42;1,50255803
43;1,50158555
44;1,50063321
45;1,49970032
46;1,49878626
47;1,49789044
48;1,49701232
49;1,49615138
50;1,49530716
51;1,49447921
52;1,49366711
53;1,49287047
54;1,49208892
55;1,49132209
56;1,49056965
57;1,48983128
58;1,48910667
59;1,48839551
60;1,48769753
61;1,48701246
62;1,48634001
63;1,48567995
64;1,48503201
65;1,48439597
66;1,48377157
67;1,48315861
68;1,48255686
69;1,48196609
70;1,48138611
71;1,4808167
72;1,48025768
73;1,47970883
74;1,47916997
75;1,47864093
76;1,4781215
77;1,47761152
78;1,4771108
79;1,47661919
80;1,4761365
81;1,47566259
82;1,47519727
83;1,47474041
84;1,47429184
85;1,4738514
86;1,47341897
87;1,47299437
88;1,47257748
89;1,47216816
90;1,47176626
91;1,47137165
92;1,47098419
93;1,47060376
94;1,47023024
95;1,46986348
96;1,46950338
97;1,46914981
98;1,46880264
99;1,46846178
100;1,46812709
101;1,46779847
102;1,46747581
103;1,467159
104;1,46684793
105;1,46654251
106;1,46624262
107;1,46594816
108;1,46565905
109;1,46537518
110;1,46509645
111;1,46482278
112;1,46455406
113;1,46429022
114;1,46403117
115;1,46377681
116;1,46352706
117;1,46328183
118;1,46304106
119;1,46280465
120;1,46257252
121;1,4623446
122;1,46212082
123;1,46190109
124;1,46168534
125;1,46147351
126;1,46126551
127;1,46106129
128;1,46086077
129;1,46066388
130;1,46047057
131;1,46028075
132;1,46009438
133;1,45991139
134;1,45973171
135;1,45955529
136;1,45938207
137;1,45921199
138;1,459045
139;1,45888103
140;1,45872003
141;1,45856195
142;1,45840674
143;1,45825434
144;1,4581047
145;1,45795778
146;1,45781352
147;1,45767187
148;1,4575328
149;1,45739624
150;1,45726216
151;1,45713051
152;1,45700125
153;1,45687433
154;1,45674971
155;1,45662735
156;1,45650721
157;1,45638924
158;1,45627342
159;1,45615969
160;1,45604803
161;1,45593839
162;1,45583073
163;1,45572503
164;1,45562125
165;1,45551935
166;1,45541929
167;1,45532105
168;1,45522459
169;1,45512987
170;1,45503688
171;1,45494557
172;1,45485592
173;1,45476789
174;1,45468145
175;1,45459659
176;1,45451326
177;1,45443144
178;1,45435111
179;1,45427223
180;1,45419478
181;1,45411874
182;1,45404407
183;1,45397076
184;1,45389878
185;1,4538281
186;1,4537587
187;1,45369057
188;1,45362366
189;1,45355797
190;1,45349347
191;1,45343014
192;1,45336796
193;1,4533069
194;1,45324696
195;1,45318809
196;1,4531303
197;1,45307355
198;1,45301784
199;1,45296313
200;1,45290941
201;1,45285667
202;1,45280488
203;1,45275404
204;1,45270411
205;1,45265509
206;1,45260696
207;1,4525597
208;1,4525133
209;1,45246773
210;1,452423
211;1,45237907
212;1,45233595
213;1,4522936
214;1,45225202
215;1,45221119
216;1,45217111
217;1,45213175
218;1,45209311
219;1,45205516
220;1,45201791
221;1,45198132
222;1,45194541
223;1,45191014
224;1,45187551
225;1,45184151
