Time,Stress
  0.00,  2.46450000
  0.10,  2.46230530
  0.20,  2.46011845
  0.30,  2.45793942
  0.40,  2.45576818
  0.50,  2.45360470
  0.60,  2.45144896
  0.70,  2.44930093
  0.80,  2.44716058
  0.90,  2.44502788
  1.00,  2.44290280
  1.10,  2.44078532
  1.20,  2.43867542
  1.30,  2.43657305
  1.40,  2.43447821
  1.50,  2.43239085
  1.60,  2.43031096
  1.70,  2.42823851
  1.80,  2.42617346
  1.90,  2.42411580
  2.00,  2.42206550
  2.10,  2.42002252
  2.20,  2.41798685
  2.30,  2.41595846
  2.40,  2.41393732
  2.50,  2.41192341
  2.60,  2.40991670
  2.70,  2.40791717
  2.80,  2.40592478
  2.90,  2.40393952
  3.00,  2.40196135
  3.10,  2.39999026
  3.20,  2.39802621
  3.30,  2.39606919
  3.40,  2.39411917
  3.50,  2.39217612
  3.60,  2.39024001
  3.70,  2.38831083
  3.80,  2.38638854
  3.90,  2.38447313
  4.00,  2.38256457
  4.10,  2.38066283
  4.20,  2.37876789
  4.30,  2.37687973
  4.40,  2.37499831
  4.50,  2.37312363
  4.60,  2.37125564
  4.70,  2.36939434
  4.80,  2.36753969
  4.90,  2.36569167
  5.00,  2.36385026
  5.10,  2.36201543
  5.20,  2.36018717
  5.30,  2.35836544
  5.40,  2.35655022
  5.50,  2.35474150
  5.60,  2.35293924
  5.70,  2.35114342
  5.80,  2.34935403
  5.90,  2.34757104
  6.00,  2.34579441
  6.10,  2.34402415
  6.20,  2.34226021
  6.30,  2.34050258
  6.40,  2.33875123
  6.50,  2.33700614
  6.60,  2.33526730
  6.70,  2.33353467
  6.80,  2.33180823
  6.90,  2.33008797
  7.00,  2.32837386
  7.10,  2.32666588
  7.20,  2.32496401
  7.30,  2.32326822
  7.40,  2.32157849
  7.50,  2.31989481
  7.60,  2.31821714
  7.70,  2.31654547
  7.80,  2.31487978
  7.90,  2.31322005
  8.00,  2.31156625
  8.10,  2.30991836
  8.20,  2.30827637
  8.30,  2.30664025
  8.40,  2.30500997
  8.50,  2.30338553
  8.60,  2.30176689
  8.70,  2.30015404
  8.80,  2.29854696
  8.90,  2.29694562
  9.00,  2.29535001
  9.10,  2.29376011
  9.20,  2.29217589
  9.30,  2.29059733
  9.40,  2.28902442
  9.50,  2.28745713
  9.60,  2.28589545
  9.70,  2.28433934
  9.80,  2.28278881
  9.90,  2.28124381
 10.00,  2.27970434
 10.10,  2.27817038
 10.20,  2.27664190
 10.30,  2.27511888
 10.40,  2.27360131
 10.50,  2.27208917
 10.60,  2.27058243
 10.70,  2.26908108
 10.80,  2.26758510
 10.90,  2.26609447
 11.00,  2.26460917
 11.10,  2.26312917
 11.20,  2.26165447
 11.30,  2.26018505
 11.40,  2.25872087
 11.50,  2.25726193
 11.60,  2.25580821
 11.70,  2.25435968
 11.80,  2.25291634
 11.90,  2.25147815
 12.00,  2.25004511
 12.10,  2.24861719
 12.20,  2.24719438
 12.30,  2.24577665
 12.40,  2.24436399
 12.50,  2.24295639
 12.60,  2.24155381
 12.70,  2.24015626
 12.80,  2.23876369
 12.90,  2.23737611
 13.00,  2.23599349
 13.10,  2.23461581
 13.20,  2.23324306
 13.30,  2.23187522
 13.40,  2.23051226
 13.50,  2.22915418
 13.60,  2.22780096
 13.70,  2.22645257
 13.80,  2.22510901
 13.90,  2.22377025
 14.00,  2.22243628
 14.10,  2.22110707
 14.20,  2.21978262
 14.30,  2.21846290
 14.40,  2.21714791
 14.50,  2.21583761
 14.60,  2.21453200
 14.70,  2.21323106
 14.80,  2.21193476
 14.90,  2.21064311
 15.00,  2.20935607
 15.10,  2.20807363
 15.20,  2.20679578
 15.30,  2.20552250
 15.40,  2.20425377
 15.50,  2.20298958
 15.60,  2.20172990
 15.70,  2.20047474
 15.80,  2.19922405
 15.90,  2.19797784
 16.00,  2.19673609
 16.10,  2.19549878
 16.20,  2.19426589
 16.30,  2.19303740
 16.40,  2.19181332
 16.50,  2.19059360
 16.60,  2.18937825
 16.70,  2.18816724
 16.80,  2.18696057
 16.90,  2.18575821
 17.00,  2.18456014
 17.10,  2.18336636
 17.20,  2.18217685
 17.30,  2.18099160
 17.40,  2.17981058
 17.50,  2.17863378
 17.60,  2.17746119
 17.70,  2.17629279
 17.80,  2.17512857
 17.90,  2.17396852
 18.00,  2.17281261
 18.10,  2.17166083
 18.20,  2.17051317
 18.30,  2.16936962
 18.40,  2.16823015
 18.50,  2.16709476
 18.60,  2.16596343
 18.70,  2.16483614
 18.80,  2.16371289
 18.90,  2.16259364
 19.00,  2.16147841
 19.10,  2.16036716
 19.20,  2.15925988
 19.30,  2.15815656
 19.40,  2.15705719
 19.50,  2.15596174
 19.60,  2.15487022
 19.70,  2.15378259
 19.80,  2.15269886
 19.90,  2.15161900
 20.00,  2.15054300
 20.10,  2.14947085
 20.20,  2.14840253
 20.30,  2.14733803
 20.40,  2.14627734
 20.50,  2.14522044
 20.60,  2.14416732
 20.70,  2.14311796
 20.80,  2.14207236
 20.90,  2.14103049
 21.00,  2.13999235
 21.10,  2.13895792
 21.20,  2.13792719
 21.30,  2.13690015
 21.40,  2.13587678
 21.50,  2.13485707
 21.60,  2.13384100
 21.70,  2.13282856
 21.80,  2.13181975
 21.90,  2.13081454
 22.00,  2.12981293
 22.10,  2.12881490
 22.20,  2.12782043
 22.30,  2.12682953
 22.40,  2.12584216
 22.50,  2.12485833
 22.60,  2.12387801
 22.70,  2.12290120
 22.80,  2.12192788
 22.90,  2.12095804
 23.00,  2.11999167
 23.10,  2.11902875
 23.20,  2.11806928
 23.30,  2.11711324
 23.40,  2.11616061
 23.50,  2.11521139
 23.60,  2.11426557
 23.70,  2.11332313
 23.80,  2.11238405
 23.90,  2.11144834
 24.00,  2.11051597
 24.10,  2.10958693
 24.20,  2.10866122
 24.30,  2.10773881
 24.40,  2.10681971
 24.50,  2.10590389
 24.60,  2.10499134
 24.70,  2.10408206
 24.80,  2.10317603
 24.90,  2.10227323
 25.00,  2.10137367
 25.10,  2.10047732
 25.20,  2.09958418
 25.30,  2.09869423
 25.40,  2.09780746
 25.50,  2.09692386
 25.60,  2.09604343
 25.70,  2.09516614
 25.80,  2.09429198
 25.90,  2.09342095
 26.00,  2.09255304
 26.10,  2.09168823
 26.20,  2.09082651
 26.30,  2.08996788
 26.40,  2.08911231
 26.50,  2.08825980
 26.60,  2.08741034
 26.70,  2.08656392
 26.80,  2.08572052
 26.90,  2.08488014
 27.00,  2.08404277
 27.10,  2.08320838
 27.20,  2.08237699
 27.30,  2.08154856
 27.40,  2.08072310
 27.50,  2.07990058
 27.60,  2.07908101
 27.70,  2.07826437
 27.80,  2.07745065
 27.90,  2.07663984
 28.00,  2.07583192
 28.10,  2.07502690
 28.20,  2.07422475
 28.30,  2.07342548
 28.40,  2.07262906
 28.50,  2.07183548
 28.60,  2.07104475
 28.70,  2.07025684
 28.80,  2.06947175
 28.90,  2.06868947
 29.00,  2.06790998
 29.10,  2.06713328
 29.20,  2.06635936
 29.30,  2.06558820
 29.40,  2.06481981
 29.50,  2.06405416
 29.60,  2.06329124
 29.70,  2.06253106
 29.80,  2.06177359
 29.90,  2.06101883
 30.00,  2.06026677
 30.10,  2.05951740
 30.20,  2.05877071
 30.30,  2.05802668
 30.40,  2.05728532
 30.50,  2.05654661
 30.60,  2.05581054
 30.70,  2.05507710
 30.80,  2.05434629
 30.90,  2.05361808
 31.00,  2.05289248
 31.10,  2.05216948
 31.20,  2.05144906
 31.30,  2.05073122
 31.40,  2.05001594
 31.50,  2.04930322
 31.60,  2.04859305
 31.70,  2.04788542
 31.80,  2.04718031
 31.90,  2.04647773
 32.00,  2.04577766
 32.10,  2.04508010
 32.20,  2.04438502
 32.30,  2.04369244
 32.40,  2.04300233
 32.50,  2.04231469
 32.60,  2.04162950
 32.70,  2.04094677
 32.80,  2.04026647
 32.90,  2.03958861
 33.00,  2.03891318
 33.10,  2.03824015
 33.20,  2.03756954
 33.30,  2.03690132
 33.40,  2.03623549
 33.50,  2.03557204
 33.60,  2.03491097
 33.70,  2.03425225
 33.80,  2.03359590
 33.90,  2.03294189
 34.00,  2.03229021
 34.10,  2.03164087
 34.20,  2.03099385
 34.30,  2.03034914
 34.40,  2.02970674
 34.50,  2.02906664
 34.60,  2.02842882
 34.70,  2.02779329
 34.80,  2.02716002
 34.90,  2.02652902
 35.00,  2.02590028
 35.10,  2.02527379
 35.20,  2.02464953
 35.30,  2.02402751
 35.40,  2.02340771
 35.50,  2.02279013
 35.60,  2.02217475
 35.70,  2.02156158
 35.80,  2.02095060
 35.90,  2.02034180
 36.00,  2.01973518
 36.10,  2.01913073
 36.20,  2.01852844
 36.30,  2.01792830
 36.40,  2.01733031
 36.50,  2.01673445
 36.60,  2.01614073
 36.70,  2.01554913
 36.80,  2.01495965
 36.90,  2.01437227
 37.00,  2.01378699
 37.10,  2.01320381
 37.20,  2.01262271
 37.30,  2.01204369
 37.40,  2.01146674
 37.50,  2.01089185
 37.60,  2.01031902
 37.70,  2.00974823
 37.80,  2.00917949
 37.90,  2.00861278
 38.00,  2.00804809
 38.10,  2.00748543
 38.20,  2.00692478
 38.30,  2.00636613
 38.40,  2.00580948
 38.50,  2.00525481
 38.60,  2.00470214
 38.70,  2.00415144
 38.80,  2.00360270
 38.90,  2.00305593
 39.00,  2.00251112
 39.10,  2.00196825
 39.20,  2.00142732
 39.30,  2.00088833
 39.40,  2.00035126
 39.50,  1.99981612
 39.60,  1.99928289
 39.70,  1.99875156
 39.80,  1.99822214
 39.90,  1.99769460
 40.00,  1.99716896
 40.10,  1.99664519
 40.20,  1.99612330
 40.30,  1.99560327
 40.40,  1.99508510
 40.50,  1.99456878
 40.60,  1.99405431
 40.70,  1.99354168
 40.80,  1.99303089
 40.90,  1.99252191
 41.00,  1.99201476
 41.10,  1.99150943
 41.20,  1.99100589
 41.30,  1.99050416
 41.40,  1.99000423
 41.50,  1.98950608
 41.60,  1.98900971
 41.70,  1.98851511
 41.80,  1.98802229
 41.90,  1.98753123
 42.00,  1.98704192
 42.10,  1.98655436
 42.20,  1.98606855
 42.30,  1.98558447
 42.40,  1.98510212
 42.50,  1.98462150
 42.60,  1.98414260
 42.70,  1.98366540
 42.80,  1.98318992
 42.90,  1.98271613
 43.00,  1.98224404
 43.10,  1.98177364
 43.20,  1.98130492
 43.30,  1.98083787
 43.40,  1.98037250
 43.50,  1.97990878
 43.60,  1.97944673
 43.70,  1.97898633
 43.80,  1.97852757
 43.90,  1.97807046
 44.00,  1.97761498
 44.10,  1.97716113
 44.20,  1.97670890
 44.30,  1.97625828
 44.40,  1.97580928
 44.50,  1.97536189
 44.60,  1.97491609
 44.70,  1.97447189
 44.80,  1.97402927
 44.90,  1.97358824
 45.00,  1.97314879
 45.10,  1.97271090
 45.20,  1.97227459
 45.30,  1.97183983
 45.40,  1.97140663
 45.50,  1.97097497
 45.60,  1.97054486
 45.70,  1.97011629
 45.80,  1.96968925
 45.90,  1.96926373
 46.00,  1.96883974
 46.10,  1.96841726
 46.20,  1.96799630
 46.30,  1.96757684
 46.40,  1.96715888
 46.50,  1.96674241
 46.60,  1.96632743
 46.70,  1.96591394
 46.80,  1.96550192
 46.90,  1.96509138
 47.00,  1.96468231
 47.10,  1.96427469
 47.20,  1.96386854
 47.30,  1.96346384
 47.40,  1.96306058
 47.50,  1.96265877
 47.60,  1.96225839
 47.70,  1.96185945
 47.80,  1.96146193
 47.90,  1.96106583
 48.00,  1.96067115
 48.10,  1.96027788
 48.20,  1.95988602
 48.30,  1.95949555
 48.40,  1.95910649
 48.50,  1.95871881
 48.60,  1.95833252
 48.70,  1.95794761
 48.80,  1.95756408
 48.90,  1.95718192
 49.00,  1.95680113
 49.10,  1.95642169
 49.20,  1.95604362
 49.30,  1.95566689
 49.40,  1.95529152
 49.50,  1.95491748
 49.60,  1.95454478
 49.70,  1.95417342
 49.80,  1.95380338
 49.90,  1.95343467
 50.00,  1.95306727
 50.10,  1.95270119
 50.20,  1.95233641
 50.30,  1.95197294
 50.40,  1.95161077
 50.50,  1.95124990
 50.60,  1.95089031
 50.70,  1.95053202
 50.80,  1.95017500
 50.90,  1.94981926
 51.00,  1.94946479
 51.10,  1.94911159
 51.20,  1.94875965
 51.30,  1.94840897
 51.40,  1.94805954
 51.50,  1.94771136
 51.60,  1.94736443
 51.70,  1.94701874
 51.80,  1.94667428
 51.90,  1.94633106
 52.00,  1.94598906
 52.10,  1.94564828
 52.20,  1.94530873
 52.30,  1.94497039
 52.40,  1.94463325
 52.50,  1.94429733
 52.60,  1.94396260
 52.70,  1.94362907
 52.80,  1.94329674
 52.90,  1.94296559
 53.00,  1.94263562
 53.10,  1.94230684
 53.20,  1.94197923
 53.30,  1.94165279
 53.40,  1.94132752
 53.50,  1.94100341
 53.60,  1.94068047
 53.70,  1.94035867
 53.80,  1.94003803
 53.90,  1.93971853
 54.00,  1.93940018
 54.10,  1.93908296
 54.20,  1.93876688
 54.30,  1.93845193
 54.40,  1.93813810
 54.50,  1.93782540
 54.60,  1.93751381
 54.70,  1.93720334
 54.80,  1.93689398
 54.90,  1.93658572
 55.00,  1.93627857
 55.10,  1.93597252
 55.20,  1.93566755
 55.30,  1.93536368
 55.40,  1.93506090
 55.50,  1.93475920
 55.60,  1.93445858
 55.70,  1.93415903
 55.80,  1.93386055
 55.90,  1.93356314
 56.00,  1.93326680
 56.10,  1.93297151
 56.20,  1.93267728
 56.30,  1.93238410
 56.40,  1.93209197
 56.50,  1.93180088
 56.60,  1.93151084
 56.70,  1.93122183
 56.80,  1.93093386
 56.90,  1.93064691
 57.00,  1.93036099
 57.10,  1.93007610
 57.20,  1.92979222
 57.30,  1.92950935
 57.40,  1.92922750
 57.50,  1.92894666
 57.60,  1.92866682
 57.70,  1.92838798
 57.80,  1.92811014
 57.90,  1.92783329
 58.00,  1.92755743
 58.10,  1.92728256
 58.20,  1.92700867
 58.30,  1.92673575
 58.40,  1.92646382
 58.50,  1.92619286
 58.60,  1.92592286
 58.70,  1.92565383
 58.80,  1.92538577
 58.90,  1.92511866
 59.00,  1.92485251
 59.10,  1.92458731
 59.20,  1.92432305
 59.30,  1.92405974
 59.40,  1.92379738
 59.50,  1.92353595
 59.60,  1.92327545
 59.70,  1.92301589
 59.80,  1.92275726
 59.90,  1.92249955
 60.00,  1.92224276
 60.10,  1.92198689
 60.20,  1.92173193
 60.30,  1.92147789
 60.40,  1.92122475
 60.50,  1.92097252
 60.60,  1.92072119
 60.70,  1.92047076
 60.80,  1.92022123
 60.90,  1.91997259
 61.00,  1.91972483
 61.10,  1.91947797
 61.20,  1.91923198
 61.30,  1.91898688
 61.40,  1.91874265
 61.50,  1.91849929
 61.60,  1.91825680
 61.70,  1.91801519
 61.80,  1.91777443
 61.90,  1.91753454
 62.00,  1.91729550
 62.10,  1.91705732
 62.20,  1.91681999
 62.30,  1.91658351
 62.40,  1.91634787
 62.50,  1.91611308
 62.60,  1.91587912
 62.70,  1.91564601
 62.80,  1.91541372
 62.90,  1.91518227
 63.00,  1.91495164
 63.10,  1.91472184
 63.20,  1.91449286
 63.30,  1.91426470
 63.40,  1.91403736
 63.50,  1.91381083
 63.60,  1.91358510
 63.70,  1.91336019
 63.80,  1.91313608
 63.90,  1.91291277
 64.00,  1.91269026
 64.10,  1.91246854
 64.20,  1.91224762
 64.30,  1.91202748
 64.40,  1.91180814
 64.50,  1.91158958
 64.60,  1.91137180
 64.70,  1.91115480
 64.80,  1.91093857
 64.90,  1.91072312
 65.00,  1.91050843
 65.10,  1.91029452
 65.20,  1.91008137
 65.30,  1.90986898
 65.40,  1.90965735
 65.50,  1.90944648
 65.60,  1.90923637
 65.70,  1.90902700
 65.80,  1.90881838
 65.90,  1.90861051
 66.00,  1.90840338
 66.10,  1.90819699
 66.20,  1.90799134
 66.30,  1.90778643
 66.40,  1.90758225
 66.50,  1.90737879
 66.60,  1.90717607
 66.70,  1.90697407
 66.80,  1.90677279
 66.90,  1.90657223
 67.00,  1.90637239
 67.10,  1.90617327
 67.20,  1.90597485
 67.30,  1.90577715
 67.40,  1.90558015
 67.50,  1.90538385
 67.60,  1.90518826
 67.70,  1.90499337
 67.80,  1.90479917
 67.90,  1.90460567
 68.00,  1.90441286
 68.10,  1.90422074
 68.20,  1.90402931
 68.30,  1.90383856
 68.40,  1.90364850
 68.50,  1.90345911
 68.60,  1.90327040
 68.70,  1.90308236
 68.80,  1.90289500
 68.90,  1.90270831
 69.00,  1.90252228
 69.10,  1.90233692
 69.20,  1.90215222
 69.30,  1.90196819
 69.40,  1.90178481
 69.50,  1.90160208
 69.60,  1.90142001
 69.70,  1.90123859
 69.80,  1.90105782
 69.90,  1.90087770
 70.00,  1.90069822
 70.10,  1.90051938
 70.20,  1.90034118
 70.30,  1.90016362
 70.40,  1.89998669
 70.50,  1.89981040
 70.60,  1.89963473
 70.70,  1.89945970
 70.80,  1.89928529
 70.90,  1.89911150
 71.00,  1.89893834
 71.10,  1.89876579
 71.20,  1.89859386
 71.30,  1.89842255
 71.40,  1.89825184
 71.50,  1.89808175
 71.60,  1.89791227
 71.70,  1.89774339
 71.80,  1.89757512
 71.90,  1.89740745
 72.00,  1.89724037
 72.10,  1.89707390
 72.20,  1.89690802
 72.30,  1.89674273
 72.40,  1.89657804
 72.50,  1.89641393
 72.60,  1.89625041
 72.70,  1.89608747
 72.80,  1.89592512
 72.90,  1.89576335
 73.00,  1.89560215
 73.10,  1.89544154
 73.20,  1.89528149
 73.30,  1.89512202
 73.40,  1.89496312
 73.50,  1.89480479
 73.60,  1.89464702
 73.70,  1.89448982
 73.80,  1.89433318
 73.90,  1.89417710
 74.00,  1.89402158
 74.10,  1.89386661
 74.20,  1.89371220
 74.30,  1.89355834
 74.40,  1.89340503
 74.50,  1.89325226
 74.60,  1.89310005
 74.70,  1.89294838
 74.80,  1.89279725
 74.90,  1.89264666
 75.00,  1.89249661
 75.10,  1.89234710
 75.20,  1.89219812
 75.30,  1.89204967
 75.40,  1.89190175
 75.50,  1.89175437
 75.60,  1.89160751
 75.70,  1.89146117
 75.80,  1.89131536
 75.90,  1.89117007
 76.00,  1.89102530
 76.10,  1.89088105
 76.20,  1.89073731
 76.30,  1.89059408
 76.40,  1.89045137
 76.50,  1.89030917
 76.60,  1.89016748
 76.70,  1.89002629
 76.80,  1.88988561
 76.90,  1.88974543
 77.00,  1.88960576
 77.10,  1.88946658
 77.20,  1.88932790
 77.30,  1.88918971
 77.40,  1.88905202
 77.50,  1.88891483
 77.60,  1.88877812
 77.70,  1.88864190
 77.80,  1.88850617
 77.90,  1.88837092
 78.00,  1.88823616
 78.10,  1.88810188
 78.20,  1.88796808
 78.30,  1.88783476
 78.40,  1.88770191
 78.50,  1.88756954
 78.60,  1.88743764
 78.70,  1.88730622
 78.80,  1.88717526
 78.90,  1.88704477
 79.00,  1.88691475
 79.10,  1.88678520
 79.20,  1.88665610
 79.30,  1.88652747
 79.40,  1.88639930
 79.50,  1.88627159
 79.60,  1.88614433
 79.70,  1.88601753
 79.80,  1.88589118
 79.90,  1.88576528
 80.00,  1.88563984
 80.10,  1.88551484
 80.20,  1.88539029
 80.30,  1.88526618
 80.40,  1.88514252
 80.50,  1.88501930
 80.60,  1.88489652
 80.70,  1.88477418
 80.80,  1.88465228
 80.90,  1.88453081
 81.00,  1.88440978
 81.10,  1.88428918
 81.20,  1.88416901
 81.30,  1.88404928
 81.40,  1.88392996
 81.50,  1.88381108
 81.60,  1.88369262
 81.70,  1.88357459
 81.80,  1.88345697
 81.90,  1.88333978
 82.00,  1.88322301
 82.10,  1.88310665
 82.20,  1.88299071
 82.30,  1.88287518
 82.40,  1.88276007
 82.50,  1.88264537
 82.60,  1.88253108
 82.70,  1.88241720
 82.80,  1.88230372
 82.90,  1.88219065
 83.00,  1.88207799
 83.10,  1.88196572
 83.20,  1.88185386
 83.30,  1.88174240
 83.40,  1.88163134
 83.50,  1.88152067
 83.60,  1.88141040
 83.70,  1.88130053
 83.80,  1.88119105
 83.90,  1.88108195
 84.00,  1.88097325
 84.10,  1.88086494
 84.20,  1.88075701
 84.30,  1.88064948
 84.40,  1.88054232
 84.50,  1.88043555
 84.60,  1.88032916
 84.70,  1.88022315
 84.80,  1.88011752
 84.90,  1.88001227
 85.00,  1.87990739
 85.10,  1.87980289
 85.20,  1.87969876
 85.30,  1.87959500
 85.40,  1.87949162
 85.50,  1.87938861
 85.60,  1.87928596
 85.70,  1.87918368
 85.80,  1.87908176
 85.90,  1.87898022
 86.00,  1.87887903
 86.10,  1.87877820
 86.20,  1.87867774
 86.30,  1.87857764
 86.40,  1.87847789
 86.50,  1.87837850
 86.60,  1.87827946
 86.70,  1.87818078
 86.80,  1.87808245
 86.90,  1.87798448
 87.00,  1.87788685
 87.10,  1.87778957
 87.20,  1.87769264
 87.30,  1.87759606
 87.40,  1.87749982
 87.50,  1.87740393
 87.60,  1.87730838
 87.70,  1.87721317
 87.80,  1.87711830
 87.90,  1.87702377
 88.00,  1.87692958
 88.10,  1.87683573
 88.20,  1.87674221
 88.30,  1.87664902
 88.40,  1.87655617
 88.50,  1.87646365
 88.60,  1.87637147
 88.70,  1.87627961
 88.80,  1.87618808
 88.90,  1.87609687
 89.00,  1.87600600
 89.10,  1.87591544
 89.20,  1.87582522
 89.30,  1.87573531
 89.40,  1.87564572
 89.50,  1.87555646
 89.60,  1.87546752
 89.70,  1.87537889
 89.80,  1.87529058
 89.90,  1.87520258
 90.00,  1.87511490
 90.10,  1.87502754
 90.20,  1.87494049
 90.30,  1.87485374
 90.40,  1.87476731
 90.50,  1.87468119
 90.60,  1.87459537
 90.70,  1.87450986
 90.80,  1.87442466
 90.90,  1.87433976
 91.00,  1.87425517
 91.10,  1.87417087
 91.20,  1.87408688
 91.30,  1.87400319
 91.40,  1.87391980
 91.50,  1.87383671
 91.60,  1.87375391
 91.70,  1.87367141
 91.80,  1.87358921
 91.90,  1.87350730
 92.00,  1.87342568
 92.10,  1.87334435
 92.20,  1.87326332
 92.30,  1.87318257
 92.40,  1.87310211
 92.50,  1.87302194
 92.60,  1.87294206
 92.70,  1.87286246
 92.80,  1.87278315
 92.90,  1.87270412
 93.00,  1.87262538
 93.10,  1.87254691
 93.20,  1.87246873
 93.30,  1.87239082
 93.40,  1.87231320
 93.50,  1.87223585
 93.60,  1.87215878
 93.70,  1.87208198
 93.80,  1.87200546
 93.90,  1.87192921
 94.00,  1.87185323
 94.10,  1.87177753
 94.20,  1.87170209
 94.30,  1.87162693
 94.40,  1.87155204
 94.50,  1.87147741
 94.60,  1.87140305
 94.70,  1.87132895
 94.80,  1.87125512
 94.90,  1.87118156
 95.00,  1.87110826
 95.10,  1.87103522
 95.20,  1.87096244
 95.30,  1.87088992
 95.40,  1.87081766
 95.50,  1.87074566
 95.60,  1.87067391
 95.70,  1.87060242
 95.80,  1.87053119
 95.90,  1.87046021
 96.00,  1.87038949
 96.10,  1.87031902
 96.20,  1.87024880
 96.30,  1.87017883
 96.40,  1.87010912
 96.50,  1.87003965
 96.60,  1.86997043
 96.70,  1.86990146
 96.80,  1.86983273
 96.90,  1.86976425
 97.00,  1.86969602
 97.10,  1.86962803
 97.20,  1.86956028
 97.30,  1.86949277
 97.40,  1.86942551
 97.50,  1.86935848
 97.60,  1.86929170
 97.70,  1.86922515
 97.80,  1.86915885
 97.90,  1.86909278
 98.00,  1.86902694
 98.10,  1.86896134
 98.20,  1.86889598
 98.30,  1.86883085
 98.40,  1.86876595
 98.50,  1.86870128
 98.60,  1.86863685
 98.70,  1.86857265
 98.80,  1.86850867
 98.90,  1.86844493
 99.00,  1.86838141
 99.10,  1.86831812
