Time,Stress
  0.00,  2.00147000
  0.10,  1.99935390
  0.20,  1.99728644
  0.30,  1.99526628
  0.40,  1.99329211
  0.50,  1.99136265
  0.60,  1.98947666
  0.70,  1.98763294
  0.80,  1.98583032
  0.90,  1.98406767
  1.00,  1.98234389
  1.10,  1.98065789
  1.20,  1.97900865
  1.30,  1.97739514
  1.40,  1.97581639
  1.50,  1.97427143
  1.60,  1.97275935
  1.70,  1.97127923
  1.80,  1.96983021
  1.90,  1.96841142
  2.00,  1.96702204
  2.10,  1.96566127
  2.20,  1.96432833
  2.30,  1.96302245
  2.40,  1.96174290
  2.50,  1.96048897
  2.60,  1.95925994
  2.70,  1.95805516
  2.80,  1.95687395
  2.90,  1.95571568
  3.00,  1.95457973
  3.10,  1.95346550
  3.20,  1.95237239
  3.30,  1.95129984
  3.40,  1.95024730
  3.50,  1.94921422
  3.60,  1.94820008
  3.70,  1.94720438
  3.80,  1.94622662
  3.90,  1.94526632
  4.00,  1.94432301
  4.10,  1.94339625
  4.20,  1.94248558
  4.30,  1.94159059
  4.40,  1.94071085
  4.50,  1.93984596
  4.60,  1.93899553
  4.70,  1.93815918
  4.80,  1.93733654
  4.90,  1.93652724
  5.00,  1.93573093
  5.10,  1.93494728
  5.20,  1.93417595
  5.30,  1.93341662
  5.40,  1.93266898
  5.50,  1.93193272
  5.60,  1.93120755
  5.70,  1.93049319
  5.80,  1.92978935
  5.90,  1.92909575
  6.00,  1.92841215
  6.10,  1.92773828
  6.20,  1.92707390
  6.30,  1.92641875
  6.40,  1.92577261
  6.50,  1.92513525
  6.60,  1.92450644
  6.70,  1.92388597
  6.80,  1.92327363
  6.90,  1.92266922
  7.00,  1.92207253
  7.10,  1.92148338
  7.20,  1.92090157
  7.30,  1.92032693
  7.40,  1.91975927
  7.50,  1.91919843
  7.60,  1.91864424
  7.70,  1.91809653
  7.80,  1.91755515
  7.90,  1.91701994
  8.00,  1.91649076
  8.10,  1.91596745
  8.20,  1.91544988
  8.30,  1.91493791
  8.40,  1.91443141
  8.50,  1.91393024
  8.60,  1.91343428
  8.70,  1.91294341
  8.80,  1.91245751
  8.90,  1.91197646
  9.00,  1.91150014
  9.10,  1.91102846
  9.20,  1.91056130
  9.30,  1.91009856
  9.40,  1.90964013
  9.50,  1.90918593
  9.60,  1.90873585
  9.70,  1.90828980
  9.80,  1.90784769
  9.90,  1.90740944
 10.00,  1.90697495
 10.10,  1.90654415
 10.20,  1.90611695
 10.30,  1.90569328
 10.40,  1.90527306
 10.50,  1.90485621
 10.60,  1.90444267
 10.70,  1.90403236
 10.80,  1.90362521
 10.90,  1.90322117
 11.00,  1.90282015
 11.10,  1.90242211
 11.20,  1.90202697
 11.30,  1.90163468
 11.40,  1.90124519
 11.50,  1.90085843
 11.60,  1.90047435
 11.70,  1.90009289
 11.80,  1.89971401
 11.90,  1.89933766
 12.00,  1.89896378
 12.10,  1.89859232
 12.20,  1.89822325
 12.30,  1.89785651
 12.40,  1.89749206
 12.50,  1.89712986
 12.60,  1.89676986
 12.70,  1.89641203
 12.80,  1.89605633
 12.90,  1.89570271
 13.00,  1.89535114
 13.10,  1.89500159
 13.20,  1.89465401
 13.30,  1.89430837
 13.40,  1.89396464
 13.50,  1.89362279
 13.60,  1.89328278
 13.70,  1.89294458
 13.80,  1.89260816
 13.90,  1.89227350
 14.00,  1.89194056
 14.10,  1.89160932
 14.20,  1.89127974
 14.30,  1.89095180
 14.40,  1.89062548
 14.50,  1.89030075
 14.60,  1.88997758
 14.70,  1.88965596
 14.80,  1.88933585
 14.90,  1.88901724
 15.00,  1.88870010
 15.10,  1.88838441
 15.20,  1.88807015
 15.30,  1.88775730
 15.40,  1.88744583
 15.50,  1.88713574
 15.60,  1.88682700
 15.70,  1.88651958
 15.80,  1.88621348
 15.90,  1.88590868
 16.00,  1.88560516
 16.10,  1.88530289
 16.20,  1.88500187
 16.30,  1.88470208
 16.40,  1.88440350
 16.50,  1.88410612
 16.60,  1.88380992
 16.70,  1.88351489
 16.80,  1.88322101
 16.90,  1.88292827
 17.00,  1.88263666
 17.10,  1.88234616
 17.20,  1.88205676
 17.30,  1.88176845
 17.40,  1.88148122
 17.50,  1.88119504
 17.60,  1.88090992
 17.70,  1.88062583
 17.80,  1.88034278
 17.90,  1.88006074
 18.00,  1.87977971
 18.10,  1.87949967
 18.20,  1.87922062
 18.30,  1.87894254
 18.40,  1.87866543
 18.50,  1.87838928
 18.60,  1.87811407
 18.70,  1.87783980
 18.80,  1.87756645
 18.90,  1.87729403
 19.00,  1.87702252
 19.10,  1.87675191
 19.20,  1.87648219
 19.30,  1.87621336
 19.40,  1.87594541
 19.50,  1.87567832
 19.60,  1.87541210
 19.70,  1.87514674
 19.80,  1.87488222
 19.90,  1.87461854
 20.00,  1.87435570
 20.10,  1.87409368
 20.20,  1.87383249
 20.30,  1.87357210
 20.40,  1.87331253
 20.50,  1.87305375
 20.60,  1.87279577
 20.70,  1.87253857
 20.80,  1.87228216
 20.90,  1.87202653
 21.00,  1.87177166
 21.10,  1.87151756
 21.20,  1.87126422
 21.30,  1.87101163
 21.40,  1.87075979
 21.50,  1.87050870
 21.60,  1.87025834
 21.70,  1.87000871
 21.80,  1.86975981
 21.90,  1.86951164
 22.00,  1.86926418
 22.10,  1.86901744
 22.20,  1.86877140
 22.30,  1.86852607
 22.40,  1.86828144
 22.50,  1.86803750
 22.60,  1.86779425
 22.70,  1.86755169
 22.80,  1.86730981
 22.90,  1.86706861
 23.00,  1.86682808
 23.10,  1.86658822
 23.20,  1.86634903
 23.30,  1.86611050
 23.40,  1.86587263
 23.50,  1.86563541
 23.60,  1.86539884
 23.70,  1.86516292
 23.80,  1.86492764
 23.90,  1.86469300
 24.00,  1.86445899
 24.10,  1.86422562
 24.20,  1.86399287
 24.30,  1.86376076
 24.40,  1.86352926
 24.50,  1.86329838
 24.60,  1.86306812
 24.70,  1.86283847
 24.80,  1.86260943
 24.90,  1.86238099
 25.00,  1.86215316
 25.10,  1.86192592
 25.20,  1.86169929
 25.30,  1.86147324
 25.40,  1.86124779
 25.50,  1.86102292
 25.60,  1.86079864
 25.70,  1.86057494
 25.80,  1.86035182
 25.90,  1.86012928
 26.00,  1.85990731
 26.10,  1.85968591
 26.20,  1.85946508
 26.30,  1.85924481
 26.40,  1.85902511
 26.50,  1.85880596
 26.60,  1.85858738
 26.70,  1.85836935
 26.80,  1.85815187
 26.90,  1.85793494
 27.00,  1.85771855
 27.10,  1.85750272
 27.20,  1.85728742
 27.30,  1.85707267
 27.40,  1.85685845
 27.50,  1.85664477
 27.60,  1.85643162
 27.70,  1.85621900
 27.80,  1.85600691
 27.90,  1.85579534
 28.00,  1.85558430
 28.10,  1.85537378
 28.20,  1.85516378
 28.30,  1.85495430
 28.40,  1.85474533
 28.50,  1.85453687
 28.60,  1.85432893
 28.70,  1.85412149
 28.80,  1.85391456
 28.90,  1.85370813
 29.00,  1.85350220
 29.10,  1.85329678
 29.20,  1.85309185
 29.30,  1.85288742
 29.40,  1.85268348
 29.50,  1.85248003
 29.60,  1.85227707
 29.70,  1.85207460
 29.80,  1.85187262
 29.90,  1.85167112
 30.00,  1.85147010
 30.10,  1.85126956
 30.20,  1.85106950
 30.30,  1.85086991
 30.40,  1.85067080
 30.50,  1.85047216
 30.60,  1.85027399
 30.70,  1.85007630
 30.80,  1.84987906
 30.90,  1.84968229
 31.00,  1.84948599
 31.10,  1.84929015
 31.20,  1.84909476
 31.30,  1.84889984
 31.40,  1.84870537
 31.50,  1.84851135
 31.60,  1.84831779
 31.70,  1.84812467
 31.80,  1.84793201
 31.90,  1.84773979
 32.00,  1.84754802
 32.10,  1.84735669
 32.20,  1.84716581
 32.30,  1.84697536
 32.40,  1.84678536
 32.50,  1.84659579
 32.60,  1.84640666
 32.70,  1.84621796
 32.80,  1.84602969
 32.90,  1.84584185
 33.00,  1.84565445
 33.10,  1.84546747
 33.20,  1.84528091
 33.30,  1.84509478
 33.40,  1.84490907
 33.50,  1.84472379
 33.60,  1.84453892
 33.70,  1.84435447
 33.80,  1.84417044
 33.90,  1.84398682
 34.00,  1.84380362
 34.10,  1.84362082
 34.20,  1.84343844
 34.30,  1.84325647
 34.40,  1.84307490
 34.50,  1.84289374
 34.60,  1.84271298
 34.70,  1.84253263
 34.80,  1.84235268
 34.90,  1.84217312
 35.00,  1.84199397
 35.10,  1.84181521
 35.20,  1.84163685
 35.30,  1.84145888
 35.40,  1.84128131
 35.50,  1.84110412
 35.60,  1.84092733
 35.70,  1.84075092
 35.80,  1.84057490
 35.90,  1.84039927
 36.00,  1.84022402
 36.10,  1.84004915
 36.20,  1.83987467
 36.30,  1.83970056
 36.40,  1.83952684
 36.50,  1.83935349
 36.60,  1.83918052
 36.70,  1.83900792
 36.80,  1.83883569
 36.90,  1.83866384
 37.00,  1.83849236
 37.10,  1.83832124
 37.20,  1.83815050
 37.30,  1.83798012
 37.40,  1.83781011
 37.50,  1.83764046
 37.60,  1.83747117
 37.70,  1.83730225
 37.80,  1.83713368
 37.90,  1.83696548
 38.00,  1.83679763
 38.10,  1.83663014
 38.20,  1.83646300
 38.30,  1.83629622
 38.40,  1.83612978
 38.50,  1.83596371
 38.60,  1.83579798
 38.70,  1.83563260
 38.80,  1.83546756
 38.90,  1.83530288
 39.00,  1.83513854
 39.10,  1.83497454
 39.20,  1.83481088
 39.30,  1.83464757
 39.40,  1.83448460
 39.50,  1.83432197
 39.60,  1.83415967
 39.70,  1.83399771
 39.80,  1.83383609
 39.90,  1.83367480
 40.00,  1.83351384
 40.10,  1.83335322
 40.20,  1.83319293
 40.30,  1.83303296
 40.40,  1.83287333
 40.50,  1.83271402
 40.60,  1.83255504
 40.70,  1.83239639
 40.80,  1.83223806
 40.90,  1.83208005
 41.00,  1.83192236
 41.10,  1.83176499
 41.20,  1.83160795
 41.30,  1.83145122
 41.40,  1.83129481
 41.50,  1.83113871
 41.60,  1.83098293
 41.70,  1.83082747
 41.80,  1.83067232
 41.90,  1.83051747
 42.00,  1.83036294
 42.10,  1.83020872
 42.20,  1.83005481
 42.30,  1.82990121
 42.40,  1.82974791
 42.50,  1.82959492
 42.60,  1.82944223
 42.70,  1.82928984
 42.80,  1.82913776
 42.90,  1.82898598
 43.00,  1.82883450
 43.10,  1.82868331
 43.20,  1.82853243
 43.30,  1.82838184
 43.40,  1.82823155
 43.50,  1.82808156
 43.60,  1.82793185
 43.70,  1.82778244
 43.80,  1.82763333
 43.90,  1.82748450
 44.00,  1.82733596
 44.10,  1.82718772
 44.20,  1.82703976
 44.30,  1.82689208
 44.40,  1.82674470
 44.50,  1.82659760
 44.60,  1.82645078
 44.70,  1.82630425
 44.80,  1.82615799
 44.90,  1.82601202
 45.00,  1.82586633
 45.10,  1.82572092
 45.20,  1.82557579
 45.30,  1.82543093
 45.40,  1.82528635
 45.50,  1.82514204
 45.60,  1.82499801
 45.70,  1.82485426
 45.80,  1.82471077
 45.90,  1.82456756
 46.00,  1.82442462
 46.10,  1.82428195
 46.20,  1.82413954
 46.30,  1.82399741
 46.40,  1.82385554
 46.50,  1.82371394
 46.60,  1.82357260
 46.70,  1.82343153
 46.80,  1.82329072
 46.90,  1.82315018
 47.00,  1.82300989
 47.10,  1.82286987
 47.20,  1.82273010
 47.30,  1.82259060
 47.40,  1.82245135
 47.50,  1.82231236
 47.60,  1.82217363
 47.70,  1.82203515
 47.80,  1.82189693
 47.90,  1.82175896
 48.00,  1.82162124
 48.10,  1.82148378
 48.20,  1.82134656
 48.30,  1.82120960
 48.40,  1.82107289
 48.50,  1.82093642
 48.60,  1.82080021
 48.70,  1.82066424
 48.80,  1.82052851
 48.90,  1.82039304
 49.00,  1.82025780
 49.10,  1.82012281
 49.20,  1.81998806
 49.30,  1.81985356
 49.40,  1.81971929
 49.50,  1.81958527
 49.60,  1.81945149
 49.70,  1.81931794
 49.80,  1.81918463
 49.90,  1.81905156
 50.00,  1.81891873
 50.10,  1.81878613
 50.20,  1.81865377
 50.30,  1.81852164
 50.40,  1.81838974
 50.50,  1.81825808
 50.60,  1.81812665
 50.70,  1.81799545
 50.80,  1.81786448
 50.90,  1.81773374
 51.00,  1.81760322
 51.10,  1.81747294
 51.20,  1.81734288
 51.30,  1.81721305
 51.40,  1.81708344
 51.50,  1.81695406
 51.60,  1.81682490
 51.70,  1.81669597
 51.80,  1.81656726
 51.90,  1.81643877
 52.00,  1.81631050
 52.10,  1.81618245
 52.20,  1.81605462
 52.30,  1.81592701
 52.40,  1.81579962
 52.50,  1.81567245
 52.60,  1.81554549
 52.70,  1.81541875
 52.80,  1.81529222
 52.90,  1.81516591
 53.00,  1.81503981
 53.10,  1.81491393
 53.20,  1.81478826
 53.30,  1.81466280
 53.40,  1.81453755
 53.50,  1.81441251
 53.60,  1.81428768
 53.70,  1.81416306
 53.80,  1.81403865
 53.90,  1.81391444
 54.00,  1.81379044
 54.10,  1.81366665
 54.20,  1.81354307
 54.30,  1.81341969
 54.40,  1.81329651
 54.50,  1.81317354
 54.60,  1.81305076
 54.70,  1.81292820
