Time,Stress
  0.00,  4.41433000
  0.10,  4.40217015
  0.20,  4.39080149
  0.30,  4.38016146
  0.40,  4.37019256
  0.50,  4.36084196
  0.60,  4.35206112
  0.70,  4.34380545
  0.80,  4.33603395
  0.90,  4.32870896
  1.00,  4.32179585
  1.10,  4.31526282
  1.20,  4.30908063
  1.30,  4.30322240
  1.40,  4.29766342
  1.50,  4.29238100
  1.60,  4.28735424
  1.70,  4.28256396
  1.80,  4.27799250
  1.90,  4.27362365
  2.00,  4.26944247
  2.10,  4.26543525
  2.20,  4.26158936
  2.30,  4.25789319
  2.40,  4.25433605
  2.50,  4.25090812
  2.60,  4.24760035
  2.70,  4.24440442
  2.80,  4.24131266
  2.90,  4.23831802
  3.00,  4.23541400
  3.10,  4.23259462
  3.20,  4.22985438
  3.30,  4.22718818
  3.40,  4.22459136
  3.50,  4.22205960
  3.60,  4.21958892
  3.70,  4.21717566
  3.80,  4.21481643
  3.90,  4.21250811
  4.00,  4.21024782
  4.10,  4.20803289
  4.20,  4.20586087
  4.30,  4.20372947
  4.40,  4.20163661
  4.50,  4.19958034
  4.60,  4.19755885
  4.70,  4.19557048
  4.80,  4.19361369
  4.90,  4.19168704
  5.00,  4.18978922
  5.10,  4.18791898
  5.20,  4.18607519
  5.30,  4.18425677
  5.40,  4.18246275
  5.50,  4.18069220
  5.60,  4.17894426
  5.70,  4.17721813
  5.80,  4.17551307
  5.90,  4.17382838
  6.00,  4.17216341
  6.10,  4.17051754
  6.20,  4.16889021
  6.30,  4.16728088
  6.40,  4.16568904
  6.50,  4.16411423
  6.60,  4.16255599
  6.70,  4.16101391
  6.80,  4.15948760
  6.90,  4.15797666
  7.00,  4.15648077
  7.10,  4.15499957
  7.20,  4.15353275
  7.30,  4.15208000
  7.40,  4.15064105
  7.50,  4.14921562
  7.60,  4.14780344
  7.70,  4.14640428
  7.80,  4.14501788
  7.90,  4.14364403
  8.00,  4.14228251
  8.10,  4.14093310
  8.20,  4.13959560
  8.30,  4.13826983
  8.40,  4.13695560
  8.50,  4.13565272
  8.60,  4.13436102
  8.70,  4.13308034
  8.80,  4.13181051
  8.90,  4.13055137
  9.00,  4.12930278
  9.10,  4.12806458
  9.20,  4.12683664
  9.30,  4.12561880
  9.40,  4.12441094
  9.50,  4.12321292
  9.60,  4.12202462
  9.70,  4.12084590
  9.80,  4.11967664
  9.90,  4.11851673
 10.00,  4.11736605
 10.10,  4.11622447
 10.20,  4.11509189
 10.30,  4.11396820
 10.40,  4.11285328
 10.50,  4.11174704
 10.60,  4.11064936
 10.70,  4.10956015
 10.80,  4.10847931
 10.90,  4.10740673
 11.00,  4.10634232
 11.10,  4.10528598
 11.20,  4.10423763
 11.30,  4.10319716
 11.40,  4.10216449
 11.50,  4.10113952
 11.60,  4.10012218
 11.70,  4.09911237
 11.80,  4.09811000
 11.90,  4.09711500
 12.00,  4.09612728
 12.10,  4.09514676
 12.20,  4.09417336
 12.30,  4.09320699
 12.40,  4.09224759
 12.50,  4.09129506
 12.60,  4.09034935
 12.70,  4.08941037
 12.80,  4.08847804
 12.90,  4.08755230
 13.00,  4.08663307
 13.10,  4.08572028
 13.20,  4.08481386
 13.30,  4.08391375
 13.40,  4.08301986
 13.50,  4.08213214
 13.60,  4.08125052
 13.70,  4.08037493
 13.80,  4.07950531
 13.90,  4.07864159
 14.00,  4.07778371
 14.10,  4.07693161
 14.20,  4.07608522
 14.30,  4.07524448
 14.40,  4.07440934
 14.50,  4.07357973
 14.60,  4.07275559
 14.70,  4.07193687
 14.80,  4.07112350
 14.90,  4.07031544
 15.00,  4.06951263
 15.10,  4.06871500
 15.20,  4.06792251
 15.30,  4.06713510
 15.40,  4.06635271
 15.50,  4.06557530
 15.60,  4.06480282
 15.70,  4.06403520
 15.80,  4.06327240
 15.90,  4.06251437
 16.00,  4.06176107
 16.10,  4.06101243
 16.20,  4.06026841
 16.30,  4.05952897
 16.40,  4.05879405
 16.50,  4.05806362
 16.60,  4.05733761
 16.70,  4.05661599
 16.80,  4.05589872
 16.90,  4.05518574
 17.00,  4.05447702
 17.10,  4.05377250
 17.20,  4.05307215
 17.30,  4.05237593
 17.40,  4.05168379
 17.50,  4.05099568
 17.60,  4.05031158
 17.70,  4.04963143
 17.80,  4.04895520
 17.90,  4.04828285
 18.00,  4.04761434
 18.10,  4.04694963
 18.20,  4.04628868
 18.30,  4.04563146
 18.40,  4.04497792
 18.50,  4.04432803
 18.60,  4.04368176
 18.70,  4.04303906
 18.80,  4.04239990
 18.90,  4.04176425
 19.00,  4.04113207
 19.10,  4.04050333
 19.20,  4.03987799
 19.30,  4.03925602
 19.40,  4.03863738
 19.50,  4.03802205
 19.60,  4.03740998
 19.70,  4.03680116
 19.80,  4.03619554
 19.90,  4.03559310
 20.00,  4.03499380
 20.10,  4.03439761
 20.20,  4.03380451
 20.30,  4.03321446
 20.40,  4.03262744
 20.50,  4.03204340
 20.60,  4.03146234
 20.70,  4.03088421
 20.80,  4.03030899
 20.90,  4.02973665
 21.00,  4.02916716
 21.10,  4.02860050
 21.20,  4.02803664
 21.30,  4.02747555
 21.40,  4.02691720
 21.50,  4.02636158
 21.60,  4.02580865
 21.70,  4.02525839
 21.80,  4.02471077
 21.90,  4.02416577
 22.00,  4.02362337
 22.10,  4.02308353
 22.20,  4.02254625
 22.30,  4.02201148
 22.40,  4.02147921
 22.50,  4.02094942
 22.60,  4.02042208
 22.70,  4.01989717
 22.80,  4.01937467
 22.90,  4.01885456
 23.00,  4.01833680
 23.10,  4.01782139
 23.20,  4.01730831
 23.30,  4.01679752
 23.40,  4.01628901
 23.50,  4.01578275
 23.60,  4.01527874
 23.70,  4.01477694
 23.80,  4.01427734
 23.90,  4.01377992
 24.00,  4.01328466
 24.10,  4.01279153
 24.20,  4.01230053
 24.30,  4.01181163
 24.40,  4.01132481
 24.50,  4.01084005
 24.60,  4.01035734
 24.70,  4.00987666
 24.80,  4.00939799
 24.90,  4.00892131
 25.00,  4.00844661
 25.10,  4.00797386
 25.20,  4.00750306
 25.30,  4.00703418
 25.40,  4.00656721
 25.50,  4.00610213
 25.60,  4.00563893
 25.70,  4.00517758
 25.80,  4.00471808
 25.90,  4.00426041
 26.00,  4.00380454
 26.10,  4.00335048
 26.20,  4.00289820
 26.30,  4.00244768
 26.40,  4.00199892
 26.50,  4.00155189
 26.60,  4.00110658
 26.70,  4.00066299
 26.80,  4.00022109
 26.90,  3.99978087
 27.00,  3.99934231
 27.10,  3.99890541
 27.20,  3.99847015
 27.30,  3.99803651
 27.40,  3.99760449
 27.50,  3.99717406
 27.60,  3.99674523
 27.70,  3.99631796
 27.80,  3.99589226
 27.90,  3.99546811
 28.00,  3.99504549
 28.10,  3.99462440
 28.20,  3.99420482
 28.30,  3.99378674
 28.40,  3.99337015
 28.50,  3.99295503
 28.60,  3.99254138
 28.70,  3.99212919
 28.80,  3.99171843
 28.90,  3.99130911
 29.00,  3.99090121
 29.10,  3.99049471
 29.20,  3.99008962
 29.30,  3.98968591
 29.40,  3.98928358
 29.50,  3.98888262
 29.60,  3.98848301
 29.70,  3.98808475
 29.80,  3.98768782
 29.90,  3.98729222
 30.00,  3.98689794
 30.10,  3.98650496
 30.20,  3.98611328
 30.30,  3.98572289
 30.40,  3.98533378
 30.50,  3.98494593
 30.60,  3.98455934
 30.70,  3.98417400
 30.80,  3.98378990
 30.90,  3.98340704
 31.00,  3.98302539
 31.10,  3.98264497
 31.20,  3.98226574
 31.30,  3.98188772
 31.40,  3.98151088
 31.50,  3.98113522
 31.60,  3.98076073
 31.70,  3.98038741
 31.80,  3.98001524
 31.90,  3.97964422
 32.00,  3.97927434
 32.10,  3.97890559
 32.20,  3.97853797
 32.30,  3.97817146
 32.40,  3.97780605
 32.50,  3.97744175
 32.60,  3.97707855
 32.70,  3.97671643
 32.80,  3.97635538
 32.90,  3.97599541
 33.00,  3.97563651
 33.10,  3.97527866
 33.20,  3.97492186
 33.30,  3.97456610
 33.40,  3.97421138
 33.50,  3.97385769
 33.60,  3.97350503
 33.70,  3.97315338
 33.80,  3.97280274
 33.90,  3.97245310
 34.00,  3.97210446
 34.10,  3.97175682
 34.20,  3.97141015
 34.30,  3.97106446
 34.40,  3.97071975
 34.50,  3.97037600
 34.60,  3.97003321
 34.70,  3.96969138
 34.80,  3.96935049
 34.90,  3.96901055
 35.00,  3.96867154
 35.10,  3.96833346
 35.20,  3.96799631
 35.30,  3.96766008
 35.40,  3.96732476
 35.50,  3.96699035
 35.60,  3.96665684
 35.70,  3.96632423
 35.80,  3.96599251
 35.90,  3.96566168
 36.00,  3.96533173
 36.10,  3.96500266
 36.20,  3.96467446
 36.30,  3.96434712
 36.40,  3.96402065
 36.50,  3.96369503
 36.60,  3.96337027
 36.70,  3.96304635
 36.80,  3.96272327
 36.90,  3.96240103
 37.00,  3.96207962
 37.10,  3.96175904
 37.20,  3.96143929
 37.30,  3.96112035
 37.40,  3.96080222
 37.50,  3.96048491
 37.60,  3.96016840
 37.70,  3.95985269
 37.80,  3.95953778
 37.90,  3.95922366
 38.00,  3.95891033
 38.10,  3.95859778
 38.20,  3.95828601
 38.30,  3.95797501
 38.40,  3.95766479
 38.50,  3.95735534
 38.60,  3.95704664
 38.70,  3.95673871
 38.80,  3.95643153
 38.90,  3.95612510
 39.00,  3.95581943
 39.10,  3.95551449
 39.20,  3.95521029
 39.30,  3.95490683
 39.40,  3.95460411
 39.50,  3.95430211
 39.60,  3.95400083
 39.70,  3.95370028
 39.80,  3.95340045
 39.90,  3.95310133
 40.00,  3.95280292
 40.10,  3.95250522
 40.20,  3.95220822
 40.30,  3.95191192
 40.40,  3.95161632
 40.50,  3.95132141
 40.60,  3.95102720
 40.70,  3.95073367
 40.80,  3.95044083
 40.90,  3.95014866
 41.00,  3.94985717
 41.10,  3.94956636
 41.20,  3.94927622
 41.30,  3.94898675
 41.40,  3.94869794
 41.50,  3.94840980
 41.60,  3.94812231
 41.70,  3.94783548
 41.80,  3.94754930
 41.90,  3.94726377
 42.00,  3.94697889
 42.10,  3.94669466
 42.20,  3.94641106
 42.30,  3.94612811
 42.40,  3.94584579
 42.50,  3.94556410
 42.60,  3.94528304
 42.70,  3.94500261
 42.80,  3.94472281
 42.90,  3.94444363
 43.00,  3.94416507
 43.10,  3.94388712
 43.20,  3.94360979
 43.30,  3.94333307
 43.40,  3.94305696
 43.50,  3.94278145
 43.60,  3.94250655
 43.70,  3.94223226
 43.80,  3.94195856
 43.90,  3.94168545
 44.00,  3.94141295
 44.10,  3.94114103
 44.20,  3.94086970
 44.30,  3.94059896
 44.40,  3.94032881
 44.50,  3.94005923
 44.60,  3.93979024
 44.70,  3.93952182
 44.80,  3.93925398
 44.90,  3.93898672
 45.00,  3.93872002
 45.10,  3.93845389
 45.20,  3.93818833
 45.30,  3.93792334
 45.40,  3.93765890
 45.50,  3.93739503
 45.60,  3.93713171
 45.70,  3.93686895
 45.80,  3.93660674
 45.90,  3.93634509
 46.00,  3.93608398
 46.10,  3.93582343
 46.20,  3.93556341
 46.30,  3.93530394
 46.40,  3.93504502
 46.50,  3.93478663
 46.60,  3.93452878
 46.70,  3.93427146
 46.80,  3.93401468
 46.90,  3.93375843
