Time,Stress
  0.00,  4.18298000
  0.10,  4.17313274
  0.20,  4.16368112
  0.30,  4.15460758
  0.40,  4.14589532
  0.50,  4.13752830
  0.60,  4.12949122
  0.70,  4.12176944
  0.80,  4.11434901
  0.90,  4.10721657
  1.00,  4.10035940
  1.10,  4.09376532
  1.20,  4.08742272
  1.30,  4.08132050
  1.40,  4.07544806
  1.50,  4.06979528
  1.60,  4.06435248
  1.70,  4.05911045
  1.80,  4.05406035
  1.90,  4.04919377
  2.00,  4.04450267
  2.10,  4.03997935
  2.20,  4.03561648
  2.30,  4.03140706
  2.40,  4.02734439
  2.50,  4.02342207
  2.60,  4.01963401
  2.70,  4.01597435
  2.80,  4.01243755
  2.90,  4.00901827
  3.00,  4.00571142
  3.10,  4.00251217
  3.20,  3.99941586
  3.30,  3.99641807
  3.40,  3.99351457
  3.50,  3.99070131
  3.60,  3.98797444
  3.70,  3.98533026
  3.80,  3.98276526
  3.90,  3.98027607
  4.00,  3.97785947
  4.10,  3.97551239
  4.20,  3.97323190
  4.30,  3.97101519
  4.40,  3.96885959
  4.50,  3.96676254
  4.60,  3.96472160
  4.70,  3.96273442
  4.80,  3.96079878
  4.90,  3.95891255
  5.00,  3.95707369
  5.10,  3.95528025
  5.20,  3.95353038
  5.30,  3.95182230
  5.40,  3.95015431
  5.50,  3.94852479
  5.60,  3.94693218
  5.70,  3.94537501
  5.80,  3.94385186
  5.90,  3.94236138
  6.00,  3.94090228
  6.10,  3.93947331
  6.20,  3.93807331
  6.30,  3.93670113
  6.40,  3.93535570
  6.50,  3.93403599
  6.60,  3.93274102
  6.70,  3.93146983
  6.80,  3.93022153
  6.90,  3.92899526
  7.00,  3.92779019
  7.10,  3.92660554
  7.20,  3.92544055
  7.30,  3.92429451
  7.40,  3.92316671
  7.50,  3.92205652
  7.60,  3.92096329
  7.70,  3.91988642
  7.80,  3.91882535
  7.90,  3.91777950
  8.00,  3.91674837
  8.10,  3.91573144
  8.20,  3.91472824
  8.30,  3.91373829
  8.40,  3.91276117
  8.50,  3.91179644
  8.60,  3.91084370
  8.70,  3.90990256
  8.80,  3.90897266
  8.90,  3.90805363
  9.00,  3.90714515
  9.10,  3.90624687
  9.20,  3.90535850
  9.30,  3.90447973
  9.40,  3.90361028
  9.50,  3.90274987
  9.60,  3.90189824
  9.70,  3.90105514
  9.80,  3.90022032
  9.90,  3.89939357
 10.00,  3.89857465
 10.10,  3.89776336
 10.20,  3.89695949
 10.30,  3.89616285
 10.40,  3.89537324
 10.50,  3.89459049
 10.60,  3.89381443
 10.70,  3.89304490
 10.80,  3.89228172
 10.90,  3.89152476
 11.00,  3.89077387
 11.10,  3.89002890
 11.20,  3.88928972
 11.30,  3.88855620
 11.40,  3.88782822
 11.50,  3.88710565
 11.60,  3.88638839
 11.70,  3.88567632
 11.80,  3.88496934
 11.90,  3.88426734
 12.00,  3.88357023
 12.10,  3.88287790
 12.20,  3.88219028
 12.30,  3.88150727
 12.40,  3.88082878
 12.50,  3.88015474
 12.60,  3.87948507
 12.70,  3.87881970
 12.80,  3.87815854
 12.90,  3.87750153
 13.00,  3.87684860
 13.10,  3.87619969
 13.20,  3.87555473
 13.30,  3.87491367
 13.40,  3.87427643
 13.50,  3.87364297
 13.60,  3.87301324
 13.70,  3.87238717
 13.80,  3.87176471
 13.90,  3.87114583
 14.00,  3.87053046
 14.10,  3.86991856
 14.20,  3.86931009
 14.30,  3.86870500
 14.40,  3.86810325
 14.50,  3.86750480
 14.60,  3.86690961
 14.70,  3.86631764
 14.80,  3.86572885
 14.90,  3.86514320
 15.00,  3.86456066
 15.10,  3.86398120
 15.20,  3.86340479
 15.30,  3.86283138
 15.40,  3.86226094
 15.50,  3.86169346
 15.60,  3.86112888
 15.70,  3.86056720
 15.80,  3.86000837
 15.90,  3.85945237
 16.00,  3.85889918
 16.10,  3.85834876
 16.20,  3.85780109
 16.30,  3.85725614
 16.40,  3.85671389
 16.50,  3.85617432
 16.60,  3.85563740
 16.70,  3.85510311
 16.80,  3.85457142
 16.90,  3.85404231
 17.00,  3.85351577
 17.10,  3.85299177
 17.20,  3.85247028
 17.30,  3.85195129
 17.40,  3.85143479
 17.50,  3.85092074
 17.60,  3.85040913
 17.70,  3.84989994
 17.80,  3.84939315
 17.90,  3.84888874
 18.00,  3.84838670
 18.10,  3.84788700
 18.20,  3.84738964
 18.30,  3.84689459
 18.40,  3.84640183
 18.50,  3.84591135
 18.60,  3.84542313
 18.70,  3.84493716
 18.80,  3.84445342
 18.90,  3.84397190
 19.00,  3.84349257
 19.10,  3.84301543
 19.20,  3.84254046
 19.30,  3.84206764
 19.40,  3.84159696
 19.50,  3.84112840
 19.60,  3.84066196
 19.70,  3.84019761
 19.80,  3.83973534
 19.90,  3.83927515
 20.00,  3.83881700
 20.10,  3.83836090
 20.20,  3.83790683
 20.30,  3.83745478
 20.40,  3.83700472
 20.50,  3.83655666
 20.60,  3.83611057
 20.70,  3.83566645
 20.80,  3.83522428
 20.90,  3.83478404
 21.00,  3.83434574
 21.10,  3.83390935
 21.20,  3.83347486
 21.30,  3.83304227
 21.40,  3.83261155
 21.50,  3.83218271
 21.60,  3.83175572
 21.70,  3.83133057
 21.80,  3.83090726
 21.90,  3.83048577
 22.00,  3.83006610
 22.10,  3.82964822
 22.20,  3.82923213
 22.30,  3.82881783
 22.40,  3.82840529
 22.50,  3.82799450
 22.60,  3.82758547
 22.70,  3.82717817
 22.80,  3.82677260
 22.90,  3.82636875
 23.00,  3.82596660
 23.10,  3.82556614
 23.20,  3.82516737
 23.30,  3.82477028
 23.40,  3.82437485
 23.50,  3.82398108
 23.60,  3.82358895
 23.70,  3.82319847
 23.80,  3.82280960
 23.90,  3.82242236
 24.00,  3.82203672
 24.10,  3.82165268
 24.20,  3.82127023
 24.30,  3.82088936
 24.40,  3.82051007
 24.50,  3.82013233
 24.60,  3.81975614
 24.70,  3.81938150
 24.80,  3.81900840
 24.90,  3.81863682
 25.00,  3.81826675
 25.10,  3.81789820
 25.20,  3.81753114
 25.30,  3.81716557
 25.40,  3.81680149
 25.50,  3.81643888
 25.60,  3.81607774
 25.70,  3.81571805
 25.80,  3.81535981
 25.90,  3.81500301
 26.00,  3.81464764
 26.10,  3.81429370
 26.20,  3.81394117
 26.30,  3.81359005
 26.40,  3.81324033
 26.50,  3.81289200
 26.60,  3.81254506
 26.70,  3.81219948
 26.80,  3.81185528
 26.90,  3.81151244
 27.00,  3.81117095
 27.10,  3.81083080
 27.20,  3.81049200
 27.30,  3.81015452
 27.40,  3.80981836
 27.50,  3.80948352
 27.60,  3.80914998
 27.70,  3.80881774
 27.80,  3.80848680
 27.90,  3.80815714
 28.00,  3.80782876
 28.10,  3.80750165
 28.20,  3.80717580
 28.30,  3.80685121
 28.40,  3.80652787
 28.50,  3.80620577
 28.60,  3.80588490
 28.70,  3.80556526
 28.80,  3.80524685
 28.90,  3.80492964
 29.00,  3.80461365
 29.10,  3.80429885
 29.20,  3.80398525
 29.30,  3.80367284
 29.40,  3.80336161
 29.50,  3.80305155
 29.60,  3.80274266
 29.70,  3.80243493
 29.80,  3.80212835
 29.90,  3.80182292
 30.00,  3.80151864
 30.10,  3.80121548
 30.20,  3.80091346
 30.30,  3.80061256
 30.40,  3.80031277
 30.50,  3.80001410
 30.60,  3.79971653
 30.70,  3.79942005
 30.80,  3.79912467
 30.90,  3.79883037
 31.00,  3.79853716
 31.10,  3.79824501
 31.20,  3.79795393
 31.30,  3.79766392
 31.40,  3.79737496
 31.50,  3.79708705
 31.60,  3.79680018
 31.70,  3.79651435
 31.80,  3.79622955
 31.90,  3.79594578
 32.00,  3.79566303
 32.10,  3.79538130
 32.20,  3.79510057
 32.30,  3.79482085
 32.40,  3.79454213
 32.50,  3.79426440
 32.60,  3.79398766
 32.70,  3.79371190
 32.80,  3.79343711
 32.90,  3.79316330
 33.00,  3.79289045
 33.10,  3.79261856
 33.20,  3.79234763
 33.30,  3.79207765
 33.40,  3.79180861
 33.50,  3.79154051
 33.60,  3.79127334
 33.70,  3.79100711
 33.80,  3.79074179
 33.90,  3.79047740
 34.00,  3.79021392
 34.10,  3.78995135
 34.20,  3.78968968
 34.30,  3.78942891
 34.40,  3.78916904
 34.50,  3.78891005
 34.60,  3.78865195
 34.70,  3.78839473
 34.80,  3.78813838
 34.90,  3.78788290
 35.00,  3.78762829
 35.10,  3.78737453
 35.20,  3.78712163
 35.30,  3.78686959
 35.40,  3.78661839
 35.50,  3.78636802
 35.60,  3.78611850
 35.70,  3.78586981
 35.80,  3.78562195
 35.90,  3.78537491
 36.00,  3.78512868
 36.10,  3.78488328
 36.20,  3.78463868
 36.30,  3.78439489
 36.40,  3.78415189
 36.50,  3.78390970
 36.60,  3.78366830
 36.70,  3.78342768
 36.80,  3.78318785
 36.90,  3.78294880
 37.00,  3.78271052
 37.10,  3.78247302
 37.20,  3.78223628
 37.30,  3.78200031
 37.40,  3.78176509
 37.50,  3.78153063
 37.60,  3.78129692
 37.70,  3.78106395
 37.80,  3.78083173
 37.90,  3.78060024
 38.00,  3.78036949
 38.10,  3.78013947
 38.20,  3.77991018
 38.30,  3.77968160
 38.40,  3.77945375
 38.50,  3.77922661
 38.60,  3.77900019
 38.70,  3.77877447
 38.80,  3.77854945
 38.90,  3.77832513
 39.00,  3.77810151
 39.10,  3.77787858
 39.20,  3.77765634
 39.30,  3.77743478
 39.40,  3.77721391
 39.50,  3.77699371
 39.60,  3.77677418
 39.70,  3.77655533
 39.80,  3.77633714
 39.90,  3.77611961
 40.00,  3.77590274
 40.10,  3.77568653
 40.20,  3.77547097
 40.30,  3.77525606
 40.40,  3.77504180
 40.50,  3.77482818
 40.60,  3.77461519
 40.70,  3.77440285
 40.80,  3.77419113
 40.90,  3.77398004
 41.00,  3.77376958
 41.10,  3.77355973
 41.20,  3.77335051
 41.30,  3.77314190
 41.40,  3.77293390
 41.50,  3.77272652
 41.60,  3.77251973
 41.70,  3.77231355
 41.80,  3.77210797
 41.90,  3.77190299
 42.00,  3.77169859
 42.10,  3.77149479
 42.20,  3.77129157
 42.30,  3.77108894
 42.40,  3.77088689
 42.50,  3.77068541
 42.60,  3.77048451
 42.70,  3.77028418
 42.80,  3.77008442
 42.90,  3.76988522
 43.00,  3.76968659
 43.10,  3.76948851
 43.20,  3.76929099
 43.30,  3.76909402
 43.40,  3.76889761
 43.50,  3.76870174
 43.60,  3.76850642
 43.70,  3.76831164
 43.80,  3.76811740
 43.90,  3.76792369
 44.00,  3.76773052
 44.10,  3.76753788
 44.20,  3.76734576
 44.30,  3.76715418
 44.40,  3.76696311
 44.50,  3.76677256
 44.60,  3.76658254
 44.70,  3.76639302
 44.80,  3.76620402
 44.90,  3.76601552
 45.00,  3.76582754
 45.10,  3.76564005
 45.20,  3.76545307
 45.30,  3.76526659
 45.40,  3.76508060
 45.50,  3.76489510
 45.60,  3.76471010
