Time,Stress
  0.00,  0.98358000
  0.10,  0.98001013
  0.20,  0.97673631
  0.30,  0.97373024
  0.40,  0.97096637
  0.50,  0.96842162
  0.60,  0.96607519
  0.70,  0.96390825
  0.80,  0.96190384
  0.90,  0.96004662
  1.00,  0.95832275
  1.10,  0.95671972
  1.20,  0.95522625
  1.30,  0.95383215
  1.40,  0.95252819
  1.50,  0.95130607
  1.60,  0.95015828
  1.70,  0.94907802
  1.80,  0.94805916
  1.90,  0.94709618
  2.00,  0.94618405
  2.10,  0.94531827
  2.20,  0.94449474
  2.30,  0.94370977
  2.40,  0.94296001
  2.50,  0.94224246
  2.60,  0.94155438
  2.70,  0.94089330
  2.80,  0.94025698
  2.90,  0.93964342
  3.00,  0.93905077
  3.10,  0.93847740
  3.20,  0.93792178
  3.30,  0.93738258
  3.40,  0.93685857
  3.50,  0.93634862
  3.60,  0.93585172
  3.70,  0.93536698
  3.80,  0.93489354
  3.90,  0.93443066
  4.00,  0.93397766
  4.10,  0.93353392
  4.20,  0.93309886
  4.30,  0.93267197
  4.40,  0.93225279
  4.50,  0.93184089
  4.60,  0.93143588
  4.70,  0.93103741
  4.80,  0.93064514
  4.90,  0.93025880
  5.00,  0.92987810
  5.10,  0.92950280
  5.20,  0.92913268
  5.30,  0.92876751
  5.40,  0.92840712
  5.50,  0.92805132
  5.60,  0.92769995
  5.70,  0.92735286
  5.80,  0.92700992
  5.90,  0.92667099
  6.00,  0.92633595
  6.10,  0.92600470
  6.20,  0.92567713
  6.30,  0.92535314
  6.40,  0.92503265
  6.50,  0.92471557
  6.60,  0.92440181
  6.70,  0.92409132
  6.80,  0.92378402
  6.90,  0.92347983
  7.00,  0.92317870
  7.10,  0.92288058
  7.20,  0.92258540
  7.30,  0.92229310
  7.40,  0.92200365
  7.50,  0.92171699
  7.60,  0.92143307
  7.70,  0.92115185
  7.80,  0.92087329
  7.90,  0.92059734
  8.00,  0.92032397
  8.10,  0.92005314
  8.20,  0.91978481
  8.30,  0.91951894
  8.40,  0.91925550
  8.50,  0.91899446
  8.60,  0.91873578
  8.70,  0.91847943
  8.80,  0.91822538
  8.90,  0.91797360
  9.00,  0.91772406
  9.10,  0.91747673
  9.20,  0.91723158
  9.30,  0.91698859
  9.40,  0.91674773
  9.50,  0.91650897
  9.60,  0.91627228
  9.70,  0.91603764
  9.80,  0.91580503
  9.90,  0.91557442
 10.00,  0.91534578
 10.10,  0.91511910
 10.20,  0.91489434
 10.30,  0.91467149
 10.40,  0.91445053
 10.50,  0.91423142
 10.60,  0.91401415
 10.70,  0.91379870
 10.80,  0.91358505
 10.90,  0.91337317
 11.00,  0.91316304
 11.10,  0.91295465
 11.20,  0.91274797
 11.30,  0.91254298
 11.40,  0.91233967
 11.50,  0.91213801
 11.60,  0.91193799
 11.70,  0.91173959
 11.80,  0.91154278
 11.90,  0.91134755
 12.00,  0.91115388
 12.10,  0.91096176
 12.20,  0.91077116
 12.30,  0.91058208
 12.40,  0.91039448
 12.50,  0.91020836
 12.60,  0.91002369
 12.70,  0.90984047
 12.80,  0.90965867
 12.90,  0.90947829
 13.00,  0.90929929
 13.10,  0.90912167
 13.20,  0.90894541
 13.30,  0.90877050
 13.40,  0.90859692
 13.50,  0.90842466
 13.60,  0.90825370
 13.70,  0.90808402
 13.80,  0.90791562
 13.90,  0.90774847
 14.00,  0.90758257
 14.10,  0.90741790
 14.20,  0.90725444
 14.30,  0.90709219
 14.40,  0.90693113
 14.50,  0.90677124
 14.60,  0.90661252
 14.70,  0.90645494
 14.80,  0.90629851
 14.90,  0.90614320
 15.00,  0.90598900
 15.10,  0.90583590
 15.20,  0.90568389
 15.30,  0.90553295
 15.40,  0.90538308
 15.50,  0.90523426
 15.60,  0.90508648
 15.70,  0.90493973
 15.80,  0.90479400
 15.90,  0.90464928
 16.00,  0.90450555
 16.10,  0.90436280
 16.20,  0.90422103
 16.30,  0.90408022
 16.40,  0.90394037
 16.50,  0.90380146
 16.60,  0.90366348
 16.70,  0.90352642
 16.80,  0.90339028
 16.90,  0.90325503
 17.00,  0.90312068
 17.10,  0.90298721
 17.20,  0.90285462
 17.30,  0.90272289
 17.40,  0.90259201
 17.50,  0.90246198
 17.60,  0.90233279
 17.70,  0.90220442
 17.80,  0.90207687
 17.90,  0.90195013
 18.00,  0.90182419
 18.10,  0.90169904
 18.20,  0.90157468
 18.30,  0.90145109
 18.40,  0.90132827
 18.50,  0.90120621
 18.60,  0.90108490
 18.70,  0.90096433
 18.80,  0.90084450
 18.90,  0.90072539
 19.00,  0.90060701
 19.10,  0.90048934
 19.20,  0.90037237
 19.30,  0.90025610
 19.40,  0.90014052
 19.50,  0.90002562
 19.60,  0.89991140
 19.70,  0.89979784
 19.80,  0.89968495
