Time,Stress
  0.00,  0.93062000
  0.10,  0.92804667
  0.20,  0.92559806
  0.30,  0.92326765
  0.40,  0.92104926
  0.50,  0.91893704
  0.60,  0.91692545
  0.70,  0.91500925
  0.80,  0.91318345
  0.90,  0.91144335
  1.00,  0.90978449
  1.10,  0.90820263
  1.20,  0.90669378
  1.30,  0.90525414
  1.40,  0.90388011
  1.50,  0.90256829
  1.60,  0.90131545
  1.70,  0.90011855
  1.80,  0.89897468
  1.90,  0.89788110
  2.00,  0.89683522
  2.10,  0.89583457
  2.20,  0.89487682
  2.30,  0.89395976
  2.40,  0.89308130
  2.50,  0.89223946
  2.60,  0.89143236
  2.70,  0.89065822
  2.80,  0.88991535
  2.90,  0.88920215
  3.00,  0.88851712
  3.10,  0.88785881
  3.20,  0.88722588
  3.30,  0.88661702
  3.40,  0.88603103
  3.50,  0.88546675
  3.60,  0.88492307
  3.70,  0.88439897
  3.80,  0.88389347
  3.90,  0.88340562
  4.00,  0.88293455
  4.10,  0.88247942
  4.20,  0.88203944
  4.30,  0.88161386
  4.40,  0.88120196
  4.50,  0.88080307
  4.60,  0.88041656
  4.70,  0.88004181
  4.80,  0.87967825
  4.90,  0.87932534
  5.00,  0.87898257
  5.10,  0.87864944
  5.20,  0.87832549
  5.30,  0.87801028
  5.40,  0.87770339
  5.50,  0.87740444
  5.60,  0.87711305
  5.70,  0.87682885
  5.80,  0.87655153
  5.90,  0.87628075
  6.00,  0.87601621
  6.10,  0.87575764
  6.20,  0.87550475
  6.30,  0.87525729
  6.40,  0.87501502
  6.50,  0.87477771
  6.60,  0.87454513
  6.70,  0.87431707
  6.80,  0.87409335
  6.90,  0.87387376
  7.00,  0.87365814
  7.10,  0.87344631
  7.20,  0.87323812
  7.30,  0.87303342
  7.40,  0.87283205
  7.50,  0.87263389
  7.60,  0.87243879
  7.70,  0.87224665
  7.80,  0.87205734
  7.90,  0.87187076
  8.00,  0.87168679
  8.10,  0.87150533
  8.20,  0.87132630
  8.30,  0.87114960
  8.40,  0.87097515
  8.50,  0.87080286
  8.60,  0.87063266
  8.70,  0.87046447
  8.80,  0.87029823
  8.90,  0.87013386
  9.00,  0.86997131
  9.10,  0.86981051
  9.20,  0.86965141
  9.30,  0.86949395
  9.40,  0.86933809
  9.50,  0.86918376
  9.60,  0.86903094
  9.70,  0.86887956
  9.80,  0.86872959
  9.90,  0.86858100
 10.00,  0.86843373
 10.10,  0.86828775
 10.20,  0.86814304
 10.30,  0.86799955
 10.40,  0.86785725
 10.50,  0.86771612
 10.60,  0.86757612
 10.70,  0.86743723
 10.80,  0.86729942
 10.90,  0.86716267
 11.00,  0.86702694
 11.10,  0.86689223
 11.20,  0.86675851
 11.30,  0.86662575
 11.40,  0.86649393
 11.50,  0.86636305
 11.60,  0.86623307
 11.70,  0.86610399
 11.80,  0.86597577
 11.90,  0.86584842
 12.00,  0.86572191
 12.10,  0.86559623
 12.20,  0.86547136
 12.30,  0.86534729
 12.40,  0.86522401
 12.50,  0.86510151
 12.60,  0.86497976
 12.70,  0.86485877
 12.80,  0.86473852
 12.90,  0.86461899
 13.00,  0.86450018
 13.10,  0.86438209
 13.20,  0.86426469
 13.30,  0.86414797
 13.40,  0.86403194
 13.50,  0.86391659
 13.60,  0.86380189
 13.70,  0.86368785
 13.80,  0.86357445
 13.90,  0.86346170
 14.00,  0.86334958
 14.10,  0.86323808
 14.20,  0.86312720
 14.30,  0.86301693
 14.40,  0.86290727
 14.50,  0.86279821
 14.60,  0.86268973
 14.70,  0.86258185
 14.80,  0.86247454
 14.90,  0.86236781
 15.00,  0.86226164
 15.10,  0.86215605
 15.20,  0.86205100
 15.30,  0.86194652
 15.40,  0.86184258
 15.50,  0.86173918
 15.60,  0.86163632
 15.70,  0.86153400
 15.80,  0.86143221
 15.90,  0.86133094
 16.00,  0.86123019
 16.10,  0.86112995
 16.20,  0.86103023
 16.30,  0.86093101
 16.40,  0.86083230
 16.50,  0.86073409
 16.60,  0.86063638
 16.70,  0.86053915
 16.80,  0.86044242
 16.90,  0.86034616
 17.00,  0.86025039
 17.10,  0.86015510
 17.20,  0.86006028
 17.30,  0.85996593
 17.40,  0.85987204
 17.50,  0.85977862
 17.60,  0.85968566
 17.70,  0.85959315
 17.80,  0.85950110
 17.90,  0.85940950
 18.00,  0.85931834
 18.10,  0.85922763
 18.20,  0.85913736
 18.30,  0.85904753
 18.40,  0.85895813
 18.50,  0.85886916
 18.60,  0.85878062
