Time,Stress
  0.00,  1.54311000
  0.10,  1.54096475
  0.20,  1.53891331
  0.30,  1.53695092
  0.40,  1.53507307
  0.50,  1.53327548
  0.60,  1.53155408
  0.70,  1.52990503
  0.80,  1.52832468
  0.90,  1.52680957
  1.00,  1.52535640
  1.10,  1.52396207
  1.20,  1.52262362
  1.30,  1.52133825
  1.40,  1.52010331
  1.50,  1.51891627
  1.60,  1.51777475
  1.70,  1.51667648
  1.80,  1.51561930
  1.90,  1.51460119
  2.00,  1.51362020
  2.10,  1.51267450
  2.20,  1.51176235
  2.30,  1.51088210
  2.40,  1.51003219
  2.50,  1.50921113
  2.60,  1.50841752
  2.70,  1.50765000
  2.80,  1.50690733
  2.90,  1.50618829
  3.00,  1.50549175
  3.10,  1.50481662
  3.20,  1.50416188
  3.30,  1.50352655
  3.40,  1.50290971
  3.50,  1.50231049
  3.60,  1.50172804
  3.70,  1.50116158
  3.80,  1.50061037
  3.90,  1.50007368
  4.00,  1.49955085
  4.10,  1.49904124
  4.20,  1.49854424
  4.30,  1.49805928
  4.40,  1.49758580
  4.50,  1.49712328
  4.60,  1.49667124
  4.70,  1.49622921
  4.80,  1.49579674
  4.90,  1.49537341
  5.00,  1.49495882
  5.10,  1.49455259
  5.20,  1.49415436
  5.30,  1.49376379
  5.40,  1.49338056
  5.50,  1.49300434
  5.60,  1.49263486
  5.70,  1.49227183
  5.80,  1.49191498
  5.90,  1.49156408
  6.00,  1.49121886
  6.10,  1.49087912
  6.20,  1.49054463
  6.30,  1.49021520
  6.40,  1.48989061
  6.50,  1.48957070
  6.60,  1.48925528
  6.70,  1.48894419
  6.80,  1.48863726
  6.90,  1.48833435
  7.00,  1.48803532
  7.10,  1.48774002
  7.20,  1.48744832
  7.30,  1.48716011
  7.40,  1.48687526
  7.50,  1.48659366
  7.60,  1.48631521
  7.70,  1.48603980
  7.80,  1.48576734
  7.90,  1.48549774
  8.00,  1.48523090
  8.10,  1.48496674
  8.20,  1.48470519
  8.30,  1.48444617
  8.40,  1.48418960
  8.50,  1.48393542
  8.60,  1.48368356
  8.70,  1.48343396
  8.80,  1.48318655
  8.90,  1.48294129
  9.00,  1.48269812
  9.10,  1.48245697
