Time,Stress,Derivative,RateInDegrees,SecondDerivative
0,0.91316,,,
10,0.86693,-0.0046229999999999995,-0.264876501708146,
20,0.8564,-0.0010529999999999927,-0.060332433528233434,0.00035700000000000065
30,0.85075,-0.0005650000000000044,-0.03237211198022957,4.8799999999998835E-05
40,0.84617,-0.00045800000000000284,-0.026241465182153735,1.0700000000000157E-05
50,0.8429,-0.0003269999999999995,-0.018735719232980667,1.3100000000000335E-05
60,0.84011,-0.00027899999999999594,-0.015985522069373405,4.8000000000003555E-06
70,0.83806,-0.00020499999999999962,-0.01174563463564509,7.399999999999633E-06
80,0.83627,-0.00017900000000000693,-0.010255944423305229,2.599999999999269E-06
90,0.83446,-0.00018099999999999784,-0.010370535978618067,-1.9999999999909142E-07
100,0.83264,-0.00018199999999999328,-0.010427831756243433,-9.999999999954436E-08
110,0.83108,-0.0001560000000000006,-0.008938141531534672,2.599999999999269E-06
120,0.82995,-0.00011300000000000754,-0.006474423057421432,4.299999999999305E-06
130,0.8287,-0.00012499999999999735,-0.007161972401833199,-1.1999999999989801E-06
140,0.82757,-0.00011299999999999643,-0.0064744230574207955,1.2000000000000914E-06
150,0.8266,-9.700000000000264E-05,-0.005557690595338366,1.5999999999993788E-06
160,0.8254,-0.00011999999999999789,-0.0068754935085673895,-2.299999999999525E-06
170,0.82421,-0.00011900000000000243,-0.0068181977298727705,9.999999999954571E-08
180,0.82345,-7.59999999999983E-05,-0.004354479234610335,4.300000000000414E-06
190,0.82249,-9.599999999999609E-05,-0.005500394816358466,-1.999999999999779E-06
200,0.82169,-8.00000000000023E-05,-0.004583662351268238,1.5999999999993788E-06
210,0.82101,-6.80000000000014E-05,-0.0038961130008844692,1.2000000000000902E-06
220,0.82022,-7.900000000000684E-05,-0.004526366572117544,-1.1000000000005445E-06
230,0.81961,-6.0999999999999945E-05,-0.003495042545963001,1.8000000000006896E-06
240,0.81868,-9.299999999999864E-05,-0.0053285074793544916,-3.19999999999987E-06
250,0.81825,-4.299999999999304E-05,-0.0024637185175436695,5.00000000000056E-06
260,0.81754,-7.099999999999884E-05,-0.004068000338593182,-2.8000000000005797E-06
270,0.81685,-6.900000000000794E-05,-0.003953408780129075,1.9999999999909007E-07
280,0.81633,-5.1999999999996493E-05,-0.0029793805319946647,1.7000000000011446E-06
290,0.81586,-4.699999999999704E-05,-0.0026929016351318266,4.99999999999945E-07
