Time;Stress;First Derivative;Rate in degrees;Second Derivative
0;0;;;
0,1;1,63E-08;1,63E-07;2,8448866807507315E-09;
0,2;2,12E-08;4,900000000000001E-08;8,552113334772209E-10;-1,1399999999999999E-06
0,3;3,34E-08;1,2200000000000003E-07;2,129301687433072E-09;7,300000000000005E-07
0,4;3,81E-08;4,6999999999999944E-08;8,203047484373333E-10;-7,500000000000007E-07
0,5;5,00E-08;1,1900000000000003E-07;2,076941809873243E-09;7,20000000000001E-07
0,6;4,79E-08;-2,0999999999999993E-08;-3,6651914291880904E-10;-1,4000000000000006E-06
0,7;5,30E-08;5,100000000000001E-08;8,901179185171074E-10;7,200000000000001E-07
0,8;6,41E-08;1,1099999999999991E-07;1,9373154697136962E-09;5,999999999999985E-07
0,9;6,92E-08;5,100000000000001E-08;8,901179185171074E-10;-5,999999999999991E-07
1;8,02E-08;1,1000000000000009E-07;1,919862177193756E-09;5,900000000000009E-07
1,1;8,52E-08;4,999999999999987E-08;8,726646259971619E-10;-6,000000000000017E-07
1,2;9,61E-08;1,0900000000000013E-07;1,902408884673814E-09;5,900000000000034E-07
1,3;1,14E-07;1,7899999999999992E-07;3,1241393610698154E-09;6,999999999999973E-07
1,4;1,19E-07;4,9999999999999985E-08;8,726646259971638E-10;-1,2900000000000012E-06
1,5;1,30E-07;1,0999999999999997E-07;1,919862177193754E-09;5,999999999999992E-07
1,6;1,34E-07;4,000000000000006E-08;6,981317007977325E-10;-6,999999999999985E-07
1,7;1,46E-07;1,2000000000000017E-07;2,0943951023931884E-09;8,000000000000022E-07
1,8;1,50E-07;3,9999999999999796E-08;6,981317007977279E-10;-8,00000000000003E-07
1,9;1,61E-07;1,100000000000002E-07;1,919862177193758E-09;7,00000000000005E-07
2;1,66E-07;5,0000000000000004E-08;8,726646259971641E-10;-6,000000000000013E-07
2,1;1,77E-07;1,0999999999999997E-07;1,919862177193754E-09;5,99999999999999E-07
2,2;1,81E-07;3,9999999999999796E-08;6,981317007977279E-10;-7,000000000000011E-07
2,3;1,93E-07;1,2000000000000044E-07;2,094395102393193E-09;8,000000000000092E-07
2,4;1,97E-07;4,000000000000006E-08;6,981317007977325E-10;-8,00000000000003E-07
2,5;2,08E-07;1,0999999999999997E-07;1,919862177193754E-09;6,999999999999985E-07
2,6;2,12E-07;3,9999999999999796E-08;6,981317007977279E-10;-7,000000000000011E-07
2,7;2,23E-07;1,0999999999999997E-07;1,919862177193754E-09;7,000000000000011E-07
2,8;2,27E-07;4,000000000000023E-08;6,981317007977355E-10;-6,999999999999998E-07
2,9;2,39E-07;1,199999999999999E-07;2,094395102393184E-09;7,999999999999962E-07
3;2,43E-07;3,9999999999999796E-08;6,981317007977279E-10;-8,000000000000004E-07
3,1;2,54E-07;1,1000000000000023E-07;1,9198621771937586E-09;7,000000000000038E-07
3,2;2,58E-07;3,9999999999999796E-08;6,981317007977279E-10;-7,000000000000038E-07
3,3;2,69E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000063E-07
3,4;2,73E-07;4,0000000000000325E-08;6,981317007977372E-10;-6,99999999999998E-07
3,5;2,84E-07;1,099999999999997E-07;1,9198621771937495E-09;6,999999999999932E-07
3,6;2,88E-07;3,9999999999999796E-08;6,981317007977279E-10;-6,999999999999985E-07
3,7;3,00E-07;1,199999999999999E-07;2,094395102393184E-09;8,000000000000004E-07
3,8;3,03E-07;3,000000000000024E-08;5,23598775598303E-10;-8,999999999999999E-07
3,9;3,15E-07;1,199999999999999E-07;2,094395102393184E-09;8,999999999999958E-07
4;3,19E-07;3,9999999999999796E-08;6,981317007977279E-10;-8,000000000000004E-07
4,1;3,30E-07;1,1000000000000072E-07;1,9198621771937673E-09;7,000000000000116E-07
4,2;3,34E-07;3,999999999999962E-08;6,981317007977248E-10;-7,000000000000073E-07
4,3;3,45E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000082E-07
4,4;3,49E-07;4,0000000000000146E-08;6,98131700797734E-10;-6,999999999999967E-07
4,5;3,60E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000029E-07
4,6;3,57E-07;-3,000000000000024E-08;-5,23598775598303E-10;-1,4000000000000093E-06
4,7;3,62E-07;4,9999999999999786E-08;8,726646259971603E-10;7,99999999999996E-07
4,8;3,72E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000086E-07
4,9;3,77E-07;4,9999999999999786E-08;8,726646259971603E-10;-5,000000000000041E-07
5;3,87E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000086E-07
5,1;3,91E-07;3,999999999999997E-08;6,981317007977309E-10;-6,00000000000007E-07
5,2;4,02E-07;1,0999999999999974E-07;1,9198621771937503E-09;6,99999999999994E-07
5,3;4,06E-07;3,999999999999997E-08;6,981317007977309E-10;-7,000000000000003E-07
5,4;4,17E-07;1,0999999999999921E-07;1,9198621771937408E-09;6,999999999999887E-07
5,5;4,21E-07;4,00000000000005E-08;6,981317007977402E-10;-6,999999999999897E-07
5,6;4,32E-07;1,1000000000000019E-07;1,919862177193758E-09;6,999999999999994E-07
5,7;4,36E-07;3,999999999999962E-08;6,981317007977248E-10;-7,00000000000002E-07
5,8;4,47E-07;1,1000000000000072E-07;1,9198621771937673E-09;7,000000000000135E-07
5,9;4,51E-07;3,999999999999962E-08;6,981317007977248E-10;-7,000000000000073E-07
6;4,61E-07;1,0000000000000046E-07;1,7453292519943318E-09;6,000000000000106E-07
6,1;4,66E-07;5,000000000000023E-08;8,726646259971681E-10;-5,000000000000041E-07
6,2;4,76E-07;9,999999999999904E-08;1,745329251994307E-09;4,999999999999855E-07
6,3;4,81E-07;5,000000000000076E-08;8,726646259971773E-10;-4,999999999999846E-07
6,4;4,91E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999855E-07
6,5;4,96E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000005E-07
6,6;5,06E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000094E-07
6,7;5,10E-07;3,999999999999962E-08;6,981317007977248E-10;-6,000000000000053E-07
6,8;5,21E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000082E-07
6,9;5,25E-07;3,999999999999962E-08;6,981317007977248E-10;-7,00000000000002E-07
7;5,35E-07;1,0000000000000046E-07;1,7453292519943318E-09;6,000000000000106E-07
7,1;5,40E-07;5,000000000000076E-08;8,726646259971773E-10;-4,999999999999988E-07
7,2;5,50E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999855E-07
7,3;5,55E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000005E-07
7,4;5,65E-07;9,999999999999957E-08;1,7453292519943163E-09;4,999999999999961E-07
7,5;5,69E-07;3,999999999999997E-08;6,981317007977309E-10;-5,999999999999983E-07
7,6;5,80E-07;1,1000000000000019E-07;1,919862177193758E-09;7,000000000000047E-07
7,7;5,84E-07;4,0000000000000676E-08;6,981317007977433E-10;-6,999999999999914E-07
7,8;5,94E-07;1,0000000000000046E-07;1,7453292519943318E-09;6E-07
7,9;5,99E-07;4,9999999999999257E-08;8,726646259971511E-10;-5,000000000000094E-07
8;6,09E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000138E-07
8,1;6,14E-07;4,99999999999997E-08;8,726646259971589E-10;-5,000000000000094E-07
8,2;6,24E-07;1,0000000000000046E-07;1,7453292519943318E-09;5,000000000000094E-07
8,3;6,28E-07;3,999999999999926E-08;6,981317007977186E-10;-6,000000000000035E-07
8,4;6,39E-07;1,1000000000000125E-07;1,9198621771937763E-09;7,000000000000224E-07
8,5;6,43E-07;3,999999999999997E-08;6,981317007977309E-10;-7,000000000000153E-07
