Time;Stress
0;0
0,1;1,63E-08
0,2;2,12E-08
0,3;3,34E-08
0,4;3,81E-08
0,5;5,00E-08
0,6;4,79E-08
0,7;5,30E-08
0,8;6,41E-08
0,9;6,92E-08
1;8,02E-08
1,1;8,52E-08
1,2;9,61E-08
1,3;1,14E-07
1,4;1,19E-07
1,5;1,30E-07
1,6;1,34E-07
1,7;1,46E-07
1,8;1,50E-07
1,9;1,61E-07
2;1,66E-07
2,1;1,77E-07
2,2;1,81E-07
2,3;1,93E-07
2,4;1,97E-07
2,5;2,08E-07
2,6;2,12E-07
2,7;2,23E-07
2,8;2,27E-07
2,9;2,39E-07
3;2,43E-07
3,1;2,54E-07
3,2;2,58E-07
3,3;2,69E-07
3,4;2,73E-07
3,5;2,84E-07
3,6;2,88E-07
3,7;3,00E-07
3,8;3,03E-07
3,9;3,15E-07
4;3,19E-07
4,1;3,30E-07
4,2;3,34E-07
4,3;3,45E-07
4,4;3,49E-07
4,5;3,60E-07
4,6;3,57E-07
4,7;3,62E-07
4,8;3,72E-07
4,9;3,77E-07
5;3,87E-07
5,1;3,91E-07
5,2;4,02E-07
5,3;4,06E-07
5,4;4,17E-07
5,5;4,21E-07
5,6;4,32E-07
5,7;4,36E-07
5,8;4,47E-07
5,9;4,51E-07
6;4,61E-07
6,1;4,66E-07
6,2;4,76E-07
6,3;4,81E-07
6,4;4,91E-07
6,5;4,96E-07
6,6;5,06E-07
6,7;5,10E-07
6,8;5,21E-07
6,9;5,25E-07
7;5,35E-07
7,1;5,40E-07
7,2;5,50E-07
7,3;5,55E-07
7,4;5,65E-07
7,5;5,69E-07
7,6;5,80E-07
7,7;5,84E-07
7,8;5,94E-07
7,9;5,99E-07
8;6,09E-07
8,1;6,14E-07
8,2;6,24E-07
8,3;6,28E-07
8,4;6,39E-07
8,5;6,43E-07
8,6;6,53E-07
8,7;6,58E-07
8,8;6,68E-07
8,9;6,72E-07
9;6,83E-07
9,1;6,87E-07
9,2;6,97E-07
9,3;7,02E-07
9,4;7,12E-07
9,5;7,16E-07
9,6;7,27E-07
9,7;7,31E-07
9,8;7,41E-07
9,9;7,46E-07
10;7,56E-07
10,1;7,60E-07
10,2;7,59E-07
10,3;7,57E-07
10,4;7,56E-07
10,5;7,55E-07
10,6;7,54E-07
10,7;7,53E-07
10,8;7,52E-07
10,9;7,52E-07
11;7,51E-07
11,1;7,50E-07
11,2;7,49E-07
12,2;7,43E-07
12,3;7,43E-07
13,3;7,38E-07
13,4;7,38E-07
14,4;7,34E-07
14,5;7,34E-07
15,5;7,30E-07
15,6;7,30E-07
16,6;7,27E-07
16,7;7,27E-07
17,7;7,25E-07
17,8;7,25E-07
18,8;7,22E-07
18,9;7,22E-07
19,9;7,20E-07
20;7,20E-07
21;7,18E-07
21,1;7,18E-07
22,1;7,17E-07
22,2;7,17E-07
23,2;7,15E-07
23,3;7,15E-07
24,3;7,14E-07
24,4;7,14E-07
25,4;7,12E-07
25,5;7,12E-07
26,5;7,11E-07
26,6;7,11E-07
27,6;7,10E-07
27,7;7,10E-07
28,7;7,09E-07
28,8;7,09E-07
29,8;7,08E-07
29,9;7,08E-07
30,9;7,07E-07
31;7,07E-07
32;7,06E-07
32,1;7,06E-07
33,1;7,05E-07
33,2;7,05E-07
34,2;7,04E-07
34,3;7,04E-07
35,3;7,03E-07
36,3;7,03E-07
37,3;7,02E-07
38,3;7,02E-07
39,3;7,01E-07
40,3;7,01E-07
41,3;7,00E-07
42,3;7,00E-07
43,3;6,99E-07
44,3;6,99E-07
45,3;6,99E-07
46,3;6,98E-07
47,3;6,98E-07
48,3;6,97E-07
49,3;6,97E-07
50,3;6,97E-07
51,3;6,96E-07
52,3;6,96E-07
53,3;6,96E-07
54,3;6,95E-07
55,3;6,95E-07
56,3;6,95E-07
57,3;6,95E-07
58,3;6,94E-07
59,3;6,94E-07
60,3;6,94E-07
61,3;6,93E-07
62,3;6,93E-07
63,3;6,93E-07
64,3;6,93E-07
65,3;6,93E-07
66,3;6,93E-07
67,3;6,92E-07
68,3;6,92E-07
69,3;6,92E-07
70,3;6,92E-07
71,3;6,92E-07
72,3;6,92E-07
73,3;6,92E-07
74,3;6,91E-07
75,3;6,91E-07
76,3;6,91E-07
77,3;6,91E-07
78,3;6,91E-07
79,3;6,91E-07
80,3;6,91E-07
81,3;6,91E-07
82,3;6,91E-07
83,3;6,90E-07
84,3;6,90E-07
85,3;6,90E-07
86,3;6,90E-07
87,3;6,90E-07
88,3;6,90E-07
89,3;6,90E-07
90,3;6,90E-07
91,3;6,90E-07
92,3;6,90E-07
93,3;6,90E-07
94,3;6,90E-07
95,3;6,90E-07
96,3;6,89E-07
97,3;6,89E-07
98,3;6,89E-07
99,3;6,89E-07
100,3;6,89E-07
101,3;6,89E-07
102,3;6,89E-07
103,3;6,89E-07
104,3;6,89E-07
105,3;6,89E-07
106,3;6,89E-07
107,3;6,89E-07
108,3;6,89E-07
109,3;6,89E-07
110,3;6,58E-07
110,4;6,60E-07
110,5;6,55E-07
110,6;6,44E-07
110,7;6,38E-07
110,8;6,27E-07
110,9;6,22E-07
111;6,11E-07
111,1;6,06E-07
111,2;5,95E-07
111,3;5,90E-07
111,4;5,79E-07
111,5;5,74E-07
111,6;5,63E-07
111,7;5,59E-07
111,8;5,48E-07
111,9;5,43E-07
112;5,32E-07
112,1;5,27E-07
112,2;5,17E-07
112,3;5,12E-07
112,4;5,01E-07
112,5;4,96E-07
112,6;4,86E-07
112,7;4,81E-07
112,8;4,70E-07
112,9;4,66E-07
113;4,55E-07
113,1;4,50E-07
113,2;4,40E-07
113,3;4,35E-07
113,4;4,24E-07
113,5;4,20E-07
113,6;4,09E-07
113,7;4,05E-07
113,8;3,94E-07
113,9;3,89E-07
114;3,79E-07
114,1;3,74E-07
114,2;3,64E-07
114,3;3,59E-07
114,4;3,49E-07
114,5;3,44E-07
114,6;3,34E-07
114,7;3,29E-07
114,8;3,19E-07
114,9;3,14E-07
115;3,04E-07
115,1;2,99E-07
115,2;2,89E-07
115,3;2,84E-07
115,4;2,74E-07
115,5;2,69E-07
115,6;2,59E-07
115,7;2,54E-07
115,8;2,44E-07
115,9;2,39E-07
116;2,29E-07
116,1;2,25E-07
116,2;2,14E-07
116,3;2,10E-07
116,4;1,99E-07
116,5;1,95E-07
116,6;1,85E-07
116,7;1,80E-07
116,8;1,70E-07
116,9;1,65E-07
117;1,55E-07
117,1;1,51E-07
117,2;1,40E-07
117,3;1,36E-07
117,4;1,25E-07
117,5;1,21E-07
117,6;1,11E-07
117,7;1,06E-07
117,8;9,60E-08
117,9;9,16E-08
118;8,13E-08
118,1;7,70E-08
118,2;6,66E-08
118,3;6,23E-08
118,4;5,20E-08
118,5;4,76E-08
118,6;3,73E-08
118,7;3,30E-08
118,8;2,27E-08
118,9;1,83E-08
119;8,04E-09
119,1;3,71E-09
119,2;-6,58E-09
119,3;-1,09E-08
119,4;-2,12E-08
119,5;-2,55E-08
119,6;-3,58E-08
119,7;-4,01E-08
119,8;-5,03E-08
119,9;-5,46E-08
120;-6,49E-08
120,1;-6,92E-08
120,2;-6,77E-08
120,3;-6,65E-08
120,4;-6,54E-08
120,5;-6,43E-08
120,6;-6,34E-08
120,7;-6,25E-08
120,8;-6,16E-08
120,9;-6,08E-08
121;-6,00E-08
121,1;-5,93E-08
121,2;-5,85E-08
121,3;-5,78E-08
121,4;-5,72E-08
121,5;-5,65E-08
121,6;-5,59E-08
121,7;-5,53E-08
121,8;-5,47E-08
121,9;-5,41E-08
122;-5,36E-08
122,1;-5,30E-08
122,2;-5,25E-08
122,3;-5,20E-08
122,4;-5,15E-08
122,5;-5,10E-08
122,6;-5,05E-08
122,7;-5,00E-08
122,8;-4,96E-08
122,9;-4,91E-08
123;-4,87E-08
123,1;-4,82E-08
123,2;-4,78E-08
123,3;-4,74E-08
123,4;-4,70E-08
123,5;-4,66E-08
123,6;-4,62E-08
123,7;-4,58E-08
123,8;-4,54E-08
123,9;-4,50E-08
124;-4,47E-08
124,1;-4,43E-08
124,2;-4,39E-08
124,3;-4,36E-08
124,4;-4,32E-08
124,5;-4,29E-08
124,6;-4,26E-08
124,7;-4,22E-08
124,8;-4,19E-08
124,9;-4,16E-08
125;-4,13E-08
125,1;-4,10E-08
125,2;-4,07E-08
125,3;-4,04E-08
125,4;-4,01E-08
125,5;-3,98E-08
125,6;-3,95E-08
125,7;-3,92E-08
125,8;-3,89E-08
125,9;-3,86E-08
126;-3,84E-08
126,1;-3,81E-08
126,2;-3,78E-08
126,3;-3,76E-08
126,4;-3,73E-08
126,5;-3,70E-08
126,6;-3,68E-08
126,7;-3,65E-08
126,8;-3,63E-08
126,9;-3,60E-08
127;-3,58E-08
127,1;-3,56E-08
127,2;-3,53E-08
127,3;-3,51E-08
127,4;-3,49E-08
127,5;-3,46E-08
127,6;-3,44E-08
127,7;-3,42E-08
127,8;-3,39E-08
127,9;-3,37E-08
128;-3,35E-08
128,1;-3,33E-08
128,2;-3,31E-08
128,3;-3,29E-08
128,4;-3,27E-08
128,5;-3,25E-08
128,6;-3,23E-08
128,7;-3,21E-08
128,8;-3,19E-08
128,9;-3,17E-08
129;-3,15E-08
129,1;-3,13E-08
129,2;-3,11E-08
129,3;-3,09E-08
129,4;-3,07E-08
129,5;-3,05E-08
129,6;-3,03E-08
129,7;-3,01E-08
129,8;-3,00E-08
129,9;-2,98E-08
130;-2,96E-08
130,1;-2,94E-08
130,2;-2,93E-08
130,3;-2,91E-08
130,4;-2,89E-08
130,5;-2,88E-08
130,6;-2,86E-08
130,7;-2,84E-08
130,8;-2,83E-08
130,9;-2,81E-08
131;-2,79E-08
131,1;-2,78E-08
131,2;-2,76E-08
131,3;-2,74E-08
131,4;-2,73E-08
131,5;-2,71E-08
131,6;-2,70E-08
131,7;-2,68E-08
131,8;-2,67E-08
131,9;-2,65E-08
132;-2,64E-08
132,1;-2,62E-08
132,2;-2,61E-08
132,3;-2,59E-08
132,4;-2,58E-08
132,5;-2,57E-08
132,6;-2,55E-08
132,7;-2,54E-08
132,8;-2,52E-08
132,9;-2,51E-08
133;-2,50E-08
133,1;-2,48E-08
133,2;-2,47E-08
133,3;-2,46E-08
133,4;-2,44E-08
133,5;-2,43E-08
133,6;-2,42E-08
133,7;-2,40E-08
133,8;-2,39E-08
133,9;-2,38E-08
134;-2,37E-08
134,1;-2,35E-08
134,2;-2,34E-08
134,3;-2,33E-08
134,4;-2,32E-08
134,5;-2,30E-08
134,6;-2,29E-08
134,7;-2,28E-08
134,8;-2,27E-08
134,9;-2,26E-08
135;-2,24E-08
135,1;-2,23E-08
135,2;-2,22E-08
135,3;-2,21E-08
135,4;-2,20E-08
135,5;-2,18E-08
135,6;-2,17E-08
135,7;-2,16E-08
135,8;-2,15E-08
135,9;-2,14E-08
136;-2,13E-08
136,1;-2,12E-08
136,2;-2,10E-08
136,3;-2,09E-08
136,4;-2,08E-08
136,5;-2,07E-08
136,6;-2,06E-08
136,7;-2,05E-08
136,8;-2,04E-08
136,9;-2,03E-08
137;-2,02E-08
137,1;-2,01E-08
137,2;-2,00E-08
137,3;-1,99E-08
137,4;-1,97E-08
137,5;-1,97E-08
137,6;-1,95E-08
137,7;-1,94E-08
137,8;-1,93E-08
137,9;-1,93E-08
138;-1,91E-08
138,1;-1,91E-08
138,2;-1,89E-08
138,3;-1,89E-08
138,4;-1,87E-08
138,5;-1,87E-08
138,6;-1,86E-08
138,7;-1,85E-08
138,8;-1,84E-08
138,9;-1,83E-08
139;-1,82E-08
139,1;-1,81E-08
139,2;-1,80E-08
139,3;-1,79E-08
139,4;-1,78E-08
139,5;-1,77E-08
139,6;-1,76E-08
139,7;-1,75E-08
139,8;-1,74E-08
139,9;-1,74E-08
140;-1,73E-08
140,1;-1,72E-08
140,2;-1,71E-08
140,3;-1,70E-08
140,4;-1,69E-08
140,5;-1,68E-08
140,6;-1,67E-08
140,7;-1,67E-08
140,8;-1,66E-08
140,9;-1,65E-08
141;-1,64E-08
141,1;-1,64E-08
141,2;-1,62E-08
141,3;-1,62E-08
141,4;-1,61E-08
141,5;-1,60E-08
141,6;-1,59E-08
141,7;-1,59E-08
141,8;-1,58E-08
141,9;-1,57E-08
142;-1,56E-08
142,1;-1,55E-08
142,2;-1,54E-08
142,3;-1,54E-08
142,4;-1,53E-08
142,5;-1,52E-08
142,6;-1,51E-08
142,7;-1,51E-08
142,8;-1,50E-08
142,9;-1,49E-08
143;-1,48E-08
143,1;-1,48E-08
143,2;-1,47E-08
143,3;-1,46E-08
143,4;-1,45E-08
143,5;-1,45E-08
143,6;-1,44E-08
143,7;-1,43E-08
143,8;-1,43E-08
143,9;-1,42E-08
144;-1,41E-08
144,1;-1,41E-08
144,2;-1,40E-08
144,3;-1,39E-08
144,4;-1,38E-08
144,5;-1,38E-08
144,6;-1,37E-08
144,7;-1,36E-08
144,8;-1,36E-08
144,9;-1,35E-08
145;-1,34E-08
145,1;-1,34E-08
145,2;-1,33E-08
145,3;-1,33E-08
145,4;-1,32E-08
145,5;-1,31E-08
145,6;-1,31E-08
145,7;-1,30E-08
145,8;-1,29E-08
145,9;-1,29E-08
146;-1,28E-08
146,1;-1,28E-08
146,2;-1,27E-08
146,3;-1,27E-08
146,4;-1,26E-08
146,5;-1,26E-08
146,6;-1,25E-08
146,7;-1,24E-08
146,8;-1,24E-08
146,9;-1,23E-08
147;-1,22E-08
147,1;-1,22E-08
147,2;-1,21E-08
147,3;-1,21E-08
147,4;-1,20E-08
147,5;-1,20E-08
147,6;-1,19E-08
147,7;-1,19E-08
147,8;-1,18E-08
147,9;-1,18E-08
148;-1,17E-08
148,1;-1,17E-08
148,2;-1,16E-08
148,3;-1,16E-08
148,4;-1,15E-08
148,5;-1,15E-08
148,6;-1,14E-08
148,7;-1,14E-08
148,8;-1,13E-08
148,9;-1,13E-08
149;-1,12E-08
149,1;-1,12E-08
149,2;-1,11E-08
149,3;-1,11E-08
149,4;-1,10E-08
149,5;-1,10E-08
149,6;-1,09E-08
149,7;-1,09E-08
149,8;-1,08E-08
149,9;-1,08E-08
150;-1,07E-08
150,1;-1,07E-08
150,2;-1,06E-08
150,3;-1,06E-08
150,4;-1,05E-08
150,5;-1,05E-08
150,6;-1,04E-08
150,7;-1,04E-08
150,8;-1,03E-08
150,9;-1,03E-08
151;-1,02E-08
151,1;-1,02E-08
151,2;-1,01E-08
151,3;-1,01E-08
151,4;-1,00E-08
151,5;-1,00E-08
151,6;-9,95E-09
151,7;-9,93E-09
151,8;-9,86E-09
151,9;-9,84E-09
152;-9,77E-09
152,1;-9,76E-09
152,2;-9,68E-09
152,3;-9,67E-09
152,4;-9,60E-09
152,5;-9,58E-09
152,6;-9,51E-09
152,7;-9,50E-09
152,8;-9,43E-09
152,9;-9,42E-09
153;-9,35E-09
153,1;-9,33E-09
153,2;-9,26E-09
153,3;-9,25E-09
153,4;-9,18E-09
153,5;-9,17E-09
153,6;-9,10E-09
153,7;-9,09E-09
153,8;-9,02E-09
153,9;-9,01E-09
154;-8,94E-09
154,1;-8,93E-09
154,2;-8,86E-09
154,3;-8,85E-09
154,4;-8,78E-09
154,5;-8,77E-09
154,6;-8,71E-09
154,7;-8,70E-09
154,8;-8,63E-09
154,9;-8,62E-09
155;-8,55E-09
155,1;-8,54E-09
155,2;-8,48E-09
155,3;-8,47E-09
155,4;-8,40E-09
155,5;-8,39E-09
155,6;-8,33E-09
155,7;-8,32E-09
155,8;-8,26E-09
155,9;-8,25E-09
156;-8,18E-09
156,1;-8,18E-09
156,2;-8,11E-09
156,3;-8,10E-09
157,3;-7,76E-09
157,4;-7,69E-09
157,5;-7,69E-09
158,5;-7,36E-09
158,6;-7,30E-09
158,7;-7,29E-09
159,7;-6,98E-09
159,8;-6,92E-09
159,9;-6,92E-09
160,9;-6,58E-09
161;-6,51E-09
161,1;-6,50E-09
161,2;-6,44E-09
161,3;-6,44E-09
162,3;-6,10E-09
162,4;-6,04E-09
162,5;-6,04E-09
162,6;-5,98E-09
162,7;-5,97E-09
162,8;-5,91E-09
162,9;-5,90E-09
163;-5,84E-09
163,1;-5,83E-09
163,2;-5,78E-09
163,3;-5,77E-09
163,4;-5,72E-09
163,5;-5,71E-09
163,6;-5,66E-09
163,7;-5,64E-09
163,8;-5,59E-09
163,9;-5,58E-09
164;-5,52E-09
164,1;-5,51E-09
164,2;-5,46E-09
164,3;-5,45E-09
164,4;-5,41E-09
164,5;-5,39E-09
164,6;-5,35E-09
164,7;-5,33E-09
164,8;-5,28E-09
164,9;-5,27E-09
165;-5,22E-09
165,1;-5,20E-09
165,2;-5,16E-09
165,3;-5,14E-09
165,4;-5,10E-09
165,5;-5,09E-09
165,6;-5,05E-09
165,7;-5,03E-09
165,8;-4,98E-09
165,9;-4,96E-09
166;-4,92E-09
166,1;-4,90E-09
166,2;-4,86E-09
166,3;-4,85E-09
166,4;-4,81E-09
166,5;-4,79E-09
166,6;-4,75E-09
166,7;-4,73E-09
166,8;-4,69E-09
166,9;-4,67E-09
167;-4,63E-09
167,1;-4,61E-09
167,2;-4,58E-09
167,3;-4,56E-09
167,4;-4,52E-09
167,5;-4,51E-09
167,6;-4,47E-09
167,7;-4,45E-09
167,8;-4,41E-09
167,9;-4,39E-09
168;-4,35E-09
168,1;-4,33E-09
168,2;-4,30E-09
168,3;-4,28E-09
168,4;-4,25E-09
168,5;-4,23E-09
168,6;-4,20E-09
168,7;-4,17E-09
168,8;-4,14E-09
168,9;-4,12E-09
169;-4,08E-09
169,1;-4,06E-09
169,2;-4,03E-09
169,3;-4,01E-09
169,4;-3,98E-09
169,5;-3,96E-09
169,6;-3,93E-09
169,7;-3,91E-09
169,8;-3,88E-09
169,9;-3,85E-09
170;-3,82E-09
170,1;-3,80E-09
170,2;-3,78E-09
170,3;-3,76E-09
170,4;-3,74E-09
170,5;-3,72E-09
170,6;-3,70E-09
170,7;-3,68E-09
170,8;-3,66E-09
170,9;-3,64E-09
171;-3,62E-09
171,1;-3,60E-09
171,2;-3,58E-09
171,3;-3,56E-09
171,4;-3,54E-09
171,5;-3,52E-09
171,6;-3,50E-09
171,7;-3,48E-09
171,8;-3,47E-09
171,9;-3,45E-09
172;-3,43E-09
172,1;-3,41E-09
172,2;-3,39E-09
172,3;-3,37E-09
172,4;-3,35E-09
172,5;-3,34E-09
172,6;-3,32E-09
172,7;-3,30E-09
172,8;-3,28E-09
172,9;-3,26E-09
173;-3,24E-09
173,1;-3,23E-09
173,2;-3,21E-09
173,3;-3,19E-09
173,4;-3,17E-09
173,5;-3,16E-09
173,6;-3,14E-09
173,7;-3,12E-09
173,8;-3,10E-09
173,9;-3,09E-09
174;-3,07E-09
174,1;-3,05E-09
174,2;-3,03E-09
174,3;-3,02E-09
174,4;-3,00E-09
174,5;-2,98E-09
174,6;-2,97E-09
174,7;-2,95E-09
174,8;-2,93E-09
174,9;-2,92E-09
175;-2,90E-09
175,1;-2,88E-09
175,2;-2,87E-09
175,3;-2,85E-09
175,4;-2,83E-09
175,5;-2,82E-09
175,6;-2,80E-09
175,7;-2,78E-09
175,8;-2,77E-09
175,9;-2,75E-09
176;-2,74E-09
176,1;-2,72E-09
176,2;-2,70E-09
176,3;-2,69E-09
176,4;-2,67E-09
176,5;-2,66E-09
176,6;-2,64E-09
176,7;-2,62E-09
176,8;-2,61E-09
176,9;-2,59E-09
177;-2,58E-09
177,1;-2,56E-09
177,2;-2,55E-09
177,3;-2,53E-09
177,4;-2,52E-09
177,5;-2,50E-09
177,6;-2,49E-09
177,7;-2,47E-09
177,8;-2,46E-09
177,9;-2,44E-09
178;-2,43E-09
178,1;-2,41E-09
178,2;-2,40E-09
178,3;-2,38E-09
178,4;-2,37E-09
178,5;-2,35E-09
178,6;-2,34E-09
178,7;-2,32E-09
178,8;-2,31E-09
178,9;-2,29E-09
179;-2,28E-09
179,1;-2,27E-09
179,2;-2,25E-09
179,3;-2,24E-09
179,4;-2,22E-09
179,5;-2,21E-09
179,6;-2,19E-09
179,7;-2,18E-09
179,8;-2,17E-09
179,9;-2,15E-09
180;-2,14E-09
180,1;-2,12E-09
180,2;-2,11E-09
180,3;-2,10E-09
180,4;-2,08E-09
180,5;-2,07E-09
180,6;-2,06E-09
180,7;-2,04E-09
180,8;-2,03E-09
180,9;-2,02E-09
181;-2,00E-09
181,1;-1,99E-09
181,2;-1,98E-09
181,3;-1,96E-09
181,4;-1,95E-09
181,5;-1,94E-09
181,6;-1,92E-09
181,7;-1,91E-09
181,8;-1,90E-09
181,9;-1,88E-09
182;-1,87E-09
182,1;-1,86E-09
182,2;-1,84E-09
182,3;-1,83E-09
182,4;-1,82E-09
182,5;-1,81E-09
182,6;-1,79E-09
182,7;-1,78E-09
182,8;-1,77E-09
182,9;-1,76E-09
183;-1,74E-09
183,1;-1,73E-09
183,2;-1,72E-09
183,3;-1,71E-09
183,4;-1,69E-09
183,5;-1,68E-09
183,6;-1,67E-09
183,7;-1,66E-09
183,8;-1,65E-09
183,9;-1,63E-09
184;-1,62E-09
184,1;-1,61E-09
184,2;-1,60E-09
184,3;-1,59E-09
184,4;-1,57E-09
184,5;-1,56E-09
184,6;-1,55E-09
184,7;-1,54E-09
184,8;-1,53E-09
184,9;-1,51E-09
185;-1,50E-09
185,1;-1,49E-09
185,2;-1,48E-09
185,3;-1,47E-09
185,4;-1,46E-09
185,5;-1,45E-09
185,6;-1,43E-09
185,7;-1,42E-09
185,8;-1,41E-09
185,9;-1,40E-09
186;-1,39E-09
186,1;-1,38E-09
186,2;-1,37E-09
186,3;-1,35E-09
186,4;-1,34E-09
186,5;-1,33E-09
186,6;-1,32E-09
186,7;-1,31E-09
186,8;-1,30E-09
186,9;-1,29E-09
187;-1,28E-09
187,1;-1,27E-09
187,2;-1,26E-09
187,3;-1,25E-09
187,4;-1,23E-09
187,5;-1,22E-09
187,6;-1,21E-09
187,7;-1,20E-09
187,8;-1,19E-09
187,9;-1,18E-09
188;-1,17E-09
188,1;-1,16E-09
188,2;-1,15E-09
188,3;-1,14E-09
188,4;-1,13E-09
188,5;-1,12E-09
188,6;-1,11E-09
188,7;-1,10E-09
188,8;-1,09E-09
188,9;-1,08E-09
189;-1,07E-09
189,1;-1,06E-09
189,2;-1,05E-09
189,3;-1,04E-09
189,4;-1,03E-09
189,5;-1,02E-09
189,6;-1,01E-09
189,7;-9,98E-10
189,8;-9,88E-10
189,9;-9,79E-10
190;-9,69E-10
190,1;-9,59E-10
190,2;-9,49E-10
190,3;-9,39E-10
190,4;-9,30E-10
190,5;-9,20E-10
190,6;-9,11E-10
190,7;-9,01E-10
190,8;-8,91E-10
190,9;-8,82E-10
191;-8,72E-10
191,1;-8,63E-10
191,2;-8,54E-10
191,3;-8,44E-10
191,4;-8,35E-10
191,5;-8,25E-10
191,6;-8,16E-10
191,7;-8,07E-10
191,8;-7,98E-10
191,9;-7,88E-10
192;-7,79E-10
192,1;-7,70E-10
192,2;-7,61E-10
192,3;-7,52E-10
192,4;-7,43E-10
192,5;-7,34E-10
192,6;-7,25E-10
192,7;-7,16E-10
192,8;-7,07E-10
192,9;-6,98E-10
193;-6,89E-10
193,1;-6,80E-10
193,2;-6,72E-10
193,3;-6,63E-10
193,4;-6,54E-10
193,5;-6,45E-10
193,6;-6,37E-10
193,7;-6,28E-10
193,8;-6,19E-10
193,9;-6,11E-10
194;-6,02E-10
194,1;-5,93E-10
194,2;-5,85E-10
194,3;-5,76E-10
194,4;-5,68E-10
194,5;-5,60E-10
194,6;-5,51E-10
194,7;-5,43E-10
194,8;-5,34E-10
194,9;-5,26E-10
195;-5,18E-10
195,1;-5,09E-10
195,2;-5,01E-10
195,3;-4,93E-10
195,4;-4,85E-10
195,5;-4,77E-10
195,6;-4,68E-10
195,7;-4,60E-10
195,8;-4,52E-10
195,9;-4,44E-10
196;-4,36E-10
196,1;-4,28E-10
196,2;-4,20E-10
196,3;-4,12E-10
196,4;-4,04E-10
196,5;-3,96E-10
196,6;-3,89E-10
196,7;-3,81E-10
196,8;-3,73E-10
196,9;-3,65E-10
197;-3,57E-10
197,1;-3,49E-10
197,2;-3,42E-10
197,3;-3,34E-10
197,4;-3,26E-10
197,5;-3,19E-10
197,6;-3,11E-10
197,7;-3,03E-10
197,8;-2,96E-10
197,9;-2,88E-10
198;-2,81E-10
198,1;-2,73E-10
198,2;-2,66E-10
198,3;-2,58E-10
198,4;-2,51E-10
198,5;-2,44E-10
198,6;-2,36E-10
198,7;-2,29E-10
198,8;-2,21E-10
198,9;-2,14E-10
199;-2,07E-10
199,1;-2,00E-10
199,2;-1,92E-10
199,3;-1,85E-10
199,4;-1,78E-10
199,5;-1,71E-10
199,6;-1,64E-10
199,7;-1,57E-10
199,8;-1,49E-10
199,9;-1,42E-10
200;-1,35E-10
200,1;-1,28E-10
200,2;-1,21E-10
200,3;-1,14E-10
200,4;-1,07E-10
200,5;-1,00E-10
200,6;-9,34E-11
200,7;-8,65E-11
200,8;-7,96E-11
200,9;-7,28E-11
201;-6,59E-11
201,1;-5,91E-11
201,2;-5,23E-11
201,3;-4,55E-11
201,4;-3,88E-11
