;;;First Relaxation;;;Second Relaxation;;
Numerical Time;Experimental Time;Experimental;Equation 1;Equation 2;Equation 3;Equation 1;Equation 2;Equation 3
0;0;0;0;0;0;0;0;0
0,1;0,1;0,00267;0,010242403;0,007677161;0,007679302;0,012587978;0,009430486;0,009435105
0,2;0,2;0,00725;0,015355017;0,015350299;0,015350212;0,018863135;0,018852539;0,018852269
0,3;0,3;0,02252;0,025585453;0,023015089;0,023017209;0,03142626;0,02825732;0,028261609
0,4;0,4;0,03144;0,030685466;0,030675986;0,030675899;0,037675398;0,037654596;0,037654327
0,5;0,5;0,03881;0,040904062;0,038328619;0,038330718;0,050215633;0,047035867;0,047039852
0,6;0,6;0,04766;0,040868658;0,045977401;0,045977314;0,050141231;0,056410238;0,056409969
0,7;0,7;0,05555;0,045951899;0,053618002;0,05362008;0,056358812;0,065769767;0,065773473
0,8;0,8;0,06241;0,056150032;0,061254794;0,061254708;0,068860816;0,075122954;0,075122685
0,9;0,9;0,07078;0,061220986;0,068883488;0,068885546;0,075056809;0,084462371;0,084465819
1;1;0,07823;0,071407591;0,076508414;0,076508327;0,087540172;0,093795957;0,09379569
1,1;1,1;0,0835;0,076466381;0,084125324;0,084127361;0,093716108;0,103116761;0,103119972
1,2;1,2;0,09313;0,08664158;0,091738505;0,091738419;0,106182298;0,112432206;0,112431938
1,3;1,3;0,09984;0,101939094;0,099343753;0,099345769;0,12495357;0,121735775;0,121738769
1,4;1,4;0,10699;0,106977975;0,106945312;0,106945226;0,131098031;0,131034421;0,131034154
1,5;1,5;0,11556;0,117139231;0,114539017;0,114541014;0,143548212;0,140322027;0,14032482
1,6;1,6;0,12151;0,12216625;0,122129074;0,122128988;0,149675927;0,149605109;0,149604843
1,7;1,7;0,12881;0,132316402;0,129711357;0,129713333;0,162112118;0,158877922;0,15888053
1,8;1,8;0,1359;0,13733168;0,13729003;0,137289944;0,168224233;0,168146579;0,168146313
1,9;1,9;0,14381;0,147470846;0,144861007;0,144862964;0,180647537;0,177405676;0,177408114
2;2;0,15044;0,152474498;0,152428414;0,152428328;0,186745106;0,186660957;0,186660691
2,1;2,1;0,15674;0,162602796;0,159988204;0,159990141;0,199156534;0,195907331;0,195909611
2,2;2,2;0,16458;0,167594941;0,167544461;0,167544376;0,205240531;0,2051502;0,205149935
2,3;2,3;0,17235;0,177712486;0,175093178;0,175095097;0,217641017;0,214384765;0,214386902
2,4;2,4;0,17816;0,182693237;0,182638401;0,182638316;0,223712337;0,223616114;0,223615849
2,5;2,5;0,18619;0,192800144;0,190176161;0,19017806;0,236102743;0,232839714;0,232841717
2,6;2,6;0,1931;0,197769617;0,197710463;0,197710378;0,24216221;0,242060363;0,242060099
2,7;2,7;0,20021;0,207866;0,205237378;0,205239258;0,254543329;0,251273775;0,251275655
2,8;2,8;0,20804;0,212824307;0,212760873;0,212760788;0,260591705;0,260484481;0,260484216
2,9;2,9;0,21479;0,222910278;0,220277055;0,220278917;0,272964269;0,269688421;0,269690187
3;3;0,2207;0,227857531;0,227789854;0,227789769;0,279002257;0,278889881;0,278889617
3,1;3,1;0,23006;0,237933202;0,235295415;0,235297258;0,29136694;0,288085011;0,288086673
3,2;3,2;0,23667;0,242869511;0,242797629;0,242797544;0,297395187;0,297277869;0,297277605
3,3;3,3;0,24354;0,252934991;0,250292678;0,250294502;0,309752612;0,306464799;0,306466365
3,4;3,4;0,25146;0,257860467;0,257784416;0,257784331;0,315771716;0,31564965;0,315649386
3,5;3,5;0,25775;0,267915866;0,265269062;0,265270869;0,328122458;0,324828943;0,324830419
3,6;3,6;0,26595;0,272830616;0,272750433;0,272750348;0,33413297;0,334006334;0,334006071
3,7;3,7;0,27276;0,282876042;0,280224783;0,280226572;0,34647756;0,343178511;0,343179905
3,8;3,8;0,27958;0,287780173;0,287695895;0,28769581;0,35247999;0,35234895;0,352348686
3,9;3,9;0,28724;0,297815733;0,295160056;0,295161827;0,364818919;0,36151449;0,361515808
4;4;0,29456;0,302709352;0,302621013;0,302620929;0,370813737;0,370678444;0,370678181
4,1;4,1;0,30169;0,312735151;0,310075091;0,310076844;0,383147458;0,379837793;0,37983904
4,2;4,2;0,30994;0,317618364;0,317525999;0,317525915;0,3891351;0,388995695;0,388995432
