;First Relaxation;;Second Relaxation;
Time;Experimental;Numerical;Experimental;Numerical
0;2.28012;2.28012;1.82552;1.82552
0.1;2.27183;2.278130782;1.81981;1.822631883
0.2;2.26539;2.276151179;1.81455;1.819843824
0.3;2.25796;2.274181142;1.81161;1.817151736
0.4;2.25181;2.272220621;1.80727;1.814551703
0.5;2.24686;2.270269567;1.80411;1.812039973
0.6;2.24132;2.268327934;1.80092;1.809612949
0.7;2.23656;2.266395671;1.79757;1.807267183
0.8;2.23157;2.264472732;1.79564;1.804999371
0.9;2.22729;2.262559069;1.79349;1.802806346
1;2.22383;2.260654633;1.79068;1.800685072
1.1;2.22028;2.258759379;1.78908;1.79863264
1.2;2.21689;2.256873259;1.78758;1.796646261
1.3;2.21351;2.254996226;1.78576;1.794723262
1.4;2.21008;2.253128234;1.7835;1.792861081
1.5;2.20569;2.251269236;1.78259;1.791057264
1.6;2.20349;2.249419187;1.77961;1.789309456
1.7;2.20064;2.247578041;1.77862;1.787615401
1.8;2.19744;2.245745753;1.77659;1.785972937
1.9;2.19446;2.243922276;1.77553;1.784379992
2;2.19221;2.242107566;1.77422;1.782834578
2.1;2.18898;2.240301579;1.77247;1.781334791
2.2;2.18664;2.238504268;1.77141;1.779878807
2.3;2.18404;2.236715591;1.77016;1.778464875
2.4;2.18099;2.234935503;1.76825;1.777091318
2.5;2.17812;2.23316396;1.76748;1.775756528
2.6;2.17618;2.231400919;1.76574;1.774458966
2.7;2.17345;2.229646335;1.76498;1.773197153
2.8;2.17203;2.227900166;1.76376;1.771969673
2.9;2.16861;2.226162369;1.76267;1.770775169
3;2.16701;2.2244329;1.76123;1.76961234
3.1;2.16545;2.222711718;1.76026;1.768479939
3.2;2.16256;2.22099878;1.75983;1.76737677
3.3;2.16052;2.219294043;1.75904;1.766301686
3.4;2.15872;2.217597466;1.75719;1.765253589
3.5;2.15572;2.215909007;1.75574;1.764231426
3.6;2.15469;2.214228625;1.75511;1.763234186
3.7;2.15156;2.212556278;1.75415;1.762260901
3.8;2.15018;2.210891926;1.75286;1.761310643
3.9;2.14711;2.209235526;1.75207;1.760382523
4;2.14612;2.20758704;1.75137;1.759475686
4.1;2.14438;2.205946425;1.75014;1.758589316
4.2;2.14278;2.204313643;1.74933;1.757722628
4.3;2.14091;2.202688652;1.74815;1.756874871
4.4;2.13848;2.201071414;1.74749;1.756045323
4.5;2.13681;2.199461888;1.74685;1.755233293
4.6;2.13516;2.197860035;1.7462;1.754438118
4.7;2.13394;2.196265816;1.74516;1.753659164
4.8;2.13163;2.194679192;1.74381;1.752895821
4.9;2.12996;2.193100124;1.74371;1.752147505
5;2.12801;2.191528573;1.74216;1.751413655
5.1;2.1274;2.189964501;1.74195;1.750693734
5.2;2.12512;2.18840787;1.74099;1.749987228
5.3;2.12367;2.186858642;1.74043;1.749293642
5.4;2.12121;2.185316779;1.73931;1.748612502
5.5;2.12063;2.183782243;1.73858;1.747943355
5.6;2.11917;2.182254997;1.73792;1.747285764
5.7;2.11699;2.180735003;1.73678;1.746639312
5.8;2.11604;2.179222225;1.7369;1.746003598
5.9;2.11428;2.177716625;1.73529;1.745378238
6;2.11226;2.176218167;1.73477;1.744762863
6.1;2.11169;2.174726815;1.73434;1.744157119
6.2;2.10983;2.173242532;1.73275;1.743560667
6.3;2.10909;2.171765282;1.73332;1.742973182
