Time;Numerical;Experimental
0;1,54311;1,53757
2;1,5136202;1,50996
4;1,49955085;1,49857
6;1,49121886;1,49074
8;1,4852309;1,48462
10;1,48037069;1,47969
12;1,47617899;1,47541
14;1,47246279;1,4718
16;1,46912537;1,46861
18;1,46610703;1,46572
20;1,46336422;1,46311
22;1,46086183;1,46062
24;1,45857025;1,45853
26;1,45646397;1,45655
28;1,45452082;1,45468
30;1,45272148;1,45298
32;1,4510491;1,45144
34;1,44948894;1,44988
36;1,44802813;1,44843
38;1,44665543;1,44713
40;1,445361;1,44578
42;1,44413624;1,44461
44;1,44297363;1,44343
46;1,44186659;1,44225
48;1,44080935;1,44124
50;1,43979687;1,44019
52;1,43882472;1,43918
54;1,43788903;1,43821
56;1,43698639;1,43729
58;1,43611382;1,4364
60;1,43526871;1,43555
62;1,43444874;1,43473
64;1,43365188;1,43384
66;1,43287636;1,43308
68;1,4321206;1,43235
70;1,4313832;1,43156
72;1,43066293;1,43085
74;1,42995872;1,43011
76;1,42926959;1,42951
78;1,42859468;1,4288
80;1,42793324;1,42812
82;1,42728458;1,42747
84;1,42664808;1,4268
86;1,42602322;1,42624
88;1,42540949;1,42557
90;1,42480645;1,42498
92;1,42421371;1,42433
94;1,4236309;1,42384
96;1,42305768;1,42328
98;1,42249377;1,42272
100;1,42193888;1,42217
102;1,42139276;1,42167
104;1,42085518;1,42102
106;1,42032592;1,42054
108;1,41980477;1,41995
110;1,41929155;1,41942
112;1,41878609;1,41898
114;1,41828821;1,41851
116;1,41779776;1,41808
118;1,41731459;1,41761
120;1,41683857;1,41715
122;1,41636955;1,41672
124;1,41590742;1,4163
126;1,41545204;1,41593
128;1,4150033;1,41541
130;1,41456109;1,41505
132;1,4141253;1,41459
134;1,41369582;1,41414
136;1,41327255;1,41372
138;1,41285539;1,41332
140;1,41244425;1,41288
142;1,41203902;1,41256
144;1,41163962;1,41217
146;1,41124597;1,41177
148;1,41085796;1,41132
150;1,41047552;1,41095
152;1,41009856;1,41046
154;1,40972701;1,41007
156;1,40936077;1,40975
158;1,40899978;1,40935
160;1,40864396;1,40902
162;1,40829322;1,40875
164;1,4079475;1,40843
166;1,40760672;1,40814
168;1,40727081;1,40782
170;1,40693969;1,40742
172;1,40661331;1,40706
174;1,40629159;1,40679
176;1,40597447;1,40639
178;1,40566187;1,40602
180;1,40535374;1,40566
182;1,40505;1,40536
184;1,4047506;1,40511
186;1,40445547;1,40478
188;1,40416455;1,40446
190;1,40387779;1,40421
192;1,40359512;1,40392
194;1,40331648;1,40373
196;1,40304181;1,40351
198;1,40277107;1,40324
200;1,40250419;1,40294
202;1,40224111;1,40276
204;1,40198179;1,40245
206;1,40172617;1,40216
208;1,40147419;1,40196
210;1,40122581;1,40167
212;1,40098097;1,40133
214;1,40073963;1,40104
216;1,40050172;1,40088
218;1,40026722;1,40063
220;1,40003605;1,40047
222;1,39980818;1,40022
224;1,39958357;1,40007
226;1,39936215;1,39988
228;1,3991439;1,39962
230;1,39892876;1,39944
232;1,39871668;1,39929
234;1,39850764;1,39898
236;1,39830157;1,3989
238;1,39809844;1,39864
240;1,39789821;1,39848
242;1,39770084;1,39827
244;1,39750628;1,398
246;1,3973145;1,39782
248;1,39712545;1,39757
250;1,3969391;1,39738
252;1,3967554;1,39717
254;1,39657433;1,39697
256;1,39639584;1,39677
258;1,39621989;1,39652
260;1,39604646;1,3964
262;1,39587549;1,3962
264;1,39570697;1,39598
266;1,39554085;1,39583
268;1,3953771;1,39568
270;1,39521568;1,39537
272;1,39505657;1,39516
274;1,39489973;1,395
276;1,39474512;
278;1,39459272;
280;1,39444249;
282;1,39429441;
284;1,39414843;
286;1,39400454;
288;1,3938627;
290;1,39372289;
292;1,39358507;
294;1,39344921;
296;1,39331529;
298;1,39318329;
300;1,39305316;
302;1,39292489;
304;1,39279845;
306;1,39267382;
308;1,39255096;
310;1,39242985;
312;1,39231047;
314;1,3921928;
316;1,3920768;
318;1,39196246;
320;1,39184975;
322;1,39173864;
324;1,39162912;
326;1,39152116;
328;1,39141474;
330;1,39130984;
332;1,39120644;
334;1,39110451;
336;1,39100404;
338;1,39090499;
340;1,39080736;
342;1,39071113;
344;1,39061626;
346;1,39052275;
348;1,39043057;
350;1,39033971;
352;1,39025014;
354;1,39016185;
356;1,39007482;
358;1,38998903;
360;1,38990447;
362;1,38982111;
364;1,38973894;
366;1,38965794;
368;1,3895781;
370;1,38949939;
372;1,38942181;
374;1,38934534;
376;1,38926995;
378;1,38919564;
380;1,38912239;
382;1,38905019;
384;1,38897901;
386;1,38890885;
388;1,38883969;
390;1,38877152;
392;1,38870432;
394;1,38863808;
396;1,38857278;
398;1,38850842;
400;1,38844497;
