Time,Stress,Derivative,SecondDerivative
0,2.02609,,
5,1.94072,-0.01707399999999999,
10,1.90964,-0.006215999999999999,-0.0012431999999999999
15,1.88963,-0.004002000000000017,0.0026143999999999946
20,1.87331,-0.003263999999999978,0.0005904000000000043
25,1.86121,-0.00242,0.0003164000000000034
30,1.84993,-0.0022559999999999915,0.00020159999999999726
35,1.84163,-0.0016599999999999948,0.000152000000000001
40,1.83241,-0.0018440000000000012,
45,1.8256,-0.001362000000000041,0.00017879999999999012
50,1.81855,-0.0014099999999999558,
55,1.81231,-0.0012480000000000047,0.00011919999999999929
60,1.8065,-0.0011620000000000185,4.9599999999987457E-05
65,1.80138,-0.0010240000000000028,4.48000000000004E-05
70,1.79681,-0.0009139999999999926,4.9600000000005177E-05
75,1.79064,-0.0012340000000000018,
80,1.787,-0.0007280000000000175,5.919999999999706E-05
85,1.78136,-0.0011279999999999734,
90,1.77741,-0.000790000000000024,8.879999999999557E-05
95,1.77431,-0.0006199999999999761,0.00010159999999999946
100,1.77006,-0.0008500000000000174,
105,1.76583,-0.0008459999999999912,-1.1199999999993442E-05
110,1.76288,-0.0005900000000000017,5.200000000000315E-05
115,1.7595,-0.0006759999999999877,
120,1.75694,-0.0005120000000000235,6.679999999999353E-05
125,1.75318,-0.0007519999999999971,
130,1.74953,-0.0007299999999999862,-1.0799999999999698E-05
135,1.74661,-0.0005840000000000067,3.3599999999998086E-05
140,1.74444,-0.00043400000000000106,5.919999999999703E-05
145,1.7401,-0.0008680000000000021,
150,1.73719,-0.0005819999999999937,4.000000000026118E-07
155,1.73488,-0.00046200000000000684,8.119999999999906E-05
160,1.73281,-0.00041400000000000323,3.3599999999998086E-05
165,1.73017,-0.0005279999999999952,
170,1.7277,-0.0004939999999999944,-6.399999999997521E-06
175,1.72608,-0.00032399999999999096,4.080000000000084E-05
180,1.723,-0.0006159999999999944,
185,1.72007,-0.0005860000000000199,-1.840000000000509E-05
190,1.71941,-0.0001319999999999766,9.680000000000356E-05
195,1.71685,-0.0005120000000000235,
200,1.71476,-0.00041799999999998506,3.360000000000696E-05
205,1.71265,-0.00042200000000001123,
210,1.70982,-0.000566000000000022,
215,1.70761,-0.00044199999999996467,1.4000000000011768E-05
220,1.70517,-0.00048799999999999956,
225,1.70436,-0.00016199999999999548,8.08000000000053E-05
230,1.7012,-0.0006320000000000104,
235,1.69978,-0.00028399999999999536,4.080000000000084E-05
240,1.69731,-0.0004939999999999944,
245,1.69643,-0.00017599999999999837,9.12000000000024E-05
250,1.69432,-0.00042200000000001123,
255,1.69266,-0.00033199999999999896,3.2399999999999093E-05
260,1.69001,-0.0005300000000000082,
265,1.68903,-0.00019599999999999617,4.520000000000301E-05
270,1.68604,-0.0005980000000000097,
275,1.68601,-5.9999999999948985E-06,0.00010480000000000266
280,1.68335,-0.0005320000000000214,
285,1.68188,-0.00029399999999997207,6.0800000000007516E-05
290,1.68083,-0.0002099999999999991,6.440000000000447E-05
295,1.67899,-0.00036800000000001274,
300,1.67757,-0.00028399999999999536,1.9999999999953433E-06
305,1.67522,-0.00047000000000001484,
310,1.67419,-0.00020599999999997286,3.240000000000798E-05
315,1.67297,-0.00024399999999999978,
320,1.67088,-0.00041800000000002946,
325,1.67026,-0.0001239999999999686,6.920000000000924E-05
330,1.66893,-0.0002660000000000107,
335,1.66723,-0.00034000000000000696,
340,1.66602,-0.00024199999999998666,3.520000000000856E-05
340.1,1.665995804,-0.00024195999999998641,
340.20000000000005,1.665971612,-0.00024191999999998616,
340.30000000000007,1.665947424,-0.00024187999999998591,
340.4000000000001,1.6659232400000001,-0.00024183999999998566,
340.5000000000001,1.66589906,-0.0002417999999999854,
340.60000000000014,1.6658748840000002,-0.00024175999999998516,
340.70000000000016,1.6658507120000001,-0.0002417199999999849,
340.8000000000002,1.6658265440000002,-0.00024167999999998466,
340.9000000000002,1.6658023800000001,-0.0002416399999999844,
341.0000000000002,1.6657782200000002,-0.00024159999999998416,
341.10000000000025,1.6657540640000001,-0.0002415599999999839,
341.2000000000003,1.6657299120000002,-0.00024151999999998366,
341.3000000000003,1.6657057640000001,-0.0002414799999999834,
341.4000000000003,1.6656816200000002,-0.00024143999999998316,
