Time,Stress,Derivative,SecondDerivative
0,4.10703,,
5,3.94168,-0.03307000000000002,
10,3.88926,-0.010483999999999938,-0.0020967999999999876
15,3.85702,-0.0064480000000000535,0.005324399999999994
20,3.83308,-0.0047880000000000145,0.0011391999999999848
25,3.81404,-0.0038079999999999893,0.0005280000000000128
30,3.79858,-0.0030920000000000058,0.00033920000000000174
35,3.78521,-0.002673999999999932,0.00022680000000001145
40,3.77417,-0.0022080000000000767,0.0001767999999999858
45,3.76415,-0.0020039999999999837,0.00013399999999998968
50,3.75562,-0.0017059999999999853,0.00010040000000001827
55,3.74794,-0.0015360000000000263,9.359999999999147E-05
60,3.74127,-0.0013339999999999463,7.44000000000078E-05
65,3.73454,-0.001346000000000025,
70,3.72857,-0.0011940000000000063,6.840000000000401E-05
75,3.72304,-0.0011059999999999625,4.800000000001248E-05
80,3.71801,-0.001006000000000018,3.759999999999766E-05
85,3.71293,-0.0010159999999999948,
90,3.70801,-0.0009840000000000515,2.4399999999982206E-05
95,3.70335,-0.0009319999999999773,1.6800000000003488E-05
100,3.69883,-0.0009039999999999714,1.6000000000016E-05
105,3.69473,-0.0008200000000000429,2.2399999999986884E-05
110,3.69077,-0.0007919999999999483,2.240000000000462E-05
115,3.68692,-0.0007699999999999819,1.0000000000012213E-05
120,3.68369,-0.0006460000000000577,2.9199999999978138E-05
125,3.68073,-0.0005919999999999704,3.5600000000002295E-05
130,3.6775,-0.0006459999999999689,
135,3.67413,-0.0006740000000000634,
140,3.6711,-0.0006059999999999732,8.000000000016891E-06
145,3.66775,-0.0006700000000000372,
150,3.66469,-0.0006120000000000125,1.240000000001019E-05
155,3.6615,-0.0006379999999999164,
160,3.65876,-0.0005480000000000374,2.4399999999999963E-05
165,3.65596,-0.0005600000000000272,
170,3.65328,-0.0005359999999999587,2.039999999999154E-05
175,3.65117,-0.00042200000000001123,2.7600000000003185E-05
180,3.64828,-0.0005779999999999674,
185,3.64603,-0.00045000000000001706,1.719999999998833E-05
190,3.6439,-0.00042600000000003746,3.0399999999985994E-05
195,3.64178,-0.00042400000000002435,5.199999999998543E-06
200,3.63985,-0.00038599999999995306,8.000000000016881E-06
205,3.63818,-0.0003339999999999677,1.8000000000011334E-05
210,3.63579,-0.00047800000000002284,
215,3.63379,-0.00040000000000004474,-2.800000000018337E-06
220,3.63232,-0.00029399999999997207,3.680000000001015E-05
225,3.63045,-0.00037399999999996323,
230,3.62866,-0.0003580000000000361,8.400000000001732E-06
235,3.62694,-0.0003440000000000332,5.999999999986008E-06
240,3.62522,-0.00034399999999994434,2.800000000018348E-06
245,3.62345,-0.00035400000000000985,
250,3.62194,-0.00030200000000002447,8.400000000001744E-06
255,3.62011,-0.0003659999999999997,
260,3.61842,-0.00033799999999999385,3.2000000000032004E-06
265,3.61655,-0.00037399999999996323,
270,3.61555,-0.0002000000000000668,3.319999999998658E-05
275,3.61383,-0.00034399999999994434,
280,3.61324,-0.0001180000000000625,5.119999999998014E-05
285,3.61203,-0.00024199999999998666,
290,3.61119,-0.00016799999999994597,3.5199999999999677E-05
295,3.61021,-0.0001960000000000406,
300,3.6084,-0.00036199999999997345,
305,3.60705,-0.00026999999999999247,-5.600000000001161E-06
310,3.60539,-0.00033200000000004336,
315,3.60412,-0.00025399999999997647,2.1599999999999397E-05
320,3.60221,-0.0003820000000000157,
320.1,3.602171828,-0.0003817200000000138,
320.20000000000005,3.602133684,-0.00038144000000001196,
320.30000000000007,3.602095568,-0.0003811600000000101,
320.4000000000001,3.60205748,-0.00038088000000000824,
320.5000000000001,3.60201942,-0.0003806000000000064,
320.60000000000014,3.601981388,-0.0003803200000000045,
320.70000000000016,3.601943384,-0.00038004000000000266,
320.8000000000002,3.601905408,-0.0003797600000000008,
320.9000000000002,3.60186746,-0.00037947999999999893,
321.0000000000002,3.6018295399999998,-0.0003791999999999971,
321.10000000000025,3.601791648,-0.0003789199999999952,
321.2000000000003,3.601753784,-0.00037863999999999335,
321.3000000000003,3.601715948,-0.0003783599999999915,
321.4000000000003,3.6016781399999998,-0.00037807999999998963,
321.50000000000034,3.6016403599999998,-0.00037779999999998777,
321.60000000000036,3.601602608,-0.0003775199999999859,
321.7000000000004,3.601564884,-0.00037723999999998405,
321.8000000000004,3.601527188,-0.0003769599999999822,
321.90000000000043,3.60148952,-0.0003766799999999803,
322.00000000000045,3.60145188,-0.00037639999999997847,
322.1000000000005,3.601414268,-0.0003761199999999766,
322.2000000000005,3.601376684,-0.00037583999999997474,
322.3000000000005,3.601339128,-0.0003755599999999729,
322.40000000000055,3.6013015999999998,-0.000375279999999971,
322.50000000000057,3.6012641,-0.00037499999999996916,
322.6000000000006,3.601226628,-0.0003747199999999673,
322.7000000000006,3.601189184,-0.00037443999999996544,
322.80000000000064,3.601151768,-0.0003741599999999636,
322.90000000000066,3.60111438,-0.0003738799999999617,
323.0000000000007,3.60107702,-0.00037359999999995986,
323.1000000000007,3.601039688,-0.000373319999999958,
323.2000000000007,3.601002384,-0.00037303999999995614,
323.30000000000075,3.600965108,-0.0003727599999999543,
323.4000000000008,3.60092786,-0.0003724799999999524,
323.5000000000008,3.6008906400000003,-0.00037219999999995055,
