Time,Stress,Derivative,SecondDerivative
0,1.6548,,
5,1.58214,-0.01453199999999999,
10,1.55878,-0.0046720000000000095,-0.0009344000000000019
15,1.54375,-0.00300600000000002,0.0023051999999999942
20,1.53285,-0.002179999999999982,0.0004984000000000055
25,1.52403,-0.00176400000000001,0.000248400000000002
30,1.51673,-0.0014600000000000168,0.000143999999999993
35,1.5104,-0.0012659999999999894,9.960000000000412E-05
40,1.50489,-0.0011019999999999808,7.16000000000072E-05
45,1.50002,-0.0009740000000000304,5.839999999999179E-05
50,1.49568,-0.0008680000000000021,4.679999999999574E-05
55,1.49192,-0.0007519999999999971,4.440000000000665E-05
60,1.48832,-0.0007199999999999651,2.9600000000007397E-05
65,1.48505,-0.0006540000000000212,1.9599999999995184E-05
70,1.48206,-0.0005980000000000097,2.4399999999991096E-05
75,1.47933,-0.0005459999999999799,2.1600000000008267E-05
80,1.47678,-0.0005100000000000104,1.759999999999984E-05
85,1.4744,-0.0004760000000000097,1.399999999999403E-05
90,1.47229,-0.00042199999999996684,1.7600000000008722E-05
95,1.4702,-0.00041800000000002946,1.1599999999996054E-05
99.999,1.46821,-0.00039807961592317224,4.785033822123348E-06
100.09899999999999,1.468170239888746,-0.0003976011125409599,
100.19899999999998,1.46813052762783,-0.0003971226091587476,
100.29899999999998,1.4680908632172525,-0.0003966441057765353,
100.39899999999997,1.468051246657013,-0.000396165602394323,
100.49899999999997,1.4680116779471117,-0.00039568709901211067,
100.59899999999996,1.4679721570875488,-0.00039520859562989835,
100.69899999999996,1.467932684078324,-0.00039473009224768604,
100.79899999999995,1.4678932589194376,-0.0003942515888654737,
100.89899999999994,1.4678538816108893,-0.0003937730854832614,
100.99899999999994,1.467814552152679,-0.0003932945821010491,
101.09899999999993,1.4677752705448073,-0.0003928160787188368,
101.19899999999993,1.4677360367872736,-0.00039233757533662446,
101.29899999999992,1.467696850880078,-0.00039185907195441215,
101.39899999999992,1.4676577128232209,-0.00039138056857219983,
101.49899999999991,1.4676186226167018,-0.0003909020651899875,
101.5989999999999,1.4675795802605212,-0.0003904235618077752,
101.6989999999999,1.4675405857546786,-0.0003899450584255629,
101.7989999999999,1.4675016390991742,-0.00038946655504335057,
101.89899999999989,1.4674627402940081,-0.00038898805166113825,
101.99899999999988,1.4674238893391802,-0.00038850954827892594,
102.09899999999988,1.4673850862346904,-0.0003880310448967136,
102.19899999999987,1.467346330980539,-0.0003875525415145013,
102.29899999999986,1.4673076235767257,-0.000387074038132289,
102.39899999999986,1.4672689640232508,-0.0003865955347500767,
102.49899999999985,1.467230352320114,-0.00038611703136786436,
102.59899999999985,1.4671917884673153,-0.00038563852798565205,
102.69899999999984,1.467153272464855,-0.00038516002460343973,
102.79899999999984,1.467114804312733,-0.0003846815212212274,
102.89899999999983,1.467076384010949,-0.0003842030178390151,
102.99899999999982,1.4670380115595034,-0.0003837245144568028,
103.09899999999982,1.4669996869583959,-0.0003832460110745905,
103.19899999999981,1.4669614102076267,-0.00038276750769237816,
103.29899999999981,1.4669231813071957,-0.00038228900431016584,
103.3989999999998,1.4668850002571028,-0.00038181050092795353,
103.4989999999998,1.4668468670573482,-0.0003813319975457412,
103.59899999999979,1.4668087817079318,-0.0003808534941635289,
103.69899999999978,1.4667707442088538,-0.0003803749907813166,
103.79899999999978,1.4667327545601139,-0.00037989648739910427,
103.89899999999977,1.466694812761712,-0.00037941798401689195,
103.99899999999977,1.4666569188136487,-0.00037893948063467964,
104.09899999999976,1.4666190727159234,-0.0003784609772524673,
104.19899999999976,1.4665812744685365,-0.000377982473870255,
104.29899999999975,1.4665435240714877,-0.0003775039704880427,
104.39899999999975,1.466505821524777,-0.0003770254671058304,
104.49899999999974,1.4664681668284048,-0.00037654696372361806,
104.59899999999973,1.4664305599823706,-0.00037606846034140575,
104.69899999999973,1.4663930009866746,-0.00037558995695919343,
104.79899999999972,1.466355489841317,-0.0003751114535769811,
104.89899999999972,1.4663180265462974,-0.0003746329501947688,
104.99899999999971,1.4662806111016162,-0.0003741544468125565,
105.0989999999997,1.4662432435072732,-0.00037367594343034417,
105.1989999999997,1.4662059237632683,-0.00037319744004813186,
105.2989999999997,1.4661686518696018,-0.00037271893666591954,
105.39899999999969,1.4661314278262734,-0.0003722404332837072,
105.49899999999968,1.4660942516332833,-0.0003717619299014949,
105.59899999999968,1.4660571232906314,-0.0003712834265192826,
105.69899999999967,1.4660200427983177,-0.0003708049231370703,
105.79899999999967,1.4659830101563422,-0.00037032641975485797,
105.89899999999966,1.465946025364705,-0.00036984791637264565,
105.99899999999965,1.4659090884234058,-0.00036936941299043334,
106.09899999999965,1.465872199332445,-0.000368890909608221,
106.19899999999964,1.4658353580918224,-0.0003684124062260087,
106.29899999999964,1.4657985647015381,-0.0003679339028437964,
106.39899999999963,1.465761819161592,-0.0003674553994615841,
106.49899999999963,1.465725121471984,-0.00036697689607937176,
106.59899999999962,1.4656884716327143,-0.00036649839269715944,
106.69899999999961,1.4656518696437828,-0.00036601988931494713,
106.79899999999961,1.4656153155051894,-0.0003655413859327348,
106.8989999999996,1.4655788092169344,-0.0003650628825505225,
106.9989999999996,1.4655423507790175,-0.0003645843791683102,
107.09899999999959,1.465505940191439,-0.00036410587578609787,
107.19899999999959,1.4654695774541986,-0.00036362737240388555,
107.29899999999958,1.4654332625672963,-0.00036314886902167324,
107.39899999999957,1.4653969955307324,-0.0003626703656394609,
107.49899999999957,1.4653607763445067,-0.0003621918622572486,
107.59899999999956,1.4653246050086193,-0.0003617133588750363,
107.69899999999956,1.46528848152307,-0.000361234855492824,
107.79899999999955,1.4652524058878589,-0.00036075635211061166,
107.89899999999955,1.465216378102986,-0.00036027784872839935,
107.99899999999954,1.4651803981684515,-0.00035979934534618703,
108.09899999999953,1.465144466084255,-0.0003593208419639747,
108.19899999999953,1.4651085818503968,-0.0003588423385817624,
108.29899999999952,1.4650727454668768,-0.0003583638351995501,
108.39899999999952,1.4650369569336952,-0.0003578853318173378,
108.49899999999951,1.4650012162508517,-0.00035740682843512546,
108.5989999999995,1.4649655234183463,-0.00035692832505291314,
108.6989999999995,1.4649298784361793,-0.00035644982167070083,
108.7989999999995,1.4648942813043504,-0.0003559713182884885,
108.89899999999949,1.4648587320228599,-0.0003554928149062762,
108.99899999999948,1.4648232305917075,-0.0003550143115240639,
109.09899999999948,1.4647877770108932,-0.00035453580814185157,
109.19899999999947,1.4647523712804174,-0.00035405730475963925,
109.29899999999947,1.4647170134002796,-0.00035357880137742694,
109.39899999999946,1.46468170337048,-0.0003531002979952146,
109.49899999999946,1.4646464411910187,-0.0003526217946130023,
109.59899999999945,1.4646112268618956,-0.00035214329123079,
109.69899999999944,1.4645760603831108,-0.0003516647878485777,
109.79899999999944,1.4645409417546642,-0.00035118628446636536,
109.89899999999943,1.4645058709765557,-0.00035070778108415305,
109.99899999999943,1.4644708480487856,-0.00035022927770194073,
110.09899999999942,1.4644358729713536,-0.0003497507743197284,
110.19899999999942,1.4644009457442597,-0.0003492722709375161,
110.29899999999941,1.4643660663675042,-0.0003487937675553038,
110.3989999999994,1.4643312348410868,-0.00034831526417309147,
110.4989999999994,1.4642964511650078,-0.00034783676079087916,
110.59899999999939,1.464261715339267,-0.00034735825740866684,
