Time,Stress,First Derivative,Rate in degrees,Second Derivative
0,1.53757,,,
2,1.50996,-0.013805000000000067,-0.7909179948681511,
4,1.49857,-0.005695000000000006,-0.3262959367694215,0.004055000000000031
6,1.49074,-0.003915000000000002,-0.2243118307724347,0.0008900000000000019
8,1.48462,-0.0030599999999999516,-0.17532453808844725,0.0004275000000000251
10,1.47969,-0.0024650000000000505,-0.14123381044407768,0.0002974999999999506
12,1.47541,-0.0021399999999999197,-0.12261278098572288,0.00016250000000006537
14,1.4718,-0.0018050000000000566,-0.10341876970756868,0.0001674999999999316
16,1.46861,-0.001595000000000013,-0.09138669082674425,0.00010500000000002174
18,1.46572,-0.0014450000000000296,-0.08279234377227654,7.499999999999174E-05
20,1.46311,-0.0013050000000000006,-0.07477094981899281,7.00000000000145E-05
22,1.46062,-0.0012449999999999406,-0.07133320863771375,3.0000000000030003E-05
24,1.45853,-0.0010449999999999626,-0.059874067796515607,9.999999999998899E-05
26,1.45655,-0.0009900000000000464,-0.0567228031866192,2.7499999999958114E-05
28,1.45468,-0.0009350000000000191,-0.05357153823354404,2.7500000000013625E-05
30,1.45298,-0.0008500000000000174,-0.04870140085720252,4.250000000000087E-05
32,1.45144,-0.0007699999999999374,-0.044117741505934865,4.0000000000040004E-05
34,1.44988,-0.0007800000000000029,-0.0446906989569321,-5.000000000032756E-06
36,1.44843,-0.0007249999999999757,-0.04153943286892951,2.7500000000013625E-05
38,1.44713,-0.0006500000000000394,-0.037242251438555946,3.7499999999968114E-05
40,1.44578,-0.0006749999999999812,-0.03867464529761845,-1.2499999999970868E-05
42,1.44461,-0.0005850000000000577,-0.03351802719158786,4.499999999996174E-05
44,1.44343,-0.0005899999999999794,-0.03380450599026825,-2.499999999960867E-06
46,1.44225,-0.0005899999999999794,-0.03380450599026825,0
48,1.44124,-0.0005049999999999777,-0.028934366194443218,4.250000000000087E-05
50,1.44019,-0.0005249999999999977,-0.03008028148074243,-1.0000000000010001E-05
52,1.43918,-0.0005050000000000887,-0.028934366194449578,9.99999999995449E-06
54,1.43821,-0.0004849999999999577,-0.02778845088499652,1.0000000000065512E-05
56,1.43729,-0.00046000000000001595,-0.026356056717038355,1.2499999999970868E-05
58,1.4364,-0.0004450000000000287,-0.025496620200333962,7.499999999993623E-06
60,1.43555,-0.0004249999999998977,-0.024350704826938845,1.0000000000065512E-05
62,1.43473,-0.00041000000000002146,-0.023491268284070974,7.499999999938112E-06
64,1.43384,-0.0004450000000000287,-0.025496620200333962,-1.7500000000003624E-05
66,1.43308,-0.00038000000000004697,-0.02177239516699606,3.249999999999087E-05
68,1.43235,-0.0003649999999999487,-0.020912958593562507,7.500000000049134E-06
70,1.43156,-0.0003950000000000342,-0.02263183173062568,-1.5000000000042757E-05
72,1.43085,-0.0003549999999999942,-0.020340000872694386,2.0000000000020002E-05
74,1.43011,-0.00036999999999998145,-0.02119943745243844,-7.499999999993623E-06
76,1.42951,-0.00029999999999996696,-0.017188733338260816,3.500000000000725E-05
78,1.4288,-0.0003549999999999942,-0.020340000872694386,-2.7500000000013625E-05
80,1.42812,-0.00034000000000000696,-0.019480564283797335,7.499999999993623E-06
82,1.42747,-0.0003250000000000197,-0.018621127686134033,7.499999999993623E-06
84,1.4268,-0.0003349999999999742,-0.01919408541886238,-4.999999999977245E-06
86,1.42624,-0.000280000000000058,-0.016042817844414074,2.7499999999958114E-05
88,1.42557,-0.0003349999999999742,-0.01919408541886238,-2.7499999999958114E-05
90,1.42498,-0.0002950000000000452,-0.016902254466055654,1.999999999996449E-05
92,1.42433,-0.0003249999999999087,-0.01862112768612767,-1.4999999999931735E-05
94,1.42384,-0.00024500000000005073,-0.014037465699841788,3.999999999992898E-05
96,1.42328,-0.00027999999999994696,-0.016042817844407715,-1.7499999999948113E-05
98,1.42272,-0.000280000000000058,-0.016042817844414074,-5.551115123125783E-17
100,1.42217,-0.0002750000000000252,-0.01575633896890805,2.500000000016378E-06
102,1.42167,-0.00024999999999997247,-0.014323944579853497,1.2500000000026379E-05
104,1.42102,-0.0003250000000000197,-0.018621127686134033,-3.7500000000023626E-05
106,1.42054,-0.00024000000000001798,-0.013750986819121843,4.250000000000087E-05
108,1.41995,-0.0002949999999999342,-0.016902254466049295,-2.7499999999958114E-05
110,1.41942,-0.00026500000000007073,-0.015183381215553226,1.4999999999931735E-05
