Time,Stress,Time,Extrapolated Stress
0,2.48348
0.1,2.47713,,
0.8,2.43357,,
0.9,2.42858,,
1,2.4243,,
1.1,2.42084,,
1.3,2.4139,,
1.4,2.41052,,
1.7,2.4005,,
2,2.39147,,
2.1,2.38922,,
2.3,2.38365,,
2.7,2.37319,,
2.9,2.36904,,
3.1,2.36402,,
3.2,2.36246,,
3.4,2.35753,,
3.5,2.35573,,
3.7,2.3517,,
3.9,2.34719,,
4.1,2.34313,,
4.3,2.33979,,
4.6,2.33382,,
4.7,2.33217,,
4.8,2.33095,,
5,2.32697,,
5.2,2.32441,,
5.4,2.32068,,
5.6,2.31764,,
5.9,2.31305,,
6.2,2.3087,,
6.4,2.3061,,
6.7,2.30203,,
6.9,2.29899,,
7.2,2.29463,,
7.3,2.29358,,
7.4,2.29254,,
7.6,2.29,,
7.9,2.28658,,
8.1,2.28359,,
8.2,2.2834,,
8.4,2.28104,,
8.7,2.27734,,
8.9,2.27556,,
9.1,2.27253,,
9.2,2.27202,,
9.5,2.26861,,
9.7,2.26663,,
9.9,2.26442,,
10.2,2.2618,,
10.7,2.25613,,
10.8,2.25583,,
11,2.25364,,
11.1,2.25322,,
11.4,2.24967,,
11.5,2.2493,,
11.9,2.24536,,
12.1,2.24343,,
12.5,2.24,,
12.7,2.23818,,
12.8,2.23758,,
13.3,2.23299,,
13.5,2.23125,,
13.7,2.22956,,
14.2,2.22512,,
14.5,2.22296,,
14.7,2.21992,,
14.8,2.21963,,
15.1,2.21706,,
15.4,2.21406,,
15.5,2.2137,,
16.2,2.20769,,
16.4,2.20574,,
16.7,2.20331,,
17,2.2009,,
17.2,2.19935,,
17.4,2.19817,,
17.8,2.19327,,
17.9,2.19295,,
18.1,2.19149,,
18.3,2.18952,,
18.6,2.18701,,
18.8,2.18475,,
18.9,2.18453,,
19.1,2.18242,,
19.3,2.18017,,
19.4,2.17933,,
19.7,2.17669,,
19.9,2.17464,,
20.1,2.17293,,
20.3,2.17123,,
20.5,2.16789,,
20.6,2.16723,,
20.8,2.16483,,
21,2.16309,,
21.5,2.15574,,
21.7,2.15327,,
21.9,2.14962,,
22.3,2.13217,,
22.4,2.12816,,
22.6,2.11515,,
22.7,2.11132,,
22.8,2.10852,,
22.9,2.10597,,
23.1,2.0996,,
23.2,2.09742,,
23.3,2.09536,,
23.5,2.09212,,
23.7,2.08746,,
23.8,2.08557,,
23.9,2.08453,,
24.1,2.08153,,
24.2,2.08068,,
24.4,2.0773,,
24.5,2.0769,,
24.7,2.07465,,
24.9,2.07272,,
25.3,2.06855,,
25.5,2.06612,,
25.8,2.06351,,
26,2.06135,,
26.2,2.0591,,
26.4,2.05599,,
26.6,2.05537,,
26.9,2.05322,,
27.1,2.05042,,
27.2,2.04995,,
27.3,2.04968,,
27.5,2.04701,,
27.6,2.04653,,
27.8,2.04511,,
27.9,2.04456,,
28.3,2.04148,,
28.4,2.04087,,
28.6,2.03973,,
28.8,2.03772,,
29,2.0365,,
29.2,2.03548,,
29.6,2.03215,,
29.8,2.03121,,
30.1,2.02945,,
30.3,2.02828,,
30.6,2.027,,
30.8,2.02546,,
30.9,2.02531,,
31.3,2.02296,,
31.6,2.02074,,
32.1,2.01821,,
32.2,2.01783,,
32.5,2.01629,,
32.7,2.01583,,
33,2.01383,,
33.2,2.0129,,
33.5,2.01062,,
33.7,2.01028,,
33.9,2.0092,,
34.3,2.00766,,
35.4,2.00308,,
35.6,2.00169,,
35.8,2.00118,,
36.1,1.99951,,
36.2,1.9991,,
36.4,1.99795,,
36.5,1.9979,,
36.9,1.99615,,
37.3,1.99427,,
37.4,1.99396,,
37.6,1.99285,,
37.7,1.99258,,
37.9,1.99199,,
38.4,1.98989,,
38.6,1.98859,,
38.7,1.98835,,
39,1.98781,,
39.4,1.98639,,
39.8,1.984,,
39.9,1.98383,,
40.2,1.98371,,
40.4,1.98192,,
40.6,1.98169,,
40.8,1.98112,,
41,1.97968,,
41.2,1.97958,,
41.9,1.97632,,
42.1,1.97593,,
42.3,1.97494,,
42.4,1.97488,,
42.7,1.97339,,
42.8,1.97311,,
43.3,1.97164,,
43.5,1.97163,,
43.7,1.96965,,
43.8,1.96964,,
45.4,1.96466,,
45.6,1.96426,,
45.7,1.96413,,
46.1,1.9629,,
46.3,1.96185,,
47.4,1.95778,,
49.1,1.95331,,
51.7,1.94639,,
52,1.94503,,
52.2,1.94427,,
52.5,1.94392,,
52.8,1.94257,,
