Time,Stress,Time,Extrapolated Stress
0,2.02609,,
5,1.94072,,
10,1.90964,,
15,1.88963,,
20,1.87331,,
25,1.86121,,
30,1.84993,,
35,1.84163,,
40,1.83241,,
45,1.8256,,
50,1.81855,,
55,1.81231,,
60,1.8065,,
65,1.80138,,
70,1.79681,,
75,1.79064,,
80,1.787,,
85,1.78136,,
90,1.77741,,
95,1.77431,,
100,1.77006,,
105,1.76583,,
110,1.76288,,
115,1.7595,,
120,1.75694,,
125,1.75318,,
130,1.74953,,
135,1.74661,,
140,1.74444,,
145,1.7401,,
150,1.73719,,
155,1.73488,,
160,1.73281,,
165,1.73017,,
170,1.7277,,
175,1.72608,,
180,1.723,,
185,1.72007,,
190,1.71941,,
195,1.71685,,
200,1.71476,,
205,1.71265,,
210,1.70982,,
215,1.70761,,
220,1.70517,,
225,1.70436,,
230,1.7012,,
235,1.69978,,
240,1.69731,,
245,1.69643,,
250,1.69432,,
255,1.69266,,
260,1.69001,,
265,1.68903,,
270,1.68604,,
275,1.68601,,
280,1.68335,,
285,1.68188,,
290,1.68083,,
295,1.67899,,
300,1.67757,,
305,1.67522,,
310,1.67419,,
315,1.67297,,
320,1.67088,,
325,1.67026,,
330,1.66893,,
335,1.66723,,
340,1.66602,,
,,340.1,1.66599581
,,340.20000000000005,1.66597163
,,340.30000000000007,1.66594746
,,340.4000000000001,1.6659233
,,340.5000000000001,1.66589915
,,340.60000000000014,1.66587501
,,340.70000000000016,1.66585088
,,340.8000000000002,1.66582676
,,340.9000000000002,1.66580265
,,341.0000000000002,1.66577855
,,341.10000000000025,1.66575446
,,341.2000000000003,1.66573038
,,341.3000000000003,1.66570631
,,341.4000000000003,1.66568225
,,341.50000000000034,1.6656582
,,341.60000000000036,1.66563416
,,341.7000000000004,1.66561013
,,341.8000000000004,1.66558611
,,341.90000000000043,1.6655621
,,342.00000000000045,1.6655381
,,342.1000000000005,1.66551411
,,342.2000000000005,1.66549013
,,342.3000000000005,1.66546616
,,342.40000000000055,1.6654422
,,342.50000000000057,1.6654182499999999
,,342.6000000000006,1.66539431
,,342.7000000000006,1.66537038
,,342.80000000000064,1.6653464599999999
,,342.90000000000066,1.66532255
,,343.0000000000007,1.66529865
,,343.1000000000007,1.66527476
,,343.2000000000007,1.6652508799999999
,,343.30000000000075,1.66522701
,,343.4000000000008,1.66520315
,,343.5000000000008,1.6651793
,,343.6000000000008,1.6651554599999998
,,343.70000000000084,1.6651316299999999
,,343.80000000000086,1.6651078099999999
,,343.9000000000009,1.6650839999999998
,,344.0000000000009,1.6650601999999999
,,344.10000000000093,1.66503641
,,344.20000000000095,1.6650126299999999
,,344.300000000001,1.6649888599999998
,,344.400000000001,1.6649650999999999
,,344.500000000001,1.6649413499999999
,,344.60000000000105,1.6649176099999998
,,344.70000000000107,1.66489388
,,344.8000000000011,1.66487016
,,344.9000000000011,1.66484645
,,345.00000000000114,1.66482275
,,345.10000000000116,1.66479906
,,345.2000000000012,1.66477538
,,345.3000000000012,1.66475171
,,345.4000000000012,1.66472805
,,345.50000000000125,1.6647044
,,345.6000000000013,1.66468076
,,345.7000000000013,1.66465713
,,345.8000000000013,1.66463351
,,345.90000000000134,1.6646099
,,346.00000000000136,1.6645863
,,346.1000000000014,1.66456271
,,346.2000000000014,1.66453913
,,346.30000000000143,1.6645155600000001
,,346.40000000000146,1.664492
,,346.5000000000015,1.66446845
,,346.6000000000015,1.66444491
,,346.7000000000015,1.66442138
,,346.80000000000155,1.66439786
,,346.90000000000157,1.6643743500000001
,,347.0000000000016,1.6643508500000002
,,347.1000000000016,1.6643273600000001
,,347.20000000000164,1.66430388
,,347.30000000000166,1.6642804100000002
,,347.4000000000017,1.6642569500000002
,,347.5000000000017,1.6642335000000001
,,347.6000000000017,1.66421006
,,347.70000000000175,1.6641866300000001
,,347.8000000000018,1.6641632100000001
,,347.9000000000018,1.6641398
,,348.0000000000018,1.6641164000000002
,,348.10000000000184,1.6640930100000002
,,348.20000000000186,1.6640696300000002
,,348.3000000000019,1.66404626
,,348.4000000000019,1.6640229000000002
,,348.50000000000193,1.6639995500000002
,,348.60000000000196,1.6639762100000002
,,348.700000000002,1.66395288
,,348.800000000002,1.6639295600000001
,,348.900000000002,1.6639062500000001
,,349.00000000000205,1.66388295
,,349.10000000000207,1.6638596600000002
,,349.2000000000021,1.6638363800000002
,,349.3000000000021,1.6638131100000002
,,349.40000000000214,1.6637898500000001
,,349.50000000000216,1.6637666000000002
,,349.6000000000022,1.6637433600000002
,,349.7000000000022,1.6637201300000002
,,349.8000000000022,1.66369691
,,349.90000000000225,1.6636737000000001
,,350.0000000000023,1.6636505000000001
,,350.1000000000023,1.66362731
,,350.2000000000023,1.6636041300000002
,,350.30000000000234,1.6635809600000002
,,350.40000000000236,1.6635578000000002
,,350.5000000000024,1.6635346500000001
,,350.6000000000024,1.6635115100000002
,,350.70000000000243,1.6634883800000002
,,350.80000000000246,1.6634652600000002
,,350.9000000000025,1.66344215
,,351.0000000000025,1.6634190500000001
,,351.1000000000025,1.6633959600000001
,,351.20000000000255,1.66337288
,,351.30000000000257,1.6633498100000002
,,351.4000000000026,1.6633267500000002
,,351.5000000000026,1.6633037000000002
,,351.60000000000264,1.66328066
,,351.70000000000266,1.6632576300000002
,,351.8000000000027,1.6632346100000002
,,351.9000000000027,1.6632116000000001
,,352.00000000000273,1.6631886
,,352.10000000000275,1.66316561
,,352.2000000000028,1.66314263
,,352.3000000000028,1.66311966
,,352.4000000000028,1.6630967
,,352.50000000000284,1.6630737500000001
,,352.60000000000286,1.66305081
,,352.7000000000029,1.66302788
,,352.8000000000029,1.66300496
,,352.90000000000293,1.66298205
,,353.00000000000296,1.66295915
,,353.100000000003,1.66293626
,,353.200000000003,1.66291338
,,353.300000000003,1.66289051
,,353.40000000000305,1.66286765
,,353.50000000000307,1.6628448
,,353.6000000000031,1.66282196
,,353.7000000000031,1.66279913
,,353.80000000000314,1.66277631
,,353.90000000000316,1.6627535
,,354.0000000000032,1.6627307
,,354.1000000000032,1.66270791
,,354.20000000000323,1.66268513
,,354.30000000000325,1.6626623600000001
,,354.4000000000033,1.6626396
,,354.5000000000033,1.66261685
,,354.6000000000033,1.6625941100000001
,,354.70000000000334,1.6625713800000002
,,354.80000000000337,1.6625486600000001
,,354.9000000000034,1.66252595
,,355.0000000000034,1.66250325
,,355.10000000000343,1.66248056
,,355.20000000000346,1.66245788
,,355.3000000000035,1.6624352100000002
,,355.4000000000035,1.6624125500000002
,,355.5000000000035,1.6623899000000002
,,355.60000000000355,1.6623672600000001
,,355.70000000000357,1.6623446300000002
,,355.8000000000036,1.6623220100000002
,,355.9000000000036,1.6622994000000002
,,356.00000000000364,1.6622768
,,356.10000000000366,1.6622542100000002
,,356.2000000000037,1.6622316300000002
,,356.3000000000037,1.6622090600000001
,,356.40000000000373,1.6621865000000002
,,356.50000000000375,1.6621639500000003
,,356.6000000000038,1.6621414100000003
,,356.7000000000038,1.6621188800000002
,,356.8000000000038,1.6620963600000003
,,356.90000000000384,1.6620738500000003
,,357.00000000000387,1.6620513500000003
,,357.1000000000039,1.6620288600000002
,,357.2000000000039,1.6620063800000002
,,357.30000000000393,1.6619839100000002
,,357.40000000000396,1.6619614500000002
,,357.500000000004,1.6619390000000003
,,357.600000000004,1.6619165600000003
,,357.700000000004,1.6618941300000003
,,357.80000000000405,1.6618717100000002
,,357.90000000000407,1.6618493000000003
,,358.0000000000041,1.6618269000000003
,,358.1000000000041,1.6618045100000003
,,358.20000000000414,1.6617821300000002
,,358.30000000000416,1.6617597600000003
,,358.4000000000042,1.6617374000000003
,,358.5000000000042,1.6617150500000002
,,358.60000000000423,1.6616927100000003
,,358.70000000000425,1.6616703800000003
,,358.8000000000043,1.6616480600000003
,,358.9000000000043,1.6616257500000002
,,359.0000000000043,1.6616034500000003
,,359.10000000000434,1.6615811600000003
,,359.20000000000437,1.6615588800000003
,,359.3000000000044,1.6615366100000002
,,359.4000000000044,1.6615143500000003
,,359.50000000000443,1.6614921000000002
,,359.60000000000446,1.6614698600000002
,,359.7000000000045,1.6614476300000003
,,359.8000000000045,1.6614254100000003
,,359.9000000000045,1.6614032000000003
,,360.00000000000455,1.6613810000000002
,,360.10000000000457,1.6613588100000003
,,360.2000000000046,1.6613366300000003
,,360.3000000000046,1.6613144600000003
,,360.40000000000464,1.6612923000000002
,,360.50000000000466,1.6612701500000002
,,360.6000000000047,1.6612480100000002
,,360.7000000000047,1.6612258800000002
,,360.80000000000473,1.6612037600000003
,,360.90000000000475,1.6611816500000003
,,361.0000000000048,1.6611595500000003
,,361.1000000000048,1.6611374600000002
,,361.2000000000048,1.6611153800000003
,,361.30000000000484,1.6610933100000003
,,361.40000000000487,1.6610712500000002
,,361.5000000000049,1.6610492000000001
,,361.6000000000049,1.6610271600000002
,,361.70000000000493,1.6610051300000002
,,361.80000000000496,1.66098311
,,361.900000000005,1.6609611000000002
,,362.000000000005,1.6609391000000002
,,362.100000000005,1.6609171100000002
,,362.20000000000505,1.66089513
,,362.30000000000507,1.6608731600000002
,,362.4000000000051,1.6608512000000002
,,362.5000000000051,1.6608292500000001
,,362.60000000000514,1.66080731
,,362.70000000000516,1.66078538
,,362.8000000000052,1.66076346
,,362.9000000000052,1.66074155
,,363.00000000000523,1.66071965
,,363.10000000000525,1.6606977600000001
,,363.2000000000053,1.66067588
,,363.3000000000053,1.66065401
,,363.4000000000053,1.66063215
,,363.50000000000534,1.6606103
,,363.60000000000537,1.66058846
,,363.7000000000054,1.6605666300000002
,,363.8000000000054,1.6605448100000002
,,363.90000000000543,1.6605230000000002
,,364.00000000000546,1.6605012000000001
,,364.1000000000055,1.6604794100000002
,,364.2000000000055,1.6604576300000002
,,364.3000000000055,1.6604358600000002
,,364.40000000000555,1.6604141000000001
,,364.50000000000557,1.6603923500000002
,,364.6000000000056,1.6603706100000002
,,364.7000000000056,1.6603488800000001
,,364.80000000000564,1.6603271600000002
,,364.90000000000566,1.6603054500000003
,,365.0000000000057,1.6602837500000003
,,365.1000000000057,1.6602620600000002
,,365.20000000000573,1.6602403800000003
,,365.30000000000575,1.6602187100000003
,,365.4000000000058,1.6601970500000003
,,365.5000000000058,1.6601754000000002
,,365.6000000000058,1.6601537600000003
,,365.70000000000584,1.6601321300000003
,,365.80000000000587,1.6601105100000002
,,365.9000000000059,1.6600889000000003
,,366.0000000000059,1.6600673000000004
,,366.10000000000593,1.6600457100000003
,,366.20000000000596,1.6600241300000003
,,366.300000000006,1.6600025600000003
,,366.400000000006,1.6599810000000004
,,366.500000000006,1.6599594500000003
,,366.60000000000605,1.6599379100000002
,,366.70000000000607,1.6599163800000003
,,366.8000000000061,1.6598948600000003
,,366.9000000000061,1.6598733500000002
,,367.00000000000614,1.6598518500000004
,,367.10000000000616,1.6598303600000004
,,367.2000000000062,1.6598088800000004
,,367.3000000000062,1.6597874100000003
,,367.40000000000623,1.6597659500000004
,,367.50000000000625,1.6597445000000004
,,367.6000000000063,1.6597230600000004
,,367.7000000000063,1.6597016300000003
,,367.8000000000063,1.6596802100000003
,,367.90000000000634,1.6596588000000003
,,368.00000000000637,1.6596374000000003
,,368.1000000000064,1.6596160100000004
,,368.2000000000064,1.6595946300000004
,,368.30000000000643,1.6595732600000004
,,368.40000000000646,1.6595519000000003
,,368.5000000000065,1.6595305500000004
,,368.6000000000065,1.6595092100000004
,,368.7000000000065,1.6594878800000004
,,368.80000000000655,1.6594665600000003
,,368.90000000000657,1.6594452500000003
,,369.0000000000066,1.6594239500000003
,,369.1000000000066,1.6594026600000003
,,369.20000000000664,1.6593813800000003
,,369.30000000000666,1.6593601100000004
,,369.4000000000067,1.6593388500000004
,,369.5000000000067,1.6593176000000003
,,369.60000000000673,1.6592963600000004
,,369.70000000000675,1.6592751300000004
,,369.8000000000068,1.6592539100000003
,,369.9000000000068,1.6592327000000002
,,370.0000000000068,1.6592115000000003
,,370.10000000000684,1.6591903100000003
,,370.20000000000687,1.6591691300000002
,,370.3000000000069,1.6591479600000003
,,370.4000000000069,1.6591268000000003
,,370.50000000000693,1.6591056500000003
,,370.60000000000696,1.6590845100000002
,,370.700000000007,1.6590633800000003
,,370.800000000007,1.6590422600000003
,,370.900000000007,1.6590211500000003
,,371.00000000000705,1.6590000500000002
,,371.10000000000707,1.6589789600000002
,,371.2000000000071,1.6589578800000002
,,371.3000000000071,1.6589368100000002
,,371.40000000000714,1.6589157500000002
,,371.50000000000716,1.6588947000000003
,,371.6000000000072,1.6588736600000002
,,371.7000000000072,1.6588526300000002
,,371.80000000000723,1.6588316100000002
,,371.90000000000725,1.6588106000000002
,,372.0000000000073,1.6587896000000002
,,372.1000000000073,1.65876861
,,372.2000000000073,1.6587476300000001
,,372.30000000000734,1.6587266600000001
,,372.40000000000737,1.6587057
,,372.5000000000074,1.6586847500000002
,,372.6000000000074,1.6586638100000002
,,372.70000000000744,1.6586428800000002
,,372.80000000000746,1.65862196
,,372.9000000000075,1.6586010500000001
,,373.0000000000075,1.6585801500000001
,,373.1000000000075,1.65855926
,,373.20000000000755,1.6585383800000002
,,373.30000000000757,1.6585175100000003
,,373.4000000000076,1.6584966500000002
,,373.5000000000076,1.6584758000000002
,,373.60000000000764,1.6584549600000003
,,373.70000000000766,1.6584341300000003
,,373.8000000000077,1.6584133100000003
,,373.9000000000077,1.6583925000000002
,,374.00000000000773,1.6583717000000002
,,374.10000000000775,1.6583509100000002
,,374.2000000000078,1.6583301300000002
,,374.3000000000078,1.6583093600000003
,,374.4000000000078,1.6582886000000003
,,374.50000000000784,1.6582678500000003
,,374.60000000000787,1.6582471100000002
,,374.7000000000079,1.6582263800000003
