Time,Stress,Time,Extrapolated Stress
0,0.97689
0.1,0.97245,,
0.2,0.96886,,
0.3,0.96605,,
0.4,0.96357,,
0.5,0.96163,,
0.7,0.95815,,
0.9,0.95527,,
1.1,0.95276,,
1.2,0.95171,,
1.4,0.94969,,
1.6,0.94787,,
1.8,0.9461,,
2,0.94449,,
2.2,0.94306,,
2.4,0.94178,,
2.6,0.94046,,
2.8,0.9392,,
3,0.93801,,
3.2,0.93672,,
3.3,0.93627,,
3.5,0.93554,,
3.7,0.93441,,
3.9,0.93336,,
4.1,0.93251,,
4.3,0.93154,,
4.5,0.93061,,
4.6,0.93033,,
4.8,0.92958,,
5,0.92874,,
5.2,0.92817,,
5.4,0.9273,,
5.7,0.92616,,
5.8,0.92588,,
5.9,0.92564,,
6.1,0.92495,,
6.3,0.92428,,
6.6,0.92331,,
6.8,0.92283,,
7,0.92212,,
7.1,0.92186,,
7.2,0.9217,,
7.4,0.921,,
7.6,0.92055,,
7.9,0.91977,,
8.2,0.91877,,
8.4,0.91822,,
8.5,0.91812,,
9,0.91682,,
9.3,0.91592,,
9.5,0.91571,,
10,0.91454,,
10.1,0.91449,,
10.3,0.91383,,
10.4,0.91381,,
10.6,0.91343,,
10.8,0.91285,,
11.1,0.91221,,
11.2,0.91202,,
11.4,0.91175,,
12,0.91048,,
12.1,0.91046,,
12.6,0.9096,,
12.7,0.9095,,
12.9,0.90907,,
13.1,0.90862,,
13.3,0.90838,,
13.4,0.90827,,
13.7,0.90778,,
13.9,0.90735,,
14.1,0.90706,,
15,0.90572,,
15.3,0.90521,,
15.5,0.90502,,
15.7,0.90485,,
15.9,0.90448,,
16,0.90438,,
16.1,0.90428,,
16.6,0.90361,,
17.1,0.90272,,
17.3,0.90247,,
17.4,0.90244,,
18.1,0.90156,,
18.4,0.90092,,
18.6,0.90069,,
18.8,0.90068,,
19.2,0.90019,,
19.6,0.89962,,
19.7,0.89954,,
19.9,0.89952,,
20.1,0.89917,,
20.6,0.89878,,
21.3,0.89805,,
21.5,0.89774,,
21.8,0.89738,,
22.1,0.89696,,
22.2,0.8969,,
22.4,0.89673,,
22.6,0.8967,,
22.8,0.89625,,
23,0.8961,,
23.4,0.89585,,
23.6,0.89565,,
24.5,0.89488,,
24.7,0.89449,,
25.1,0.8943,,
25.5,0.89419,,
25.8,0.89374,,
26,0.89345,,
26.1,0.89338,,
26.2,0.89337,,
26.6,0.89319,,
26.8,0.89289,,
27,0.89279,,
27.1,0.89277,,
27.4,0.89255,,
27.5,0.89248,,
27.9,0.89204,,
28,0.89203,,
28.4,0.892,,
28.7,0.89161,,
30.3,0.8906,,
30.9,0.89015,,
31.7,0.88961,,
32.4,0.88894,,
32.8,0.88862,,
33.6,0.88815,,
33.9,0.88787,,
34,0.88781,,
34.3,0.8877,,
34.8,0.8873,,
34.9,0.88727,,
35.1,0.88706,,
35.3,0.88697,,
35.8,0.88689,,
36.1,0.88649,,
36.2,0.88646,,
36.6,0.88627,,
36.7,0.88625,,
39,0.88508,,
39.3,0.88484,,
39.5,0.88468,,
41.6,0.88362,,
42,0.88351,,
42.6,0.88314,,
43,0.88279,,
43.3,0.88274,,
43.6,0.88261,,
44.6,0.88194,,
44.8,0.88191,,
45.2,0.88168,,
45.4,0.88151,,
45.8,0.8814,,
46.1,0.88133,,
47.6,0.88071,,
48.1,0.88059,,
48.3,0.88027,,
48.5,0.88014,,
48.9,0.87995,,
49.1,0.87992,,
49.6,0.87985,,
49.9,0.87961,,
50.3,0.87938,,
50.4,0.87935,,
50.7,0.87927,,
50.9,0.87908,,
51.2,0.87875,,
51.4,0.87873,,
,,54,0.8780438
,,54.1,0.8780178000000001
,,54.2,0.8779920000000001
,,54.300000000000004,0.8779664000000001
,,54.400000000000006,0.8779410000000001
,,54.50000000000001,0.8779158
,,54.60000000000001,0.8778908
,,54.70000000000001,0.8778659999999999
,,54.80000000000001,0.8778413999999999
,,54.90000000000001,0.8778169999999998
,,55.000000000000014,0.8777927999999998
,,55.100000000000016,0.8777687999999998
,,55.20000000000002,0.8777449999999998
,,55.30000000000002,0.8777213999999998
,,55.40000000000002,0.8776979999999998
,,55.50000000000002,0.8776747999999998
,,55.60000000000002,0.8776517999999996
,,55.700000000000024,0.8776289999999995
,,55.800000000000026,0.8776063999999995
,,55.90000000000003,0.8775839999999994
,,56.00000000000003,0.8775617999999993
,,56.10000000000003,0.8775397999999992
,,56.20000000000003,0.8775179999999991
,,56.30000000000003,0.8774963999999991
,,56.400000000000034,0.877474999999999
,,56.500000000000036,0.877453799999999
,,56.60000000000004,0.8774327999999989
,,56.70000000000004,0.8774119999999989
,,56.80000000000004,0.8773913999999988
,,56.90000000000004,0.8773709999999987
,,57.00000000000004,0.8773507999999985
,,57.100000000000044,0.8773307999999984
,,57.200000000000045,0.8773109999999983
,,57.30000000000005,0.8772913999999982
,,57.40000000000005,0.877271999999998
,,57.50000000000005,0.877252799999998
,,57.60000000000005,0.8772337999999978
,,57.70000000000005,0.8772149999999977
,,57.800000000000054,0.8771963999999977
,,57.900000000000055,0.8771779999999976
,,58.00000000000006,0.8771597999999975
,,58.10000000000006,0.8771417999999973
,,58.20000000000006,0.8771239999999971
,,58.30000000000006,0.877106399999997
,,58.40000000000006,0.8770889999999968
,,58.500000000000064,0.8770717999999966
,,58.600000000000065,0.8770547999999965
,,58.70000000000007,0.8770379999999963
,,58.80000000000007,0.8770213999999962
,,58.90000000000007,0.877004999999996
,,59.00000000000007,0.8769887999999959
,,59.10000000000007,0.8769727999999958
,,59.200000000000074,0.8769569999999957
,,59.300000000000075,0.8769413999999954
,,59.40000000000008,0.8769259999999952
,,59.50000000000008,0.876910799999995
,,59.60000000000008,0.8768957999999948
,,59.70000000000008,0.8768809999999946
,,59.80000000000008,0.8768663999999944
,,59.900000000000084,0.8768519999999942
,,60.000000000000085,0.876837799999994
,,60.10000000000009,0.8768237999999938
,,60.20000000000009,0.8768099999999937
,,60.30000000000009,0.8767963999999935
