Time,Stress,Time,Extrapolated Stress
0,0.91316
0.1,0.90966,,
0.2,0.90674,,
0.3,0.9043,,
0.4,0.90231,,
0.5,0.90083,,
0.7,0.89797,,
0.8,0.89694,,
1,0.89481,,
1.1,0.89389,,
1.2,0.89303,,
1.3,0.89228,,
1.4,0.89157,,
1.5,0.89099,,
1.7,0.88954,,
1.8,0.88902,,
2,0.88778,,
2.2,0.88662,,
2.3,0.88631,,
2.5,0.88529,,
2.6,0.88487,,
2.7,0.88447,,
2.9,0.8834,,
3,0.88323,,
3.2,0.8824,,
3.4,0.88168,,
3.6,0.88091,,
3.8,0.88016,,
4,0.87938,,
4.1,0.87934,,
4.3,0.87863,,
4.5,0.87794,,
4.8,0.87719,,
5,0.87656,,
5.2,0.87605,,
5.4,0.87557,,
5.6,0.87501,,
5.8,0.87445,,
5.9,0.87444,,
6.1,0.87382,,
7.2,0.8714,,
7.3,0.87128,,
7.6,0.87072,,
8,0.8701,,
8.3,0.86947,,
8.8,0.86874,,
9.1,0.86811,,
9.2,0.86807,,
9.5,0.86767,,
9.9,0.8671,,
10.2,0.86647,,
10.4,0.86605,,
10.7,0.8657,,
11.1,0.86526,,
11.3,0.86493,,
11.5,0.86479,,
11.7,0.86455,,
11.9,0.86428,,
12.1,0.86403,,
12.3,0.86364,,
12.6,0.86328,,
12.8,0.86312,,
13,0.863,,
13.2,0.86249,,
13.4,0.86234,,
13.6,0.86229,,
13.8,0.86193,,
13.9,0.86189,,
14,0.86188,,
14.2,0.86171,,
14.5,0.86132,,
14.6,0.86131,,
14.8,0.86109,,
15,0.86079,,
15.3,0.86058,,
15.6,0.86009,,
15.7,0.86002,,
15.8,0.85995,,
16,0.85982,,
16.2,0.85974,,
16.4,0.85943,,
16.7,0.85929,,
17,0.85903,,
17.4,0.85857,,
17.5,0.85855,,
18,0.85823,,
18.2,0.85776,,
18.4,0.85774,,
18.9,0.85725,,
19.4,0.85717,,
19.6,0.85664,,
19.9,0.85658,,
20.1,0.85637,,
20.6,0.85605,,
20.8,0.85572,,
21,0.85566,,
21.3,0.85523,,
21.5,0.85519,,
22.5,0.85479,,
23.5,0.85412,,
23.6,0.85409,,
23.8,0.854,,
24.6,0.85357,,
25.5,0.85301,,
26.1,0.85275,,
26.4,0.85249,,
27.1,0.85212,,
27.3,0.85207,,
27.5,0.85188,,
28.2,0.85171,,
28.4,0.85145,,
28.6,0.8514,,
28.8,0.85119,,
28.9,0.85117,,
29.2,0.85106,,
30.3,0.85051,,
30.7,0.85046,,
31,0.85023,,
32.4,0.84947,,
32.7,0.84938,,
33,0.84916,,
33.2,0.84915,,
33.9,0.8488,,
34.5,0.84843,,
34.8,0.84821,,
34.9,0.8482,,
35.1,0.84808,,
35.3,0.84804,,
35.8,0.84796,,
36.3,0.84766,,
36.6,0.84749,,
36.8,0.84746,,
38.1,0.84697,,
38.3,0.84671,,
38.7,0.8465,,
39,0.84639,,
39.8,0.84624,,
40.2,0.84622,,
42.9,0.84516,,
43.2,0.84491,,
43.7,0.84484,,
44.1,0.84482,,
44.3,0.8447,,
44.4,0.84468,,
44.8,0.84463,,
45.1,0.84438,,
45.3,0.84436,,
45.5,0.84418,,
45.7,0.84417,,
46.9,0.84384,,
47.2,0.84375,,
48.1,0.84357,,
48.8,0.84329,,
49.1,0.84327,,
49.3,0.84314,,
49.6,0.84306,,
49.8,0.84292,,
50,0.8429,,
51.5,0.84254,,
51.6,0.84253,,
51.8,0.84235,,
52.2,0.84223,,
52.5,0.84217,,
53.6,0.84201,,
54.2,0.84168,,
54.3,0.84167,,
56.4,0.841,,
57.4,0.84098,,
57.6,0.84078,,
57.8,0.84068,,
58.3,0.84063,,
58.6,0.8406,,
59.4,0.84054,,
59.9,0.84016,,
60.1,0.84007,,
60.5,0.83996,,
60.8,0.8399,,
61.3,0.83985,,
61.8,0.83984,,
62.4,0.83983,,
68.8,0.8383,,
69.3,0.83821,,
69.8,0.83816,,
70,0.83806,,
70.2,0.83792,,
70.4,0.83787,,
71,0.83783,,
71.4,0.83782,,
71.6,0.8377,,
71.9,0.83765,,
72.8,0.83753,,
73.3,0.8375,,
74.8,0.83706,,
75.3,0.83705,,
75.5,0.83695,,
76.1,0.83689,,
83,0.83543,,
83.9,0.83539,,
84.1,0.83515,,
84.9,0.8351,,
86.4,0.83505,,
99.6,0.83281,,
