Time,Stress,Derivative,SecondDerivative
0,0.91316,,
5,0.87656,-0.007319999999999993,
10,0.86693,-0.0019260000000000054,0.0010787999999999974
15,0.86079,-0.0012279999999999847,0.00013960000000000413
20,0.8564,-0.000878000000000001,6.999999999999675E-05
25,0.85318,-0.0006440000000000001,4.680000000000016E-05
30,0.85075,-0.00048600000000000867,3.1599999999998295E-05
35,0.8481,-0.0005300000000000082,
40,0.84617,-0.00038599999999999746,1.000000000000112E-05
45,0.84442,-0.00035000000000000585,7.199999999998321E-06
50,0.8429,-0.0003039999999999932,9.200000000002533E-06
55,0.84116,-0.00034799999999999274,
60,0.84011,-0.0002099999999999991,9.39999999999941E-06
65,0.83934,-0.00015400000000000968,1.1199999999997882E-05
70,0.83806,-0.0002559999999999896,
75,0.837,-0.00021200000000001217,-5.800000000000249E-06
80,0.83627,-0.00014600000000000168,5.333333333338668E-07
85,0.83507,-0.00023999999999999578,
90,0.83446,-0.00012199999999999989,2.400000000000179E-06
95,0.83353,-0.00018599999999999728,
100,0.83264,-0.00017799999999998928,-5.599999999998939E-06
105,0.83195,-0.00013800000000001588,-1.0666666666677325E-06
110,0.83108,-0.00017399999999998528,
115,0.83038,-0.0001400000000000068,-7.200000000002761E-07
120,0.82995,-8.60000000000083E-05,1.1999999999997198E-06
125,0.82932,-0.00012600000000000388,
130,0.8287,-0.0001239999999999908,-3.7999999999982492E-06
135,0.82801,-0.00013799999999999368,
140,0.82757,-8.799999999999918E-05,-9.999999999954436E-08
145,0.82679,-0.0001560000000000006,
150,0.8266,-3.80000000000047E-05,1.60000000000012E-06
155,0.82584,-0.0001519999999999966,
160,0.8254,-8.799999999999918E-05,-4.999999999999449E-06
165,0.82483,-0.00011400000000001409,
170,0.82421,-0.0001239999999999908,
175,0.82399,-4.399999999999959E-05,-2.399999999997958E-07
180,0.82345,-0.00010799999999999699,
185,0.8228,-0.00013000000000000788,
190,0.82249,-6.19999999999843E-05,-5.9999999999949E-07
195,0.8222,-5.8000000000002494E-05,-4.4444444444439547E-07
200,0.82169,-0.00010200000000000209,
205,0.82145,-4.800000000000359E-05,-1.818181818181617E-07
210,0.82101,-8.799999999999918E-05,
215,0.82078,-4.60000000000127E-05,-1.2307692307704617E-07
220,0.82022,-0.00011200000000000099,
225,0.8198,-8.399999999999518E-05,-6.133333333332065E-07
230,0.81961,-3.80000000000047E-05,0
235,0.81939,-4.399999999999959E-05,
240,0.81868,-0.00014199999999999768,
245,0.81858,-1.9999999999997796E-05,1.8947368421059898E-07
250,0.81825,-6.59999999999883E-05,
255,0.81774,-0.00010200000000000209,
260,0.81754,-3.999999999999559E-05,-1.3333333333331865E-06
265,0.81721,-6.60000000000105E-05,
270,0.81685,-7.20000000000054E-05,
275,0.81656,-5.8000000000002494E-05,-1.2666666666668232E-06
280,0.81633,-4.599999999999049E-05,-7.428571428569342E-07
285,0.81602,-6.20000000000065E-05,
290,0.81586,-3.199999999998759E-05,-2.666666666664399E-07
290.1,0.8158568018947369,-3.198105263156653E-05,
290.20000000000005,0.8158536056842105,-3.1962105263145466E-05,
290.30000000000007,0.8158504113684211,-3.1943157894724404E-05,
290.4000000000001,0.8158472189473684,-3.192421052630334E-05,
290.5000000000001,0.8158440284210526,-3.190526315788228E-05,
290.60000000000014,0.8158408397894736,-3.1886315789461217E-05,
290.70000000000016,0.8158376530526316,-3.1867368421040154E-05,
290.8000000000002,0.8158344682105263,-3.184842105261909E-05,
290.9000000000002,0.8158312852631578,-3.182947368419803E-05,
291.0000000000002,0.8158281042105263,-3.181052631577697E-05,
291.10000000000025,0.8158249250526316,-3.1791578947355904E-05,
291.2000000000003,0.8158217477894737,-3.177263157893484E-05,
291.3000000000003,0.8158185724210526,-3.175368421051378E-05,
291.4000000000003,0.8158153989473684,-3.173473684209272E-05,
291.50000000000034,0.8158122273684211,-3.1715789473671655E-05,
291.60000000000036,0.8158090576842105,-3.169684210525059E-05,
291.7000000000004,0.8158058898947368,-3.167789473682953E-05,
291.8000000000004,0.815802724,-3.165894736840847E-05,
291.90000000000043,0.81579956,-3.1639999999987405E-05,
292.00000000000045,0.8157963978947368,-3.162105263156634E-05,
292.1000000000005,0.8157932376842105,-3.160210526314528E-05,
292.2000000000005,0.8157900793684211,-3.158315789472422E-05,
292.3000000000005,0.8157869229473684,-3.1564210526303155E-05,
292.40000000000055,0.8157837684210526,-3.154526315788209E-05,
292.50000000000057,0.8157806157894737,-3.152631578946103E-05,
292.6000000000006,0.8157774650526316,-3.150736842103997E-05,
292.7000000000006,0.8157743162105263,-3.1488421052618905E-05,
292.80000000000064,0.8157711692631578,-3.146947368419784E-05,
292.90000000000066,0.8157680242105263,-3.145052631577678E-05,
293.0000000000007,0.8157648810526316,-3.143157894735572E-05,
293.1000000000007,0.8157617397894736,-3.1412631578934656E-05,
293.2000000000007,0.8157586004210526,-3.139368421051359E-05,
293.30000000000075,0.8157554629473684,-3.137473684209253E-05,
293.4000000000008,0.8157523273684211,-3.135578947367147E-05,
293.5000000000008,0.8157491936842105,-3.1336842105250406E-05,
293.6000000000008,0.8157460618947369,-3.1317894736829344E-05,
293.70000000000084,0.815742932,-3.129894736840828E-05,
293.80000000000086,0.815739804,-3.127999999998722E-05,
293.9000000000009,0.8157366778947368,-3.1261052631566156E-05,
294.0000000000009,0.8157335536842105,-3.1242105263145094E-05,
294.10000000000093,0.815730431368421,-3.122315789472403E-05,
294.20000000000095,0.8157273109473684,-3.120421052630297E-05,
294.300000000001,0.8157241924210527,-3.1185263157881906E-05,
294.400000000001,0.8157210757894737,-3.1166315789460844E-05,
294.500000000001,0.8157179610526316,-3.114736842103978E-05,
294.60000000000105,0.8157148482105263,-3.112842105261872E-05,
294.70000000000107,0.8157117372631579,-3.110947368419766E-05,
294.8000000000011,0.8157086282105264,-3.1090526315776594E-05,
294.9000000000011,0.8157055210526316,-3.107157894735553E-05,
295.00000000000114,0.8157024157894737,-3.105263157893447E-05,
295.10000000000116,0.8156993124210526,-3.103368421051341E-05,
295.2000000000012,0.8156962109473684,-3.1014736842092345E-05,
295.3000000000012,0.815693111368421,-3.099578947367128E-05,
