Time,Stress,Time,Extrapolated Stress
0,1.53757,,
2,1.50996,,
4,1.49857,,
6,1.49074,,
8,1.48462,,
10,1.47969,,
12,1.47541,,
14,1.4718,,
16,1.46861,,
18,1.46572,,
20,1.46311,,
22,1.46062,,
24,1.45853,,
26,1.45655,,
28,1.45468,,
30,1.45298,,
32,1.45144,,
34,1.44988,,
36,1.44843,,
38,1.44713,,
40,1.44578,,
42,1.44461,,
44,1.44343,,
46,1.44225,,
48,1.44124,,
50,1.44019,,
52,1.43918,,
54,1.43821,,
56,1.43729,,
58,1.4364,,
60,1.43555,,
62,1.43473,,
64,1.43384,,
66,1.43308,,
68,1.43235,,
70,1.43156,,
72,1.43085,,
74,1.43011,,
76,1.42951,,
78,1.4288,,
80,1.42812,,
82,1.42747,,
84,1.4268,,
86,1.42624,,
88,1.42557,,
90,1.42498,,
92,1.42433,,
94,1.42384,,
96,1.42328,,
98,1.42272,,
100,1.42217,,
102,1.42167,,
104,1.42102,,
106,1.42054,,
108,1.41995,,
110,1.41942,,
112,1.41898,,
114,1.41851,,
116,1.41808,,
118,1.41761,,
120,1.41715,,
122,1.41672,,
124,1.4163,,
126,1.41593,,
128,1.41541,,
130,1.41505,,
132,1.41459,,
134,1.41414,,
136,1.41372,,
138,1.41332,,
140,1.41288,,
142,1.41256,,
144,1.41217,,
146,1.41177,,
148,1.41132,,
150,1.41095,,
152,1.41046,,
154,1.41007,,
156,1.40975,,
158,1.40935,,
160,1.40902,,
162,1.40875,,
164,1.40843,,
166,1.40814,,
168,1.40782,,
170,1.40742,,
172,1.40706,,
174,1.40679,,
176,1.40639,,
178,1.40602,,
180,1.40566,,
182,1.40536,,
184,1.40511,,
186,1.40478,,
188,1.40446,,
190,1.40421,,
192,1.40392,,
194,1.40373,,
196,1.40351,,
198,1.40324,,
200,1.40294,,
202,1.40276,,
204,1.40245,,
206,1.40216,,
208,1.40196,,
210,1.40167,,
212,1.40133,,
214,1.40104,,
216,1.40088,,
218,1.40063,,
220,1.40047,,
222,1.40022,,
224,1.40007,,
226,1.39988,,
228,1.39962,,
230,1.39944,,
232,1.39929,,
234,1.39898,,
236,1.3989,,
238,1.39864,,
240,1.39848,,
242,1.39827,,
244,1.398,,
246,1.39782,,
248,1.39757,,
250,1.39738,,
252,1.39717,,
254,1.39697,,
256,1.39677,,
258,1.39652,,
260,1.3964,,
262,1.3962,,
264,1.39598,,
266,1.39583,,
268,1.39568,,
270,1.39537,,
272,1.39516,,
274,1.395,,
,,274.1,1.3949920041666666
,,274.20000000000005,1.3949840125
,,274.30000000000007,1.3949760249999998
,,274.4000000000001,1.3949680416666665
,,274.5000000000001,1.3949600624999998
,,274.60000000000014,1.3949520874999999
,,274.70000000000016,1.3949441166666665
,,274.8000000000002,1.39493615
,,274.9000000000002,1.3949281875
,,275.0000000000002,1.3949202291666667
,,275.10000000000025,1.394912275
,,275.2000000000003,1.394904325
,,275.3000000000003,1.3948963791666666
,,275.4000000000003,1.3948884375
,,275.50000000000034,1.3948805
,,275.60000000000036,1.3948725666666666
,,275.7000000000004,1.3948646375
,,275.8000000000004,1.3948567125
,,275.90000000000043,1.3948487916666668
,,276.00000000000045,1.394840875
,,276.1000000000005,1.3948329625
,,276.2000000000005,1.3948250541666667
,,276.3000000000005,1.39481715
,,276.40000000000055,1.39480925
,,276.50000000000057,1.3948013541666666
,,276.6000000000006,1.3947934625
,,276.7000000000006,1.394785575
,,276.80000000000064,1.3947776916666668
,,276.90000000000066,1.3947698125
,,277.0000000000007,1.3947619375
,,277.1000000000007,1.3947540666666667
,,277.2000000000007,1.3947462
,,277.30000000000075,1.3947383375
,,277.4000000000008,1.3947304791666666
,,277.5000000000008,1.394722625
,,277.6000000000008,1.394714775
,,277.70000000000084,1.3947069291666667
,,277.80000000000086,1.3946990875
,,277.9000000000009,1.3946912500000002
,,278.0000000000009,1.3946834166666668
,,278.10000000000093,1.3946755875
,,278.20000000000095,1.3946677625000001
,,278.300000000001,1.3946599416666667
,,278.400000000001,1.3946521250000001
,,278.500000000001,1.3946443125
,,278.60000000000105,1.3946365041666668
,,278.70000000000107,1.3946287000000002
,,278.8000000000011,1.3946209000000003
,,278.9000000000011,1.394613104166667
,,279.00000000000114,1.3946053125000002
,,279.10000000000116,1.3945975250000002
,,279.2000000000012,1.3945897416666668
,,279.3000000000012,1.3945819625000002
,,279.4000000000012,1.3945741875000002
,,279.50000000000125,1.394566416666667
,,279.6000000000013,1.3945586500000002
,,279.7000000000013,1.3945508875000003
,,279.8000000000013,1.394543129166667
,,279.90000000000134,1.3945353750000002
,,280.00000000000136,1.3945276250000003
,,280.1000000000014,1.3945198791666669
,,280.2000000000014,1.3945121375000002
,,280.30000000000143,1.3945044000000002
,,280.40000000000146,1.394496666666667
,,280.5000000000015,1.3944889375000002
,,280.6000000000015,1.3944812125000003
,,280.7000000000015,1.394473491666667
,,280.80000000000155,1.3944657750000002
,,280.90000000000157,1.3944580625000003
,,281.0000000000016,1.3944503541666669
,,281.1000000000016,1.3944426500000002
,,281.20000000000164,1.3944349500000002
,,281.30000000000166,1.394427254166667
,,281.4000000000017,1.3944195625000002
,,281.5000000000017,1.3944118750000003
,,281.6000000000017,1.394404191666667
,,281.70000000000175,1.3943965125000004
,,281.8000000000018,1.3943888375000004
,,281.9000000000018,1.394381166666667
,,282.0000000000018,1.3943735000000004
,,282.10000000000184,1.3943658375000003
,,282.20000000000186,1.394358179166667
,,282.3000000000019,1.3943505250000003
,,282.4000000000019,1.3943428750000004
,,282.50000000000193,1.394335229166667
,,282.60000000000196,1.3943275875000005
,,282.700000000002,1.3943199500000005
,,282.800000000002,1.394312316666667
,,282.900000000002,1.3943046875000005
,,283.00000000000205,1.3942970625000004
,,283.10000000000207,1.3942894416666671
,,283.2000000000021,1.3942818250000004
,,283.3000000000021,1.3942742125000005
,,283.40000000000214,1.3942666041666671
,,283.50000000000216,1.3942590000000006
,,283.6000000000022,1.3942514000000006
,,283.7000000000022,1.3942438041666672
,,283.8000000000022,1.3942362125000005
,,283.90000000000225,1.3942286250000004
,,284.0000000000023,1.3942210416666672
,,284.1000000000023,1.3942134625000004
,,284.2000000000023,1.3942058875000005
,,284.30000000000234,1.3941983166666672
,,284.40000000000236,1.3941907500000006
,,284.5000000000024,1.3941831875000006
,,284.6000000000024,1.3941756291666672
,,284.70000000000243,1.3941680750000005
,,284.80000000000246,1.3941605250000004
,,284.9000000000025,1.3941529791666671
,,285.0000000000025,1.3941454375000004
,,285.1000000000025,1.3941379000000005
,,285.20000000000255,1.3941303666666671
,,285.30000000000257,1.3941228375000005
,,285.4000000000026,1.3941153125000005
,,285.5000000000026,1.3941077916666673
,,285.60000000000264,1.3941002750000007
,,285.70000000000266,1.3940927625000006
,,285.8000000000027,1.3940852541666673
,,285.9000000000027,1.3940777500000006
,,286.00000000000273,1.3940702500000006
,,286.10000000000275,1.3940627541666673
,,286.2000000000028,1.3940552625000007
,,286.3000000000028,1.3940477750000007
,,286.4000000000028,1.3940402916666674
,,286.50000000000284,1.3940328125000008
,,286.60000000000286,1.3940253375000007
,,286.7000000000029,1.3940178666666674
,,286.8000000000029,1.3940104000000006
,,286.90000000000293,1.3940029375000007
,,287.00000000000296,1.3939954791666673
,,287.100000000003,1.3939880250000007
,,287.200000000003,1.3939805750000007
,,287.300000000003,1.3939731291666675
,,287.40000000000305,1.3939656875000008
,,287.50000000000307,1.3939582500000007
,,287.6000000000031,1.3939508166666674
,,287.7000000000031,1.3939433875000007
,,287.80000000000314,1.3939359625000007
,,287.90000000000316,1.3939285416666674
,,288.0000000000032,1.3939211250000008
,,288.1000000000032,1.3939137125000007
,,288.20000000000323,1.3939063041666675
,,288.30000000000325,1.3938989000000008
,,288.4000000000033,1.3938915000000007
,,288.5000000000033,1.3938841041666674
,,288.6000000000033,1.3938767125000007
,,288.70000000000334,1.3938693250000007
,,288.80000000000337,1.3938619416666673
,,288.9000000000034,1.3938545625000007
,,289.0000000000034,1.3938471875000007
,,289.10000000000343,1.3938398166666675
,,289.20000000000346,1.3938324500000008
,,289.3000000000035,1.393825087500001
,,289.4000000000035,1.3938177291666676
,,289.5000000000035,1.3938103750000008
,,289.60000000000355,1.3938030250000009
,,289.70000000000357,1.3937956791666675
,,289.8000000000036,1.3937883375000009
,,289.9000000000036,1.3937810000000008
,,290.00000000000364,1.3937736666666676
,,290.10000000000366,1.393766337500001
,,290.2000000000037,1.393759012500001
,,290.3000000000037,1.3937516916666677
,,290.40000000000373,1.393744375000001
,,290.50000000000375,1.393737062500001
,,290.6000000000038,1.3937297541666676
,,290.7000000000038,1.393722450000001
,,290.8000000000038,1.393715150000001
,,290.90000000000384,1.3937078541666676
,,291.00000000000387,1.393700562500001
,,291.1000000000039,1.393693275000001
,,291.2000000000039,1.3936859916666677
,,291.30000000000393,1.393678712500001
,,291.40000000000396,1.393671437500001
,,291.500000000004,1.3936641666666676
,,291.600000000004,1.393656900000001
,,291.700000000004,1.393649637500001
,,291.80000000000405,1.3936423791666677
,,291.90000000000407,1.393635125000001
,,292.0000000000041,1.393627875000001
,,292.1000000000041,1.3936206291666677
,,292.20000000000414,1.393613387500001
,,292.30000000000416,1.393606150000001
,,292.4000000000042,1.3935989166666676
,,292.5000000000042,1.393591687500001
,,292.60000000000423,1.393584462500001
,,292.70000000000425,1.3935772416666676
,,292.8000000000043,1.393570025000001
,,292.9000000000043,1.393562812500001
,,293.0000000000043,1.3935556041666677
,,293.10000000000434,1.3935484000000011
,,293.20000000000437,1.3935412000000011
,,293.3000000000044,1.3935340041666677
,,293.4000000000044,1.393526812500001
,,293.50000000000443,1.393519625000001
,,293.60000000000446,1.3935124416666678
,,293.7000000000045,1.393505262500001
,,293.8000000000045,1.3934980875000011
,,293.9000000000045,1.3934909166666678
,,294.00000000000455,1.3934837500000012
,,294.10000000000457,1.3934765875000013
,,294.2000000000046,1.3934694291666678
,,294.3000000000046,1.3934622750000012
,,294.40000000000464,1.3934551250000011
,,294.50000000000466,1.3934479791666678
,,294.6000000000047,1.3934408375000011
,,294.7000000000047,1.3934337000000012
,,294.80000000000473,1.3934265666666679
,,294.90000000000475,1.3934194375000013
,,295.0000000000048,1.3934123125000013
,,295.1000000000048,1.3934051916666679
,,295.2000000000048,1.3933980750000012
,,295.30000000000484,1.3933909625000012
,,295.40000000000487,1.3933838541666679
,,295.5000000000049,1.3933767500000012
,,295.6000000000049,1.3933696500000012
,,295.70000000000493,1.3933625541666679
,,295.80000000000496,1.3933554625000013
,,295.900000000005,1.3933483750000013
,,296.000000000005,1.3933412916666679
,,296.100000000005,1.3933342125000012
,,296.20000000000505,1.3933271375000011
,,296.30000000000507,1.3933200666666679
,,296.4000000000051,1.3933130000000011
,,296.5000000000051,1.3933059375000012
,,296.60000000000514,1.3932988791666678
,,296.70000000000516,1.3932918250000013
,,296.8000000000052,1.3932847750000013
,,296.9000000000052,1.393277729166668
,,297.00000000000523,1.3932706875000014
,,297.10000000000525,1.3932636500000013
,,297.2000000000053,1.393256616666668
,,297.3000000000053,1.3932495875000013
,,297.4000000000053,1.3932425625000013
,,297.50000000000534,1.393235541666668
,,297.60000000000537,1.3932285250000014
,,297.7000000000054,1.3932215125000014
,,297.8000000000054,1.3932145041666681
,,297.90000000000543,1.3932075000000015
,,298.00000000000546,1.3932005000000014
,,298.1000000000055,1.393193504166668
,,298.2000000000055,1.3931865125000014
,,298.3000000000055,1.3931795250000014
,,298.40000000000555,1.393172541666668
,,298.50000000000557,1.3931655625000015
,,298.6000000000056,1.3931585875000014
,,298.7000000000056,1.3931516166666682
,,298.80000000000564,1.3931446500000015
,,298.90000000000566,1.3931376875000014
,,299.0000000000057,1.3931307291666681
,,299.1000000000057,1.3931237750000014
,,299.20000000000573,1.3931168250000014
,,299.30000000000575,1.393109879166668
,,299.4000000000058,1.3931029375000015
