Time,Stress,Derivative,SecondDerivative
0,2.48348,,
0.1,2.47713,-0.063500000000003,
0.2,2.46884,-0.08289999999999687,
0.3,2.4624,-0.06440000000000003,-0.6440000000000005
0.4,2.45497,-0.07430000000000267,
0.5,2.44882,-0.06149999999999879,0.2139999999999808
0.6,2.44387,-0.04950000000000011,0.24800000000002562
0.7,2.43833,-0.0553999999999988,
0.8,2.43357,-0.04760000000000093,0.13899999999997847
0.9,2.42858,-0.04989999999999829,
1,2.4243,-0.04280000000000062,0.1259999999999818
1.1,2.42084,-0.03460000000000016,0.1529999999999812
1.2,2.41729,-0.03550000000000169,
1.3,2.4139,-0.03390000000000001,0.089000000000006
1.4,2.41052,-0.03379999999999943,0.017000000000022646
1.5,2.40709,-0.03429999999999819,
1.6,2.4027,-0.04390000000000334,
1.7,2.4005,-0.021999999999997605,0.11900000000002424
1.8,2.39765,-0.028500000000000168,
1.9,2.39445,-0.03200000000000096,
2,2.39147,-0.0297999999999998,0.14100000000003526
2.1,2.38922,-0.022500000000000832,0.09500000000000118
2.2,2.38599,-0.03229999999999841,
2.3,2.38365,-0.02340000000000239,0.0639999999999743
2.4,2.38105,-0.025999999999997112,
2.5,2.378,-0.030499999999999944,
2.6,2.37513,-0.028700000000001478,0.03599999999996932
2.7,2.37319,-0.01939999999999829,0.11100000000001643
2.8,2.37046,-0.02730000000000131,
2.9,2.36904,-0.014199999999999756,0.1450000000000171
3,2.36562,-0.03420000000000198,
3.1,2.36402,-0.015999999999998224,0.11300000000003076
3.2,2.36246,-0.015600000000000044,0.18600000000001918
3.3,2.35957,-0.028899999999998476,
3.4,2.35753,-0.0204000000000004,-0.04400000000002172
3.5,2.35573,-0.01800000000000244,0.10899999999996025
3.6,2.35273,-0.029999999999996668,
3.7,2.3517,-0.010300000000000855,0.10099999999999536
3.8,2.34857,-0.03130000000000088,
3.9,2.34719,-0.013800000000001577,0.1619999999999508
4,2.34412,-0.030699999999996813,
4.1,2.34313,-0.009900000000002719,0.2139999999999824
4.2,2.34139,-0.017399999999998434,
4.3,2.33979,-0.016000000000002734,0.14699999999994132
4.4,2.33792,-0.018699999999998062,
4.5,2.33549,-0.02429999999999941,
4.6,2.33382,-0.016700000000002883,0.006999999999955539
4.7,2.33217,-0.016499999999996986,0.07800000000002381
4.8,2.33095,-0.012200000000000032,0.04500000000002867
4.9,2.32864,-0.02310000000000022,
5,2.32697,-0.016699999999998442,-0.0020000000000145665
5.1,2.32502,-0.019500000000003473,
5.2,2.32441,-0.006099999999999962,0.17000000000000168
5.3,2.32213,-0.022799999999998457,
5.4,2.32068,-0.014500000000001656,0.050000000000017905
5.5,2.31822,-0.024599999999996933,
5.6,2.31764,-0.005800000000002491,0.16999999999996027
5.7,2.31618,-0.01459999999999787,
5.8,2.314,-0.021800000000000784,
5.9,2.31305,-0.009500000000000014,0.15099999999996838
6,2.31129,-0.0175999999999999,
6.1,2.30927,-0.02019999999999918,
6.2,2.3087,-0.005700000000001784,0.16099999999998915
6.3,2.30684,-0.018600000000002014,
6.4,2.3061,-0.00739999999999959,0.1279999999999952
6.5,2.30441,-0.016899999999999752,
6.6,2.30242,-0.01989999999999721,
6.7,2.30203,-0.0039000000000033244,0.14699999999998611
6.8,2.2999,-0.02129999999999751,
6.9,2.29899,-0.009100000000001836,0.10799999999995319
7,2.29777,-0.012200000000000032,
7.1,2.29601,-0.0175999999999999,
7.2,2.29463,-0.013799999999997075,0.07500000000000394
7.3,2.29358,-0.010500000000002212,0.07099999999997714
7.4,2.29254,-0.010400000000001464,0.033999999999955934
7.5,2.29105,-0.014899999999999967,
7.6,2.29,-0.010499999999997772,4.440892098500642E-14
7.7,2.28862,-0.013800000000001516,
7.8,2.28703,-0.015899999999997638,
7.9,2.28658,-0.004500000000002811,0.103999999999971
8,2.28503,-0.015499999999999459,
8.1,2.28359,-0.014400000000001129,0.014999999999965147
8.2,2.2834,-0.0018999999999991313,0.13600000000000376
8.3,2.28186,-0.01539999999999853,
8.4,2.28104,-0.008200000000000459,0.062000000000006925
8.5,2.27983,-0.012099999999999377,
8.6,2.27769,-0.021399999999998164,
8.7,2.27734,-0.0035000000000007373,0.11899999999997835
8.8,2.27587,-0.014700000000002836,
8.9,2.27556,-0.003099999999998115,0.18300000000000113
9,2.27312,-0.024400000000000064,
9.1,2.27253,-0.005899999999998705,0.08800000000004163
9.2,2.27202,-0.005100000000002343,0.1929999999999779
9.3,2.27094,-0.010799999999999546,
9.4,2.26949,-0.014500000000001786,
9.5,2.26861,-0.00879999999999995,-0.029000000000012557
9.6,2.26709,-0.015199999999997492,
9.7,2.26663,-0.004599999999999066,0.09900000000002754
9.8,2.26547,-0.011600000000000334,
9.9,2.26442,-0.010500000000002212,0.04699999999995296
10,2.26332,-0.010999999999996608,
10.1,2.26212,-0.012000000000003163,
10.2,2.2618,-0.0031999999999987707,0.08400000000001592
10.3,2.26143,-0.0037000000000019825,
10.4,2.26025,-0.01179999999999741,
10.5,2.25824,-0.020100000000002966,
10.6,2.25703,-0.012099999999999377,-0.0009999999999621458
10.7,2.25613,-0.00899999999999682,0.11100000000006185
10.8,2.25583,-0.0030000000000018475,0.090999999999974
10.9,2.25407,-0.0175999999999999,
11,2.25364,-0.0043000000000015404,0.04699999999995296
11.1,2.25322,-0.0042000000000008844,0.13399999999999065
11.2,2.25196,-0.012599999999998213,
11.3,2.25048,-0.014799999999999048,
11.4,2.24967,-0.008099999999999804,-0.03799999999998276
11.5,2.2493,-0.003700000000002048,0.1109999999999704
