Time,Stress,Derivative,RateInDegrees,SecondDerivative
0,2.02609,,,
5,1.94072,-0.01707399999999999,-0.9781730939731762,
10,1.90964,-0.006215999999999999,-0.35614597849993185,0.002171599999999998
15,1.88963,-0.004002000000000017,-0.22929648547877507,0.0004427999999999965
20,1.87331,-0.003263999999999978,-0.18701276020688773,0.0001476000000000078
25,1.86121,-0.00242,-0.13865551574802779,0.0001687999999999956
30,1.84993,-0.0022559999999999915,-0.12925905929226564,3.2800000000001665E-05
35,1.84163,-0.0016599999999999948,-0.09511090662924246,0.00011919999999999935
40,1.83241,-0.0018440000000000012,-0.10565329766999527,-3.680000000000129E-05
45,1.8256,-0.001362000000000041,-0.078036803442943,9.639999999999207E-05
50,1.81855,-0.0014099999999999558,-0.08078699557592996,-9.599999999982973E-06
55,1.81231,-0.0012480000000000047,-0.0715050957091849,3.23999999999902E-05
60,1.8065,-0.0011620000000000185,-0.0665776658288489,1.7199999999997254E-05
65,1.80138,-0.0010240000000000028,-0.05867085771445109,2.7600000000003144E-05
70,1.79681,-0.0009139999999999926,-0.05236832789219619,2.2000000000002032E-05
75,1.79064,-0.0012340000000000018,-0.07070295603137476,-6.400000000000184E-05
80,1.787,-0.0007280000000000175,-0.041711320116748545,0.00010119999999999686
85,1.78136,-0.0011279999999999734,-0.06462961187953661,-7.999999999999118E-05
90,1.77741,-0.000790000000000024,-0.045263656398988654,6.759999999998989E-05
95,1.77431,-0.0006199999999999761,-0.035523378746381215,3.400000000000957E-05
100,1.77006,-0.0008500000000000174,-0.04870140085720252,-4.6000000000008254E-05
105,1.76583,-0.0008459999999999912,-0.048472217903955374,8.000000000052453E-07
110,1.76288,-0.0005900000000000017,-0.03380450599026952,5.1199999999997904E-05
115,1.7595,-0.0006759999999999877,-0.03873194105098784,-1.719999999999721E-05
120,1.75694,-0.0005120000000000235,-0.029335436547330115,3.279999999999284E-05
125,1.75318,-0.0007519999999999971,-0.04308641807199171,-4.799999999999473E-05
130,1.74953,-0.0007299999999999862,-0.041825911614874256,4.400000000002189E-06
135,1.74661,-0.0005840000000000067,-0.03346073143164641,2.9199999999995895E-05
140,1.74444,-0.00043400000000000106,-0.02486636674743474,3.000000000000113E-05
145,1.7401,-0.0008680000000000021,-0.04973272412741544,-8.680000000000021E-05
150,1.73719,-0.0005819999999999937,-0.03334613991156792,5.7200000000001695E-05
155,1.73488,-0.00046200000000000684,-0.02647064825171085,2.3999999999997365E-05
160,1.73281,-0.00041400000000000323,-0.023720451363219503,9.600000000000721E-06
165,1.73017,-0.0005279999999999952,-0.03025216877163386,-2.2799999999998386E-05
170,1.7277,-0.0004939999999999944,-0.028304112777055013,6.800000000000143E-06
175,1.72608,-0.00032399999999999096,-0.018563831912652564,3.40000000000007E-05
180,1.723,-0.0006159999999999944,-0.03529419571586073,-5.840000000000068E-05
185,1.72007,-0.0005860000000000199,-0.0335753229514572,5.9999999999948985E-06
190,1.71941,-0.0001319999999999766,-0.007563042851799372,9.080000000000866E-05
195,1.71685,-0.0005120000000000235,-0.029335436547330115,-7.600000000000938E-05
200,1.71476,-0.00041799999999998506,-0.023949634441608976,1.8800000000007687E-05
205,1.71265,-0.00042200000000001123,-0.024178817519234605,-8.000000000052344E-07
210,1.70982,-0.000566000000000022,-0.032429407741421036,-2.8800000000002154E-05
215,1.70761,-0.00044199999999996467,-0.025324732895600076,2.4800000000011465E-05
220,1.70517,-0.00048799999999999956,-0.027960338182855364,-9.200000000006978E-06
225,1.70436,-0.00016199999999999548,-0.009281916199920874,6.520000000000081E-05
230,1.7012,-0.0006320000000000104,-0.036210927831097924,-9.400000000000298E-05
235,1.69978,-0.00028399999999999536,-0.016272000944236954,6.9600000000003E-05
240,1.69731,-0.0004939999999999944,-0.028304112777055013,-4.1999999999999815E-05
245,1.69643,-0.00017599999999999837,-0.010084057090181146,6.359999999999921E-05
250,1.69432,-0.00042200000000001123,-0.024178817519234605,-4.920000000000257E-05
255,1.69266,-0.00033199999999999896,-0.01902219809944237,1.8000000000002453E-05
260,1.69001,-0.0005300000000000082,-0.030366760298593327,-3.960000000000185E-05
265,1.68903,-0.00019599999999999617,-0.011229972640760375,6.680000000000241E-05
270,1.68604,-0.0005980000000000097,-0.03426287206464414,-8.040000000000269E-05
275,1.68601,-5.9999999999948985E-06,-0.0003437746770740763,0.00011840000000000295
280,1.68335,-0.0005320000000000214,-0.030481351825309866,-0.0001052000000000053
285,1.68188,-0.00029399999999997207,-0.016844958691507664,4.7600000000009865E-05
290,1.68083,-0.0002099999999999991,-0.012032113520875168,1.6799999999994598E-05
295,1.67899,-0.00036800000000001274,-0.021084845909017002,-3.160000000000273E-05
300,1.67757,-0.00028399999999999536,-0.016272000944236954,1.6800000000003478E-05
305,1.67522,-0.00047000000000001484,-0.026929014388276568,-3.72000000000039E-05
310,1.67419,-0.00020599999999997286,-0.01180293041273702,5.28000000000084E-05
315,1.67297,-0.00024399999999999978,-0.013980169923750946,-7.600000000005384E-06
320,1.67088,-0.00041800000000002946,-0.02394963444161152,-3.4800000000005935E-05
325,1.67026,-0.0001239999999999686,-0.007104676623206573,5.8800000000012176E-05
330,1.66893,-0.0002660000000000107,-0.01524067699102407,-2.8400000000008422E-05
335,1.66723,-0.00034000000000000696,-0.019480564283797335,-1.4799999999999254E-05
340,1.66602,-0.00024199999999998666,-0.013865578371490585,1.960000000000406E-05
340.1,1.6659958080000001,-0.00024191999999998614,-0.013860994709397856,
340.20000000000005,1.6659716240000002,-0.0002418399999999856,-0.013856411047304952,
340.30000000000007,1.6659474480000003,-0.00024175999999998508,-0.01385182738521187,
340.4000000000001,1.6659232800000003,-0.00024167999999998455,-0.013847243723118609,
