Time,Stress,Derivative,RateInDegrees,SecondDerivative
0,4.41357,,,
2,4.26789,-0.0728399999999998,-4.166067055763921,
4,4.20936,-0.029265000000000096,-1.6762825514249666,0.02178749999999985
6,4.17022,-0.01957000000000031,-1.1211352937226782,0.0048474999999998936
8,4.13984,-0.015189999999999593,-0.8702559617660316,0.0021900000000003583
10,4.11549,-0.012175000000000047,-0.6975416512557295,0.001507499999999773
12,4.09505,-0.01022000000000034,-0.585542480866422,0.0009774999999998535
14,4.07733,-0.008859999999999868,-0.507627323916651,0.000680000000000236
16,4.06181,-0.007759999999999767,-0.44460632478953427,0.0005500000000000504
18,4.04792,-0.006944999999999979,-0.3979127912881025,0.00040749999999989406
20,4.03574,-0.006090000000000373,-0.3489269835977348,0.00042749999999980304
22,4.02388,-0.005929999999999769,-0.33975999000788554,8.000000000030205E-05
24,4.01329,-0.005295000000000272,-0.303378317267829,0.00031749999999974854
26,4.00372,-0.004784999999999595,-0.27415821258681067,0.0002550000000003383
28,3.99492,-0.0044000000000001815,-0.2520998029819097,0.0001924999999997068
30,3.98628,-0.0043200000000001015,-0.24751622775523455,4.0000000000040004E-05
32,3.97865,-0.003814999999999902,-0.21858233841434097,0.00025250000000009987
34,3.97163,-0.003509999999999902,-0.2011073602060305,0.00015249999999999986
36,3.96451,-0.0035600000000000076,-0.20397211338249363,-2.5000000000052758E-05
38,3.9581,-0.0032050000000001244,-0.18363234458248015,0.0001774999999999416
40,3.95227,-0.002915000000000001,-0.16701672422214545,0.00014500000000006175
42,3.94647,-0.0028999999999999027,-0.1661572947946947,7.500000000049134E-06
44,3.94077,-0.002850000000000019,-0.16329252949871972,2.4999999999941735E-05
46,3.9356,-0.0025850000000000595,-0.1481092601421088,0.00013249999999997986
48,3.9305,-0.0025500000000000522,-0.1461039210786631,1.7500000000003624E-05
50,3.92565,-0.0024249999999998995,-0.13894199296439352,6.250000000007638E-05
52,3.92097,-0.0023400000000000087,-0.13407187935297624,4.249999999994536E-05
54,3.91664,-0.0021649999999999725,-0.12404516883685841,8.750000000001812E-05
56,3.91218,-0.0022299999999999542,-0.12776937651967432,-3.249999999999087E-05
58,3.90792,-0.0021300000000001873,-0.1220398258022708,4.999999999988347E-05
60,3.904,-0.0019599999999999618,-0.11229958404242578,8.500000000011276E-05
62,3.89983,-0.0020849999999998925,-0.11946152717625866,-6.249999999996536E-05
64,3.8961,-0.0018650000000000055,-0.10685650490169152,0.00010999999999994348
66,3.89254,-0.0017800000000001148,-0.10198637982216884,4.249999999994536E-05
68,3.88932,-0.0016099999999998893,-0.09224612531238416,8.500000000011276E-05
70,3.88623,-0.0015450000000001296,-0.08852190891309457,3.249999999987985E-05
72,3.88293,-0.0016499999999999293,-0.09453795040345407,-5.249999999989985E-05
74,3.87987,-0.0015300000000000313,-0.08766247425203179,5.999999999994898E-05
76,3.87698,-0.0014449999999999186,-0.08279234377227018,4.250000000005638E-05
78,3.87458,-0.0012000000000000899,-0.06875490241336345,0.00012249999999991434
80,3.87159,-0.001495000000000024,-0.08565712655682439,-0.0001474999999999671
82,3.86877,-0.0014099999999999113,-0.08078699557592742,4.250000000005638E-05
84,3.86629,-0.0012400000000001299,-0.071046730182427,8.499999999989072E-05
86,3.86355,-0.0013699999999998713,-0.07849516882374587,-6.499999999987072E-05
88,3.86106,-0.0012449999999999406,-0.07133320863771375,6.249999999996536E-05
90,3.85841,-0.0013250000000000206,-0.07591686342767494,-4.0000000000040004E-05
92,3.85585,-0.0012799999999999478,-0.07333855772412888,2.250000000003638E-05
94,3.85317,-0.0013400000000001189,-0.0767762985943852,-3.0000000000085514E-05
96,3.85054,-0.001314999999999955,-0.07534390663086506,1.250000000008189E-05
98,3.84816,-0.0011900000000000244,-0.06818194543643054,6.249999999996536E-05
99.999,3.84618,-0.0009904952476238607,-0.056751178757452836,9.980227732674542E-05
100.09899999999999,3.8460810254752373,-0.0009897452476238559,-0.05670820696494463,
100.19899999999998,3.845982125950475,-0.000988995247623851,-0.05666523517237263,
100.29899999999998,3.845883301425713,-0.0009882452476238461,-0.05662226337973687,
