Time,Stress,Derivative,RateInDegrees,SecondDerivative
0,1.6548,,,
2,1.60795,-0.02342500000000003,-1.3419082222871928,
4,1.58902,-0.009464999999999946,-0.5422883596225019,0.006980000000000042
6,1.57628,-0.006370000000000098,-0.364969179112459,0.001547499999999924
8,1.56669,-0.004794999999999994,-0.2747311572362603,0.000787500000000052
10,1.55878,-0.003954999999999931,-0.22660362646596816,0.00042000000000003146
12,1.55209,-0.0033450000000000424,-0.1916536676675026,0.0003049999999999442
14,1.5464,-0.0028449999999999864,-0.1630060529239785,0.000250000000000028
16,1.54136,-0.0025199999999999667,-0.14438505873919077,0.00016250000000000986
18,1.53687,-0.0022450000000000525,-0.1286288089096924,0.0001374999999999571
20,1.53285,-0.0020099999999999563,-0.11516436172961411,0.00011750000000004812
22,1.5291,-0.001875000000000071,-0.10742946069325221,6.74999999999426E-05
24,1.52562,-0.0017399999999999638,-0.09969455574109674,6.750000000005363E-05
26,1.52251,-0.001554999999999973,-0.08909486533168386,9.249999999999536E-05
28,1.51959,-0.0014600000000000168,-0.08365177865175782,4.7499999999978115E-05
30,1.51673,-0.0014300000000000423,-0.08193290885553883,1.4999999999987246E-05
32,1.51409,-0.0013199999999999878,-0.07563038503116075,5.500000000002725E-05
34,1.51163,-0.0012299999999999534,-0.07047377326117907,4.500000000001725E-05
36,1.50925,-0.0011900000000000244,-0.06818194543643054,1.999999999996449E-05
38,1.507,-0.0011250000000000426,-0.0644577247591266,3.249999999999087E-05
40,1.50489,-0.0010549999999999171,-0.06044702495995377,3.500000000006276E-05
42,1.50286,-0.0010149999999999881,-0.05815519623480435,1.999999999996449E-05
44,1.50094,-0.0009600000000000719,-0.05500393143535957,2.7499999999958114E-05
46,1.49905,-0.0009449999999999736,-0.05414449552240242,7.500000000049134E-06
48,1.49736,-0.0008449999999999847,-0.04841492216540094,4.999999999999449E-05
50,1.49568,-0.0008400000000000629,-0.04812844347118498,2.499999999960867E-06
52,1.49411,-0.0007849999999999246,-0.04497717767907972,2.7500000000069136E-05
54,1.4926,-0.0007550000000000612,-0.04325830531294341,1.4999999999931735E-05
56,1.49115,-0.0007249999999999757,-0.04153943286892951,1.5000000000042757E-05
58,1.48972,-0.0007150000000000212,-0.04096647537082723,4.999999999977245E-06
60,1.48832,-0.0006999999999999229,-0.040107039108337676,7.500000000049134E-06
62,1.48696,-0.0006800000000000139,-0.038961124063689595,9.99999999995449E-06
64,1.48572,-0.0006200000000000649,-0.0355233787463863,2.999999999997449E-05
66,1.48442,-0.0006499999999999284,-0.03724225143854958,-1.4999999999931735E-05
68,1.48325,-0.0005850000000000577,-0.03351802719158786,3.249999999993536E-05
70,1.48206,-0.0005950000000000122,-0.034090984787264765,-4.999999999977245E-06
72,1.48093,-0.0005649999999999267,-0.03237211198022512,1.5000000000042757E-05
74,1.47981,-0.0005600000000000049,-0.032085633173308474,2.499999999960867E-06
76,1.47872,-0.0005450000000000177,-0.031226196742977427,7.499999999993623E-06
78,1.47777,-0.0004750000000000032,-0.027215493221882527,3.500000000000725E-05
80,1.47678,-0.0004950000000000232,-0.02836140854255919,-1.0000000000010001E-05
82,1.47587,-0.0004549999999999832,-0.026069577879433474,2.0000000000020002E-05
84,1.47488,-0.0004950000000000232,-0.02836140854255919,-2.0000000000020002E-05
86,1.47399,-0.0004450000000000287,-0.025496620200333962,2.4999999999997247E-05
88,1.47305,-0.00046999999999997044,-0.02692901438827402,-1.2499999999970868E-05
90,1.47229,-0.00037999999999993594,-0.021772395166989696,4.500000000001725E-05
92,1.47134,-0.0004750000000000032,-0.027215493221882527,-4.7500000000033626E-05
94,1.47062,-0.00036000000000002697,-0.020626479733647285,5.7499999999988116E-05
96,1.46981,-0.0004049999999999887,-0.023204789434075886,-2.249999999998087E-05
98,1.46902,-0.0003950000000000342,-0.02263183173062568,4.999999999977245E-06
99.999,1.46821,-0.00040520260130064,-0.02321639763162208,-5.103852576591197E-06
100.09899999999999,1.46816950473987,-0.0004049526013006439,-0.023202073689094417,
100.19899999999998,1.46812903447974,-0.00040470260130064784,-0.023187749746563856,
100.29899999999998,1.4680885892196098,-0.00040445260130065176,-0.0231734258040304,
100.39899999999997,1.4680481689594798,-0.0004042026013006557,-0.023159101861494044,
100.49899999999997,1.4680077736993498,-0.0004039526013006596,-0.023144777918954793,
100.59899999999996,1.4679674034392196,-0.00040370260130066354,-0.02313045397641265,
100.69899999999996,1.4679270581790895,-0.00040345260130066746,-0.023116130033867612,
100.79899999999995,1.4678867379189595,-0.0004032026013006714,-0.02310180609131969,
100.89899999999994,1.4678464426588294,-0.0004029526013006753,-0.023087482148768875,
100.99899999999994,1.4678061723986993,-0.00040270260130067923,-0.023073158206215177,
101.09899999999993,1.4677659271385692,-0.00040245260130068316,-0.023058834263658595,
101.19899999999993,1.467725706878439,-0.0004022026013006871,-0.02304451032109913,
101.29899999999992,1.467685511618309,-0.000401952601300691,-0.023030186378536783,
101.39899999999992,1.467645341358179,-0.00040170260130069493,-0.02301586243597156,
101.49899999999991,1.467605196098049,-0.00040145260130069885,-0.02300153849340346,
101.5989999999999,1.4675650758379188,-0.0004012026013007028,-0.02298721455083248,
101.6989999999999,1.4675249805777888,-0.0004009526013007067,-0.022972890608258634,
101.7989999999999,1.4674849103176588,-0.0004007026013007106,-0.02295856666568191,
101.89899999999989,1.4674448650575287,-0.00040045260130071455,-0.022944242723102318,
101.99899999999988,1.4674048447973986,-0.0004002026013007185,-0.02292991878051986,
102.09899999999988,1.4673648495372686,-0.0003999526013007224,-0.022915594837934535,
102.19899999999987,1.4673248792771385,-0.0003997026013007263,-0.022901270895346344,
102.29899999999986,1.4672849340170084,-0.00039945260130073025,-0.022886946952755293,
102.39899999999986,1.4672450137568784,-0.00039920260130073417,-0.022872623010161377,
102.49899999999985,1.4672051184967483,-0.0003989526013007381,-0.02285829906756461,
102.59899999999985,1.4671652482366182,-0.000398702601300742,-0.022843975124964975,
102.69899999999984,1.4671254029764882,-0.00039845260130074594,-0.022829651182362493,
102.79899999999984,1.467085582716358,-0.00039820260130074987,-0.02281532723975715,
102.89899999999983,1.467045787456228,-0.0003979526013007538,-0.02280100329714896,
