Time;Stress;Time;Derivative;Second Derivative
0;2,02609;;;
0,1;2,02253;-0,0356;;
0,3;2,01156;-0,0526;-0,085;não
0,4;2,00862;-0,0294;0,020666667;sim
0,6;2,00112;-0,0316;-0,011;não
0,9;1,99265;-0,0193;0,063;sim
1;1,9905;-0,0215;0,034666667;sim
1,1;1,98769;-0,0281;0,0095;sim
1,2;1,98609;-0,016;0,0318;sim
1,3;1,98459;-0,015;0,028166667;sim
1,4;1,98277;-0,0182;0,019571429;sim
1,5;1,98051;-0,0226;0,011625;sim
1,6;1,9796;-0,0091;0,025333333;sim
1,7;1,97662;-0,0298;0,0021;sim
1,8;1,97563;-0,0099;0,02;sim
1,9;1,9736;-0,0203;0,009666667;sim
2;1,97254;-0,0106;0,016384615;sim
2,1;1,97123;-0,0131;0,013428571;sim
2,2;1,96948;-0,0175;0,0096;sim
2,3;1,96842;-0,0106;0,0133125;sim
2,4;1,96717;-0,0125;0,011411765;sim
2,5;1,96526;-0,0191;0,007111111;sim
2,6;1,96449;-0,0077;0,012736842;sim
2,7;1,96275;-0,0174;0,00725;sim
2,8;1,96199;-0,0076;0,011571429;sim
2,9;1,96077;-0,0122;0,008954545;sim
3;1,95968;-0,0109;0,009130435;sim
3,1;1,95824;-0,0144;0,007291667;sim
3,2;1,95727;-0,0097;0,00888;sim
3,3;1,95684;-0,0043;0,010615385;sim
3,4;1,95605;-0,0079;0,008888889;sim
3,5;1,9542;-0,0185;0,004785714;sim
3,6;1,95275;-0,0145;0,006;sim
3,7;1,95212;-0,0063;0,008533333;sim
3,8;1,95116;-0,0096;0,007193548;sim
3,9;1,94987;-0,0129;0,0059375;sim
4;1,94908;-0,0079;0,007272727;sim
4,1;1,94838;-0,007;0,007323529;sim
4,2;1,94715;-0,0123;0,0056;sim
4,3;1,94634;-0,0081;0,006611111;sim
4,4;1,94516;-0,0118;0,005432432;sim
4,5;1,9445;-0,0066;0,006657895;sim
4,6;1,94386;-0,0064;0,006538462;sim
4,7;1,94321;-0,0065;0,00635;sim
4,8;1,94217;-0,0104;0,005243902;sim
4,9;1,94082;-0,0135;0,004380952;sim
5;1,94072;-0,001;0,007186047;sim
5,1;1,93917;-0,0155;0,003727273;sim
5,2;1,93896;-0,0021;0,006622222;sim
5,3;1,938;-0,0096;0,004847826;sim
