Time,Stress
0.00199,0.33275
0.00397,0.34422
0.32384,2.19762
0.32583,2.21224
0.3298,2.24013
0.33576,2.28132
0.33974,2.3076
0.34172,2.32126
0.34371,2.3369
0.34768,2.36599
0.35364,2.40763
0.35762,2.43649
0.3596,2.45142
0.36358,2.47902
0.36755,2.5082
0.36954,2.52433
0.37351,2.55181
0.37748,2.57866
0.37947,2.59382
0.38146,2.60991
0.38543,2.6372
0.38742,2.6532
0.39139,2.68238
0.39735,2.7295
0.40132,2.75411
0.40331,2.76955
0.4053,2.78632
0.41126,2.82977
0.41523,2.86118
0.42517,2.93692
0.42914,2.96732
0.43113,2.98686
0.4351,3.01798
0.44106,3.06612
0.44305,3.08309
0.44901,3.13319
0.45298,3.16471
0.45894,3.21172
0.46291,3.24361
0.4649,3.26201
0.47285,3.32815
0.47483,3.34584
0.47682,3.36522
0.48079,3.40206
0.48675,3.45041
0.49073,3.48587
0.49669,3.53462
0.50066,3.57033
0.5106,3.66004
0.51457,3.69562
0.52053,3.74881
0.5245,3.78456
0.52848,3.82005
0.53046,3.84192
0.53444,3.87509
0.53841,3.91142
0.5404,3.93192
0.54437,3.96669
0.54834,4.00586
0.55232,4.04147
0.5543,4.06105
0.55828,4.09707
0.56225,4.13341
0.56821,4.18559
0.57219,4.21986
0.57417,4.23902
0.57616,4.25893
0.58013,4.29337
0.58411,4.32665
0.58609,4.34778
0.59205,4.40067
