Time,Stress
0.000205,0.11602
0.000411,0.11981
0.000822,0.12787
0.00144,0.13952
0.00205,0.15114
0.00267,0.16267
0.00329,0.17434
0.00349,0.17842
0.0039,0.18602
0.00452,0.19787
0.00514,0.21016
0.00575,0.22185
0.00637,0.23393
0.00658,0.23833
0.00719,0.25071
0.0076,0.25868
0.00801,0.26721
0.00842,0.27552
0.00925,0.29311
0.00966,0.30068
0.00986,0.30528
0.01048,0.3184
0.0111,0.33137
0.01171,0.34477
0.01233,0.35829
0.01295,0.37176
0.01356,0.3853
0.01418,0.3991
0.01479,0.41298
0.01541,0.42701
0.01603,0.4408
0.01623,0.4457
0.01664,0.45484
0.01685,0.45986
0.01747,0.47387
0.01767,0.47912
0.01808,0.4877
0.01829,0.49251
0.0189,0.50712
0.01952,0.52143
0.01993,0.53049
0.02014,0.53576
0.02075,0.5499
0.02137,0.56484
0.02178,0.5742
0.0226,0.59365
0.02322,0.60825
0.02384,0.62254
0.02404,0.62851
0.02445,0.63737
0.02486,0.64738
0.02527,0.6577
0.02568,0.66726
0.0263,0.68252
0.02671,0.69269
0.02733,0.7084
0.02795,0.72343
0.02815,0.72954
0.02856,0.73945
0.02897,0.74957
0.02918,0.75505
0.02959,0.76513
0.02979,0.77096
0.03041,0.78717
0.03103,0.80239
0.03164,0.81801
0.03226,0.83381
0.03288,0.84972
0.03349,0.86523
0.0337,0.87174
0.03411,0.88186
0.03452,0.89299
0.03493,0.90351
0.03534,0.91436
0.03575,0.92529
0.03616,0.93612
0.03658,0.94727
0.03678,0.95295
0.0376,0.97557
0.03822,0.99286
0.03884,1.0092
0.03945,1.02663
0.04007,1.04387
0.04068,1.06136
0.0413,1.07848
0.04212,1.10291
0.04253,1.11421
0.04295,1.12626
0.04336,1.13844
0.04377,1.15036
0.04438,1.16829
0.045,1.18631
0.04521,1.19255
0.04541,1.19904
0.04582,1.21105
0.04623,1.22339
0.04664,1.23655
0.04705,1.24851
0.04767,1.26664
0.04788,1.27406
0.04849,1.29306
0.04911,1.31204
0.04932,1.32001
0.04973,1.33187
0.05034,1.35167
0.05096,1.37121
0.05158,1.39091
0.05178,1.39812
0.05219,1.41136
0.0526,1.42418
0.05281,1.43115
0.05301,1.43871
0.05342,1.4519
0.05404,1.47143
0.05425,1.47919
0.05486,1.4996
0.05568,1.52861
0.0563,1.54945
0.05671,1.56319
0.05692,1.57059
0.05712,1.57776
0.05753,1.59194
0.05815,1.61288
0.05856,1.62646
0.05877,1.63411
0.05897,1.64197
0.05938,1.65466
0.05979,1.6548
