Time,Stress
0,4.41357
0.1,4.39679
0.2,4.38148
0.3,4.36947
0.4,4.35903
0.5,4.34997
0.6,4.3413
0.7,4.33396
0.8,4.327
0.9,4.32015
1,4.31413
1.1,4.30842
1.2,4.30313
1.3,4.29816
1.5,4.28843
1.6,4.28401
1.7,4.2797
1.8,4.27578
1.9,4.27187
2.1,4.26419
2.2,4.26053
2.3,4.2571
2.6,4.24713
2.9,4.23799
3.1,4.23214
3.2,4.22953
3.3,4.227
3.5,4.22147
3.6,4.21902
3.8,4.21408
3.9,4.21178
4.1,4.20713
4.2,4.20493
4.4,4.20034
4.5,4.19844
4.7,4.1942
4.9,4.19013
5.1,4.18624
5.3,4.18238
5.4,4.18064
5.7,4.17531
6,4.17022
6.2,4.16672
6.3,4.16533
6.5,4.16199
6.7,4.15876
7,4.15408
7.2,4.15096
7.3,4.14983
7.5,4.14685
7.7,4.14413
7.9,4.14136
8.1,4.1387
8.3,4.13599
8.4,4.13482
8.6,4.13218
8.7,4.13099
8.9,4.12869
9.1,4.12589
9.2,4.12473
9.4,4.1222
9.6,4.11981
9.7,4.11873
9.9,4.1165
10,4.11549
10.2,4.11312
10.3,4.11199
10.4,4.11095
10.5,4.10996
10.7,4.10779
10.9,4.10594
11.1,4.10386
11.3,4.10178
11.6,4.09887
11.8,4.09696
12,4.09505
12.2,4.09311
12.4,4.09111
12.5,4.09031
12.7,4.0885
13.1,4.08495
13.4,4.08237
13.5,4.08154
13.8,4.07896
13.9,4.07836
14.1,4.07658
14.3,4.07509
14.5,4.07334
14.6,4.07278
14.9,4.07018
15,4.06948
15.2,4.06765
15.3,4.06715
15.5,4.06564
15.8,4.06324
16,4.06181
16.2,4.06024
16.3,4.05956
16.4,4.05892
16.6,4.05741
16.8,4.05606
17,4.05457
17.2,4.05301
17.4,4.05192
17.7,4.0499
17.9,4.0487
18.1,4.0473
18.3,4.04613
18.5,4.04464
18.6,4.04414
19,4.04161
19.1,4.04101
19.2,4.04048
19.4,4.03916
19.6,4.03803
19.9,4.03621
20,4.03574
20.2,4.03463
20.5,4.03273
20.7,4.03153
20.9,4.03002
21,4.02961
21.6,4.02607
21.9,4.02437
22,4.02388
22.2,4.02278
22.4,4.02166
22.8,4.01969
23,4.01856
23.3,4.01691
23.5,4.01587
23.8,4.01424
23.9,4.01391
24.1,4.01291
24.4,4.01164
24.6,4.01053
24.9,4.00903
25.2,4.00768
25.4,4.00657
25.5,4.00621
25.7,4.00516
25.8,4.00482
26.1,4.00334
26.3,4.00234
26.4,4.00192
26.6,4.00101
26.8,4.00016
27.1,3.99879
27.3,3.99785
27.6,3.9965
27.8,3.99584
28,3.99492
28.2,3.9939
28.3,3.99344
28.5,3.99244
28.6,3.99213
28.8,3.9911
28.9,3.99067
29,3.99032
29.3,3.98914
29.6,3.988
29.9,3.98691
30.1,3.98599
30.3,3.98509
30.4,3.98495
30.6,3.98398
30.7,3.98374
31,3.98262
31.3,3.98138
31.6,3.98028
31.8,3.97934
31.9,3.97897
32,3.97865
32.2,3.97782
32.3,3.97757
32.7,3.97628
32.9,3.97547
33,3.97518
33.2,3.97443
33.5,3.97354
33.7,3.97266
34,3.97163
34.2,3.97086
34.4,3.97027
34.5,3.97006
34.7,3.96922
35,3.96817
35.2,3.96737
35.3,3.96707
35.5,3.96626
35.6,3.9659
35.7,3.96559
35.8,3.96536
36.1,3.96435
36.3,3.96375
36.5,3.96286
36.7,3.96228
36.8,3.96201
37,3.96131
37.2,3.96072
37.4,3.96012
37.8,3.95879
38,3.9581
38.1,3.95782
38.3,3.95701
38.4,3.95681
38.7,3.956
38.9,3.95539
39.1,3.95465
39.2,3.95449
39.5,3.9535
39.6,3.95347
39.8,3.95278
40,3.95227
40.2,3.95159
40.4,3.95101
40.6,3.95034
40.9,3.94942
41,3.94922
41.2,3.94857
41.4,3.94809
41.7,3.9472
41.9,3.94662
42,3.94647
42.2,3.9457
42.3,3.9456
42.5,3.94486
42.6,3.94467
42.8,3.94417
42.9,3.94411
43.1,3.94335
43.2,3.94311
43.4,3.94242
43.5,3.94214
43.7,3.94163
43.8,3.94143
44,3.94077
44.2,3.94021
44.4,3.93973
44.6,3.93925
44.8,3.93866
44.9,3.93856
45.1,3.93793
45.4,3.93723
45.7,3.93638
46,3.9356
46.2,3.93513
46.6,3.93404
46.8,3.93349
46.9,3.93332
47.1,3.93294
47.3,3.93241
47.6,3.93147
47.7,3.93129
48,3.9305
48.1,3.93028
48.3,3.92982
48.5,3.92921
48.8,3.92858
49,3.92815
49.2,3.92764
49.4,3.92694
49.6,3.92647
49.7,3.92635
50,3.92565
50.2,3.92511
50.4,3.92472
50.6,3.92399
50.7,3.92391
50.9,3.92345
51.2,3.92276
51.3,3.9226
51.5,3.92213
51.8,3.92144
52.1,3.92078
52.3,3.92042
52.5,3.91988
52.7,3.9194
52.8,3.91931
53.1,3.91839
53.2,3.9182
53.4,3.91785
53.6,3.91747
53.8,3.91697
54.3,3.91585
54.5,3.91538
54.6,3.9153
54.8,3.91467
54.9,3.91456
55.1,3.91415
55.3,3.91376
55.6,3.91315
55.8,3.91277
56,3.91218
56.1,3.91197
56.3,3.91165
56.5,3.91125
56.7,3.91088
57.1,3.90991
57.3,3.90943
57.5,3.90886
57.6,3.90885
57.8,3.90843
58.1,3.9078
58.3,3.90729
58.4,3.90725
58.6,3.90664
58.8,3.90627
59.3,3.90532
60,3.904
60.2,3.90347
60.3,3.90338
