Time,Stress
0,0.97689
0.1,0.97245
0.2,0.96886
0.3,0.96605
0.4,0.96357
0.5,0.96163
0.7,0.95815
0.9,0.95527
1.1,0.95276
1.2,0.95171
1.4,0.94969
1.6,0.94787
1.8,0.9461
2,0.94449
2.2,0.94306
2.4,0.94178
2.6,0.94046
2.8,0.9392
3,0.93801
3.2,0.93672
3.3,0.93627
3.5,0.93554
3.7,0.93441
3.9,0.93336
4.1,0.93251
4.3,0.93154
4.5,0.93061
4.6,0.93033
4.8,0.92958
5,0.92874
5.2,0.92817
5.4,0.9273
5.7,0.92616
5.8,0.92588
5.9,0.92564
6.1,0.92495
6.3,0.92428
6.6,0.92331
6.8,0.92283
7,0.92212
7.1,0.92186
7.2,0.9217
7.4,0.921
7.6,0.92055
7.9,0.91977
8.2,0.91877
8.4,0.91822
8.5,0.91812
9,0.91682
9.3,0.91592
9.5,0.91571
10,0.91454
10.1,0.91449
10.3,0.91383
10.4,0.91381
10.6,0.91343
10.8,0.91285
11.1,0.91221
11.2,0.91202
11.4,0.91175
12,0.91048
12.1,0.91046
12.6,0.9096
12.7,0.9095
12.9,0.90907
13.1,0.90862
13.3,0.90838
13.4,0.90827
13.7,0.90778
13.9,0.90735
14.1,0.90706
15,0.90572
15.3,0.90521
15.5,0.90502
15.7,0.90485
15.9,0.90448
16,0.90438
16.1,0.90428
16.6,0.90361
17.1,0.90272
17.3,0.90247
17.4,0.90244
18.1,0.90156
18.4,0.90092
18.6,0.90069
18.8,0.90068
19.2,0.90019
19.6,0.89962
19.7,0.89954
19.9,0.89952
20.1,0.89917
20.6,0.89878
21.3,0.89805
21.5,0.89774
21.8,0.89738
22.1,0.89696
22.2,0.8969
22.4,0.89673
22.6,0.8967
22.8,0.89625
23,0.8961
23.4,0.89585
23.6,0.89565
24.5,0.89488
24.7,0.89449
25.1,0.8943
25.5,0.89419
25.8,0.89374
26,0.89345
26.1,0.89338
26.2,0.89337
26.6,0.89319
26.8,0.89289
27,0.89279
27.1,0.89277
27.4,0.89255
27.5,0.89248
27.9,0.89204
28,0.89203
28.4,0.892
28.7,0.89161
30.3,0.8906
30.9,0.89015
31.7,0.88961
32.4,0.88894
32.8,0.88862
33.6,0.88815
33.9,0.88787
34,0.88781
34.3,0.8877
34.8,0.8873
34.9,0.88727
35.1,0.88706
35.3,0.88697
35.8,0.88689
36.1,0.88649
36.2,0.88646
36.6,0.88627
36.7,0.88625
39,0.88508
39.3,0.88484
39.5,0.88468
41.6,0.88362
42,0.88351
42.6,0.88314
43,0.88279
43.3,0.88274
43.6,0.88261
44.6,0.88194
44.8,0.88191
45.2,0.88168
45.4,0.88151
45.8,0.8814
46.1,0.88133
47.6,0.88071
48.1,0.88059
48.3,0.88027
48.5,0.88014
48.9,0.87995
49.1,0.87992
49.6,0.87985
49.9,0.87961
50.3,0.87938
50.4,0.87935
50.7,0.87927
50.9,0.87908
51.2,0.87875
51.4,0.87873
