Time,Stress
0,1.6548
0.1,1.65089
0.5,1.63533
0.6,1.63224
0.7,1.62952
0.8,1.62709
0.9,1.625
1,1.62299
1.1,1.62113
1.2,1.61941
1.3,1.61776
1.4,1.61614
1.5,1.61462
1.6,1.61316
1.7,1.6118
1.9,1.60917
2,1.60795
2.1,1.60682
2.3,1.60455
2.5,1.60235
2.6,1.6013
2.7,1.60025
2.8,1.59923
2.9,1.59832
3.1,1.59645
3.3,1.59467
3.5,1.59295
3.7,1.59136
3.9,1.58978
4.1,1.58827
4.2,1.58753
4.4,1.58614
4.7,1.58411
4.8,1.58345
4.9,1.58281
5.1,1.5815
5.2,1.58095
5.4,1.57969
5.5,1.57912
5.7,1.57796
5.9,1.57684
6.1,1.57574
6.2,1.57523
6.3,1.57474
6.5,1.57368
6.7,1.57271
6.9,1.5717
7,1.57128
7.2,1.57027
7.3,1.56986
7.5,1.56892
7.7,1.56802
8.2,1.5658
8.4,1.56497
8.5,1.5646
8.8,1.56331
8.9,1.56292
9.1,1.56216
9.3,1.56136
9.4,1.56102
9.6,1.56022
9.7,1.55988
10,1.55878
10.2,1.55809
10.4,1.55736
10.7,1.55633
10.8,1.55599
11,1.55529
11.2,1.55467
11.4,1.55404
11.7,1.55305
11.9,1.55243
12.1,1.55181
12.3,1.55123
12.5,1.55065
12.7,1.55006
12.9,1.54949
13.2,1.54864
13.4,1.54807
13.7,1.54717
13.8,1.54691
14,1.5464
14.2,1.54584
14.3,1.54562
14.6,1.5448
14.8,1.54425
14.9,1.54399
15,1.54375
15.2,1.54319
15.3,1.54302
15.5,1.54254
15.7,1.54207
15.9,1.54155
16,1.54136
16.3,1.54064
16.7,1.53974
17.1,1.53882
17.3,1.53842
17.5,1.53797
17.7,1.53753
17.8,1.53735
18,1.53687
18.1,1.53665
18.2,1.53644
18.3,1.53628
18.5,1.53583
18.6,1.53564
18.8,1.5352
18.9,1.53501
19.1,1.53461
19.3,1.53423
19.5,1.53379
19.6,1.53362
19.8,1.53321
20,1.53285
20.3,1.53224
20.5,1.5319
20.7,1.53153
21,1.53094
21.3,1.53042
21.5,1.53001
21.9,1.52928
22.2,1.52873
22.4,1.52841
22.6,1.52805
22.7,1.52789
22.9,1.52756
23.1,1.52714
23.2,1.52701
23.6,1.52634
23.8,1.52597
23.9,1.52581
24.1,1.52543
24.2,1.5253
24.6,1.52468
25.2,1.5237
25.3,1.52359
25.5,1.52328
25.6,1.52315
26,1.52251
26.1,1.52238
26.5,1.52171
26.6,1.52163
26.8,1.52131
27.1,1.52086
27.3,1.52055
27.5,1.52028
