Time,Stress
0,1.53757
0.1,1.5358
1.2,1.51674
1.3,1.51575
1.4,1.51484
1.6,1.51307
1.7,1.51227
1.9,1.5107
2,1.50996
2.1,1.50926
2.3,1.50786
2.5,1.50656
2.7,1.50537
2.9,1.50414
3,1.50357
3.1,1.50305
3.3,1.50201
3.5,1.50094
3.7,1.49997
3.9,1.49902
4.2,1.49765
4.4,1.49683
4.8,1.4951
4.9,1.49476
5.1,1.49396
5.2,1.49363
5.4,1.49284
5.5,1.49249
5.7,1.49172
5.8,1.49139
6,1.49074
6.2,1.49004
6.3,1.48971
6.4,1.48943
6.7,1.48847
6.8,1.48819
7.2,1.48698
7.5,1.48609
7.7,1.48547
7.8,1.4852
7.9,1.48494
8.1,1.48443
8.3,1.48383
8.4,1.48358
8.5,1.48334
8.7,1.48285
8.8,1.48261
9,1.48207
9.2,1.48158
9.3,1.48137
9.5,1.48085
9.6,1.48061
9.7,1.48042
9.9,1.47992
10.1,1.47947
10.2,1.47927
10.4,1.47875
10.5,1.47857
10.7,1.4782
11,1.47752
11.2,1.4771
11.3,1.47693
11.5,1.47648
11.7,1.47606
11.8,1.4759
12.1,1.47527
12.5,1.47453
12.7,1.47413
12.8,1.47398
13.1,1.47341
13.4,1.4728
13.5,1.47268
13.7,1.47239
13.9,1.47199
14.1,1.47163
14.2,1.47147
14.5,1.47097
14.8,1.47048
15.3,1.4697
15.5,1.4693
15.6,1.4692
15.8,1.46891
16.1,1.46847
16.2,1.46835
16.4,1.46797
16.5,1.46782
16.8,1.46741
17,1.46708
17.1,1.46694
17.2,1.46683
17.5,1.46636
17.8,1.46594
17.9,1.46583
18,1.46572
18.3,1.46528
18.4,1.46517
18.6,1.46489
18.9,1.46445
19,1.46431
19.2,1.46408
19.6,1.46357
19.8,1.46332
20,1.46311
20.3,1.46271
20.5,1.46245
20.8,1.46209
21,1.46185
21.2,1.4616
21.4,1.46138
21.6,1.46108
21.7,1.46102
21.9,1.4608
22.1,1.46058
22.3,1.46031
22.4,1.46022
22.6,1.45999
22.8,1.45976
22.9,1.45972
23.1,1.45951
23.3,1.45923
23.4,1.45912
23.7,1.45884
23.9,1.45861
24,1.45853
24.3,1.45823
24.5,1.45799
24.8,1.4577
25.1,1.45742
25.4,1.4571
25.8,1.45673
26,1.45655
26.1,1.45651
26.3,1.45629
26.6,1.456
26.8,1.4558
27,1.45565
27.2,1.4554
27.3,1.45535
27.5,1.45524
27.7,1.45501
28.1,1.45465
28.4,1.4544
28.7,1.45413
28.9,1.45398
29.2,1.45367
29.3,1.45359
29.4,1.45351
29.7,1.45329
29.9,1.45312
30.1,1.45289
30.2,1.45287
30.6,1.45253
30.8,1.45235
31.3,1.45193
31.5,1.45177
31.8,1.45156
32,1.45144
32.5,1.45104
32.7,1.45089
32.9,1.45075
33.2,1.45051
33.3,1.45047
33.5,1.45028
33.7,1.45017
33.9,1.44996
34.1,1.44984
34.3,1.44968
34.6,1.44953
34.8,1.44935
35,1.4492
35.2,1.44906
35.4,1.4489
35.6,1.4488
35.9,1.44854
36.1,1.44839
36.3,1.44829
36.5,1.44807
36.6,1.44803
37.3,1.44761
37.5,1.44744
37.6,1.44739
37.8,1.44727
38,1.44713
38.5,1.44677
38.7,1.44665
38.9,1.44653
39.1,1.44642
39.5,1.44613
39.8,1.44593
40,1.44578
40.1,1.44574
40.2,1.4457
40.5,1.44549
40.8,1.44528
41.2,1.44508
41.4,1.44489
41.5,1.44487
41.7,1.44475
41.9,1.44463
42,1.44461
42.2,1.4445
42.4,1.44436
42.6,1.44421
42.7,1.44419
42.9,1.44408
43.1,1.44391
43.2,1.44388
43.4,1.44377
43.6,1.44363
43.8,1.44353
44,1.44343
44.2,1.44328
44.3,1.44322
44.5,1.44311
44.8,1.44292
44.9,1.4429
45.2,1.4427
45.4,1.4426
45.7,1.4424
45.8,1.44236
46,1.44225
46.4,1.44203
46.6,1.44189
46.7,1.44186
46.9,1.44175
47.1,1.44172
47.5,1.4415
47.7,1.44139
47.9,1.44128
48.3,1.44107
48.5,1.44091
48.6,1.44087
49,1.44072
49.1,1.4407
49.3,1.44059
49.5,1.44046
49.7,1.4404
49.9,1.44026
50.1,1.44014
50.3,1.44002
50.5,1.43991
50.6,1.43989
50.7,1.43988
50.9,1.4397
51,1.43968
51.2,1.43961
51.4,1.43947
51.6,1.43936
51.7,1.43933
51.9,1.4392
52,1.43918
52.2,1.43909
52.9,1.43871
53,1.4387
53.4,1.43848
53.5,1.43846
53.7,1.43838
54.1,1.43817
54.4,1.43801
