Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
0;0;1;0;0;0;0
0.1;0.0002;0.999127582;0.007681541;0.010242403;0.007677161;0.007679302
0.2;0.0004;0.998259381;0.015363605;0.015355017;0.015350299;0.015350212
0.3;0.0006;0.997395375;0.023046191;0.025585453;0.023015089;0.023017209
0.4;0.0008;0.996535542;0.030729299;0.030685466;0.030675986;0.030675899
0.5;0.001;0.995679862;0.03841293;0.040904062;0.038328619;0.038330718
0.6;0.0012;0.994828313;0.046097083;0.040868658;0.045977401;0.045977314
0.7;0.0014;0.993980874;0.053781759;0.045951899;0.053618002;0.05362008
0.8;0.0016;0.993137524;0.061466957;0.056150032;0.061254794;0.061254708
0.9;0.0018;0.992298242;0.069152679;0.061220986;0.068883488;0.068885546
1;0.002;0.991463008;0.076838922;0.071407591;0.076508414;0.076508327
1.1;0.0022;0.9906318;0.084525689;0.076466381;0.084125324;0.084127361
1.2;0.0024;0.989804597;0.092212978;0.08664158;0.091738505;0.091738419
1.3;0.0026;0.988981381;0.09990079;0.101939094;0.099343753;0.099345769
1.4;0.0028;0.988162129;0.107589124;0.106977975;0.106945312;0.106945226
1.5;0.003;0.987346822;0.115277982;0.117139231;0.114539017;0.114541014
1.6;0.0032;0.98653544;0.122967362;0.12216625;0.122129074;0.122128988
1.7;0.0034;0.985727962;0.130657265;0.132316402;0.129711357;0.129713333
1.8;0.0036;0.984924369;0.138347692;0.13733168;0.13729003;0.137289944
1.9;0.0038;0.984124641;0.146038641;0.147470846;0.144861007;0.144862964
2;0.004;0.983328757;0.153730113;0.152474498;0.152428414;0.152428328
2.1;0.0042;0.982536699;0.161422108;0.162602796;0.159988204;0.159990141
2.2;0.0044;0.981748447;0.169114626;0.167594941;0.167544461;0.167544376
2.3;0.0046;0.980963981;0.176807668;0.177712486;0.175093178;0.175095097
2.4;0.0048;0.980183281;0.184501232;0.182693237;0.182638401;0.182638316
2.5;0.005;0.97940633;0.19219532;0.192800144;0.190176161;0.19017806
2.6;0.0052;0.978633107;0.199889931;0.197769617;0.197710463;0.197710378
2.7;0.0054;0.977863593;0.207585065;0.207866;0.205237378;0.205239258
2.8;0.0056;0.97709777;0.215280722;0.212824307;0.212760873;0.212760788
2.9;0.0058;0.976335618;0.222976903;0.222910278;0.220277055;0.220278917
3;0.006;0.975577119;0.230673607;0.227857531;0.227789854;0.227789769
3.1;0.0062;0.974822254;0.238370835;0.237933202;0.235295415;0.235297258
3.2;0.0064;0.974071005;0.246068586;0.242869511;0.242797629;0.242797544
3.3;0.0066;0.973323353;0.25376686;0.252934991;0.250292678;0.250294502
3.4;0.0068;0.972579279;0.261465658;0.257860467;0.257784416;0.257784331
3.5;0.007;0.971838766;0.269164979;0.267915866;0.265269062;0.265270869
3.6;0.0072;0.971101795;0.276864824;0.272830616;0.272750433;0.272750348
3.7;0.0074;0.970368348;0.284565193;0.282876042;0.280224783;0.280226572
3.8;0.0076;0.969638407;0.292266085;0.287780173;0.287695895;0.28769581
3.9;0.0078;0.968911955;0.299967501;0.297815733;0.295160056;0.295161827
4;0.008;0.968188972;0.307669441;0.302709352;0.302621013;0.302620929
4.1;0.0082;0.967469442;0.315371904;0.312735151;0.310075091;0.310076844
4.2;0.0084;0.966753347;0.323074891;0.317618364;0.317525999;0.317525915
4.3;0.0086;0.96604067;0.330778402;0.327634506;0.324970098;0.324971834
4.4;0.0088;0.965331392;0.338482437;0.332507416;0.332411062;0.332410977
4.5;0.009;0.964625497;0.346186996;0.342514006;0.339845284;0.339847003
4.6;0.0092;0.963922967;0.353892079;0.34223982;0.347276406;0.347276322
4.7;0.0094;0.963223785;0.361597685;0.347099365;0.354700855;0.354702557
4.8;0.0096;0.962527934;0.369303816;0.357088873;0.362122237;0.362122153
4.9;0.0098;0.961835396;0.377010471;0.361938371;0.369537014;0.369538699
5;0.01;0.961146156;0.384717649;0.371918581;0.376948757;0.376948673
5.1;0.0102;0.960460196;0.392425352;0.376758133;0.384353961;0.384355629
5.2;0.0104;0.959777499;0.400133579;0.386729144;0.391756164;0.39175608
5.3;0.0106;0.959098048;0.40784233;0.391558848;0.399151896;0.399153547
5.4;0.0108;0.958421828;0.415551606;0.40152076;0.406544658;0.406544575
5.5;0.011;0.957748821;0.423261405;0.406340715;0.413931015;0.41393265
5.6;0.0112;0.957079012;0.430971729;0.416293625;0.421314435;0.421314351
5.7;0.0114;0.956412383;0.438682578;0.421103928;0.428691513;0.428693132
5.8;0.0116;0.955748919;0.44639395;0.431047934;0.436065688;0.436065604
5.9;0.0118;0.955088603;0.454105847;0.435848682;0.443433584;0.443435187
6;0.012;0.954431419;0.461818269;0.445783879;0.450798608;0.450798525
6.1;0.0122;0.953777352;0.469531215;0.450575166;0.458157419;0.458159006
6.2;0.0124;0.953126385;0.477244685;0.46050165;0.465513387;0.465513304
6.3;0.0126;0.952478502;0.48495868;0.465283572;0.472863205;0.472864777
6.4;0.0128;0.951833688;0.492673199;0.475201435;0.480210213;0.48021013
6.5;0.013;0.951191927;0.500388243;0.479974085;0.487551131;0.487552687
6.6;0.0132;0.950553204;0.508103812;0.489883422;0.49488927;0.494889187
6.7;0.0134;0.949917503;0.515819905;0.494646892;0.502221382;0.502222923
6.8;0.0136;0.949284808;0.523536524;0.504547794;0.509550745;0.509550662
6.9;0.0138;0.948655104;0.531253666;0.509302176;0.516874141;0.516875666
7;0.014;0.948028376;0.538971334;0.519194735;0.524194818;0.524194735
7.1;0.0142;0.947404609;0.546689527;0.523940119;0.531509589;0.5315111
7.2;0.0144;0.946783787;0.554408244;0.533824424;0.538821671;0.538821588
7.3;0.0146;0.946165896;0.562127486;0.538560901;0.546127907;0.546129402
