Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
0;0;1;0;0;0;0
0.1;0.0002;0.998417921;0.009440172;0.012587978;0.009430486;0.009435105
0.2;0.0004;0.996890652;0.018881968;0.018863135;0.018852539;0.018852269
0.3;0.0006;0.995415956;0.028325387;0.03142626;0.02825732;0.028261609
0.4;0.0008;0.993991686;0.037770432;0.037675398;0.037654596;0.037654327
0.5;0.001;0.992615788;0.0472171;0.050215633;0.047035867;0.047039852
0.6;0.0012;0.991286291;0.056665394;0.050141231;0.056410238;0.056409969
0.7;0.0014;0.990001305;0.066115313;0.056358812;0.065769767;0.065773473
0.8;0.0016;0.988759023;0.075566858;0.068860816;0.075122954;0.075122685
0.9;0.0018;0.987557707;0.085020029;0.075056809;0.084462371;0.084465819
1;0.002;0.986395696;0.094474825;0.087540172;0.093795957;0.09379569
1.1;0.0022;0.985271396;0.103931248;0.093716108;0.103116761;0.103119972
1.2;0.0024;0.98418328;0.113389298;0.106182298;0.112432206;0.112431938
1.3;0.0026;0.983129882;0.122848974;0.12495357;0.121735775;0.121738769
1.4;0.0028;0.9821098;0.132310278;0.131098031;0.131034421;0.131034154
1.5;0.003;0.981121688;0.141773209;0.143548212;0.140322027;0.14032482
1.6;0.0032;0.980164258;0.151237768;0.149675927;0.149605109;0.149604843
1.7;0.0034;0.979236273;0.160703955;0.162112118;0.158877922;0.15888053
1.8;0.0036;0.978336549;0.17017177;0.168224233;0.168146579;0.168146313
1.9;0.0038;0.977463951;0.179641214;0.180647537;0.177405676;0.177408114
2;0.004;0.97661739;0.189112287;0.186745106;0.186660957;0.186660691
2.1;0.0042;0.975795823;0.198584989;0.199156534;0.195907331;0.195909611
2.2;0.0044;0.974998251;0.20805932;0.205240531;0.2051502;0.205149935
2.3;0.0046;0.974223714;0.217535281;0.217641017;0.214384765;0.214386902
2.4;0.0048;0.973471295;0.227012872;0.223712337;0.223616114;0.223615849
2.5;0.005;0.972740112;0.236492094;0.236102743;0.232839714;0.232841717
2.6;0.0052;0.972029321;0.245972946;0.24216221;0.242060363;0.242060099
2.7;0.0054;0.971338113;0.255455428;0.254543329;0.251273775;0.251275655
2.8;0.0056;0.970665713;0.264939542;0.260591705;0.260484481;0.260484216
2.9;0.0058;0.970011377;0.274425288;0.272964269;0.269688421;0.269690187
3;0.006;0.969374392;0.283912665;0.279002257;0.278889881;0.278889617
3.1;0.0062;0.968754075;0.293401674;0.29136694;0.288085011;0.288086673
3.2;0.0064;0.968149771;0.302892315;0.297395187;0.297277869;0.297277605
3.3;0.0066;0.967560852;0.312384589;0.309752612;0.306464799;0.306466365
3.4;0.0068;0.966986716;0.321878495;0.315771716;0.31564965;0.315649386
3.5;0.007;0.966426786;0.331374035;0.328122458;0.324828943;0.324830419
3.6;0.0072;0.965880508;0.340871208;0.33413297;0.334006334;0.334006071
3.7;0.0074;0.965347353;0.350370015;0.34647756;0.343178511;0.343179905
3.8;0.0076;0.964826813;0.359870456;0.35247999;0.35234895;0.352348686
3.9;0.0078;0.964318398;0.36937253;0.364818919;0.36151449;0.361515808
4;0.008;0.963821643;0.37887624;0.370813737;0.370678444;0.370678181
4.1;0.0082;0.963336099;0.388381584;0.383147458;0.379837793;0.37983904
4.2;0.0084;0.962861337;0.397888563;0.3891351;0.388995695;0.388995432
4.3;0.0086;0.962396945;0.407397178;0.401464031;0.398149262;0.398150444
4.4;0.0088;0.961942527;0.416907428;0.407444898;0.407301512;0.407301249
4.5;0.009;0.961497706;0.426419314;0.419769427;0.416449677;0.416450799
4.6;0.0092;0.961062118;0.435932836;0.419400999;0.425596645;0.425596382
4.7;0.0094;0.960635416;0.445447995;0.42537641;0.43473976;0.434740826
4.8;0.0096;0.960217265;0.45496479;0.437687711;0.44388179;0.443881527
4.9;0.0098;0.959807345;0.464483223;0.443657227;0.45302018;0.453021194
5;0.01;0.95940535;0.474003293;0.455964972;0.462157587;0.462157325
5.1;0.0102;0.959010985;0.483525;0.461928902;0.471291555;0.471292521
5.2;0.0104;0.958623969;0.493048345;0.474233386;0.480424635;0.480424372
5.3;0.0106;0.95824403;0.502573329;0.480192013;0.489554459;0.489555381
5.4;0.0108;0.957870909;0.512099951;0.492493512;0.498683483;0.498683221
5.5;0.011;0.957504358;0.521628211;0.498447101;0.507809423;0.507810304
5.6;0.0112;0.957144137;0.531158111;0.510745869;0.516934646;0.516934384
5.7;0.0114;0.956790017;0.54068965;0.516694664;0.526056943;0.526057786
5.8;0.0116;0.95644178;0.550222828;0.528990939;0.535178599;0.535178337
5.9;0.0118;0.956099215;0.559757647;0.534935168;0.544297477;0.544298283
6;0.012;0.955762119;0.569294105;0.547229169;0.553415784;0.553415522
6.1;0.0122;0.955430299;0.578832204;0.553169044;0.56253145;0.562532224
6.2;0.0124;0.955103569;0.588371943;0.565460975;0.571646612;0.57164635
6.3;0.0126;0.954781751;0.597913324;0.571396692;0.58075926;0.580760003
6.4;0.0128;0.954464674;0.607456346;0.583686745;0.589871465;0.589871203
6.5;0.013;0.954152174;0.617001009;0.589618486;0.598981276;0.59898199
6.6;0.0132;0.953844094;0.626547314;0.601906838;0.6080907;0.608090438
6.7;0.0134;0.953540283;0.636095261;0.607834775;0.617197841;0.617198528
6.8;0.0136;0.953240595;0.645644851;0.620121591;0.626304649;0.626304387
6.9;0.0138;0.952944892;0.655196083;0.626045883;0.635409277;0.635409939
7;0.014;0.952653041;0.664748958;0.638331317;0.644513622;0.64451336
7.1;0.0142;0.952364913;0.674303477;0.644252112;0.653615883;0.653616522
7.2;0.0144;0.952080387;0.683859639;0.656536309;0.662717908;0.662717646
7.3;0.0146;0.951799344;0.693417445;0.662453745;0.671817939;0.671818556
7.4;0.0148;0.95152167;0.702976895;0.67473684;0.680917777;0.680917515
7.5;0.015;0.951247259;0.712537989;0.680651048;0.690015706;0.690016302
7.6;0.0152;0.950976004;0.722100728;0.692933167;0.699113483;0.699113221
7.7;0.0154;0.950707808;0.731665112;0.698844267;0.70820943;0.708210007
7.8;0.0156;0.950442573;0.741231141;0.711125528;0.717305262;0.717305001
7.9;0.0158;0.950180207;0.750798815;0.717033635;0.72639934;0.726399899
8;0.016;0.949920623;0.760368136;0.729314149;0.735493339;0.735493077
8.1;0.0162;0.949663734;0.769939102;0.73521937;0.744585652;0.744586194
8.2;0.0164;0.949409461;0.779511715;0.747499241;0.75367792;0.753677658
8.3;0.0166;0.949157724;0.789085974;0.753401676;0.762768568;0.762769095
8.4;0.0168;0.948908448;0.79866188;0.765681003;0.771859203;0.771858941
8.5;0.017;0.948661561;0.808239434;0.771580746;0.780948279;0.780948791
8.6;0.0172;0.948416995;0.817818635;0.783859621;0.790037372;0.790037111
8.7;0.0174;0.948174681;0.827399484;0.789756761;0.799124965;0.799125462
8.8;0.0176;0.947934557;0.83698198;0.80203527;0.808212603;0.808212341
8.9;0.0178;0.947696561;0.846566126;0.807929891;0.817298794;0.817299279
9;0.018;0.947460634;0.856151919;0.820208117;0.826385058;0.826384796
9.1;0.0182;0.947226719;0.865739362;0.826100298;0.835469927;0.835470399
9.2;0.0184;0.946994763;0.875328454;0.83837832;0.844554894;0.844554632
9.3;0.0186;0.946764711;0.884919195;0.844268136;0.853638515;0.853638975
9.4;0.0188;0.946536515;0.894511586;0.856546025;0.862722257;0.862721996
9.5;0.019;0.946310126;0.904105627;0.862433547;0.871804701;0.871805149
9.6;0.0192;0.946085497;0.913701318;0.874711374;0.880887287;0.880887026
9.7;0.0194;0.945862583;0.92329866;0.880596669;0.88996862;0.889969057
9.8;0.0196;0.945641343;0.932897653;0.8928745;0.899050117;0.899049855
9.9;0.0198;0.945421733;0.942498297;0.898757632;0.908130401;0.908130828
10;0.02;0.945203716;0.952100593;0.91103553;0.917210871;0.917210609
10.1;0.0202;0.944987252;0.96170454;0.916916559;0.926290168;0.926290585
10.2;0.0204;0.944772304;0.971310139;0.929194585;0.935369669;0.935369408
10.3;0.0206;0.944558839;0.980917391;0.935073568;0.944448036;0.944448444
10.4;0.0208;0.94434682;0.990526295;0.947351778;0.953526625;0.953526364
10.5;0.021;0.944136216;1.000136852;0.953228772;0.962604117;0.962604516
10.6;0.0212;0.943926995;1.009749062;0.965507221;0.971681849;0.971681587
10.7;0.0214;0.943719127;1.019362926;0.971382277;0.980758517;0.980758908
10.8;0.0216;0.943512583;1.028978443;0.983661016;0.989835443;0.989835182
10.9;0.0218;0.943307334;1.038595614;0.989534185;0.998911339;0.998911721
11;0.022;0.943103353;1.04821444;1.001813266;1.007987507;1.007987246
11.1;0.0222;0.942900615;1.05783492;1.007684596;1.017062678;1.017063053
11.2;0.0224;0.942699094;1.067457055;1.019964064;1.026138138;1.026137876
11.3;0.0226;0.942498766;1.077080846;1.025833602;1.035212629;1.035212996
11.4;0.0228;0.942299608;1.086706291;1.038113505;1.044287425;1.044287163
11.5;0.023;0.942101597;1.096333393;1.043981293;1.053361282;1.053361642
11.6;0.0232;0.941904711;1.10596215;1.056261676;1.062435457;1.062435195
11.7;0.0234;0.941708931;1.115592564;1.062127758;1.071508722;1.071509075
11.8;0.0236;0.941514234;1.125224634;1.074408661;1.080582318;1.080582057
11.9;0.0238;0.941320603;1.134858361;1.080273079;1.089655032;1.089655378
12;0.024;0.941128019;1.144493745;1.092554545;1.098728091;1.09872783
12.1;0.0242;0.940936462;1.154130787;1.098417337;1.107800293;1.107800633
12.2;0.0244;0.940745916;1.163769486;1.110699404;1.116872854;1.116872592
12.3;0.0246;0.940556364;1.173409844;1.116560609;1.125944582;1.125944916
12.4;0.0248;0.94036779;1.183051859;1.128843317;1.135016682;1.135016421
12.5;0.025;0.940180178;1.192695534;1.134702971;1.144087974;1.144088302
12.6;0.0252;0.939993512;1.202340867;1.146986356;1.153159649;1.153159388
12.7;0.0254;0.939807779;1.211987859;1.152844496;1.162230541;1.162230863
12.8;0.0256;0.939622963;1.221636511;1.165128594;1.171301827;1.171301566
12.9;0.0258;0.939439052;1.231286822;1.170985253;1.180372353;1.180372669
13;0.026;0.939256032;1.240938794;1.183270099;1.189443285;1.189443024
13.1;0.0262;0.939073889;1.250592425;1.189125312;1.198513479;1.19851379
13.2;0.0264;0.938892613;1.260247717;1.20141094;1.20758409;1.207583828
13.3;0.0266;0.93871219;1.26990467;1.207264739;1.216653984;1.216654289
13.4;0.0268;0.938532609;1.279563285;1.219551182;1.225724306;1.225724044
13.5;0.027;0.938353859;1.28922356;1.225403598;1.234793933;1.234794232
13.6;0.0272;0.938175929;1.298885498;1.237690888;1.243863997;1.243863736
13.7;0.0274;0.937998808;1.308549097;1.243541953;1.252933387;1.252933682
13.8;0.0276;0.937822486;1.318214359;1.25583012;1.262003226;1.262002964
13.9;0.0278;0.937646954;1.327881283;1.261679864;1.27107241;1.271072699
14;0.028;0.937472201;1.33754987;1.273968939;1.280142051;1.28014179
14.1;0.0282;0.937298218;1.34722012;1.279817391;1.289211058;1.289211343
14.2;0.0284;0.937124996;1.356892034;1.292107404;1.298280533;1.298280272
14.3;0.0286;0.936952527;1.366565611;1.297954592;1.307349392;1.307349672
14.4;0.0288;0.936780802;1.376240852;1.310245573;1.316418728;1.316418467
14.5;0.029;0.936609812;1.385917758;1.316091525;1.325487467;1.325487743
14.6;0.0292;0.93643955;1.395596328;1.328383501;1.334556692;1.334556431
14.7;0.0294;0.936270007;1.405276563;1.334228246;1.343625339;1.34362561
14.8;0.0296;0.936101176;1.414958463;1.346521245;1.352694481;1.35269422
14.9;0.0298;0.935933051;1.424642029;1.352364807;1.361763062;1.361763329
15;0.03;0.935765622;1.43432726;1.364658857;1.370832148;1.370831886
15.1;0.0302;0.935598884;1.444014158;1.370501264;1.37990069;1.379900952
15.2;0.0304;0.93543283;1.453702721;1.38279639;1.388969745;1.388969484
15.3;0.0306;0.935267453;1.463392952;1.388637668;1.398038274;1.398038532
15.4;0.0308;0.935102746;1.473084849;1.400933897;1.407107325;1.407107063
15.5;0.031;0.934938703;1.482778413;1.40677407;1.416175866;1.41617612
15.6;0.0312;0.934775319;1.492473645;1.419071428;1.425244937;1.425244676
15.7;0.0314;0.934612586;1.502170544;1.424910521;1.434313516;1.434313765
