Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
0;0;1;0;0;0;0
0.1;0.0002;0.996224791;0.002633026;0.003511189;0.002626521;0.002629484
0.2;0.0004;0.992916134;0.005266784;0.005254017;0.005247433;0.00524731
0.3;0.0006;0.990003332;0.007901274;0.008748912;0.007858153;0.007860422
0.4;0.0008;0.987426665;0.010536497;0.010476671;0.010464781;0.010464657
0.5;0.001;0.985135688;0.013172453;0.013959347;0.013063589;0.013065357
0.6;0.0012;0.983087779;0.015809141;0.013917462;0.015659312;0.015659187
0.7;0.0014;0.981246922;0.018446563;0.015631847;0.01824893;0.018250335
0.8;0.0016;0.97958268;0.021084718;0.019096929;0.020836192;0.020836067
0.9;0.0018;0.978069323;0.023723606;0.020803192;0.023418595;0.023419735
1;0.002;0.976685097;0.026363228;0.024261965;0.025999174;0.025999048
1.1;0.0022;0.975411603;0.029003584;0.025961659;0.028575804;0.02857675
1.2;0.0024;0.974233277;0.031644674;0.029415453;0.031150999;0.031150873
1.3;0.0026;0.973136947;0.034286498;0.03463264;0.033722918;0.033723719
1.4;0.0028;0.972111462;0.036929057;0.036321466;0.036293689;0.036293562
1.5;0.003;0.971147376;0.039572351;0.039774078;0.038861682;0.038862375
1.6;0.0032;0.970236683;0.04221638;0.041458656;0.041428744;0.041428617
1.7;0.0034;0.969372596;0.044861143;0.044908298;0.043993405;0.043994016
1.8;0.0036;0.968549355;0.047506642;0.04658918;0.046557297;0.046557169
1.9;0.0038;0.967762066;0.050152877;0.050036333;0.049119076;0.049119623
2;0.004;0.967006571;0.052799848;0.05171394;0.051680212;0.051680084
2.1;0.0042;0.966279331;0.055447554;0.055158974;0.054239458;0.054239956
2.2;0.0044;0.965577329;0.058095996;0.056833634;0.056798161;0.056798033
2.3;0.0046;0.964897994;0.060745175;0.060276843;0.059355151;0.059355609
2.4;0.0048;0.964239125;0.063395091;0.061948816;0.061911677;0.061911548
2.5;0.005;0.96359884;0.066045743;0.065390433;0.064466634;0.064467059
2.6;0.0052;0.962975525;0.068697132;0.06705993;0.067021192;0.067021062
2.7;0.0054;0.962367791;0.071349259;0.070500149;0.069574299;0.069574696
2.8;0.0056;0.96177444;0.074002123;0.072167346;0.072127062;0.072126932
2.9;0.0058;0.96119444;0.076655724;0.075606327;0.074678475;0.074678848
3;0.006;0.960626891;0.079310063;0.077271374;0.07722959;0.07722946
3.1;0.0062;0.960071015;0.08196514;0.080709256;0.079779443;0.079779795
3.2;0.0064;0.959526128;0.084620956;0.08237228;0.082329038;0.082328908
3.3;0.0066;0.958991634;0.08727751;0.085809185;0.084877448;0.084877782
3.4;0.0068;0.958467007;0.089934802;0.0874703;0.087425637;0.087425506
3.5;0.007;0.957951779;0.092592834;0.090906336;0.089972709;0.089973025
3.6;0.0072;0.957445537;0.095251604;0.092565645;0.092519592;0.092519461
3.7;0.0074;0.956947911;0.097911114;0.096000909;0.095065422;0.095065723
3.8;0.0076;0.956458568;0.100571363;0.097658504;0.097611093;0.097610961
3.9;0.0078;0.955977208;0.103232351;0.101093087;0.100155768;0.100156055
4;0.008;0.955503557;0.10589408;0.102749055;0.102700312;0.10270018
4.1;0.0082;0.955037367;0.108556549;0.106183039;0.105243914;0.105244187
4.2;0.0084;0.954578409;0.111219757;0.10783746;0.107787411;0.107787278
4.3;0.0086;0.954126471;0.113883707;0.111270924;0.110330017;0.110330277
4.4;0.0088;0.953681357;0.116548397;0.112923871;0.112872542;0.112872409
4.5;0.009;0.953242883;0.119213828;0.116356888;0.115414223;0.115414471
4.6;0.0092;0.952810879;0.12188;0.116230739;0.117955846;0.117955713
4.7;0.0094;0.952385183;0.124546913;0.117884695;0.120496671;0.120496908
4.8;0.0096;0.951965643;0.127214568;0.121312601;0.123037461;0.123037327
4.9;0.0098;0.951552113;0.129882964;0.122965256;0.125577494;0.125577721
5;0.01;0.951144456;0.132552103;0.126392879;0.128117513;0.128117379
5.1;0.0102;0.950742539;0.135221984;0.128044296;0.130656818;0.130657033
5.2;0.0104;0.950346237;0.137892606;0.131471699;0.133196127;0.133195992
5.3;0.0106;0.949955429;0.140563972;0.133121937;0.135734761;0.135734967
5.4;0.0108;0.949569997;0.14323608;0.136549177;0.13827342;0.138273285
5.5;0.011;0.949189829;0.145908931;0.138198293;0.14081144;0.140811636
5.6;0.0112;0.948814815;0.148582525;0.141625428;0.143349504;0.143349368
5.7;0.0114;0.948444852;0.151256863;0.143273477;0.145886965;0.145887152
5.8;0.0116;0.948079835;0.153931944;0.146700561;0.148424487;0.148424351
5.9;0.0118;0.947719665;0.156607769;0.148347595;0.150961441;0.150961619
6;0.012;0.947364247;0.159284338;0.151774679;0.153498473;0.153498336
6.1;0.0122;0.947013486;0.161961652;0.153420749;0.15603497;0.156035139
6.2;0.0124;0.946667291;0.164639709;0.156847883;0.158571561;0.158571424
6.3;0.0126;0.946325571;0.167318511;0.158493036;0.16110765;0.161107811
6.4;0.0128;0.945988241;0.169998058;0.161920269;0.163643848;0.16364371
6.5;0.013;0.945655216;0.17267835;0.163564553;0.166179574;0.166179727
6.6;0.0132;0.945326411;0.175359388;0.166991929;0.168715425;0.168715287
6.7;0.0134;0.945001748;0.17804117;0.168635389;0.171250833;0.171250978
6.8;0.0136;0.944681145;0.180723698;0.172062954;0.17378638;0.173786242
6.9;0.0138;0.944364527;0.183406973;0.173705632;0.176321514;0.176321651
7;0.014;0.944051817;0.186090993;0.177133429;0.1788568;0.178856661
7.1;0.0142;0.943742941;0.188775759;0.178775366;0.1813917;0.18139183
7.2;0.0144;0.943437827;0.191461272;0.182203436;0.183926766;0.183926626
7.3;0.0146;0.943136405;0.194147532;0.183844672;0.186461471;0.186461595
7.4;0.0148;0.942838605;0.196834538;0.187273054;0.188996356;0.188996217
7.5;0.015;0.942544359;0.199522292;0.188913629;0.191530907;0.191531023
7.6;0.0152;0.942253601;0.202210793;0.192342361;0.194065648;0.194065508
7.7;0.0154;0.941966265;0.204900041;0.193982311;0.19660008;0.19660019
7.8;0.0156;0.94168229;0.207590037;0.197411431;0.199134715;0.199134574
7.9;0.0158;0.941401611;0.210280781;0.19905079;0.201669063;0.201669167
8;0.016;0.941124169;0.212972273;0.202480333;0.204203626;0.204203485
8.1;0.0162;0.940849903;0.215664514;0.204119138;0.206737926;0.206738024
8.2;0.0164;0.940578756;0.218357503;0.207549138;0.209272451;0.20927231
8.3;0.0166;0.940310669;0.221051241;0.20918742;0.211806734;0.211806827
8.4;0.0168;0.940045588;0.223745728;0.21261791;0.214341255;0.214341113
8.5;0.017;0.939783456;0.226440963;0.214255702;0.216875554;0.216875641
8.6;0.0172;0.939524221;0.229136949;0.217686714;0.219410101;0.219409958
8.7;0.0174;0.93926783;0.231833684;0.219324046;0.221944447;0.221944528
8.8;0.0176;0.939014231;0.234531168;0.222755611;0.22447905;0.224478907
8.9;0.0178;0.938763373;0.237229403;0.224392513;0.227013472;0.227013548
9;0.018;0.938515208;0.239928388;0.22782466;0.229548161;0.229548018
9.1;0.0182;0.938269686;0.242628123;0.22946116;0.232082689;0.232082759
9.2;0.0184;0.938026761;0.245328609;0.232893919;0.234617492;0.234617348
9.3;0.0186;0.937786386;0.248029846;0.234530045;0.237152151;0.237152217
9.4;0.0188;0.937548515;0.250731834;0.237963442;0.239687096;0.239686952
9.5;0.019;0.937313104;0.253434573;0.239599221;0.242221915;0.242221976
9.6;0.0192;0.937080109;0.256138064;0.243033283;0.244757027;0.244756882
9.7;0.0194;0.936849487;0.258842306;0.24466874;0.24729203;0.247292087
9.8;0.0196;0.936621196;0.2615473;0.248103493;0.249827336;0.249827191
9.9;0.0198;0.936395196;0.264253046;0.249738653;0.252362549;0.252362601
10;0.02;0.936171446;0.266959545;0.253174122;0.254898072;0.254897926
10.1;0.0202;0.935949906;0.269666796;0.254809009;0.257433518;0.257433566
10.2;0.0204;0.935730539;0.2723748;0.258245218;0.259969282;0.259969136
10.3;0.0206;0.935513306;0.275083556;0.259879855;0.262504985;0.262505029
10.4;0.0208;0.935298169;0.277793066;0.263316827;0.265041014;0.265040867
10.5;0.021;0.935085094;0.280503329;0.264951236;0.267576996;0.267577035
10.6;0.0212;0.934874044;0.283214346;0.268388993;0.270113311;0.270113164
10.7;0.0214;0.934664984;0.285926117;0.270023197;0.272649593;0.272649629
10.8;0.0216;0.934457881;0.288638641;0.273461761;0.275186216;0.275186068
10.9;0.0218;0.934252701;0.29135192;0.275095779;0.27772282;0.277722851
11;0.022;0.93404941;0.294065953;0.278535172;0.280259771;0.280259623
