Time;Strain;Reduced Relaxation Function;Elastic Response;Stress;Stress by Integral;Stress by dG
0;0;1;0;0;0;0
0.1;0.0002;0.997401608;0.004100046;0.005467695;0.004093185;0.004096333
0.2;0.0004;0.995024483;0.008201543;0.008188304;0.008180778;0.008180536
0.3;0.0006;0.992847072;0.012304493;0.013639768;0.012257369;0.012259971
0.4;0.0008;0.99084995;0.016408895;0.016343897;0.016329697;0.016329456
0.5;0.001;0.989015612;0.02051475;0.021782347;0.020392995;0.020395154
0.6;0.0012;0.987328279;0.024622059;0.021734209;0.024452919;0.024452678
0.7;0.0014;0.985773731;0.028730823;0.024421639;0.028505418;0.028507215
0.8;0.0016;0.98433915;0.032841041;0.029839673;0.032555268;0.032555027
0.9;0.0018;0.983012985;0.036952714;0.032516912;0.036599005;0.036600505
1;0.002;0.981784823;0.041065844;0.037927609;0.040640683;0.040640443
1.1;0.0022;0.980645276;0.045180429;0.040596401;0.04467732;0.044678579
1.2;0.0024;0.979585885;0.049296472;0.046001341;0.048712381;0.048712141
1.3;0.0026;0.978599022;0.053413971;0.054154086;0.052743278;0.052744338
1.4;0.0028;0.977677812;0.057532929;0.056810047;0.056772994;0.056772754
1.5;0.003;0.976816055;0.061653345;0.062214373;0.060799263;0.060800161
1.6;0.0032;0.976008165;0.06577522;0.064864984;0.064824676;0.064824436
1.7;0.0034;0.9752491;0.069898554;0.070266363;0.068847232;0.068847996
1.8;0.0036;0.974534319;0.074023348;0.072912492;0.072869197;0.072868957
1.9;0.0038;0.973859725;0.078149602;0.078311712;0.076888788;0.076889443
2;0.004;0.973221622;0.082277318;0.080954072;0.080908009;0.080907769
2.1;0.0042;0.972616679;0.086406495;0.086351783;0.084925255;0.08492582
2.2;0.0044;0.972041891;0.090537134;0.088990961;0.088942311;0.088942071
2.3;0.0046;0.971494546;0.094669235;0.094387697;0.092957723;0.092958212
2.4;0.0048;0.9709722;0.0988028;0.09702418;0.096973094;0.096972853
2.5;0.005;0.970472645;0.102937828;0.102420386;0.100987093;0.10098752
2.6;0.0052;0.969993891;0.10707432;0.105054576;0.105001177;0.105000936
2.7;0.0054;0.969534141;0.111212277;0.11045062;0.109014116;0.109014491
2.8;0.0056;0.969091774;0.115351699;0.113082853;0.113027244;0.113027003
2.9;0.0058;0.968665325;0.119492586;0.118479042;0.117039417;0.117039749
3;0.006;0.968253472;0.12363494;0.121109598;0.121051866;0.121051625
3.1;0.0062;0.967855023;0.12777876;0.126506191;0.12506352;0.125063815
3.2;0.0064;0.967468898;0.131924047;0.129135305;0.129075522;0.129075282
3.3;0.0066;0.967094123;0.136070802;0.134532519;0.133086866;0.133087129
3.4;0.0068;0.966729819;0.140219025;0.13716039;0.137098619;0.137098378
3.5;0.007;0.966375189;0.144368717;0.14255841;0.141109827;0.141110065
3.6;0.0072;0.966029513;0.148519879;0.145185206;0.145121499;0.145121258
3.7;0.0074;0.965692142;0.15267251;0.15058419;0.149132724;0.149132938
3.8;0.0076;0.965362486;0.156826611;0.153210057;0.153144458;0.153144217
3.9;0.0078;0.965040012;0.160982183;0.158610139;0.157155829;0.157156024
4;0.008;0.964724237;0.165139226;0.161235201;0.161167749;0.161167508
4.1;0.0082;0.964414725;0.169297742;0.166636499;0.16517938;0.165179557
4.2;0.0084;0.964111077;0.173457729;0.169260865;0.169191593;0.169191352
4.3;0.0086;0.963812936;0.17761919;0.174663482;0.173203582;0.173203744
4.4;0.0088;0.963519974;0.181782124;0.177287245;0.177216184;0.177215942
4.5;0.009;0.963231896;0.185946532;0.182691271;0.181228618;0.181228766
4.6;0.0092;0.962948432;0.190112414;0.18253677;0.185241691;0.18524145
4.7;0.0094;0.962669338;0.194279772;0.185162573;0.189254648;0.189254785
4.8;0.0096;0.96239439;0.198448605;0.190563121;0.193268269;0.193268027
4.9;0.0098;0.962123386;0.202618913;0.193188516;0.197281818;0.197281944
5;0.01;0.961856141;0.206790699;0.198590656;0.201296053;0.201295811
5.1;0.0102;0.961592485;0.210963961;0.201215709;0.205310258;0.205310373
5.2;0.0104;0.961332265;0.215138702;0.206619502;0.209325168;0.209324925
5.3;0.0106;0.96107534;0.21931492;0.20924427;0.213340086;0.213340192
5.4;0.0108;0.960821581;0.223492617;0.214649774;0.217355728;0.217355485
5.5;0.011;0.960570868;0.227671793;0.21727431;0.221371412;0.22137151
5.6;0.0112;0.960323093;0.231852449;0.222681578;0.225387837;0.225387595
5.7;0.0114;0.960078157;0.236034584;0.225305933;0.229404338;0.229404428
5.8;0.0116;0.959835967;0.240218201;0.230715014;0.233421595;0.233421352
5.9;0.0118;0.959596438;0.244403299;0.233339234;0.237438957;0.23743904
6;0.012;0.959359492;0.248589879;0.238750173;0.241457091;0.241456848
6.1;0.0122;0.959125057;0.252777941;0.241374301;0.245475359;0.245475434
6.2;0.0124;0.958893064;0.256967486;0.246787143;0.249494412;0.249494169
6.3;0.0126;0.958663451;0.261158514;0.249411219;0.253513626;0.253513695
6.4;0.0128;0.95843616;0.265351026;0.254826005;0.257533639;0.257533396
6.5;0.013;0.958211138;0.269545023;0.25745007;0.261553839;0.261553902
6.6;0.0132;0.957988332;0.273740504;0.262866838;0.265574851;0.265574607
6.7;0.0134;0.957767696;0.277937471;0.265490928;0.269596073;0.26959613
6.8;0.0136;0.957549184;0.282135924;0.270909717;0.27361812;0.273617876
6.9;0.0138;0.957332756;0.286335864;0.273533867;0.277640402;0.277640452
7;0.014;0.957118371;0.29053729;0.278954713;0.281663519;0.281663275
7.1;0.0142;0.956905993;0.294740204;0.281578958;0.285686894;0.285686939
7.2;0.0144;0.956695585;0.298944606;0.287001896;0.289711116;0.289710872
7.3;0.0146;0.956487114;0.303150497;0.289626267;0.293735617;0.293735657
7.4;0.0148;0.956280548;0.307357877;0.295051331;0.297760977;0.297760732
7.5;0.015;0.956075858;0.311566747;0.297675862;0.301786637;0.301786671
7.6;0.0152;0.955873013;0.315777107;0.303103084;0.305813166;0.305812922
7.7;0.0154;0.955671987;0.319988957;0.305727804;0.309840017;0.309840045
7.8;0.0156;0.955472752;0.324202299;0.311157216;0.313867746;0.313867501
7.9;0.0158;0.955275282;0.328417133;0.313782157;0.317895817;0.317895841
8;0.016;0.955079555;0.332633458;0.319213789;0.321924777;0.321924532
8.1;0.0162;0.954885544;0.336851277;0.321838979;0.325954098;0.325954117
8.2;0.0164;0.954693229;0.341070589;0.327272862;0.329984317;0.329984072
8.3;0.0166;0.954502586;0.345291395;0.329898329;0.334014917;0.334014931
8.4;0.0168;0.954313594;0.349513696;0.335334493;0.338046425;0.33804618
8.5;0.017;0.954126232;0.353737491;0.337960264;0.342078332;0.342078342
8.6;0.0172;0.953940481;0.357962782;0.343398737;0.346111157;0.346110911
8.7;0.0174;0.953756319;0.362189569;0.34602484;0.350144398;0.350144403
8.8;0.0176;0.953573729;0.366417853;0.351465649;0.354178566;0.35417832
8.9;0.0178;0.953392691;0.370647633;0.35409211;0.358213168;0.358213169
9;0.018;0.953213187;0.374878911;0.359535284;0.362248706;0.36224846
9.1;0.0182;0.9530352;0.379111688;0.362162129;0.366284696;0.366284692
9.2;0.0184;0.952858712;0.383345962;0.367607693;0.370321631;0.370321384
9.3;0.0186;0.952683705;0.387581737;0.370234947;0.374359034;0.374359025
9.4;0.0188;0.952510163;0.391819011;0.375682929;0.37839739;0.378397143
9.5;0.019;0.95233807;0.396057785;0.378310615;0.382436231;0.382436218
9.6;0.0192;0.952167409;0.40029806;0.38376104;0.386476033;0.386475787
9.7;0.0194;0.951998165;0.404539836;0.386389184;0.390516337;0.390516321
9.8;0.0196;0.951830322;0.408783114;0.391842077;0.394557611;0.394557365
9.9;0.0198;0.951663864;0.413027894;0.394470702;0.398599402;0.398599382
10;0.02;0.951498777;0.417274178;0.399926088;0.402642171;0.402641924
10.1;0.0202;0.951335046;0.421521965;0.402555217;0.406685472;0.406685448
10.2;0.0204;0.951172656;0.425771256;0.40801312;0.41072976;0.410729513
10.3;0.0206;0.951011594;0.430022051;0.410642775;0.414774595;0.414774567
10.4;0.0208;0.950851843;0.434274351;0.416103219;0.418820424;0.418820176
10.5;0.021;0.950693392;0.438528157;0.418733422;0.422866815;0.422866783
10.6;0.0212;0.950536225;0.44278347;0.42419643;0.426914208;0.426913961
10.7;0.0214;0.95038033;0.447040288;0.426827204;0.430962178;0.430962143
10.8;0.0216;0.950225693;0.451298614;0.432292799;0.435011157;0.43501091
10.9;0.0218;0.9500723;0.455558448;0.434924164;0.439060728;0.439060689
11;0.022;0.949920139;0.45981979;0.440392368;0.443111315;0.443111067
11.1;0.0222;0.949769197;0.46408264;0.443024346;0.447162508;0.447162465
11.2;0.0224;0.949619461;0.468347;0.448495181;0.451214724;0.451214475
11.3;0.0226;0.949470919;0.47261287;0.451127791;0.455267559;0.455267513
11.4;0.0228;0.949323557;0.476880251;0.45660128;0.459321425;0.459321176
11.5;0.023;0.949177364;0.481149142;0.459234543;0.463375924;0.463375874
11.6;0.0232;0.949032328;0.485419544;0.464710706;0.46743146;0.467431212
11.7;0.0234;0.948888437;0.489691459;0.46734464;0.471487643;0.47148759
11.8;0.0236;0.948745678;0.493964886;0.472823499;0.47554487;0.475544621
11.9;0.0238;0.94860404;0.498239826;0.475458125;0.479602756;0.4796027
12;0.024;0.948463512;0.50251628;0.480939698;0.483661693;0.483661444
12.1;0.0242;0.948324082;0.506794248;0.483575035;0.487721302;0.487721243
12.2;0.0244;0.948185739;0.511073731;0.489059344;0.491781969;0.49178172
12.3;0.0246;0.948048472;0.515354728;0.491695409;0.495843321;0.495843258
12.4;0.0248;0.947912269;0.519637242;0.497182474;0.499905736;0.499905486
12.5;0.025;0.947777119;0.523921272;0.499819286;0.503968848;0.503968782
12.6;0.0252;0.947643012;0.528206818;0.505309125;0.508033031;0.508032781
12.7;0.0254;0.947509938;0.532493882;0.507946702;0.512097922;0.512097853
