Time;Strain;Strain Derivative;Reduced Relaxation Function;Reduced Relaxation Function Derivative;Elastic Response;Elastic Response Derivative;Stress;Stress by Integral;Stress by dG
0;0;0;1;-0.029150374;0;0;0;0;0
0.1;0.0002;0.002;0.997194681;-0.026990245;0.000937832;0.009379432;0.001250591;0.000936115;0.00093692
0.2;0.0004;0.002;0.994595429;-0.025025834;0.001875886;0.009381665;0.001872527;0.001870726;0.001870689
0.3;0.0006;0.002;0.992183599;-0.023238941;0.002814165;0.009383898;0.003118708;0.002802426;0.002803115
0.4;0.0008;0.002;0.989942276;-0.021613064;0.003752666;0.009386131;0.003736298;0.003732894;0.003732857
0.5;0.001;0.002;0.987856119;-0.02013324;0.004691391;0.009388366;0.004978761;0.004660877;0.004661469
0.6;0.0012;0.002;0.985911213;-0.018785905;0.005630339;0.0093906;0.004966595;0.005587821;0.005587784
0.7;0.0014;0.002;0.984094933;-0.017558758;0.006569511;0.009392835;0.005579574;0.006512634;0.006513146
0.8;0.0016;0.002;0.982395828;-0.016440646;0.007508906;0.009395071;0.006816292;0.007436569;0.007436532
0.9;0.0018;0.002;0.980803507;-0.015421459;0.008448525;0.009397307;0.007426303;0.008358665;0.00835911
1;0.002;0.002;0.979308545;-0.014492028;0.009388368;0.009399544;0.008660556;0.009280016;0.009279979
1.1;0.0022;0.002;0.977902388;-0.01364404;0.010328434;0.009401782;0.009267991;0.010199772;0.010200161
1.2;0.0024;0.002;0.976577274;-0.012869958;0.011268724;0.00940402;0.010500138;0.011118893;0.011118857
1.3;0.0026;0.002;0.975326161;-0.012162946;0.012209238;0.009406258;0.012359493;0.012036623;0.012036966
1.4;0.0028;0.002;0.974142657;-0.011516808;0.013149976;0.009408497;0.012962899;0.01295381;0.012953773
1.5;0.003;0.002;0.973020958;-0.010925924;0.014090937;0.009410736;0.014193644;0.013869774;0.013870078
1.6;0.0032;0.002;0.9719558;-0.0103852;0.015032123;0.009412976;0.014795194;0.014785272;0.014785235
1.7;0.0034;0.002;0.970942401;-0.009890014;0.015973533;0.009415217;0.016024491;0.015699688;0.01569996
1.8;0.0036;0.002;0.96997642;-0.009436176;0.016915166;0.009417458;0.016624394;0.016613704;0.016613667
1.9;0.0038;0.002;0.969053914;-0.009019889;0.017857024;0.0094197;0.017852435;0.017526756;0.017527001
2;0.004;0.002;0.968171305;-0.008637705;0.018799106;0.009421942;0.018450865;0.018439461;0.018439425
2.1;0.0042;0.002;0.967325341;-0.008286501;0.019741413;0.009424185;0.01967781;0.019351303;0.019351525
2.2;0.0044;0.002;0.966513067;-0.007963443;0.020683943;0.009426428;0.020274916;0.020262844;0.020262807
2.3;0.0046;0.002;0.9657318;-0.007665962;0.021626698;0.009428672;0.0215009;0.021173605;0.021173808
